imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kenya,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,Netherlands Antilles,New Zealand,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies,Yugoslavia
0083929,,Fast Times at Ridgemont High (1982),,,,,,,,,,,,,,,,,,,"$27,092,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0106364,,Batman: Mask of the Phantasm (1993),,,,,,,,,,,,,,,,,,,"$5,635,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0083851,,The Draughtsman's Contract (1982),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,987",,,,
0120662,,Eye of the Beholder (1999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$201,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0201840,,The Cup (1999),,,,,,,,,,,,,,,,,,,"$1,079,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,009",,,,,,,,,,,,,,
0058604,,I Am Cuba (1964),,,,,,,,,,,,,,,,,,,"$168,100",,,,,,"$38,452",,"$67,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0105793,,Wayne's World (1992),,,,,,,,,,,,,,,,,,,"$121,697,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0108525,,Wayne's World 2 (1993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0103855,,The Bodyguard (1992),,"$13,519",,,,,,,,,,,,,,,,,"$122,046,449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,394",,,,
0104070,,Death Becomes Her (1992),,,,,,,,,,,,,,,,,,,"$58,422,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0104454,,Howards End (1992),,,,,,,,,,,,,,,,,,,"$26,126,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$74,530",,,,,,,,,,,,,,,,,,,"$25,188",,,,,,,,,,,"$115,181",,,,
0105665,,Twin Peaks: Fire Walk with Me (1992),,$576,,,,,,,,,,,,,,,,,"$4,160,851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$867,,,,,,,,,,"$22,696",,,,,,,,,,,,,,,,,,,,,,
0103893,,Buffy the Vampire Slayer (1992),,,,,,,,,,,,,,,,,,,"$16,624,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0103759,,Bad Lieutenant (1992),,,,,,,,,,,,,,,,,,,"$2,000,022",,,,,,,,,,,,,,,,"$19,447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0171356,,Gun Shy (2000),,,,,,,,,,,,,,,,,,,"$1,638,202",,,,,,"$63,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0163978,,The Beach (2000),,,,,,,,,,,,,,,,,,,,,,,,,,"$6,651,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0107920,,Raining Stones (1993),,,,,,,,,,,,,,,,,,,"$89,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$607,,,,,,,,,,,,,,,
0190138,,The Whole Nine Yards (2000),,,,,,,,,,,,,,,,,,,,,,,,,,"$302,787",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
