Movie Name,France,Spain,Argentina,United Kingdom,Portugal,New Zealand,Taiwan,Domestic,Netherlands,Türkiye,Poland,Czech Republic,Australia,Italy,Germany,Switzerland,Greece,Belgium,South Africa,Austria,Sweden,Israel,Norway,Denmark,Middle East/UAE,United Arab Emirates,Hungary,Finland,Slovenia,Romania,Croatia,Iceland,Bulgaria,Serbia and Montenegro,Kenya,Cyprus,Lebanon,Latvia,Egypt,Lithuania,Japan,Philippines,Indonesia,Singapore,South Korea,Malaysia,Hong Kong,Mexico,Brazil,Central America+,Venezuela,Colombia,Ecuador,Russia/CIS,Thailand,China,Chile,Russia,Czech Republic/Slovakia,Ukraine,Estonia,Peru,India,Kuwait,Slovakia,Uruguay,Puerto Rico,Lesser Antilles,Bolivia,Dominican Republic,Jamaica,Qatar,Bahrain,East Africa,Jordan,Nigeria,Oman,Baltic States,Central America,Middle East Other,Russia/CIS/Ukraine,West Indies
Shall We Dance (2004),"$4,266,137","$7,782,475","$1,251,386","$7,592,444","$1,069,388","$923,280","$150,350",,"$1,333,110","$829,174","$1,639,806","$274,013","$7,488,729","$14,186,715","$13,975,701","$3,096,197","$1,458,900","$1,360,160","$2,200,000","$2,154,245","$1,762,774","$1,118,762","$437,207","$1,053,478",,"$172,470","$418,603","$250,618","$182,943",,"$107,007","$106,976","$55,803",,,,"$286,277",,"$116,284",,"$19,578,973","$238,195",,"$399,449","$608,083","$67,579","$549,539","$2,847,267","$2,882,717",,,,,"$1,279,379","$288,200",,"$249,727",,,,,"$200,293","$42,135",,"$71,848","$82,900",,,"$17,794",,,,,,,,,,,,,
Team America: World Police (2004),"$305,520","$572,961",,"$9,396,077","$26,641","$497,079",,,"$161,552",,,"$35,499","$3,772,921","$6,244","$1,219,679",,,"$36,292","$214,570",,"$79,896",,"$116,169","$135,746",,,"$18,877","$35,545",,,"$16,093","$48,718",,,,,,"$9,876",,"$7,334","$413,417",,,"$43,894",,,,"$144,999",,,,,,"$582,237",,,,,"$40,439","$61,714","$11,268",,,,"$3,721",,,,,,,,,,,,,,,,,
Tess (1979),"$7,917",,,,,,,"$20,093,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Decline of the American Empire (1986),"$13,086",,,,,,,"$1,902,706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Final Cut (2004),"$411,602","$586,304","$210,406",,,,"$65,773",,,,,,"$33,216","$1,164,742",,,,,,,,,,,,"$40,893",,,,,,,"$6,498",,,,,,"$5,316",,,,,,,,"$146,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surviving Christmas (2004),"$21,396","$40,144",,"$408,992",,,,,,,,,,,"$7,237",,,"$4,040","$88,114",,"$5,048",,,"$5,746","$39,815","$27,718",,,,,,"$42,147",,,,,"$15,631",,,,,"$50,048",,,"$223,636",,,"$1,342,633","$19,271","$61,971",,,,"$1,058,944",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grudge (2004),"$5,314,718","$3,954,934","$607,509","$14,414,748","$364,972","$739,169","$139,541",,"$1,828,949","$1,541,690","$689,626","$56,944","$4,644,328","$6,247,228","$3,372,618","$540,267","$780,250","$1,104,582",,"$859,516","$1,472,960",,"$2,126,776","$979,675",,"$461,255","$392,644","$766,057",,"$32,024",,"$120,520","$21,772","$2,899",,,,,"$86,454","$34,646","$2,755,496",,,,"$3,392,358",,"$107,007","$5,914,047","$4,079,177","$87,878",,,,"$1,304,424","$204,900",,"$409,883",,,,,,,,"$28,065",,,,,,,,,,,,,,,,,
Alfie (2004),"$438,383","$1,009,028","$111,707","$8,304,683","$170,538","$232,233","$166,435",,"$148,678",,,,"$1,733,632","$941,988","$1,164,193","$396,653","$812,184","$357,143","$226,410","$284,422","$76,409","$264,994","$112,020","$181,131","$143,381","$74,318","$177,688","$89,467","$94,506","$78,492",,"$81,391",,,,"$27,719","$26,999","$70,569",,"$32,091","$273,625","$33,241",,"$147,291","$576,015",,,"$957,238","$214,879",,,,,"$449,186",,,,,,"$219,288","$54,630",,,,,,,,,,,,,,,,,,,,,
Sideways (2004),"$2,551,671","$5,529,605","$477,990","$7,092,139","$212,774","$467,336","$44,098",,"$570,873","$96,572","$269,748","$85,292","$3,586,599","$2,999,173","$3,312,547","$449,423","$1,001,900","$308,265","$176,855","$415,672","$942,741","$836,261","$550,737","$427,690",,"$26,153","$25,232","$644,935","$36,415","$32,020","$29,510","$102,014","$5,915","$12,066",,,"$11,532","$26,138","$10,174","$16,270","$958,264","$39,477",,"$67,041","$149,750",,"$72,278","$591,322","$779,943","$48,603","$118,285","$124,321","$33,400",,"$25,346",,"$244,835","$92,735","$109,156","$6,366","$48,995","$63,178",,,"$8,338","$85,205","$61,692","$8,620","$9,798","$14,889","$4,940",,,,,,,,,,,
The Machinist (2004),"$832,433","$2,187,884",,"$747,979","$73,299","$138,337",,,"$103,370",,,,"$230,596","$1,739,014","$362,072",,"$7,200","$41,077",,"$81,485","$74,187",,,"$53,805",,"$60,174",,"$18,720",,"$8,010",,,,,,,,,,,,,,"$36,947",,,,"$155,687",,,,,,"$6,718","$64,400",,,,,,,,,,,,,,,,,,,,,,,,,,,
Vera Drake (2004),"$867,652","$463,557","$154,640","$4,443,255","$22,090","$127,148","$22,409",,"$148,866",,,,"$577,919","$1,520,972","$121,802","$33,981","$30,750","$122,536",,"$22,873","$159,903",,"$248,964","$124,846",,,,"$13,248",,"$17,636",,"$15,304",,"$14,037",,,,,,,,,,,,,,"$145,121",,,,,,,,,"$69,663",,,,,,,,"$3,414",,,,,,,,,,,,,,,,,
Saw (2004),"$3,173,481","$2,738,218","$208,607","$12,632,235","$213,304","$260,112","$60,958","$56,000,369","$259,815","$239,067","$272,675","$54,335","$3,378,214","$6,437,627","$4,508,633","$284,808","$792,000","$459,105",,"$275,595","$297,089",,"$67,047","$72,504",,"$232,365","$74,476","$135,350",,"$24,850",,"$64,683","$61,380","$1,507",,,,,"$13,487",,"$500,000",,,,"$1,353,150",,"$129,654","$902,892","$1,116,900",,,,,"$252,621","$113,600",,"$106,599",,,,,,,,"$19,194",,,,,,,,,,,,,,,,,
Ray (2004),"$11,163,473","$1,414,633","$79,818","$4,229,297","$144,514","$963,223","$61,229",,"$641,181","$367,854","$137,050","$54,180","$3,210,179","$2,214,765","$7,010,339","$3,419,350","$104,065","$1,093,903","$212,058","$956,658","$341,931","$511,553","$136,971","$449,335","$112,713","$31,273","$143,382","$98,959","$78,308","$26,725","$56,290","$46,836","$22,580","$17,558","$28,941","$28,854","$31,197","$34,569","$1,860","$25,394","$4,196,192","$22,341",,"$74,807","$1,509,850",,"$86,780","$282,679","$1,161,509","$133,811","$69,780","$129,743","$14,579","$96,159","$31,856",,"$52,566","$69,416","$114,024","$9,104","$21,154","$33,246","$58,635",,"$13,046",,,,,,,,,,,,,,,,,
