Movie Name,New Zealand,Australia,Portugal,United Kingdom,Domestic,South Korea,Brazil,Russia/CIS,Taiwan,Spain,Germany,Netherlands,Greece,Poland,United Arab Emirates,Argentina,France,Chile,Italy,Norway,Czech Republic,Mexico,Switzerland,South Africa,Austria,Israel,Sweden,Hungary,Iceland,Denmark,Türkiye,Finland,Lebanon,Cyprus,Bulgaria,Kenya,Romania,Serbia and Montenegro,Central America+,Singapore,Hong Kong,Egypt,Japan,Thailand,Russia,Belgium,Lithuania,Latvia,Croatia,Slovakia,Slovenia,Jordan,Bahrain,Estonia,East Africa,Oman,Malaysia,India,Philippines,Venezuela,Colombia,Peru,Ecuador,Uruguay,Jamaica,Lesser Antilles,Indonesia,Czech Republic/Slovakia,Palestine,Ukraine,Lebanon/United Arab Emirates,Baltic States,Puerto Rico,West Indies,Bolivia,China,Middle East Other,Middle East/UAE,Middle East,Kuwait,Qatar,Nigeria,Dominican Republic,Bangladesh,Malta,Central America,Vietnam,Russia/CIS/Ukraine,Curaçao,Aruba
Win a Date with Tad Hamilton! (2004),"$234,187","$1,400,178","$123,153","$952,500",,"$347,829",,"$252,162",,"$242,420",$495,"$6,687",,,,,"$13,290",,"$9,855","$2,989",,,,"$431,509",,,"$8,982",,"$2,865",,,,"$8,317","$8,682",,,,,,"$92,459",,"$4,042",,,"$241,237","$2,788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$54,846",,,,,,,,,,,,
Touching the Void (2003),"$482,919","$2,156,790","$19,721","$4,616,440","$4,593,598",,,,"$9,596","$35,431","$481,629","$125,744","$164,900",,,,"$496,122","$9,397","$71,985",,"$13,526","$62,414","$189,214","$36,611","$79,086",,,,"$67,036",,,,,,,,,,,,"$64,005",,,,,"$87,256",,,,"$25,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Perfect Score (2004),"$45,211",,,"$86,367",,,,,,"$9,322","$203,146",,,,"$37,382",,,,"$5,919",,,,,"$36,395",,,,,,,,,"$3,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$79,635",,,,,,,,,,,,
You Got Served (2004),"$457,921","$901,845","$96,879","$366,119",,,,,,"$2,988,731","$1,513,078",,,,,,"$2,250,694",,"$1,069,049",,,"$120,772","$131,411","$161,029","$83,022",,"$53,799",,"$18,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thirteen (2003),"$14,417","$163,839",,"$432,569",,,,,,"$106,507","$354,003",,,,,"$39,380","$373,778",,"$189,464","$172,109",,"$571,540",,,,,,,,,"$13,949","$87,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,929",,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 First Dates (2004),"$1,534,142","$11,015,290","$1,103,914","$14,191,335",,"$1,678,892","$2,963,888","$1,989,382",,"$4,003,082","$9,514,637","$746,700","$563,022","$234,957","$274,941","$325,862","$789,142","$162,714","$1,724,477","$528,249","$166,343","$5,208,120","$1,565,753","$1,199,669","$1,908,143","$466,726","$943,493","$761,473","$154,217","$616,522","$698,181","$132,121","$127,609",,"$57,965",,"$71,169","$38,438","$363,220","$728,848","$133,042","$89,502","$443,335","$1,739,678","$2,024,825","$567,817","$34,382","$53,533","$9,330","$23,057","$101,147","$53,991","$91,365","$31,747","$56,957","$20,631","$273,681","$256,083","$577,623","$353,003","$235,049","$337,725","$136,499","$55,177",,,"$320,890",,,,,,,,"$23,842","$665,860",,,,"$160,013","$54,718","$10,213","$107,506","$18,003",,,,,,
Monsieur Ibrahim (2003),"$33,806","$6,934",,,,,,,"$61,125","$1,171,655","$3,564,674",,"$40,440",,,,"$1,668,947",,"$2,231,530","$44,566",,"$64,195",,,"$651,054",,,,,,,,,,,,,,,,,,,,,,,,,"$2,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanishing Point (1971),$655,,,,"$12,442,673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Against the Ropes (2004),"$12,356","$47,596",,"$79,781",,,,,,"$89,844","$82,859","$18,401",,,"$30,902",,"$1,725",,"$23,973","$11,418",,"$170,633",,"$56,459",,,"$18,475",,,"$9,714",,,"$4,646",,,,,,"$1,852",,,,,,,"$16,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,242",,,,,,,,,,,,
Confessions of a Teenage Drama Queen (2004),"$100,186","$1,204,848",,"$792,333",,,,,,"$117,636","$462,694","$392,907",,,"$29,586",,,,"$5,900",,,"$718,219",,,"$34,736",,,,"$31,459",,,,"$30,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Passion of the Christ (2004),"$1,872,638","$11,712,188","$2,695,256","$20,441,388","$370,782,930","$13,087,756","$15,393,247","$3,537,143","$1,765,776","$13,667,068","$10,242,870","$2,338,837","$3,263,613","$11,667,664","$1,343,400","$6,060,171","$11,838,182","$3,059,851","$23,919,061","$1,685,687","$715,420","$18,880,455","$2,208,176","$3,971,587","$1,782,315",,"$2,271,277","$962,958","$214,759","$1,497,649","$2,263,240","$820,112","$1,195,528","$380,668","$145,217",,"$251,108","$249,682","$3,940,373","$1,533,150","$2,014,151","$245,049","$10,680,600","$546,072","$1,544,031","$1,297,856","$57,933","$87,728","$854,052","$200,238",,,,"$40,836",,,,"$197,966","$2,088,322","$2,370,143","$3,831,470","$1,807,376","$693,727","$266,668","$551,529","$442,653",,,"$2,100,000",,,,,,"$454,540","$1,600,000",,,"$3,393,428",,,,"$445,331",,"$525,041",,,,,
Twisted (2004),"$81,031","$789,328","$299,980","$488,602",,"$752,502","$317,011","$447,220","$15,212","$2,789,740","$518,659","$270,098","$201,680","$204,532","$134,637",,"$1,965,160",,"$3,680,495",,,"$694,079",,"$316,514",,,,"$200,862","$38,865",,"$91,567",,"$42,528",,,,,"$12,045","$31,144",,,"$13,078","$476,273",,,"$386,674",,,,,,,,,,,,,,"$166,370","$66,343","$122,872","$31,113",,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Bye Lenin! (2003),"$154,338","$884,367",,"$2,015,876",,,,"$108,947",,"$2,913,831","$41,451,777","$1,878,083","$751,900","$579,022",,"$421,361","$8,649,777","$54,008","$1,741,723","$188,898","$281,433","$190,593","$2,289,023",,"$956,190","$170,000","$609,771","$88,807","$51,637","$723,550","$41,823","$223,952",,,"$5,106",,"$18,846","$2,636",,,"$151,379",,,,,"$441,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo (2004),"$258,732","$1,120,659","$590,800","$1,756,048",,,"$700,000","$1,254,318",,"$7,564,196","$4,210,412","$768,763","$362,770","$143,984","$159,300","$508,156","$1,643,224","$98,534","$2,430,913","$422,204","$55,439","$1,986,326","$863,858","$369,584","$469,366",,"$449,865","$141,775","$77,760","$478,129","$304,926","$42,513","$58,848",,"$38,051",,"$43,282",,,,"$129,923","$12,527","$4,799,257","$412,900",,"$758,551",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starsky & Hutch (2004),"$1,071,743","$10,278,890","$411,226","$22,714,898",,,"$100,000","$1,923,615",,"$3,244,422","$7,347,101","$1,372,122","$289,350","$213,260","$254,255","$592,954","$9,907,415","$82,749","$7,859,874","$925,112","$101,883","$1,627,301","$1,623,119","$1,059,656","$707,002","$206,253","$1,054,960","$168,315","$163,054","$530,124","$85,787","$308,542","$69,804",,"$30,131",,"$43,395",,,"$237,664","$173,138","$8,693",,"$144,700","$762,419","$1,220,003",,,,,,,,,,,"$96,168",,,,,,,,,,"$81,170",,,,,,"$270,000",,,,,,,,,,,,,,,,,
Agent Cody Banks 2: Destination London (2004),"$303,910","$1,761,306",,"$1,865,270",,,,"$269,778",,"$26,148","$25,900",,,,"$18,158",,"$4,527",,,"$68,666",,,,"$233,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Girl Next Door (2004),"$188,347","$722,226","$145,350","$3,076,553",,"$34,488","$469,628","$771,990",,"$3,341,017","$234,351",,"$235,745","$43,368",,,"$863,405","$186,829","$571,201",,,"$1,356,575",,"$334,281",,"$116,993",,"$152,128","$71,658",,"$173,868",,,,"$76,102",,"$15,195",,,,,,,,,"$727,732","$19,991","$25,101",,"$17,221","$100,797",,,"$50,743",,,,,,"$349,287","$40,384","$184,859","$6,364","$11,618","$8,595","$18,690",,"$46,787",,,,,"$135,645",,,,,,,,,,"$28,443",,,"$469,628",,,,
Secret Window (2004),"$540,723","$3,050,588","$377,727","$4,206,266",,,"$673,721","$1,085,536","$338,471","$3,720,315","$4,096,887","$723,825","$738,038","$306,205","$156,722","$252,462","$2,985,945","$102,881","$4,552,006","$397,034","$54,877","$2,390,461","$834,612","$340,141","$618,667","$196,086","$426,141","$205,348","$48,076","$326,042","$630,650","$101,427","$25,618",,"$45,137",,"$31,900","$36,220","$106,212","$38,815",,"$28,608","$6,541,824","$15,224","$1,188,251","$766,953","$16,032","$21,866","$29,459","$14,200","$37,197","$16,501","$32,396","$29,486","$21,993","$10,960","$233,507","$16,292",,"$182,872","$141,598","$64,839",,"$19,123","$27,000","$27,000",,,,,,,,,"$5,132",,,,,"$159,997","$36,486",,"$55,999",,,,,,,
Wilbur Wants to Kill Himself (2002),"$47,551","$24,596","$21,789","$146,681",,,,,"$24,644","$568,185","$531,297","$30,324",,,,"$21,207",,,,"$77,760","$2,429",,,,"$127,907",,,"$9,905",,,,,,,"$3,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
