Movie Name,New Zealand,Australia,Portugal,United Kingdom,Domestic,South Korea,Brazil,Russia/CIS,Taiwan,Spain,Germany,Netherlands,Greece,Poland,United Arab Emirates,Argentina,France,Chile,Italy,Norway,Czech Republic,Mexico,Switzerland,South Africa,Austria,Israel,Sweden,Hungary,Iceland,Denmark,Türkiye,Finland,Lebanon,Cyprus,Bulgaria,Kenya,Romania,Serbia and Montenegro,Central America+,Singapore,Hong Kong,Egypt,Japan,Thailand,Russia,Belgium,Lithuania,Latvia,Croatia,Slovakia,Slovenia,Jordan,Bahrain,Estonia,East Africa,Oman,Malaysia,India,Philippines,Venezuela,Colombia,Peru,Ecuador,Uruguay,Jamaica,Lesser Antilles,Indonesia,Czech Republic/Slovakia,Palestine,Ukraine,Lebanon/United Arab Emirates,Baltic States,Puerto Rico,West Indies,Bolivia,China,Middle East Other,Middle East/UAE,Middle East,Kuwait,Qatar,Nigeria,Dominican Republic,Bangladesh,Malta,Central America,Vietnam,Russia/CIS/Ukraine,Curaçao,Aruba
Man on Fire (2004),"$302,014","$4,040,305","$475,603","$4,305,241",,"$2,518,929","$1,428,857","$1,180,114","$624,482","$5,757,673","$2,508,824","$648,443","$312,226","$417,869","$281,484","$454,671","$3,218,325","$81,453","$2,031,086","$460,344","$94,566","$3,967,915","$473,769","$658,618","$290,100","$155,653","$806,295","$179,444","$67,392","$261,731","$505,116","$111,041","$79,901",,"$105,531",,"$55,522","$31,243","$270,846","$123,032","$59,743","$96,241","$7,583,265","$175,296","$1,146,790","$1,743,985","$26,857","$16,762","$43,981",,"$84,490",,,"$36,023",,,"$55,751","$72,804","$230,323","$338,898","$247,389","$145,830","$84,575","$23,993","$140,960","$107,357","$114,697","$128,087",,,,,"$854,073",,"$16,318",,,,,,,,"$62,932",,,,,,,
Mean Girls (2004),"$506,567","$6,016,030","$556,913","$9,930,666","$86,058,055","$645,466","$453,129","$1,192,705","$193,124","$2,049,209","$4,948,156","$2,433,150","$172,910","$117,033","$132,663","$7,015","$2,043,508","$18,211","$1,668,360","$299,571","$20,966","$2,195,348","$661,654","$737,754","$764,532","$352,723","$285,484","$167,454","$72,470","$264,896","$225,551","$178,048","$86,662","$94,911",,"$16,477","$56,688","$10,648","$299,571","$459,395",,"$35,062","$18,961","$270,438","$1,152,048","$821,531","$9,051","$34,083","$57,071","$22,696","$105,111",,,"$29,072",,,"$161,406","$58,576","$257,582","$116,211","$27,761","$89,614","$32,062",,,,"$102,649","$59,144",,"$115,371",,,,,,,,"$157,104",,,,,,,,,,,,
New York Minute (2004),"$215,562","$2,106,513",,"$629,762",,,"$200,000","$610,635",,,"$1,555,810","$13,282",,,"$52,696",,"$172,093",,"$15,297",,,"$899,133",,,"$624,196",,"$38,003",,"$58,658",,,,,,,,,,,,,,,,,"$26,745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Helsing (2004),"$1,250,020","$9,516,484","$842,426","$27,604,630",,,"$3,246,961","$8,170,000","$4,062,590","$11,876,051","$17,601,972","$2,273,572","$1,250,467","$1,003,818","$621,341","$710,769","$11,208,100","$699,399","$9,220,432","$1,037,122","$593,235","$8,163,965","$1,995,665","$988,350","$2,386,758","$572,706","$1,334,228","$373,223","$227,999","$1,313,100","$1,463,617","$636,788","$82,630","$99,272","$89,430","$39,530","$141,137","$23,509","$1,111,265","$1,566,106","$1,964,051","$127,146","$24,900,000","$1,993,784","$3,000,000","$2,189,507",,,,,,,,,,,"$1,196,834","$1,448,204","$500,000","$618,963","$500,208","$490,704","$161,541",,,,"$878,032",,,,,,,,,,,,,,,,,,,,,,,
Troy (2004),"$2,285,955","$16,409,921","$1,702,392","$32,693,292",,"$20,400,000","$9,200,000","$12,302,902","$2,600,000","$24,349,581","$35,825,017","$6,420,987","$7,271,112","$4,860,071","$1,327,479","$3,682,751","$17,767,821","$1,954,427","$18,919,343","$3,142,935","$2,079,369","$15,060,776","$5,357,011","$2,521,826","$4,854,037",,"$5,002,059","$2,226,780","$304,219","$5,003,119","$6,779,897","$1,585,514","$501,773",,"$724,033",,"$356,658","$668,991",,"$722,000","$2,230,171","$547,915","$37,961,620","$2,114,900","$9,700,000","$6,141,113",,,,,,,,,,,"$308,000",,,"$1,200,000",,,,,,,"$301,000",,,,,,,,,"$4,100,000",,,,,,,,,,,,,,
Coffee and Cigarettes (2003),"$90,128","$295,526","$37,055","$621,513","$2,198,924","$51,589",,"$205,933",,"$182,448","$1,656,473","$31,396","$123,600",,,,"$693,519","$8,440","$663,353","$123,319","$77,153","$40,198","$456,098",,"$207,143",,"$128,410",,"$11,581","$29,736",,"$19,688",,,,,,,,,,,,,,"$28,821","$18,494",,,"$7,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enter the Dragon (1973),"$5,547","$1,984",,"$46,207","$25,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You Only Live Twice (1967),$332,$960,,"$9,847","$43,084,787",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wages of Fear (1953),"$1,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierrot the Fool (1965),$192,,"$2,497","$47,138","$87,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Warriors (1979),$432,,,,"$22,490,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cypher (2002),"$9,180","$116,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bring Me the Head of Alfredo Garcia (1974),$196,,,"$18,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Tale of Two Sisters (2003),$578,,,,"$72,541","$17,048",,,,,,,,,,,"$186,693",,"$552,375",,,,,,,,,,,,,,,,,,,,,,"$233,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spring, Summer, Fall, Winter... and Spring (2003)","$70,254","$213,019","$13,006","$400,249","$2,380,788",,,"$131,873",,"$466,657","$1,311,338","$247,467","$262,500",,,"$288,818","$1,167,071","$105,311","$682,167","$159,130",,"$126,243","$553,667",,"$101,755",,,,,"$80,146",,"$25,743",,,,,,,,,,,,,,"$139,651",,,,"$18,061",,,,,,,,,,,$158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thief (1997),$96,,,,"$1,126,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seducing Doctor Lewis (2003),"$253,394",,,,"$9,844,180",,,,,"$73,877","$422,169",,,,,,"$3,149,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Rain (1984),$461,$788,$854,,"$70,261,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Narcissus (1947),$475,,,"$115,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrek 2 (2004),"$6,823,586","$35,456,463","$4,132,274","$88,273,679","$441,226,247","$18,123,377","$9,457,271","$5,647,027","$4,001,886","$34,952,797","$33,988,792","$7,387,824","$1,350,150","$13,259,696","$553,254","$6,755,894","$50,966,511","$3,896,476","$27,503,221","$6,008,940","$2,786,926","$27,833,377","$6,310,445","$4,771,090","$4,894,964","$3,771,330","$3,997,784","$2,969,580","$490,321","$5,078,505","$2,232,698","$1,759,534","$189,094","$135,552","$55,626","$50,900","$119,613","$60,300","$4,594,118","$1,791,482","$2,035,432","$45,672","$22,435,819","$906,702","$5,221,594","$6,927,658","$329,039","$220,372","$367,660",,"$250,713",,,"$249,909",,,"$693,364","$333,164","$1,192,656","$2,680,021","$2,981,211","$1,283,680","$449,361",,,,"$452,305","$2,786,926",,"$652,328",,,,,,"$1,498,663",,"$1,107,917",,,,,,,,,,,,
The Day After Tomorrow (2004),"$2,136,465","$14,214,949","$1,944,365","$46,319,266",,"$16,099,393","$7,082,318","$9,849,595","$11,459,528","$17,374,485","$31,370,281","$5,503,626","$3,407,795","$3,205,370","$1,559,459","$3,515,848","$17,860,809","$2,337,251","$13,504,850","$3,321,419","$1,028,857","$19,014,036","$4,441,152","$2,537,441","$3,850,199","$1,516,383","$4,726,733","$1,894,899","$355,595","$2,984,074","$2,667,049","$1,997,938","$329,839",,"$407,879",,"$173,752","$257,983","$2,337,251","$1,927,897","$5,447,484","$239,679","$47,305,117","$3,009,050","$9,970,906","$4,901,536","$215,270","$215,569","$296,636",,"$355,189",,,"$290,026",,,"$1,991,700","$2,231,758","$2,478,794","$2,207,657","$1,660,866","$1,534,816","$630,699","$211,073","$123,633","$279,921","$1,276,023",,,"$1,209,191",,,"$2,985,589",,"$198,167","$9,839,826",,,,,,,"$276,568",,,,,,,
Raising Helen (2004),"$359,679","$3,461,693","$101,448","$894,222",,,,"$1,002,306",,"$497,678","$2,073,165","$543,833","$72,950","$32,995","$62,305",,"$94,668","$15,150","$696,716","$118,009","$23,736","$1,011,926",,"$400,443","$133,810",,"$248,181",,"$54,406","$78,332",,"$20,186","$43,047",,,,"$17,276",,,,,"$5,444",,,,,,,,,,,,,,,,,,,,,,,,,"$60,318",,,,,,,,,,,,,,,,,,,,,,,
Soul Plane (2004),"$103,908","$31,339",,"$188,308",,,,,,"$16,694","$155,278",,,,"$108,708",,$522,,,,,,,,,,,,,,,,"$23,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mother (2003),"$92,281","$133,933",,"$226,579",,,,,,"$195,124","$173,978","$31,957",,,,,,,"$221,416","$10,858","$5,030",,,,"$16,850",,,,,,,"$41,413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saved! (2004),"$15,113","$225,685","$14,189","$285,521",,,,,,"$214,170","$93,019",,,,,"$10,448","$52,554","$16,382","$21,510","$32,384",,"$337,461",,,,,,,"$1,431",,,"$11,201",,,,,,,,,"$3,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Prisoner of Azkaban (2004),"$3,814,528","$23,194,733","$2,025,293","$58,324,403","$250,105,651","$10,435,075","$6,900,000","$3,546,269","$5,741,559","$19,996,675","$48,684,339","$18,887,820","$3,063,600","$3,901,449","$1,026,143","$2,625,755","$46,969,203","$1,701,690","$19,460,874","$6,400,119","$2,199,112","$14,683,454","$6,863,760","$2,501,299","$5,051,042","$530,000","$8,311,449","$2,102,077","$499,141","$6,712,119","$2,722,888","$3,148,777","$186,180",,"$207,460",,"$223,948","$196,119",,,"$4,339,688","$175,794","$121,600,000","$3,950,100","$7,876,076","$7,529,113",,,,"$1,886",,,,,,,,"$2,300,000",,"$321,000","$569,000",,,,,,"$515,000",,,"$10,080",,,,,"$80,000","$2,500,000",,,,,,,,,,,"$77,334",,,
The Chronicles of Riddick (2004),"$539,605","$2,679,001","$1,011,508","$5,622,927",,"$1,400,000","$561,887","$3,310,000","$368,049","$5,122,610","$4,985,796","$574,866","$200,563","$172,347","$398,732","$198,405","$5,275,829","$84,651","$3,169,609","$491,629","$133,370","$1,451,271","$622,262","$606,970","$808,727","$145,188","$162,422","$349,502","$99,298","$396,478","$673,240","$154,047","$22,668","$34,257","$63,638","$12,320","$81,749",,"$305,733","$416,916","$215,299","$18,485","$11,797,032","$739,925",,"$868,634",,,,,,,,,,,"$394,479","$55,265","$594,866","$212,181","$75,546","$61,106","$21,832",,,,"$229,744","$147,058",,,,,,,,,,,,,,,,,,,,,,
Garfield (2004),"$1,557,158","$7,460,166","$1,401,190","$17,407,787",,"$1,646,637","$6,478,617","$1,977,372","$1,090,203","$10,146,181","$8,897,147","$1,590,726","$1,361,693","$2,219,234","$368,804","$1,529,752","$7,971,284","$1,008,962","$5,481,893","$1,759,640","$791,392","$7,724,447","$2,587,330","$1,553,028","$2,149,420","$837,884","$2,405,248","$1,422,763","$282,730","$2,277,092","$1,326,866","$1,026,472","$154,810",,"$136,845",,"$76,304","$107,145","$1,131,499","$679,271","$1,096,081","$53,786","$1,404,352","$703,201","$2,040,346","$2,902,270","$103,435","$119,847","$137,199",,"$336,722",,,"$119,858",,,"$224,389","$192,796","$381,973","$1,048,204","$1,135,054","$805,849","$299,602","$177,832","$36,517","$91,670","$157,603","$980,759",,"$1,245,045",,,"$1,180,452",,"$74,053","$2,600,723",,,,,,,"$128,218",,,,,,,
The Stepford Wives (2004),"$513,364","$4,418,044","$689,749","$7,784,785","$59,484,742","$1,132,197","$798,421","$1,825,376","$406,698","$3,684,237","$3,691,372","$393,671","$933,069","$377,975","$66,197","$174,162","$2,257,683","$67,465","$3,036,950","$364,328","$39,048","$1,776,809","$759,083","$279,822","$912,710","$390,997","$295,851","$188,806","$54,583","$288,053","$618,098","$237,371","$40,499","$54,217","$17,516","$13,303","$77,362","$15,061","$152,648","$236,302","$77,766","$16,103","$779,951","$128,755","$1,646,400","$779,412","$31,647","$35,462","$62,228",,"$47,161",,,"$34,457",,,"$52,563",,"$200,495","$104,729","$102,973","$108,878","$51,190",,,,"$74,956","$168,591",,"$197,789",,,,,,,,"$119,997",,,,,,,,,,,,
Napoleon Dynamite (2004),"$10,382","$386,604",,"$1,091,140","$44,540,956",,,,,"$6,003","$20,790",,,,,,,,,,,,,"$11,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Heiress (1949),$158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsara (2001),"$92,963","$220,008",,,,,,,"$30,158",,"$318,342","$243,497","$30,400",,,,"$1,191,882",,"$957,003",,"$2,929",,,,"$114,914",,,,,,,,,,,,,,,,"$46,271",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodgeball: A True Underdog Story (2004),"$953,244","$6,512,128","$234,700","$18,111,160",,"$56,822","$604,029","$1,165,377","$722,175","$6,126,567","$3,994,436","$342,137","$306,157","$62,924","$174,602",,"$1,958,250","$13,263","$1,659,661","$601,348","$35,698","$1,345,365","$447,828","$597,316","$619,211","$197,436","$625,607","$211,437","$174,060","$501,204","$99,049","$353,350","$46,286",,"$49,001",,"$29,704","$23,070","$170,062","$590,487","$185,201",,"$579,396","$171,624","$1,166,121","$713,955","$16,208","$25,486","$29,719",,"$81,858",,,"$21,045",,,"$122,447","$51,283","$237,986","$271,527","$119,631","$79,128","$91,710",,"$7,467","$36,473","$48,546","$59,991",,,,,"$249,681",,,,,,,,,,"$14,857",,,,,,,
The Terminal (2004),"$608,378","$3,093,176","$1,346,369","$11,911,838","$77,872,883","$7,356,202","$2,775,283","$1,825,820","$2,020,641","$6,448,787","$13,855,431","$1,420,098","$1,299,649","$1,243,695","$330,503","$1,087,743","$7,599,995","$136,005","$9,164,434","$544,942","$276,327","$4,186,727","$3,991,672","$635,412","$1,924,242","$760,007","$1,199,967","$556,450","$104,240","$611,382","$1,280,026","$395,689","$168,404","$91,472","$59,317","$31,162","$112,734","$41,524","$678,928","$724,825","$1,772,278","$54,291","$39,681,262","$743,001",,"$2,065,986","$64,342","$67,830","$73,356",,"$127,633",,,"$99,973",,,"$179,296","$504,719","$517,734","$543,393","$584,240","$261,157","$102,774",,,,"$341,382","$371,664",,"$262,062",,,,,,"$460,000",,"$449,332",,,,,,,,,,,,
Dear Frankie (2004),"$123,746","$102,889","$5,887","$303,430",,,,"$32,454",,"$281,066","$460,782",,,,,"$30,396",,"$52,521","$42,624",,,"$189,449",,,,,,,,,,,,,,,,,,,"$13,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Chicks (2004),"$669,813","$3,569,265","$458,814","$6,464,664",,"$643,835","$2,286,539","$1,338,460","$241,235","$3,379,297","$2,814,400","$2,271,297",,,"$462,692",,"$2,488,476","$80,023","$753,633","$89,788",,"$4,411,313","$367,696","$997,267","$419,144",,,"$107,490","$105,152",,"$53,597","$50,301","$62,247",,"$103,390",,"$82,726",,,"$904,723",,"$30,044",,"$443,630","$1,363,467","$1,388,029","$58,545","$92,330","$29,960",,"$168,372","$52,822","$86,344","$28,416","$45,020","$25,999","$298,644","$11,012","$342,827","$717,765","$269,362","$224,513","$145,066","$23,362",,,,,,,,,,,"$26,319",,,,,"$100,088","$82,976","$43,116",,,,"$493,808",,,,
The Door in the Floor (2004),"$25,704","$378,980","$48,262","$108,227",,,,"$10,859",,"$519,995","$628,326",,"$40,950",,,"$141,198",,"$49,058","$68,428","$62,627","$29,603","$373,481",,,"$78,835",,"$24,044",,"$8,293","$158,162",,"$9,545",,,,,,,,,,,,,,"$39,921",,,"$6,955","$3,735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Notebook (2004),"$626,708","$4,403,485","$421,251","$2,164,771","$81,417,274","$4,238,503","$556,061","$388,157","$426,367","$1,851,380","$1,185,450","$109,591","$162,108","$87,297","$81,321","$160,727","$604,112","$108,472","$305,591","$7,078",,"$2,809,057","$302,583","$552,329","$205,809","$362,289","$214,307",,"$82,776",,,,"$209,989",,,,,"$19,049","$98,320","$129,645","$280,998","$6,574","$11,998,814","$39,238","$376,245","$264,771",,,,,,,,,,,,,"$252,438","$88,573","$141,365","$67,763",,,,,"$165,288",,,"$65,865",,,"$146,820","$37,015","$7,490",,,,,,,,,,,,,,,
Two Brothers (2004),"$62,004","$289,856",,"$2,872,859","$19,176,754","$931,153",,"$90,322",,"$2,208,775","$2,071,491","$209,421",,,"$31,640",,"$21,800,466","$2,277","$976,065","$400,140",,"$486,408","$850,119",,"$505,158",,"$226,722",,"$28,966","$214,122",,"$190,097","$10,807",,,,,"$11,095",,,,,"$5,989,285",,,"$106,110","$18,217","$18,965",,,"$57,788",,,"$16,799",,,,,"$6,082",,,,,,,,,,,,,,,,"$1,958","$915,773",,"$52,115",,,,,,,,,,"$134,091",,
De-Lovely (2004),"$214,423","$1,113,338","$76,038","$824,807",,,"$126,627","$64,082",,"$376,305","$152,856","$58,908","$17,830","$11,393",,"$88,484","$80,865",,"$257,874","$31,423",,"$71,390","$69,965","$197,181",,"$45,828","$24,716",,,"$7,332",,"$39,347","$10,149",,,,"$7,910","$13,461",,"$35,966","$26,778",,"$942,086",,,"$24,508",,,,,,,,,,,,,,,,,,,"$1,173","$3,579",,,,,,,"$8,165",,,,,,,,,,,,,,,,,
Fahrenheit 9/11 (2004),"$1,094,075","$5,870,458","$508,234","$12,170,145",,"$1,900,000","$1,600,000","$317,781","$52,336","$4,281,166","$7,371,716","$1,914,181","$673,300","$447,594","$534,890","$934,686","$16,056,988","$284,767","$10,804,918","$1,555,190","$82,698","$2,193,914","$4,084,465","$573,626","$1,757,276",,"$1,371,337","$106,328","$99,006","$1,517,194","$237,561","$770,297","$79,085",,"$10,221",,"$29,547","$43,785",,,"$170,135","$99,888","$14,962,627",,,"$2,495,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider-Man 2 (2004),"$2,863,889","$17,818,025","$2,950,491","$49,702,580",,"$13,037,416","$16,082,948","$8,950,760","$8,158,504","$18,828,209","$24,265,440","$2,988,820","$3,499,426","$958,651","$1,301,866","$3,492,232","$40,240,290","$2,023,676","$24,458,623","$4,080,729","$753,241","$20,582,311","$4,157,010","$3,104,811","$3,160,162","$1,348,697","$5,475,353","$876,619","$431,982","$3,875,811","$3,077,044","$1,979,552","$394,733",,"$138,476",,"$177,567","$173,271","$2,773,653","$3,215,114","$4,171,311","$259,703","$59,587,229","$4,351,194","$8,925,530","$3,241,725","$94,557","$107,578","$2,223,027","$149,840","$195,669","$181,384","$286,073","$113,144","$183,959","$71,939","$3,115,007","$6,566,330","$4,044,251","$1,387,619","$2,355,000","$1,407,776","$719,858","$257,052","$544,933",,"$2,327,389",,,,,,,,"$233,338","$6,102,882",,,,"$53,003","$139,999","$78,488","$358,136",,,,,,"$84,723","$73,000"
Before Sunset (2004),$38,"$704,568","$229,060","$1,708,271","$5,820,649","$797,788","$44,700",,"$103,349","$996,250","$1,621,015","$101,206","$403,550",,"$33,207","$568,003","$154,662","$238,779","$174,333","$167,492","$20,690","$363,713","$525,957",,"$394,747",,"$60,883",,"$10,281","$262,462",,"$219,264",,,,,,,,,"$70,742",,,,,,,,,,,,,,,,,,"$54,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Clearing (2004),"$21,306","$61,504","$39,266",,,"$3,271","$192,345",,,"$3,310,979","$390,730","$29,710","$136,948",,,"$160,478","$266,694","$18,366","$248,017",,,"$1,060,106",,"$52,185",,,,,,,"$86,969",,"$5,831",,,,"$13,418",,,,,,,,,"$96,430",,,,,,,,,,,,,,,"$67,296","$46,853","$21,723","$10,587","$9,927","$9,774",,,,,,,"$40,937",,,,,,"$20,813",,,,,,,"$50,467",,,,
King Arthur (2004),"$925,144","$6,597,737","$1,173,226","$12,848,085",,,"$3,200,000","$5,642,392","$1,116,500","$12,710,589","$11,054,041","$2,596,624",,"$1,240,167","$616,902","$1,393,218","$10,732,153","$494,226","$7,415,146","$1,756,112","$430,766","$5,842,297","$1,757,000","$1,040,939","$1,479,009",,"$3,899,112","$397,292","$145,740","$1,860,104","$1,635,792","$898,070","$260,586",,"$162,230",,"$137,853","$29,342",,,"$512,018","$108,379","$16,783,990","$1,175,500",,"$2,399,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$869,000",,,,,,,,,,,,,,
Anchorman: The Legend of Ron Burgundy (2004),"$182,573","$1,757,509",,"$2,974,968","$85,288,303",,"$46,232","$36,349",,"$10,751","$10,947",,,,"$47,111",,"$20,819",,,"$23,027",,"$82,017",,"$39,964",,,"$24,220",,"$90,627","$9,780",,"$12,793","$3,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,689",,,,,,,,,,,,
Sleepover (2004),"$55,418","$18,091",,"$242,827",,,,,,,"$110,461",,,,,,,,,,,"$236,882",,"$42,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Cinderella Story (2004),"$441,147","$3,418,229","$34,628","$6,978,479",,,"$200,000","$471,499","$109,374",,"$762,348","$938,066",,,"$34,354","$89,220",,"$88,293","$16,010",,,"$3,563,653",,"$616,697","$410,969",,,,"$78,896",,,,,,,,,,,,,,,"$241,400",,,,,,,,,,,,,,,"$133,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I, Robot (2004)","$1,288,258","$9,406,838","$1,159,756","$32,993,462",,"$8,835,733","$3,050,420","$5,880,344","$5,157,441","$15,813,748","$18,447,757","$2,583,172","$823,194","$889,113","$782,385","$729,731","$15,816,802","$431,666","$5,724,251","$1,417,891","$439,144","$5,921,636","$2,156,863","$1,417,163","$2,555,754","$718,952","$2,391,943","$651,164","$163,818","$1,560,636","$671,518","$504,041","$157,109",,"$251,862",,"$112,771","$62,073","$651,017","$1,216,660","$2,004,980","$113,807","$33,898,636","$1,835,159","$5,990,189","$2,787,033","$53,299","$72,509","$127,130",,"$114,340",,,"$79,334",,,"$673,589","$566,764","$933,318","$499,090","$784,537","$457,825","$215,858","$41,583","$130,053","$195,348","$369,457",,,,,,"$1,684,756",,"$84,266","$1,662,020",,,,,,,"$121,909",,,,,,,
Maria Full of Grace (2004),"$88,579","$569,280",,"$1,302,826",,,,,,"$388,944","$496,553","$110,355",,,,"$203,379","$1,156,272","$113,787","$190,746","$27,286",,"$261,939","$664,508",,"$26,102",,,,"$11,084","$126,510",,,,,,,,"$3,937",,,,,,,,"$176,153",,,"$7,780",,"$6,001",,,,,,,,,"$116,393",,,,"$16,591",,,,,,,,,,,,,,,,,,,,,,,,,,
The Bourne Supremacy (2004),"$1,461,811","$11,273,582","$699,554","$21,582,129","$176,241,941","$3,152,215","$1,678,580","$2,301,918","$2,036,226","$5,844,113","$8,547,991","$2,212,250","$1,277,731","$476,364","$503,704","$503,188","$7,780,278","$128,371","$4,613,537","$1,655,826","$92,248","$2,820,749","$1,696,534","$1,506,842","$1,247,590","$566,369","$1,620,885","$315,391","$201,847","$996,578","$821,953","$564,156","$104,933","$56,460","$74,727","$46,232","$81,565","$38,666","$578,928","$710,249","$699,555","$104,460","$11,505,857","$797,292","$1,660,680","$2,016,359","$47,015","$43,892","$96,379",,"$124,828",,,"$55,304",,,"$221,851","$328,954","$652,277","$279,045","$353,706","$196,181","$69,029",,,,"$371,477",,,"$275,771",,,,,,"$1,809,631",,"$1,011,515",,,,,,,,,,,,
Catwoman (2004),"$313,233","$1,986,194","$345,309","$2,562,405",,,"$1,200,000","$1,987,691","$292,242","$4,059,937","$1,909,686","$580,261","$576,100","$41,072","$283,845","$163,980","$5,203,046","$72,166","$2,319,367","$15,126","$20,917","$2,955,114","$480,875","$680,137","$680,336",,,"$80,931","$81,243","$189,819","$353,865","$19,270","$56,745",,"$83,749",,,"$31,327",,"$234,803","$182,282","$25,936","$3,056,955","$582,900",,"$477,811",,,,,,,,,,,,,"$440,000",,,,,,,,"$202,000",,,,,,"$356,000",,,,,,,,,,,,,,,,,
A Summer Place (1959),,$193,,,,"$21,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Statement (2003),,"$1,313",,,,,,,,"$132,276","$123,979",,,,,,,,,,,"$56,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hebrew Hammer (2003),,"$12,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Company (2003),,"$57,186","$16,631","$75,229","$2,283,914",,,,"$39,186","$139,371","$342,790",,,,,,"$1,007,397",,"$1,349,221",,"$2,810",,,,,,,,,,"$13,327",,,,,,,,,,"$14,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Young Black Stallion (2003),,"$120,718",,"$5,156","$6,751,389",,,,"$6,915",,,,,,,,"$2,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
