Movie Name,South Korea,Italy,China,Malaysia,Hong Kong,Vietnam,Singapore,United Arab Emirates,Oman,New Zealand,Thailand,Philippines,Japan,Russia/CIS,Taiwan,Norway,Peru,Mexico,Argentina,Venezuela,Chile,United Kingdom,France,South Africa,Spain,Australia,Türkiye,Germany,Greece,Poland,Austria,Finland,Netherlands,Czech Republic,Hungary,Domestic,Belgium,Ukraine,Qatar,Romania,Israel,Bahrain,Egypt,Lebanon,Switzerland (German),Nigeria,Bulgaria,Jordan,Portugal,Croatia,Switzerland (French),Kenya,Slovakia,Latvia,Lithuania,Estonia,Serbia and Montenegro,Slovenia,Ghana,Ethiopia,Brazil,Colombia,Ecuador,Bolivia,Uruguay,India,Iceland,Sweden,Denmark
Heist (2015),"$80,262",,"$482,729",,,"$166,142",,"$441,871",,,,"$42,643",,"$570,699","$339,800",,"$238,723","$1,011,787",,,"$180,240",,,"$65,905",,,,,,,,,,,,"$50,136",,"$11,646",,,,,,"$46,596",,,,,,"$18,885",,,,"$6,761","$3,926","$10,051",,,,,,,,,"$8,244",,,,
The Surprise (2015),"$52,966",,,,,,,,,,,,,"$31,329","$166,086",,,"$90,920","$36,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,978",,,,
Clockstoppers (2002),,"$10,479",,,,,,,,,,,,,,,,"$303,955",,,,"$527,837","$170,830","$133,972","$46,362","$122,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confessions of a Dangerous Mind (2002),,"$2,938,123",,,,,,,,"$117,716",,,"$2,699,590",,"$36,676","$80,152",,"$279,161","$261,082",,,"$1,633,162","$1,812,429",,"$717,755","$821,534","$52,007","$689,178","$253,650","$236,344","$121,565","$81,451","$71,698","$49,132","$33,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock the Kasbah (2015),,"$62,865",,,,,"$9,477","$30,420",,"$27,400",,,,"$19,498",,,,"$10,806",,,,"$5,509",,"$7,452","$6,910",,,"$113,228",,"$37,011","$13,245","$3,833",,,,,,,,,,,,,,,,,"$12,827",,,,,"$2,776",,,,,,,"$10,253",,,,,,,,
Ripper (2001),,"$68,207",,,,,,,,,,,,,,,,"$29,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concussion (2015),,"$1,709,943",,,"$165,846",,"$71,632","$639,746","$38,000","$73,439","$166,398",,,,"$270,861",,"$59,442","$4,464,162","$134,593","$53,651","$38,994","$162,499","$732,185","$173,472","$1,732,654","$212,127",,"$665,660",,"$192,464","$134,893",,,,,,"$66,104",,"$121,893","$130,822",,"$98,614","$153,739","$79,627",,"$71,441",,"$44,009","$43,754",,,"$15,974",,"$16,447","$21,974","$8,458",,,"$5,012","$5,865","$333,981","$138,387","$166,413",,"$46,069",,"$7,864",,
Creed (2015),,"$6,041,276",,,"$113,658",,"$329,820","$1,251,418","$6,244","$359,634",,"$194,536","$361,418","$795,358",,"$285,289","$263,768","$2,460,699","$913,820",,"$115,430","$8,246,569","$11,550,543","$248,686","$4,100,666","$5,000,963","$159,067","$3,235,490","$439,060","$376,950","$431,949","$325,265","$871,088","$119,880","$34,626","$109,778,883","$1,119,953","$93,157",,"$170,325","$322,681",,,"$207,266","$716,497",,"$77,533",,"$504,531","$39,203","$423,576","$10,946","$82,591","$14,871","$15,605",,"$34,222","$19,392",,,"$2,553,084","$93,887","$374,379","$120,941","$25,712",,"$42,307","$175,793","$398,012"
The Roses of the Desert (2006),,"$1,896,064",,,,,,,,,,,,,,,,,"$18,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eros (2004),,"$901,668",,,"$94,929",,,,,,,,,,"$29,392",,,,,,,,"$267,632",,,,"$33,207",,"$37,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
