id,name
66934,Steve Adams
1834070,Dino Tosques
39994,Linda Tomassone
59196,Joe Flaherty
99,Amanda Plummer
15234,David Arquette
3196,Juliette Lewis
20212,Dermot Mulroney
33,Gary Sinise
15532,Ruby Dee
18847,Irene Papas
21030,Michael Moriarty
8191,Chris Ellis
8536,Victor Garber
21462,Raquel Welch
504,Tim Robbins
1003,Jean Reno
5274,Patrick Bauchau
29214,Anne Fletcher
21818,Lesley Ann Warren
26485,Jim Belushi
6104,Julian Sands
8535,Gloria Stuart
6213,Jamie Kennedy
28950,Lisa Eichhorn
14343,Rene Russo
8930,John Cleese
2516,Anthony Zerbe
2969,Chris Penn
40481,Luis Guzmán
649,Vernon Dobtcheff
6355,Roy Scheider
6304,Jean-François Stévenin
658,Alfred Molina
14328,Steve Kahan
9126,Edward Fox
6486,Dan Hedaya
1064,Crispin Glover
591,Brion James
1748,William Shatner
3084,Marlon Brando
50656,Yûsuke Kawazu
18613,Kenji Sahara
20624,Mary Wickes
1937,Mickey Rooney
2224,Christian Slater
14108,Joyce Van Patten
2177,Lloyd Bridges
14501,Peter Ustinov
24629,Michel Galabru
53010,John McIntire
8944,Jamie Lee Curtis
92587,Gloria Gifford
19111,John Anderson
21520,Sam Wanamaker
30832,Franco Fabrizi
3359,Laurence Olivier
46780,Samantha Eggar
24590,Dominique Sanda
3754,Mel Ferrer
1959,Brigitte Fossey
40945,Jim Dale
14264,John Le Mesurier
8260,Strother Martin
7301,Anthony Perkins
4973,Cyril Cusack
1261701,John Leach
12270,Michel Serrault
5341,Richard Burton
39432,Tom Felleghy
8608,Murray Hamilton
21605,Dirk Bogarde
25180,Victor Lanoux
70499,József Madaras
11989,Michel Bouquet
3461,Jack Albertson
8253,Robert Ryan
87825,Clarence Muse
40952,Sid James
18809,Françoise Dorléac
12248,Alec Guinness
8828,Lillian Gish
30475,Yoshifumi Tajima
97204,Ikio Sawamura
235722,Haruo Nakajima
14016,Jack MacGowran
10462,Geoffrey Keen
30907,Susumu Fujita
24820,Joseph Schildkraut
3338,Jay C. Flippen
4094,Jack Kruschen
17662,Edith Evanson
94114,Lillian Bronson
22093,Regis Toomey
2642,Leo G. Carroll
30117,Bobby Barber
120178,Max Wagner
120070,Robert Williams
40185,James Best
1009,Randolph Scott
7331,Eleanor Parker
2638,Cary Grant
30551,Jeffrey Hunter
8727,Basil Rathbone
8515,Jane Darwell
8829,Mae Marsh
4072,Lon Chaney Jr.
17752,Donna Reed
1216356,Sam Harris
124736,Ann Codee
14027,Paulette Goddard
14979,Fortunio Bonanova
90074,Monte Blue
3383,Thomas Mitchell
103068,Harry Hayden
13969,Russell Hicks
117036,Milton Kibbee
126836,Charles Sullivan
3262,James Flavin
19020,Walter Huston
100763,Billy Bevan
19329,Miles Mander
89615,Bud Jamison
30417,George Zucco
33033,Walter Kingsford
3610,Madeleine Carroll
589728,Erville Alderson
120810,Maurice Cass
540363,Wyndham Standing
13848,Charlie Chaplin
30197,Richard Alexander
29274,Leo White
95728,Arthur Aylesworth
13359,Tully Marshall
30210,Jean Arthur
30002,Guy Kibbee
3247,Noble Johnson
111195,Jamie Harris
122889,Dane DeHaan
31070,Ryan O'Neal
539,Thomas Lennon
2282,Ben Kingsley
77335,Ben Mendelsohn
1125,Ewen Bremner
3201,Pruitt Taylor Vince
42160,Ariel Winter
19,Allison Janney
36821,Nicholas Guest
3026,Rob Reiner
41561,Kenneth Choi
1211946,P. J. Byrne
2954,Jeffrey Wright
7906,Jennifer Tilly
2295,Mickey Rourke
17490,Isiah Whitlock Jr.
218605,Bonnie Johnson
10859,Ryan Reynolds
1285,AnnaSophia Robb
81178,Charlie Adler
23680,Dee Bradley Baker
47829,Elie Semoun
1639,Emily Watson
6573,William Sadler
18918,Dwayne Johnson
221581,Rebel Wilson
34502,Kellan Lutz
12041,Julia Stiles
3713,Frances Fisher
501,Dakota Fanning
3416,Demi Moore
3037,Richard Dreyfuss
22226,Paul Rudd
40477,Chris O'Dowd
2617,Cara Seymour
11023,Shawn Ashmore
4810,Rosie Perez
137529,Ned Eisenberg
126983,Micaela Ramazzotti
8874,Ernie Hudson
6091,August Diehl
9777,Cuba Gooding Jr.
76968,Leo Gregory
52010,Lisa Potthoff
47068,Jonas Karlsson
6969,Geoff Bell
4030,Martin Klebba
11870,Christine Baranski
9599,Cloris Leachman
15761,Grey Griffin
12898,Tim Allen
13022,Tom Berenger
59269,Elio Germano
56843,Valerio Mastandrea
57755,Woody Harrelson
2192,Lambert Wilson
8688,Diego Luna
30037,Michael Cochrane
16273,Simon Chandler
36666,Pip Torrens
517,Pierce Brosnan
49425,Annabeth Gish
2320,Julian Richings
28463,Jean-Pierre Darroussin
12111,Justin Timberlake
2037,Cillian Murphy
973,Jason Flemyng
30433,Neil Maskell
203147,Dickon Tolson
51300,Derek Mears
110,Viggo Mortensen
8547,Jonny Phillips
14721,Kevin Dunn
55638,Kevin Hart
120351,Ken Mitsuishi
227638,Ryu Seung-ryong
15111,Jean-Claude Van Damme
150697,Ko Chang-seok
23532,Jason Bateman
134,Jamie Foxx
1979,Kevin Spacey
4688,Michael Rapaport
1159,Steven Bauer
5149,Bonnie Hunt
15899,Jenifer Lewis
54696,Joe Nunez
53256,Terry Crews
6239,Ameet Chana
1271,Andy García
1118,Rade Serbedzija
10916,Caterina Murino
3627,Paz Vega
11803,Peter Greene
46691,Teruyuki Kagawa
28255,Fabrice Luchini
454,Michael Peña
14596,Danny Denzongpa
1665,Eddie Marsan
25540,Sandra Oh
1350,Irène Jacob
21859,Maeve Quinlan
78021,Lloyd Kaufman
13472,Tim Curry
11701,Angelina Jolie
6861,Andre Braugher
27578,Ellen Page
3899,Ken Watanabe
72864,Tim Kelleher
22306,Kad Merad
9030,Thandie Newton
27737,Bill Moseley
31531,John DiMaggio
43775,Jane Lynch
17373,Jürgen Vogel
35759,Satish Shah
11275,Stephen Fry
448,Hilary Swank
3061,Ewan McGregor
31383,Caroline Dhavernas
24362,Kevin Michael Richardson
1295,Deep Roy
14406,Lisa Kudrow
14722,Arabella Field
742,Michael Byrne
5414,Colin Salmon
26457,Matthew Lillard
13549,Deborah Kara Unger
51544,Mare Winningham
54479,Bailee Madison
52144,Lana Clarkson
19152,Dylan Baker
2176,Tommy Lee Jones
1032,Martin Scorsese
7399,Ben Stiller
449,Jay Baruchel
19278,Bill Hader
8186,Miko Hughes
12640,David Duchovny
12214,Gillian Anderson
2956,Amanda Peet
9188,Billy Connolly
540,Callum Keith Rennie
11664,Zooey Deschanel
1479,Frank Collison
11614,M. Night Shyamalan
20234,Fanny Ardant
8349,Martin Sheen
35004,Guillaume Depardieu
258,Gael García Bernal
33517,Ryo Kase
38026,Chris Noth
11850,Candice Bergen
128597,Rick Aiello
9195,Hiroyuki Sanada
9192,Togo Igawa
11953,Benno Fürmann
16828,Chris Evans
5726,Cedric the Entertainer
2038,Naomie Harris
148251,Massimo Ghini
1957,Sophie Marceau
32657,Julien Boisselier
6474,James Le Gros
7497,Holt McCallany
23608,Colin Stinton
24895,José Garcia
19162,Jean-Pierre Cassel
50346,Shiri Appleby
2227,Nicole Kidman
8784,Daniel Craig
1327,Ian McKellen
20070,Jim Carter
937,Derek Jacobi
12645,Jeffrey DeMunn
4756,Matthew Broderick
5889,Nicky Guadagni
3734,Hanna Schygulla
1907,Kathy Baker
15851,Amy Brenneman
12791,Hugh Dancy
7431,Kevin Zegers
5587,Hank Azaria
53362,Harish Patel
102429,Roger Corman
4520,William Forsythe
15070,Ken Foree
43774,Daniel Roebuck
4154,Brenda Blethyn
19274,Seth Rogen
21290,Dave Foley
28782,Monica Bellucci
13242,Paul Giamatti
6198,Vondie Curtis-Hall
20752,Alex Rocco
65524,Ioan Gruffudd
56731,Jessica Alba
25541,Katherine Heigl
8170,Eva Mendes
236016,Danielle Darrieux
26847,Adam West
3128,Alicia Witt
22290,Leelee Sobieski
32204,Christopher Redman
28847,Rafe Spall
24265,Bill Bailey
8226,Billie Whitelaw
26258,Kenneth Cranham
11180,David Bradley
52374,Bruce Davison
17087,Michael Moore
16925,Caroline Sihol
7026,Rhys Ifans
1054325,Martin Hub
1989,Celia Weston
920,Jürgen Prochnow
5309,Judi Dench
1237536,Ken Kensei
4391,Charles Dance
134608,Katie Keating
15555,Piper Perabo
33532,Stark Sands
879,Billy Bob Thornton
6396,Richard Edson
3041,Marshall Bell
143307,Marilyn Norry
18976,Ashton Kutcher
45754,Fedja van Huêt
51536,Agnes Bruckner
20767,Samantha Mathis
17787,Phyllida Law
4483,Dustin Hoffman
7056,Emma Thompson
16940,Jeremy Irons
15009,Justin Theroux
11764,Ian Abercrombie
2630,Nastassja Kinski
58058,Lochlyn Munro
169469,Jesse Hutch
15500,P.J. Soles
4812,Isaach De Bankolé
77351,Oleg Taktarov
1709,Jack Davenport
2441,Tom Hollander
41043,Tim McInnerny
57599,Seann William Scott
14101,John Larroquette
21197,Janeane Garofalo
7499,Jared Leto
3392,Michael Douglas
2341,Richy Müller
2876,Matt Dillon
6804,Graham Greene
7465,Carrie Preston
1137,Juliette Binoche
974,Dexter Fletcher
12359,Brian Steele
15601,Enrique Villén
21181,Fabio Testi
207,Tom Wilkinson
17286,Lena Headey
6818,Werner Herzog
1481,Lee Weaver
28637,Andy Richter
4431,Jessica Lange
32458,Gabriel Mann
2639,Eva Marie Saint
1146,Julie Delpy
4432,Frances Conroy
10692,Michael Pitt
18514,Asia Argento
955,Penélope Cruz
18324,Steve Zahn
18792,Delroy Lindo
2538,Chiaki Kuriyama
9139,Celia Imrie
22108,Skeet Ulrich
5168,Gabriel Byrne
13525,Matt Craven
