Movie Name,Domestic,Italy,New Zealand,Australia,Portugal,Russia/CIS,South Korea,Czech Republic,Slovakia,France,Spain,Germany,United Kingdom,Belgium,Netherlands,South Africa,Türkiye,Switzerland,Greece,Denmark,Sweden,Hungary,Norway,Poland,Lebanon,Israel,Iceland,Finland,Bulgaria,Croatia,Baltic States,Japan,Thailand,Taiwan,Singapore,Hong Kong,Philippines,Indonesia,Brazil,Mexico,Puerto Rico,Argentina,Central America+,Venezuela,Chile,Colombia,West Indies,Peru,Ecuador,Bolivia,Uruguay,S/E/W Africa,Austria,Greece and Cyprus,Egypt,Central America,India,Malaysia,China,Ireland,Lebanon/United Arab Emirates,Slovenia,Latvia,Lithuania,Romania,Estonia,Paraguay,Russia/CIS/Ukraine,Czech Republic/Slovakia,Middle East/UAE,Jamaica,Dominican Republic,Lesser Antilles,Ukraine,Cyprus,Yugoslavia,Kenya,Pakistan,Sri Lanka,United Arab Emirates,Morocco,Serbia and Montenegro,East Africa,Jordan,Syria,Bahrain
National Lampoon's Christmas Vacation (1989),"$74,515,899",,,"$4,595",,,,,,,,,"$13,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You've Got Mail (1998),"$115,821,495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thin Red Line (1998),"$36,400,491","$3,472,620","$403,741","$2,926,662","$399,945",,"$1,539,577",,,"$5,478,423","$4,097,204","$5,082,651","$6,604,051","$1,316,659","$601,140",,"$767,309","$1,100,317",,"$673,493","$1,144,849","$130,554","$664,200","$213,875","$94,570","$355,104","$69,910","$445,780","$23,688","$61,696",,"$10,581,149","$379,694","$1,996,266","$398,414","$466,253","$484,252","$132,136","$1,531,034","$1,998,018","$201,358","$1,387,015",,"$257,000","$385,103","$256,688",,"$164,907","$38,749","$73,027","$86,128","$244,208","$604,205","$831,058","$54,428","$257,456","$146,053","$171,198",,,,"$83,452","$38,729","$43,903","$32,597","$28,337","$8,517","$85,536","$187,264","$121,416","$19,607","$16,997","$16,837",,,,,,,,,,,,,
The Faculty (1998),"$40,283,321",,$465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurlyburly (1998),"$1,798,862",,,,,,,,,"$9,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virus (1999),"$14,036,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard the Duck (1986),"$16,295,774",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fly (1986),"$40,456,565",,$691,,,,,,,"$2,929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Texas Chain Saw Massacre (1974),"$30,859,000",,,"$1,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Chainsaw Massacre: The Next Generation (1994),"$185,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
