Movie Name,Domestic,United Kingdom,France,Germany,Spain,Italy,Israel,United Arab Emirates,Romania,Portugal,Poland,Netherlands,Hungary,Croatia,Belgium,Lebanon,Serbia and Montenegro,Bulgaria,Czech Republic,Iceland,Ukraine,South Africa,Latvia,Mexico,Brazil,Argentina,Venezuela,Ecuador,Colombia,Peru,Uruguay,Chile,Bolivia,Australia,Russia/CIS,Hong Kong,Thailand,Malaysia,Indonesia,Philippines,South Korea,New Zealand,Singapore,Taiwan,Japan,India,Sweden,Switzerland,Denmark,Norway,Finland,Türkiye,Greece,Czech Republic/Slovakia,Slovenia,Austria,Lebanon/United Arab Emirates,Baltic States,Egypt,Puerto Rico,Central America+,West Indies,Dominican Republic,Estonia,Lithuania,Paraguay,Jamaica,S/E/W Africa,Greece and Cyprus,China,Central America,Lesser Antilles,Vietnam,Slovakia,Cyprus,Yugoslavia,East Africa,Pakistan,Russia/CIS/Ukraine,Bosnia,Kuwait,Oman,Bahrain,Qatar,South Africa/Nigeria
Dangerous Game (1993),"$23,671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,237,539",,,,,,,,,,,,,,,
Dazed and Confused (1993),"$7,993,039","$7,966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demolition Man (1993),"$58,055,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farewell My Concubine (1992),"$5,467,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$890,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Willy (1993),"$77,709,806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Name of the Father (1993),"$25,096,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurassic Park (1993),"$407,185,075","$71,751,927","$42,055,035","$55,043,929","$23,976,150","$29,629,937","$134,725","$366,561","$215,117","$62,395","$4,339,983","$12,559,811","$1,056,078","$829,998","$8,792,505","$117,484",,"$153,195","$159,162",,"$236,763","$3,632,714",,"$19,712,387","$14,968,482","$8,191,506","$1,451,423","$434,940","$2,241,493","$1,016,193","$360,420","$1,513,115","$325,645","$22,121,200","$2,627,388","$8,770,013","$4,180,978","$2,438,681","$169,360","$2,593,833","$15,829,604","$3,395,116","$3,664,276","$16,567,447","$120,036,757","$7,001,330","$7,203,632","$7,775,259","$4,917,054","$3,112,406","$2,944,608","$1,853,717","$2,350,681","$1,304,784","$585,393","$5,241,360",,,"$324,020",,,,"$162,970",,,,,,,"$55,890,000","$1,397,415","$333,993",,"$69,224","$91,906",,"$31,498","$452,685",,,,,,,
Mrs. Doubtfire (1993),"$219,195,243","$31,598,360","$26,353,626","$30,561,588","$4,717,373","$15,649,718","$1,522,636",,"$163,522","$392,524","$769,894","$3,646,124","$710,811","$162,169","$5,103,235","$174,607",,"$65,401",,,,,"$92,025","$3,900,856","$7,247,279","$1,738,854","$521,109","$82,028","$317,200","$73,728","$182,669","$263,791","$45,982","$17,928,073",,"$1,202,317","$783,437","$400,474","$1,004,314","$390,605","$6,176,891","$2,055,480","$864,745","$1,772,704","$28,858,989","$190,414","$2,187,950","$6,519,059","$1,630,136","$1,859,415","$952,304","$1,235,427",,"$412,641","$328,352","$3,353,107",,,"$158,247","$1,115,800",,,,"$54,349","$8,482",,"$99,225","$2,874,655","$916,409",,"$355,234",,,,,,,,"$344,608",,,,,,
Naked (1993),"$1,769,305","$27,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando (1992),"$5,377,643",,,,,,,,,$529,,,,,,,,,,,,,,,,,,,,,,,,,"$31,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
