Movie Name,South Korea,Russia/CIS,Domestic,United Kingdom,France,Germany,Italy,Belgium,Sweden,Netherlands,Türkiye,Poland,Austria,Greece,Portugal,Denmark,Norway,Finland,Ukraine,South Africa,United Arab Emirates,Czech Republic,Hungary,Romania,Egypt,Croatia,Lebanon,Slovenia,Latvia,Lithuania,Estonia,Spain,Bulgaria,Slovakia,Serbia and Montenegro,Iceland,Brazil,Mexico,Venezuela,Argentina,Colombia,Peru,Chile,Ecuador,Uruguay,Bolivia,Australia,Hong Kong,New Zealand,Philippines,Singapore,Thailand,Taiwan,Malaysia,Nigeria,East Africa,Ghana,Israel,Bahrain,Japan,Indonesia,Switzerland,Middle East,Mauritius,India,China,Russia,Panama,Switzerland (German),Switzerland (French),Middle East/UAE,Vietnam,Nicaragua,Central America,Dominican Republic,Kuwait,Qatar,Oman,Jordan,Ethiopia,Trinidad & Tobago,Curaçao,Jamaica
A Summer in Genoa (2008),,"$40,536",,"$199,714","$170,936",,"$97,471","$4,233",,"$98,923",,"$31,924",,"$66,380","$11,671",,,,,"$66,544","$7,810",,,"$4,547",,,,,,,,"$422,673",,,,,,"$5,177",,,,,,,,,"$860,113",,"$37,774",,"$15,158",,"$6,106",,$140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Life and Death (2009),,"$1,690",,,"$39,972",,,,,,,,,,,,,,,,,,,,,,,,,,,"$435,634",,,,,,,,,"$11,196",,,,,,,"$494,079","$2,595",,"$56,321",,"$22,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glory to the Filmmaker! (2007),,"$39,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,830",,,,,,,,,,,,,,,,"$10,054",,,,,,,"$332,143",,,,,,,,,,,,,,,,,,,,,,,
Achilles and the Tortoise (2008),,"$30,463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$817,841",,,,,,,,,,,,,,,,,,,,,,,
The Losers (2010),,"$496,521",,"$1,284,442",,,"$684,997",,,,,,,,,,,,,,"$317,026",,,"$77,597","$29,075","$12,770","$14,533",,"$14,411",,"$2,274",,,,,"$21,566",,"$342,167",,,,,,"$40,102",,,"$658,469",,"$240,817","$265,015","$399,546","$163,825",,"$521,529","$37,163","$8,330","$3,237",,,,"$170,810",,,,,,,,,,,,,,,,,,,,,,
Cyrus (2010),,"$5,520",,"$1,936,218","$64,616","$75,272","$11,103","$7,266",,,,,"$7,984",,,,,,,,"$29,627",,,,,,"$10,039",,,,,"$94,389",,,,,"$55,014","$150,996",,,,,,,,,,,"$12,545",,,,,,,,,,"$4,348",,,,,,,,,,,,,,,,,,,,,,,,
Lebanon (2009),,"$7,900","$368,088",,"$172,084","$83,586","$453,150","$7,644",,"$17,323",,,,,"$41,964",,,,,,,,,,,,"$65,632",,,,,,,,,,,"$5,720",,"$28,499",,,,,"$1,443",,"$15,739",,"$17,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marmaduke (2010),,"$1,744,006",,"$9,019,305","$470,199","$8,338,702","$2,503,450","$1,316,409","$999,980","$1,836,926",,"$204,964","$1,297,402",,"$330,057","$922,641","$567,934","$196,970",,"$1,101,621",,,"$246,172","$48,055",,"$33,350",,"$125,528",,"$28,788",,"$3,898,249","$170,012",,,,"$916,569","$2,545,881","$1,110,195","$201,229","$824,212","$685,981","$445,219","$200,520","$143,171","$94,267","$4,339,723",,"$563,118","$95,094","$261,129",,,"$166,084","$12,295","$17,771","$3,729",,"$26,846",,,,,,,,,,,,,,,,,,,,,,,,
MacGruber (2010),,"$739,342",,,,,,,,,,,,,"$47,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Luke and the Daltons (2004),,"$158,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Lions (2010),,"$47,774","$304,616","$3,705,570",,"$1,082,532","$52,886","$23,690",,,"$3,790","$5,067","$102,147",,$669,"$8,645",,"$39,761",,"$5,389",,,,,,,,,,$214,,"$206,585",,,,"$3,117",,,,,,,,,,,"$176,628",,"$346,497",,"$33,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diary of a Nymphomaniac (2008),,"$52,959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,714","$37,528",,,,"$81,876",,"$33,098",,"$1,416",,"$40,476",,,"$50,338",,"$18,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furry Vengeance (2010),,"$2,850,144","$17,630,465","$4,774,224","$871,660","$752,909","$1,556,613","$211,329","$216,587","$307,394",,"$622,872","$10,892","$42,645","$63,813","$189,621","$214,207","$39,655","$160,163","$78,909","$368,392","$101,044","$182,367",,"$11,640","$52,551","$18,539",,"$11,749","$18,211","$9,399","$886,748","$27,451",,,"$25,080","$407,413","$1,189,058","$899,826",,,"$470,819","$101,694","$61,530","$12,530","$39,897","$92,093","$50,989",,"$94,092","$75,853","$153,796","$49,468","$345,614",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Legend (2010),,"$117,311",,,"$75,889",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,261,187",,,"$677,762","$407,331","$98,665","$843,226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baaria (2009),,"$18,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$99,935","$127,872","$43,666","$43,373",,"$20,473",,,,$519,,,,,"$5,413","$6,565","$14,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Him to the Greek (2010),,"$1,789,000",,"$10,901,662","$120,525","$5,134,599","$329,273","$55,973","$6,287","$495,077","$76,547",,"$1,011,591","$33,645","$57,953",,,,"$163,067",,,"$80,347",,"$110,991",,"$41,897","$59,681","$140,899","$41,814","$48,116","$58,239","$726,532",,,"$14,659","$93,354",,,,,,,,,,,"$8,432,401",,"$721,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unthinkable (2010),,"$378,481",,,,,,"$83,859",,"$377,205","$108,972",,,,$847,,,,,,,,,,,,,,,,,,,,,,,"$410,110",,"$179,084",,"$121,673",,,,"$9,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnt by the Sun 2 (2010),,"$7,497,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Beautiful Person (2008),,"$44,419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$72,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Look Back (2009),,"$870,515",,,"$1,447,700",,,"$85,950",,,"$167,949",,,,$610,,,,,,,,,,,,,,"$11,613",,,,,,"$13,544",,,,,,,,,,,,,"$23,992",,,"$23,527",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everyone Else (2009),,"$25,440",,,,"$1,210,064",,,,,,"$7,708","$498,419",,"$21,376",,"$25,507",,,,,,,,,,,,,,,"$155,014",,,,,,,,"$93,317",,,,,"$3,760",,,,,,,,,,,,,,,,,"$247,804",,,,,,,,,,,,,,,,,,,,,
Enter the Void (2009),,"$76,150",,"$137,307","$134,741","$40,710","$5,856","$7,231",,,,,,,"$6,958",,,"$16,358",,,,,,,,"$1,856",,,,,,,,,,"$3,786",,,,"$4,108",$859,,,,,,,,,,,,"$2,998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Far North (2007),,"$14,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grown Ups (2010),,"$6,566,647","$162,001,186","$12,161,427","$2,238,726","$18,270,874","$1,034,575","$939,889","$977,750","$2,222,723","$555,999","$776,714","$3,521,030","$861,333","$977,830","$956,401","$514,477","$178,447","$701,606","$1,514,810","$970,855","$329,582","$950,455","$428,989","$158,395","$72,547","$245,660","$251,066","$90,665","$54,843","$85,469","$8,507,573","$103,134","$127,825","$65,618","$135,743","$7,678,291","$7,722,720","$2,541,731","$565,029","$998,569","$646,840","$611,705","$319,855","$198,914","$151,699","$10,711,808","$278,246","$640,760","$323,983","$997,939","$435,121","$252,773","$770,022","$92,538","$14,387","$14,073","$1,005,070","$77,695",,"$488,409",,,,,,,,,,,"$212,451",,"$1,061,217",,,,,,,,,
Nightwatching (2007),,"$8,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murderous Intent (2006),,"$6,665",,"$1,511",,,,,,,,,,"$3,632",,,,,,,"$40,510",,,,,,,,,,,,,,,,,"$736,532",,,,"$94,490",,,,"$3,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Nobody (2009),,"$590,330","$3,622",,"$1,051,211","$188,088",,"$816,771","$7,855","$8,532",,"$334,114",,,"$1,807",,,"$217,774",,,,"$15,972",,,,"$1,028",,,,,,"$322,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Other Guys (2010),,"$3,312,269",,"$12,605,131","$4,954,981","$5,064,833",,"$284,070","$782,248","$418,098","$250,485","$177,727","$281,341","$316,042","$329,378","$419,714","$158,605","$109,094","$369,139","$1,204,080","$587,378","$48,972","$386,069","$252,512","$82,815","$81,150","$115,819","$110,987","$53,800","$67,774","$67,269","$1,443,642","$102,626","$55,977","$33,642","$130,645","$289,002","$840,985","$789,539",,"$198,902","$207,262","$74,302","$88,021","$20,985","$32,469","$10,205,756",,"$758,737","$267,277","$672,813",,,"$880,971","$100,085","$35,038","$18,255","$515,757","$40,489",,"$369,620",,,,,,,,,,,"$174,367",,,,,,,,,,,
Scott Pilgrim vs. the World (2010),,"$1,094,734","$33,281,690","$8,445,713","$112,442","$283,446","$298,363","$4,118","$42,231","$56,456",,,"$29,824",,"$13,927","$58,997","$216,888","$184,854",,"$86,677","$142,685","$78,900",,"$21,960","$9,591",,"$14,670","$20,495","$5,004","$4,806","$9,755","$218,687",,,,"$54,265","$77,934","$178,856",,,,,,,,,"$2,892,376",,"$509,024",,,,,,,,,"$415,524",,,,,,,,,,,,,,,,,,,,,,,,,
Life During Wartime (2009),,"$7,114","$281,447",,"$159,186",,"$209,587",,"$17,662",,,,,,,,,,,,,,,,,,,,,,,"$83,551",,,"$2,916",,"$21,769","$7,360",,"$13,998",,,,,,,,,,,"$2,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pope Joan (2009),,"$204,419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$316,056",,,"$25,965","$50,008",,,"$7,606","$2,014",,"$24,190",,,"$19,450","$43,821","$6,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babies (2010),,"$147,041",,$163,"$1,060,067","$649,735",,"$55,178",,,,,"$196,109",,"$4,075",,,,,,,,,,,,,,,"$6,639",,"$187,157",,,"$1,211","$24,917","$19,412",,,"$3,659",,,,,"$1,693",,"$434,689",,"$80,993",,"$26,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Water (2007),,"$289,886",,"$97,656",,,,,,,,,,,,,,,,,"$159,240",,,,,,,,,,,,,,,,,"$9,818",,,,"$106,364",,,,,"$98,901",,,"$68,289",,,,"$256,931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Extraordinary Adventures of Adèle Blanc-Sec (2010),,"$1,549,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$250,375",,,,,,,,,,,"$232,745",,"$114,502","$185,020","$342,846","$159,894","$920,652",,,,,,"$4,689,840",,,,,,"$7,742,449",,,,,,,,,,,,,,,,,
The Joneses (2009),,"$1,233,788","$1,475,746","$786,455",,,,"$215,322","$137,142","$213,616","$127,429",,,,"$12,106","$150,947","$57,095",,"$78,614","$70,872","$52,423",,,,"$6,339",,"$40,661",,,,,,,,,"$5,279","$552,845","$1,602,629",,,,"$168,000",,,,,,,,,"$25,914","$30,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gainsbourg: A Heroic Life (2010),,"$264,785",,"$725,732","$9,234,225","$698,066",,"$462,434","$54,754","$18,909",,,"$92,633",,"$27,487",,,,,,,"$6,840",,,,"$8,420",,,,"$4,383",,"$253,353",,,,,,,,,,,,,,,"$108,786",,"$26,403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Grass (2009),,"$23,246","$403,952",,"$3,202,807","$89,450","$377,828","$61,419",,,,,"$29,605","$38,963","$60,866",,,,,"$1,912",,,,"$3,073",,,,,,,,"$222,592",,,,,"$192,307",,,"$97,911",,"$8,800","$7,079",,"$13,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Going the Distance (2010),,"$1,457,785",,"$2,124,322","$1,533,623","$1,554,435","$403,202","$333,853","$83,121","$1,018,070","$665,990","$569,327","$349,423","$218,662","$231,789","$193,895","$50,562","$57,993","$323,798","$279,854","$148,893","$63,584","$538,613","$152,063","$37,718","$86,840","$68,333","$88,262","$45,124","$70,660","$22,544","$1,140,210","$36,113","$12,537","$34,907","$55,150","$1,587,217","$2,152,190","$451,433","$315,755","$305,525","$327,280","$192,824","$131,669","$32,988","$25,694","$2,022,192","$226,097","$319,215","$468,653","$443,174","$91,968","$375,630","$186,161",,,,"$449,949",,,"$97,943",,,,,,,,,,,,,,,,,,,,,,
Vampires Suck (2010),,"$1,819,246",,"$4,798,312","$1,489,932","$8,064,054","$6,000,711","$1,008,698","$735,736","$342,896","$192,835","$9,087","$1,299,458",,"$392,974","$485,853",,"$260,774",,"$197,693","$143,687",,,,,,,,"$35,749","$70,537","$40,366","$4,698,326",,,,"$21,865","$2,270,062","$2,730,361","$406,169",,"$246,857","$316,645","$332,168","$146,005",,"$71,452","$2,403,158","$166,215","$404,765","$329,962","$267,563",,"$45,399","$511,600","$8,582","$5,126",,,"$7,679",,"$168,407",,,,,,,,,,,,,,,,,,,,,,
Palermo Shooting (2008),,"$26,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easy A (2010),,"$2,435,766","$58,401,464","$1,241,489",,"$1,996,491","$82,427","$11,827","$453,574",,,"$267,662",,,,"$208,284","$191,531",,,"$357,211","$92,051",,"$116,150","$105,623","$14,919","$50,228","$42,900","$80,862","$46,726","$18,785","$41,155","$1,397,014","$53,626",,,"$26,102",,,"$186,384",,,"$211,654",,"$86,051","$11,198","$20,864","$5,577,376",,"$556,049","$205,247","$219,286","$49,905",,,"$32,582",,,"$38,959","$4,889",,,,,,,,,,,,,,,,"$33,864",,,,"$14,996","$2,045","$18,020","$17,234","$5,857"
Saint John of Las Vegas (2009),,"$9,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamara Drewe (2010),,"$180,365",,"$4,013,954","$3,252,352","$1,083,697","$916,168","$310,108",,,,"$277,601","$196,813",,,"$30,902",,"$48,339",,"$16,154","$32,078",,,,,,"$3,860","$18,652",,,,"$609,276",,,,,,,,,,,,,,,"$360,681",,"$126,582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survival of the Dead (2009),,,"$101,740",,,"$38,523",,,,,,,"$2,928",,,,,,,,,,,,,,,,,,,,,,,,,,,"$110,736",,"$132,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaves of Grass (2009),,,"$70,066",,,,"$915,051",,,,,,,,,,,,,,"$33,636",,,,,,,,,,,"$15,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
About Elly (2009),,,"$470,760","$88,107",,,"$161,220","$5,077",,,"$11,108",,,,,,,,,,,,,,,,,,,,,"$142,370",,,,,,,,,,,,,,,$780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zizek! (2005),,,"$20,177","$6,507",,"$13,647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Mane (1953),,,"$34,570",,"$897,824",,,,,,,,"$6,237",,,,,,,,,,,,,,,,,,,,,,,,"$14,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep in the Woods (2000),,,"$56,119",,,"$211,691","$36,073",,,,,,,,,,,,,,,"$3,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razorback (1984),,,"$150,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Human Centipede (First Sequence) (2009),,,"$181,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,632",,,,,,"$72,906",,,,,,,,,,,"$61,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Games of Love and Chance (2003),,,"$8,085",,"$1,409,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$164,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Fugitive (1953),,,"$29,505",,"$132,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Valentine (2010),,,"$9,706,328","$1,036,873","$235,708","$667,508",,"$78,895","$143,759","$86,615","$17,026",,"$66,842","$198,518","$72,303",,"$151,655",,,"$27,214",,,,,,,,,"$7,828","$1,425",,"$547,915",,,,"$2,204","$486,143","$208,387","$83,264","$247,742",,"$41,796",,"$8,485","$11,258",,"$1,021,402","$110,596","$118,676",,,"$27,310","$26,658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No One Knows About Persian Cats (2009),,,"$81,768",,"$393,483",,"$217,434","$56,739",,,,,,,"$4,425",,,,,,,,,,,,,,,,,"$130,513",,,,,,"$16,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How About You (2007),,,"$78,234","$171,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,137",,,,,,,,,,,,,,,"$298,700",,"$157,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonyma - Eine Frau in Berlin (2008),,,"$294,014",,,"$1,523,402",,,,"$13,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea on the Rocks (2008),,,"$11,799",,,,,,,,,,,,"$3,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solitary Man (2009),,,"$4,360,548",,,,,,,,,,,,"$36,793",,,,,,"$93,187",,,,,,"$8,019",,,,,"$67,164",,,,,"$393,843","$209,324","$89,653","$227,969","$34,099","$78,134","$16,747","$14,252","$39,294","$3,041",,,,,,"$10,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When Father Was Away on Business (1985),,,"$16,131",,"$18,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La petite Lili (2003),,,"$34,634",,"$3,088,309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurt Cobain About a Son (2006),,,"$87,016",,"$15,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Greatest (2009),,,"$114,766",,,,,,,,,,,,"$1,872",,,,,,"$18,921",,,,,,"$15,017",,,,,"$364,636",,,,,"$207,337","$140,139","$27,336","$55,017",,"$20,941","$17,218",,"$3,853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid-August Lunch (2008),,,"$675,299","$116,721","$1,461,759","$1,030,273","$3,083,179","$119,340","$74,288","$112,235",,,"$172,409","$70,794","$89,227",,"$434,068",,,,,"$3,584",,,,,,,,"$11,312",,"$1,272,844",,,,,"$122,206",,,"$224,773",,,,,"$24,485",,,,"$112,809",,,,,,,,,,,,,"$312,912",,,,,,,,,,,,,,,,,,,,,
Animal Kingdom (2010),,,"$1,044,039","$785,445","$257,693",,"$190,504",,,,,"$27,709",,"$103,239","$1,681",,,,,,,,,,,,"$14,734",,,,,"$227,938",,,,,,,,,,,,,,,"$4,350,187","$20,638","$181,091",,,,"$5,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heartless (2009),,,"$3,697",,,,,,,,,,,,,,,,,,"$16,738",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Man Vanishes (1967),,,"$6,201",,"$9,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howl (2010),,,"$617,334","$186,662","$14,414","$49,160","$305,337","$10,597",,,,,"$8,505",,"$4,205",,,,,,,,,,,,,,,,,"$59,136",,,,,,,,,,,,,,,"$13,671",,,,,,"$9,369","$96,382",,,,,,,,,,,,,,,,,,"$240,038",,,,,,,,,,,
Our Family Wedding (2010),,,,"$142,755","$9,875",,"$43,005",,,,,,,,,,,,,"$80,842",,,,,,,,,,,,"$46,786",,,,,,"$77,046",,,,,,,,,,,,,,,,,"$25,677","$13,148","$9,065",,,,,,,,,,,,,,,,,,,,,,,,,,
Afghan Star (2009),,,,"$10,794",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi-6 (2009),,,,"$324,195",,,,,,,,,,,,,"$2,565",,,"$10,991",,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,362","$8,333","$5,556",,"$20,265",,,"$12,721",,"$8,055",,,,,,,"$509,993","$3,001","$8,377,869",,,,,,,,,,,,,,,,,,
New York (2009),,,,"$666,935",,,,,,,,,,,,,,,,"$19,162",,,,,"$21,201",,,,,,,,,,,,,,,,,,,,,,"$199,075",,"$32,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunty Aur Babli (2005),,,,"$994,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalte Chalte (2003),,,,"$1,205,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,903,227",,,,,,,,,,,,,,,,,,
Death at a Funeral (2010),,,,"$4,150,291",,,,,,,,,,,,,,,,"$1,098,918","$304,055",,,,,,,,,,,"$153,050",,,,,,,,,,,,,,,,,,,,,,,"$100,553","$24,036","$7,062",,"$36,648",,,,,,,,,,,,,,,,,,,,,,,,
Diary of a Wimpy Kid (2010),,,,"$4,283,601","$7,440","$439,034","$533,730",,,,"$243,346",,,,,,,,,"$15,935",,,,,,,,,,,,"$95,562",,,,,"$162,928","$189,654",,,,,,,,,"$5,261,222",,"$309,590","$224,340","$358,096",,,"$68,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Song (2010),,,,"$2,797,888",,"$6,080,655","$1,589,637",,"$435,983",,"$130,675",,"$890,763","$126,618","$456,604","$578,673","$1,334,256","$109,500",,"$385,001","$149,188",,,"$73,689","$46,322",,"$118,246",,,,"$25,625","$1,997,548","$46,761",,,"$19,568","$114,401","$893,873","$127,211","$93,017","$57,911","$117,319","$26,456","$114,606","$4,991",,"$6,073,470",,"$547,273","$344,475","$263,818",,,,"$2,450","$12,192",,,,,,,,,,,,,,,,,,,,,,,,,,,
Armadillo (2010),,,,"$3,627","$44,998",,,"$4,063","$35,707",,,,,,,"$1,510,339","$391,575","$9,934",,,,,,,,,,,,,,,,,,$154,,"$3,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Disappearance of Alice Creed (2009),,,,"$217,478","$160,775",,,"$69,862",,,,"$27,004",,,,,,,,,"$29,166",,,,,,,,,,,,,,,,,,,,,,,,,,"$171,381","$27,793","$26,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Times and Winds (2006),,,,"$126,281","$183,105",,,,,"$2,929","$68,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaam-e-Ishq (2007),,,,"$1,569,851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$165,700",,,,,,,,,,,,,,,,,,"$8,965,004",,,,,,,,,,,,,,,,,,
Adrift (2009),,,,"$1,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$471,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yella (2007),,,,"$115,990","$3,796","$754,485",,,,,,,"$57,030","$34,848","$2,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinner for Schmucks (2010),,,,"$4,040,902","$6,132","$1,130,167","$110,842","$233,562","$11,535","$773,202",,,"$370,361",,"$782,522","$11,344",,,,,"$229,426",,,,"$45,679",,"$110,535","$173,663",,,,,,,,"$96,201",,"$800,973",,,,,,,,,"$3,250,775",,"$309,194",,"$127,180","$36,354",,"$135,527",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramona and Beezus (2010),,,,"$768,250","$4,620","$136,292","$6,203",,,,,,,,,,,,,"$50,163",,,,,,,,,,,,"$161,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thorn in the Heart (2009),,,,"$3,301","$7,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raajneeti (2010),,,,"$603,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$335,967",,"$45,376",,,,,"$28,223",,,"$6,473",,,,,,,,"$26,925,765",,,,,,,,,,,,,,,,,,
Get Low (2009),,,,"$7,375",,,,"$32,404",,,"$47,509","$426,266",,,"$22,660",,"$33,666","$18,518",,"$29,882",,,,,,,,,,,,,,,,,,,,,,,,,,,"$491,790",,"$235,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Manero (2008),,,,"$32,846","$76,550",,"$171,645",,,,,,,,"$3,600",,,,,,,,,,,,,,,,,,,,,,"$29,490",,,,"$1,441",,"$351,143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
