Movie Name,South Korea,Russia/CIS,Domestic,United Kingdom,France,Germany,Italy,Belgium,Sweden,Netherlands,Türkiye,Poland,Austria,Greece,Portugal,Denmark,Norway,Finland,Ukraine,South Africa,United Arab Emirates,Czech Republic,Hungary,Romania,Egypt,Croatia,Lebanon,Slovenia,Latvia,Lithuania,Estonia,Spain,Bulgaria,Slovakia,Serbia and Montenegro,Iceland,Brazil,Mexico,Venezuela,Argentina,Colombia,Peru,Chile,Ecuador,Uruguay,Bolivia,Australia,Hong Kong,New Zealand,Philippines,Singapore,Thailand,Taiwan,Malaysia,Nigeria,East Africa,Ghana,Israel,Bahrain,Japan,Indonesia,Switzerland,Middle East,Mauritius,India,China,Russia,Panama,Switzerland (German),Switzerland (French),Middle East/UAE,Vietnam,Nicaragua,Central America,Dominican Republic,Kuwait,Qatar,Oman,Jordan,Ethiopia,Trinidad & Tobago,Curaçao,Jamaica
Solomon Kane (2009),"$841,029","$1,888,826",,"$1,729,255","$3,084,484",,"$2,622,017","$36,404",,"$175,286",,,,,"$374,783",,,,"$108,322",,"$294,829","$74,456",,,,"$15,693","$11,801",,,,"$5,932","$4,881,329",,,,"$23,757","$639,430","$1,001,674","$312,949","$135,137",,"$172,832","$36,142","$88,892","$2,227","$57,968",,,,"$130,452","$122,700","$98,200","$67,298","$618,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Man 2 (2010),"$27,095,727","$14,762,084",,"$30,456,328","$19,792,160","$9,254,348","$9,979,666","$1,890,409","$1,968,871","$2,136,565","$1,838,197","$1,136,267","$1,357,508","$1,572,625","$1,132,347","$2,292,730","$2,463,643","$796,554","$1,199,098","$2,589,816","$2,251,242","$442,253","$704,870","$466,054","$300,567","$212,418","$165,313","$122,290","$104,864","$97,230","$77,051","$7,601,695","$138,746","$202,047","$41,653","$198,156","$15,835,025","$18,396,680","$1,903,726","$2,566,778","$1,275,996","$1,862,616","$1,454,137","$1,243,781","$103,005","$311,086","$22,418,342","$3,760,485","$2,701,225","$6,252,102","$4,194,650","$4,618,190","$4,036,495","$4,642,633","$59,572","$122,460","$8,290","$684,653",,"$12,831,962","$4,487,383","$318,294",,,"$1,232,814","$7,919,827","$8,672,930","$883,729",,,,,,,,,,,,,,,
3 Extremes II (2002),"$448,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$931,547",,,,,"$303,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sky Crawlers (2008),"$9,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$916,,,,,,,,,,,,,,,,,,,"$17,546",,"$9,681",,,,,,,"$5,799,349",,,,,,,,,,,,,,,,,,,,,,,
A Nightmare on Elm Street (2010),"$564,542","$5,747,005","$63,075,011","$5,062,498","$3,995,599","$3,583,773","$2,561,703","$524,947","$401,413","$363,744","$978,670","$754,849","$802,440","$1,965,370","$337,120","$117,421",,"$67,918","$417,013","$168,831","$434,615",,"$115,922","$83,657","$149,076","$63,881","$69,665","$63,170","$28,494","$52,289","$38,669","$4,220,981",,,"$61,670","$31,612","$1,525,642","$4,790,260","$1,672,304","$1,163,151","$1,406,599","$770,114","$926,392","$421,687","$57,793","$144,745","$2,388,495","$574,682","$255,001","$414,149","$360,086","$221,523","$205,304","$894,674",,,,"$171,579",,,"$427,591",,,,,,,,,,,,,,,,,,,,,,
Robin Hood (2010),"$9,306,757","$11,864,921",,"$23,179,445","$18,209,877","$15,345,492","$14,676,791","$3,207,998","$3,994,494","$3,647,474","$3,067,392","$2,928,660","$2,694,322","$1,502,775","$1,886,136","$2,003,348","$3,288,640","$1,018,475","$1,435,194","$1,140,199","$1,802,791","$589,579","$467,713","$707,068","$379,598","$222,752","$333,336","$327,167","$185,675","$201,061","$111,263","$13,683,489","$335,069","$189,364","$161,619","$157,766","$7,953,519","$8,845,552","$1,466,773","$2,992,530","$1,329,717","$995,267","$817,992","$306,458","$146,337","$146,020","$15,615,874","$800,948","$1,596,082","$1,286,021","$1,178,210","$736,640","$638,296","$1,363,204","$40,286","$95,945","$13,082","$1,144,051",,"$7,147,077","$1,880,555",,,,,,,,,,,,,,,,,,,,,,
Dread (2009),"$1,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killers (2010),"$2,109,210","$4,235,018",,"$4,891,812","$5,192,318","$3,261,138",,"$1,008,073","$320,576","$1,250,514",,"$623,650","$860,858","$375,714","$288,112","$361,625","$311,808","$129,441","$241,532","$1,085,954","$825,405","$105,762","$171,210","$382,072","$145,982",,"$160,885","$96,781","$82,128","$80,785","$64,453","$1,865,795","$76,068","$21,567","$83,750","$77,318","$2,513,311","$1,745,062","$529,005","$257,923","$99,421","$254,090","$128,866",,"$42,987","$31,673","$5,025,829","$306,388","$516,142","$276,274","$480,557","$273,682","$542,706","$395,159",,,,,,"$1,568,914",,,,,,"$2,290,076",,,,,,,,,,,,,,,,,
Buried (2010),"$385,146","$682,028",,"$2,996,630","$1,767,734",,"$2,127,617","$399,211","$266,218","$247,674","$185,515","$226,405",,"$413,254","$8,403","$161,415","$158,625","$119,288",,,"$63,828",,,,,"$41,578",,,"$7,811","$88,765","$5,403","$3,113,006",,,"$8,054",,"$256,353","$1,326,271","$131,818","$621,758","$117,563","$147,470","$37,000",,"$30,758","$15,520","$1,289,137","$20,671","$132,550","$122,814","$205,369",,"$15,064","$197,179",,,,,,,,"$254,718",,,,,,,,,,,,,,,,,,,,,
Prince of Persia: The Sands of Time (2010),"$12,098,141","$21,528,448",,"$13,514,456","$16,654,853","$14,622,812","$8,912,558","$2,245,926","$2,148,966","$2,547,312","$3,286,955","$3,302,798","$2,560,512","$1,834,971","$2,056,265","$1,143,490","$2,014,010","$755,081","$1,581,120","$1,803,854","$2,429,451","$811,838","$1,125,141","$902,819","$345,819","$185,944","$252,106","$129,612","$162,214","$176,577","$122,173","$13,327,923","$934,644","$290,238","$154,832","$146,755","$10,124,446","$13,898,372","$2,221,861","$3,101,060","$3,872,425","$1,845,122","$1,269,138","$1,231,250","$135,608","$355,888","$8,734,153","$1,826,520","$1,333,445","$3,357,913","$2,144,409","$2,468,718","$949,135","$3,848,629","$157,050","$136,620","$37,529","$1,522,120",,"$7,113,577","$4,105,296",,,,,,,,,,,,,,,,,,,,,,
The Wedding Weekend (2006),"$3,900",,"$1,232,961","$64,065",,"$290,574",,"$3,124",,"$35,019",,,"$20,636","$6,009",,,,,,,,,,,,,,,,,,,,,,,,"$5,373",,,,"$41,172",,,,,"$135,822",,,,,,,,,,,,,,,"$119,945",,,,,,,"$103,996","$15,949",,,,,,,,,,,,,
Sex and the City 2 (2010),"$2,551,398","$7,116,163",,"$33,336,058","$10,398,517","$25,320,347","$7,802,889","$2,701,791","$5,236,199","$5,230,898","$775,504","$1,052,151","$3,153,374","$2,836,343","$1,422,229","$5,608,336","$4,223,369","$3,652,754","$922,909","$981,707",,"$915,980","$1,189,569","$522,673",,"$525,119","$176,065","$206,549","$265,029","$208,881","$197,175","$5,814,149","$532,239","$380,618","$370,160","$245,935","$3,185,351","$2,645,334","$499,160","$1,188,295","$357,038","$607,576","$693,559","$333,148","$129,536","$72,913","$20,995,442","$1,380,942","$1,726,679","$757,982","$1,219,541","$473,706","$1,098,335","$293,810","$94,784","$77,220","$15,378","$1,271,351",,"$19,487,280","$919,926",,,,,,,,,,,,,,,,,,,,,,
The Back-up Plan (2010),"$2,547","$2,646,798",,"$2,952,219","$4,211,036","$2,510,451","$1,926,942","$369,138",,"$668,860","$362,090","$360,511","$681,959","$317,558","$324,848",,,,"$399,375","$770,599","$482,464","$106,297","$272,850","$168,196","$86,148","$94,463","$110,529","$151,577","$65,009","$63,497","$47,801","$2,482,690","$54,828","$90,272","$58,882","$47,564","$3,377,721","$3,076,416","$730,413","$291,820","$378,155","$369,996","$136,818","$140,481","$135,185","$38,501","$3,370,015",,,"$276,714","$420,239","$63,604","$441,177","$287,964","$95,701","$18,408","$14,332","$269,248","$51,338",,"$119,377",,,,,,,,,,,,,,,,,,,,,,
Splice (2009),"$1,047,917","$1,323,553","$17,010,170","$375,911","$1,453,559","$1,046,697","$709,176","$84,565",,"$49,641","$258,855","$579,397","$28,288",,"$23,242",,"$141,236","$94,218","$73,304","$71,812","$143,873",,"$21,262","$43,895","$35,241",,"$29,817","$12,923","$21,792",,"$16,952","$339,601",,,,,"$43,843","$1,052,060","$145,553","$1,371",,"$86,482",,"$34,737",,,"$103,702","$196,202",,"$59,603",,"$192,868","$174,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Letters to Juliet (2010),"$3,493,115","$907,973",,"$2,991,605",,"$2,533,436","$821,198","$356,394","$76,504","$734,821",,"$343,490","$604,251","$171,510","$436,092","$90,875","$180,674","$46,889","$22,911","$477,259","$147,680","$39,842","$157,884","$86,055","$22,143","$87,438","$141,806","$24,811","$57,168","$29,538","$59,247","$1,663,590",,,"$27,587","$50,816","$1,861,051","$1,127,530","$156,876","$398,187",,"$165,112","$135,077","$51,802","$65,534","$11,575","$3,809,388","$193,592","$389,144","$170,633","$131,345","$80,141","$130,460","$53,500",,,,,,"$445,442",,,,,,,,,,,,,,,,,,,,,,,
The Descent: Part 2 (2009),"$382,754","$1,212,163",,"$945,999","$2,529,936",,,,"$132,413",,"$241,530","$379,371",,,"$1,294",,,,,"$22,056","$119,827",,,,,,"$6,373",,,,,,,,,,,"$174,826","$189,882","$82,547",,"$242,680",,,,"$36,433",,"$38,074",,,,,"$64,506","$246,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mermaid (2007),"$47,694","$1,364,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Song of Sparrows (2008),"$21,822",,,,,,,"$1,946",,"$4,638",,,,"$2,409",,,"$13,882",,,"$30,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,113",,,"$9,581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
