Movie Name,Russia/CIS,Singapore,Mexico,Thailand,China,Domestic,Hong Kong,Japan,South Korea,Australia,France,Germany,Spain,Belgium,Italy,Finland,Austria,Portugal,Türkiye,Serbia and Montenegro,South Africa,Croatia,Brazil,Argentina,Uruguay,United Kingdom,Poland,Iceland,Israel,Greece,Norway,Netherlands,Ukraine,Denmark,Sweden,Czech Republic,Nigeria,Bulgaria,Slovakia,Slovenia,Ghana,Venezuela,Peru,Colombia,Ecuador,Chile,New Zealand,Philippines,United Arab Emirates,Hungary,Egypt,Lebanon,East Africa,Bolivia,Indonesia,Malaysia,India,Taiwan,Bahrain,Lithuania,Jordan,Vietnam,Romania,Switzerland
The Canyons (2013),,"$4,515",,,,,,,,,"$72,642",,,,"$133,644",,,,"$2,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Attack (2012),,"$3,157",,,,,,,,,"$307,450",,,"$92,895",,,,,,,,,,,,,,,,"$15,689",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man of Tai Chi (2013),,"$77,094",,"$80,737","$4,280,000",,,,,,"$28,633","$111,326","$32,321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,478","$101,043","$423,833",,,"$28,871",,,,"$195,405",,,,,,,,
Drug War (2012),,"$224,382",,,"$23,180,000",,"$639,155",,,,,,,,,"$2,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$502,607",,,,,,,,
The First Grader (2010),,"$26,983",,,,"$332,000","$37,581","$313,953",,"$58,989",,,,,,,,,,,"$81,908",,"$42,747",,,"$66,174",,,,,,,,,,,,,,,,,,,,,"$274,894",,,,,,"$2,228",,,,,,,,,,,
The Butler (2013),,"$159,849","$1,555,410","$62,361",,,"$183,929","$3,315,612","$365,191","$4,208,004","$16,909,508","$2,871,794","$6,780,015","$939,993","$7,011,486","$147,413","$354,540","$1,264,938",,"$15,006","$167,387","$41,571","$493,642","$133,257","$72,178","$6,804,034","$733,061","$42,004",,"$32,063","$354,031","$1,191,613",,"$848,545","$1,432,075","$7,738","$13,890",,,"$4,960",,"$460,924","$36,529","$530,588","$4,909","$42,354","$704,950",,"$279,304",,"$7,035","$29,155",,"$5,810",,"$63,044",,,,,,,,
Ain't Them Bodies Saints (2013),,"$1,059",,"$3,429",,,,,,,"$112,671",,"$27,964","$33,391",,,,,"$5,485",,"$6,070",,"$11,767",,,"$192,834",,,,,,"$30,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatsumi (2011),,"$9,877",,,,,"$19,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire State (2013),,"$26,255","$34,795","$144,865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,272",,,,,,,,,,,,,,,,
Closed Circuit (2013),,"$32,522",,"$28,208",,,,,,"$68,145","$40,824",,,,,,,"$53,907","$120,683",,"$20,949",,,,,"$64,762",,,,"$46,452",,,,,,,,,,,,,,,,,,,"$65,619",,,,,,,"$39,467",,,,,,,,
Out of the Furnace (2013),,"$21,849",,,,"$11,330,849","$7,103","$223,353",,"$2,940","$1,422,162","$393,376",,"$66,092","$438,311","$11,380","$105,651",$886,,,"$28,201","$9,183","$297,028","$109,799",,"$518,492",,"$17,311",,"$34,509",,"$240,996",,,,,,,,,,,"$50,217",,,"$33,152",,,"$275,508",,"$20,041",,,"$3,165",,,,,,,,,,
At Any Price (2012),,"$36,127",,"$6,476",,"$380,594",,,,,,,"$27,862",,,,,"$13,626","$3,989",,,,,,,$510,,,,,,,,,,,,,,,,,,,,,,"$6,071","$12,710",,,,,,,,,,,,,,,
Enough Said (2013),,"$66,662","$346,667",,,,"$27,873",,,"$1,621,263","$48,388","$501,920","$808,706","$32,614",,,"$86,637",,"$30,565",,"$86,630",,"$136,910","$579,100","$40,177","$809,422","$110,283",,"$797,061",,,,,"$41,752",,,,,,,,,"$91,938",,,"$67,266","$339,715",,"$23,654","$50,115",,,,,,"$17,474",,,,,,,,
Paintball (2009),,"$3,319","$69,281",,,,,,,,,,"$345,599",,,,,,,"$5,598",,,,,,,"$29,947",,,,,,,,,,,,,,,"$35,929",,,,,,,,,,,,"$8,020",,,,,,,,,,
Blue Is the Warmest Colour (2013),,"$44,517",,,,,"$200,230",,,,"$8,390,512","$1,299,800","$1,114,583","$502,695","$2,043,285","$91,783","$120,529","$90,368","$57,125",,,"$5,426","$606,785","$144,878","$6,196","$1,072,502","$102,260","$1,899",,"$377,313",,"$603,917",,"$255,547",,"$12,635",,,,,,,,"$63,916",,"$10,574","$46,773",,,,,,,,,,,,,,,,,
Parkland (2013),,"$5,760",,,,,"$22,619",,,,"$210,051",,,,,,,"$17,887",,,,,,,,"$443,897",,,,,,,,,,,,,,,,,,,,,,"$24,270","$34,046",,,,,,,,,,,,,,,
Mud (2012),,,"$206,784","$43,033",,,"$13,695",,,"$362,607","$5,348,217",,"$848,443","$357,753","$44,619","$32,215",,"$36,670",,,"$38,436",,"$86,016",,,"$1,307,110","$144,011",,,"$250,521","$92,481","$201,148",,"$106,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Past (2013),,,"$73,532",,,,"$45,443",,,,"$7,638,959","$773,992","$328,447","$342,254","$696,087","$207,294","$48,277","$58,581","$28,374",,,,"$117,530","$47,085","$15,216","$372,348","$79,152",$213,,"$172,211",,"$160,868",,,"$22,425",,,,,,,"$17,453",,,,,"$95,974",,,,,,,,,,,,,,,,,
The Broken Circle Breakdown (2012),,,"$56,134",,,,,,,"$36,535","$306,257","$986,193","$261,983","$3,413,827","$476,452",,"$45,657","$4,593","$5,377",,,,"$117,819",,,"$4,486",,,,,,"$60,282",,,,,,"$3,495",,,,,,,,,"$36,606",,,,,,,,,,,,,,,,,
Little Girl (2009),,,"$10,593",,,,,,,,,,,"$1,709","$92,103",,"$18,428",,,,,,"$16,470","$118,507","$4,915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$423,,,,
Berberian Sound Studio (2012),,,"$8,943",,,,,,,,"$8,599",,,,,,,,,,,,,,,"$256,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Come Out and Play (2012),,,"$269,097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Much Ado About Nothing (2012),,,"$80,578",,,,,,,"$233,918",,"$35,339","$18,776","$13,587",,,"$5,239",,,,,,"$33,386",,,"$471,546",,,,,,,,,,,,,,,,,,,,,"$120,003",,,,,,,,,,,,,,,,,
Still Mine (2012),,,"$68,997",,,,,,,"$174,083",,,"$24,437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,749",,,,"$118,128",,,,,,,,,,,,,,,,,
Hannah Arendt (2012),,,"$88,977",,,,,,,"$214,040","$1,204,617","$3,562,865","$965,081","$184,770",,,"$184,907","$154,355",,,,,"$736,043","$179,509","$41,901","$153,612","$16,137",,,"$64,327","$47,540","$327,752",,,,,,$795,,,,,,,,,"$36,503",,,,,,,,,,,,,,,,,
20 Feet from Stardom (2013),,,"$7,355",,,,"$21,819",,,"$111,399","$36,265","$45,236","$46,499","$6,216",,,"$15,942",,,,,,,,,"$318,163","$11,226",,,,,,,,,,,,,,,,,"$10,792",,,"$262,011",,,,,,,,,,,,,,,,,
The Mugger (2007),,,"$1,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days of Grace (2011),,,"$435,292",,,"$4,308",,,,,"$32,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Maisie Knew (2012),,,"$53,821",,,,,,,"$334,651",,"$94,386","$196,668","$25,560","$85,769","$26,754","$10,976","$12,700","$2,170",,,,"$100,453",,,"$538,676",,,,"$21,628",,,,,,,,,,,,,,,,,"$140,696",,,,,,,,,,,,,,,,,
The Little Traitor (2007),,,"$52,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What If (2013),,,"$1,054,097","$102,133",,,"$97,207",,"$139,080",,"$115,454",,"$495,827","$96,695",,"$54,886",,,"$32,383",,"$29,881","$3,441","$152,799","$113,717","$11,944","$1,970,239","$17,806",,,,,"$63,981","$26,993","$57,439","$20,202",,,,,,,"$84,495","$136,071",,"$46,245","$50,448",,"$45,610","$14,215",,,,,,,,,,,,,,,
Post Tenebras Lux (2012),,,"$55,526",,,,,,,,"$11,856",,,,,,,"$4,642",,,,,,,,"$13,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alps (2011),,,"$21,781",,,"$16,057",,,,,,,"$67,664",,"$89,988",,"$13,705",,,,,,,,,"$24,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The German Doctor (2013),,,"$96,927",,,,,,,,,,"$257,905","$7,622",,,,,,,,,"$88,205","$2,316,999","$53,610","$72,836",,,,"$57,437","$18,860",,,,,,,,,,,"$128,930","$12,367","$71,551",,"$34,077",,,,,,,,,,,,,,,,,,
Odd Thomas (2013),,,,"$213,658",,,,,,,,,,,"$579,099","$6,309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$118,835","$151,267",,,,,,,"$80,099",,,,,,,,
Pawn Shop Chronicles (2013),,,,"$1,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost in Thailand (2012),,,,"$165,137","$190,727,510",,"$85,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,584",,,,,,,,
Wish You Were Here (2012),,,,,,"$46,347",,,,"$1,471,571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,523",,,,,,,,,,,,,,,
Bliss (2007),,,,,,"$40,349",,,,,,,,,,,,,"$3,565,322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garbo: The Spy (2009),,,,,,"$28,563",,,,,,,"$319,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take Me Home (2011),,,,,,"$15,760",,,,,,,,,,,,,"$23,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New World (2013),,,,,,"$457,806",,,"$31,213,857",,,,"$2,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracula 3D (2012),,,,,,"$8,139",,,,,"$4,833",,"$121,537",,"$397,831",,,,,,,,,"$9,956",,,,,,,,,,,,,,,,,,,"$29,354",,,,,,,,,,,,,"$101,462",,,,,,,,
The Notebook (2013),,,,,,"$66,559",,,"$3,632,899",,,"$30,854","$81,428",,"$26,095",,"$3,812",,,,,,,,,,,,,,,,,,,,,,,,,"$37,809",,,,,,,,,,,,,,,,,,,,,,
The Numbers Station (2013),,,,,,,"$32,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,338",,,,,,,,,,,,,,,,
Late Autumn (2010),,,,,,,"$130,053",,"$5,929,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any Day Now (2012),,,,,,,"$52,920",,,,,,,,,,,"$3,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,105",,,,,,,,,,,,,,,,,
Fullmetal Alchemist: The Sacred Star of Milos (2011),,,,,,,"$42,082","$7,401,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woody Allen: A Documentary (2011),,,,,,,"$33,681",,,,,,,,,,,,,,,,,"$42,066",$747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Girl (2012),,,,,,,"$9,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tales of Vesperia: The First Strike (2009),,,,,,,,"$941,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,351",,,,,,
Ichi (2008),,,,,,,,"$4,382,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold (2013),,,,,,,,"$324,799",,"$75,495","$441,393","$100,481","$263,074",,,"$21,506",,"$4,207","$3,023",,"$51,851",,,"$87,693",,,"$136,295","$15,604",,"$115,108","$21,070",,,,,"$49,424",,"$1,921",,"$12,107",,,,,,,"$82,453",,"$444,015",,,,,,,,,,,"$37,458",,,"$146,033",
The Body (2012),,,,,,,,,"$346,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammer of the Gods (2013),,,,,,,,,"$4,753",,,,,,,,,"$1,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epitaph (2007),,,,,,,,,"$4,398,570",,,,,,,,,,"$45,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$134,486",,"$5,700",,,,,,
Night Train to Lisbon (2013),,,,,,,,,"$499,061","$133,381",,,,,,,,,,,,,"$349,957",,,,,,,,,,,,,,,,,,,,,,,,"$81,798",,,,,,,,,,,,,,,,,
Stories We Tell (2012),,,,,,,,,,"$616,908",,,,"$7,243",,,"$5,170","$6,092",,,,,,,,"$82,808",,,,,"$232,882",,,,"$40,471",,,,,,,,,,,,"$49,334",,,,,,,,,,,,,,,,,
We Steal Secrets (2013),,,,,,,,,,"$156,645",,"$23,181",,,,,,,,,,,$910,,$607,"$87,277",,,,,,,,,"$7,602",,,,,,,,"$4,508",,"$10,544",,,,,,,,,,,,,,,,,,,
Yamla Pagla Deewana 2 (2013),,,,,,,,,,"$79,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$76,213",,,,,,,,,,,,,,,,,
The Spectacular Now (2013),,,,,,,,,,"$44,586",,,,,,,,,,,"$6,548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,846",,,,,,,,,,,,
Bhaag Milkha Bhaag (2013),,,,,,,,,,"$288,324",,,,,,,,,,,,,,,,"$400,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,225,379",,,,,,,
Alan Partridge (2013),,,,,,,,,,"$167,616",,,,,,,,,,,,,,,,"$9,573,673",,,,,,,,,,,,,,,,,,,,,"$84,886",,,,,,,,,,,,,,,,,
Chennai Express (2013),,,,,,,,,,"$686,462",,"$112,282",,,,,,,"$27,750",,,,,,,"$3,380,074",,,,,,,,,,,,,,,,,"$298,050",,,,"$219,470",,,,"$22,407",,,,,"$180,198",,,,,,,,
TT3D: Closer to the Edge (2011),,,,,,,,,,"$564,848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$404,402",,,,,,,,,,,,,,,,,
Unfinished Sky (2007),,,,,,,,,,"$745,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Masti (2013),,,,,,,,,,"$55,415",,,,,,,,,,,,,,,,"$298,763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,454","$12,771,546",,,,,,,
Kabul Express (2006),,,,,,,,,,"$53,104",,,,,,,,,,,,,,,,"$212,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,523,110",,,,,,,
Special 26 (2013),,,,,,,,,,"$179,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$63,115",,,,,,,,,"$30,444",,,,,,,,
Talaash: The Answer Lies Within (2012),,,,,,,,,,"$666,318",,,,,,,,,,,"$75,416",,,,,"$1,492,869",,,,,,,,,,,,,,,,,,,,,"$171,207",,,,,,,,,,,,,,,,,
Bicycling with Molière (2013),,,,,,,,,,,"$9,378,710","$240,928","$153,269","$28,349","$1,021,804","$24,245","$55,287","$12,452",,,,,"$78,508",,,"$70,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foxfire: Confessions of a Girl Gang (2012),,,,,,,,,,,"$414,806",,"$41,303","$21,015","$13,843",,,"$2,921",,,,,"$6,160",,,"$24,286",,,,,,"$1,686",,,"$22,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's in a Name? (2012),,,,,,,,,,,"$25,601,451","$731,801","$1,456,655","$1,611,187","$1,213,056",,"$114,034","$10,497",,,,,"$242,659","$44,946","$62,755",,,,,"$107,972",,"$64,894",,,"$26,515",,,,,,,,,,,,,,,"$7,047",,,,,,,,,,,,,,
A Hijacking (2012),,,,,,,,,,,"$133,477",,,"$31,849",,,,,,,,"$3,118",,,,"$224,073",,"$5,707",,"$46,777","$76,803","$91,161",,"$1,661,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let's Make Money (2008),,,,,,,,,,,"$398,586","$1,595,861","$30,746","$18,055",,,"$1,616,389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,113"
Prince Avalanche (2013),,,,,,,,,,,"$71,763","$129,810",,$246,,,,,,,,,,,,"$35,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fill the Void (2012),,,,,,,,,,,"$72,877","$40,571","$77,859","$38,799","$735,073",,"$4,171","$18,218",,,,,"$80,607","$27,588","$10,414","$167,316","$7,391",,,,,"$33,588",,,,,,,,,,,,"$69,805",,,"$38,022",,,,,,,,,,,,,,,,,
Three Worlds (2012),,,,,,,,,,,"$300,848",,,"$10,657",,,,,,,,,"$8,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Term 12 (2013),,,,,,,,,,,"$380,499",,"$161,864","$2,807",,,,"$9,944",,,,,,,,"$47,749",,,,,,,,,,,,,,,,,,,,,"$29,201",,,,,,,,,,,,,,,,,
Getaway (2013),,,,,,,,,,,,"$120,383",,,,,"$7,876",,,,,,,,,"$80,818",,,,,,,,,,,,,,,,,,,,,,"$136,997","$838,967",,"$27,565","$91,888",,,,,,,,,,,,
Good Vibrations (2012),,,,,,,,,,,,"$20,488",,,,,,,,,,,,,,"$453,974",,,,,,,,,,,,,,,,,,,,,"$25,706",,,,,,,,,,,,,,,,,
Austenland (2013),,,,,,,,,,,,"$45,013",,,"$34,559",,,,,,,,,,,"$42,898",,,,,,,,,"$9,172",,,,,,,,,,,,"$22,826",,,,,,,,,,,,,,,,,
The Dead Man and Being Happy (2012),,,,,,,,,,,,,"$32,181",,,,,,,,,,,"$1,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lords of Salem (2012),,,,,,,,,,,,,"$5,283",,"$373,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirty Wars (2013),,,,,,,,,,,,,"$6,120",,,,,,,,,,,,,"$26,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unconditional (2012),,,,,,,,,,,,,"$28,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darling Companion (2012),,,,,,,,,,,,,"$221,443",,,,,"$12,723","$18,544",,"$78,968",,,,,,,,,"$20,025",,,,,,,,,,,,,,,,,,,"$11,739",,,,,,,,,,,,,,,
Blackfish (2013),,,,,,,,,,,,,"$16,840","$1,528",,,,,,,,,,,,"$203,916",,$514,,,,"$7,037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint (2010),,,,,,,,,,,,,,"$294,009",,,,,"$34,428",,,,,,,,,,,,,"$3,469,453",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Deal Is a Deal (2008),,,,,,,,,,,,,,,,,$356,,,,,,,,,"$606,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Museum Hours (2012),,,,,,,,,,,,,,,,,"$15,730",,,,,,,,,"$61,934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Prey 2 (2008),,,,,,,,,,,,,,,,,,,"$110,897",,,,,,,,,,,,"$3,250,103",,,,,,,,,,,,"$136,451",,,,,,,,,,,,,"$19,797",,,,,,,,
In a World... (2013),,,,,,,,,,,,,,,,,,,,,"$5,993",,,,,"$120,292",,,,,,,,,"$24,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temptation: Confessions of a Marriage Counselor (2013),,,,,,,,,,,,,,,,,,,,,"$1,026,344",,,,,,,,,,,,,,,,"$110,054",,,,,,,,,,,,"$18,151",,,"$13,241",,,,,,,,,,,,
The Last Elvis (2012),,,,,,,,,,,,,,,,,,,,,,,"$29,306","$416,208","$1,246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$675,,,,,,,,,,
It Happened in Saint-Tropez (2013),,,,,,,,,,,,,,,,,,,,,,,"$123,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Snows of Kilimanjaro (2011),,,,,,,,,,,,,,,,,,,,,,,"$274,347",,,,,,,,,,,,,,,,,,,"$22,289",,,,,,,,,,,,,,,,,,,,,,
Mediterranean Food (2009),,,,,,,,,,,,,,,,,,,,,,,"$48,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salinger (2013),,,,,,,,,,,,,,,,,,,,,,,"$2,618",,,,,,,,,,,,,,,,,,,,,,,,"$10,131",,,,,,,,,,,,,,,,,
Welcome to Argentina (2012),,,,,,,,,,,,,,,,,,,,,,,,"$21,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Little Pony: Equestria Girls (2013),,,,,,,,,,,,,,,,,,,,,,,,,"$1,480",,,,,,,,,,,,,,,,,,"$314,194","$82,134",,"$20,341",,,,,,,,,,,,,,,,,,
God Bless Ozzy Osbourne (2011),,,,,,,,,,,,,,,,,,,,,,,,,,"$4,927",,,,,,,,,,"$3,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Field in England (2013),,,,,,,,,,,,,,,,,,,,,,,,,,"$64,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drinking Buddies (2013),,,,,,,,,,,,,,,,,,,,,,,,,,"$58,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hell and Back Again (2011),,,,,,,,,,,,,,,,,,,,,,,,,,$315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Chess (2013),,,,,,,,,,,,,,,,,,,,,,,,,,"$25,811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawlspace (2012),,,,,,,,,,,,,,,,,,,,,,,,,,$318,,,,,,,,,,,,,,,,,,,,,,,"$150,785",,,,,,,,,,,,,,,
Hunky Dory (2011),,,,,,,,,,,,,,,,,,,,,,,,,,"$110,488",,,,,,,,,,,,,,,,,,,,,"$8,869",,,,,,,,,,,,,,,,,
Ping Pong (2012),,,,,,,,,,,,,,,,,,,,,,,,,,"$13,459",,,,,,,,,,,,,,,,,,,,,"$39,681",,,,,,,,,,,,,,,,,
Table No. 21 (2013),,,,,,,,,,,,,,,,,,,,,,,,,,"$30,901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afternoon Delight (2013),,,,,,,,,,,,,,,,,,,,,,,,,,"$1,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal Fairy & the Magical Cactus (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,451",,,,,,,,,,,,,,,,,,
Cheerful Weather for the Wedding (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$152,491",,"$13,817",,,"$1,963",,,,,,,,,,,,
D-Day (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,209",,,,,,,,,,,,,,,,,
Looking for Hortense (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,629",,,,,,,,,,,,,,,,,
On the Job (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$308,270",,,,,,,,,,,,,,,,
Officer Down (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$244,744",,,"$8,873",,,,,,,,,,,,
London Paris New York (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,104",,,,,,,,
