Movie Name,Domestic,Australia,United Kingdom,Portugal,France,New Zealand,South Korea,Japan,Hong Kong,Taiwan,Singapore,Thailand,Malaysia,Philippines,Germany,Italy,Netherlands,Sweden,Spain,Switzerland,Belgium,Austria,South Africa,Norway,Israel,Denmark,Finland,Greece,Kenya,Türkiye,Hungary,Brazil,Argentina,Mexico,Colombia,Venezuela,Chile,Peru,Ecuador,Central America,Uruguay,Lesser Antilles,Dominican Republic,United Arab Emirates,Czech Republic,Bulgaria,Lebanon,Ukraine,Iceland,Serbia and Montenegro,Latvia,Croatia,Bolivia,Russia/CIS,Poland,Baltic States,Middle East,Slovenia,Czech Republic/Slovakia,Puerto Rico,West Indies,India,Greece and Cyprus,S/E/W Africa,Egypt,Jamaica,Cyprus,Romania,Indonesia,Trinidad & Tobago,China,Middle East Other,Yugoslavia,Sri Lanka,Russia/CIS/Ukraine,Middle East/UAE,Lithuania,Estonia,Central America+,Paraguay,Netherlands Antilles,Panama
Cast Away (2000),,"$11,594,722","$21,087,890","$1,489,978","$9,258,474","$810,715","$7,332,828","$28,494,336","$3,075,320","$4,558,230","$1,267,424","$1,307,517","$426,184","$1,130,220","$29,018,840","$12,109,606","$1,882,004","$2,676,483","$9,862,185","$4,646,372","$2,800,093","$2,646,851","$688,479","$1,675,736","$1,641,550","$1,326,720","$933,341","$3,558,535",,"$770,865","$622,985","$6,207,494","$4,088,409","$6,135,518","$1,385,934","$1,417,277","$800,715","$708,962",,,,,,,"$559,247",,,,"$688,710",,,,,"$353,000","$1,414,275",,,,,"$1,593,601",,"$253,765",,,,,,,"$228,945",,,,,,,,,,,,,"$190,374"
The Family Man (2000),,"$2,830,043","$4,700,552",,,,,,,,,,,,"$1,559,853",,,,,,,,,,,"$161,037",,,,,,,,,,,,,,,,,,,"$14,347",,,,"$70,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The House of Mirth (2000),,"$230,121",,,,,,,,,,,,,,,,,"$45,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Congeniality (2000),,"$10,250,371","$14,159,015",,,,,,,,,,,,"$17,071,016",,,,,,,"$941,336",,,,"$691,910",,,,,,,,,,,,,,,,,,,"$160,003",,,,"$76,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Songcatcher (2000),,"$66,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State and Main (2000),,"$385,631","$117,939",,,,,,,,,,,,,"$323,801",,,,,,,,,,"$13,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracula 2000 (2000),,"$691,890",,,,,,,,,,,,,"$1,935,909",,,,,,,,,,,"$14,863",,,,,,,,,,,,,,,,,,,"$34,855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All the Pretty Horses (2000),,"$346,148","$59,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thirteen Days (2000),,"$1,422,838","$1,371,073",,"$542,948",,,,,,,,,,"$2,644,882",,,,,,,"$361,950",,,,"$149,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic (2000),,"$6,128,543","$12,410,420",,,,,,,,,,,,"$7,411,631",,,,,,,"$230,313",,,,"$865,951",,,,,"$268,863",,,,,,,,,,,,,,"$119,227","$55,157",,,"$130,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Claim (2000),,"$16,095","$56,404",,,,,,,,,,,,,,,,"$144,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow of the Vampire (2000),,"$239,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,768",,,,,,,,,,,,,"$3,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antitrust (2001),,"$236,381","$637,718",,,,,,,,,,,,,,,,,,,"$19,539",,,,,,,,,,,,,,,,,,,,,,,"$41,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Save the Last Dance (2001),,"$4,072,909","$7,642,365",,"$2,426,590",,,,,,,,,,"$5,802,109",,,,,,,"$216,500",,,,"$185,632",,,,,,,,,,,,,,,,,,,,,,,"$11,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pledge (2001),,"$451,279","$1,065,205",,"$2,364,804",,,,,,,,,,"$824,798",,"$142,581",,"$45,381",,,"$41,134",,,,,,,,,,,,"$491,750",,,"$75,042",,,,,,,,"$70,316","$9,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wedding Planner (2001),,"$2,256,611","$3,528,257",,,,,,,,,,,,"$6,259,515",,,,,,,,,,,"$65,761",,,,,,,,,,,,,,,,,,,"$28,933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly Hills Cop II (1987),,"$1,826,962","$1,798,517","$153,737","$4,014,022","$130,113","$718,944","$10,125,272","$442,903","$669,189","$373,689","$126,259","$97,139","$98,391","$2,589,715","$2,181,962","$954,740","$1,427,082","$1,008,806","$610,798","$493,074","$314,825","$945,392","$396,504","$195,799","$689,983","$295,428","$257,968",,"$65,418",,"$400,018","$242,590","$165,025","$95,806","$169,055","$50,338",,"$61,523",,"$12,010","$94,063","$48,818",,,,"$3,949",,,,,,,,,,,,,,,"$10,294",,,"$7,599",,,,,,,,,,,,,,"$93,155",,,
McCabe & Mrs. Miller (1971),,,"$18,372",,"$13,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Shop Around the Corner (1940),,,"$12,706",,"$10,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grand Illusion (1937),,,"$19,821",,,$535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Draughtsman's Contract (1982),,,"$26,987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Asphalt Jungle (1950),,,"$29,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whipped (2000),,,"$58,672",,,,,,,,,,,,,,,,"$66,813",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeo and Juliet (1968),,,"$6,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badlands (1973),,,"$51,502",,,"$1,973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pokémon the Movie 2000 (1999),,,"$2,980,580",,,,,,,,,,,,"$7,276,728",,,,,,,"$838,076",,,,"$340,084",,,,,,,,,,,,,,,,,,,"$53,852",,,,"$79,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bless the Child (2000),,,"$1,344,988",,,,,,,,,,,,,,,,,,,"$54,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
About Adam (2000),,,"$357,586",,,,,,,"$4,156",,,,,"$122,929",,,,"$151,644",,,,,,,,,,,,,,,,,,,,,,,,,,"$6,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digimon: The Movie (2000),,,"$1,567,641",,,,,,,,,,,,"$2,200,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blow-Up (1966),,,,"$6,066",,"$4,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Circus (1928),,,,,"$26,916",$509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Indemnity (1944),,,,,"$11,214",$765,"$2,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two Women (1960),,,,,"$8,565","$5,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suddenly, Last Summer (1959)",,,,,"$9,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne's World 2 (1993),,,,,,$214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bell Book and Candle (1958),,,,,,$125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Filth and the Fury (2000),,,,,,$241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creature from the Black Lagoon (1954),,,,,,$275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Invisible Man (1933),,,,,,$361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Postman Always Rings Twice (1981),,,,,,,"$6,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Guns of Navarone (1961),,,,,,,"$19,394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Alamo (1960),,,,,,,"$6,334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Virgin (1999),,,,,,,,,,,,,,"$50,801",,"$15,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet and Lowdown (1999),,,,,,,,,,,,,,,"$328,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deuce Bigalow: Male Gigolo (1999),,,,,,,,,,,,,,,"$1,370,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Green Mile (1999),,,,,,,,,,,,,,,"$12,792,725",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cider House Rules (1999),,,,,,,,,,,,,,,"$5,160,678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuart Little (1999),,,,,,,,,,,,,,,"$4,748,071",,,,,,,,,"$1,855,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any Given Sunday (1999),,,,,,,,,,,,,,,"$2,031,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galaxy Quest (1999),,,,,,,,,,,,,,,"$4,521,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Play It to the Bone (1999),,,,,,,,,,,,,,,"$244,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow Falling on Cedars (1999),,,,,,,,,,,,,,,"$266,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Beach (2000),,,,,,,,,,,,,,,"$6,651,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Whole Nine Yards (2000),,,,,,,,,,,,,,,"$302,787",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reindeer Games (2000),,,,,,,,,,,,,,,"$251,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erin Brockovich (2000),,,,,,,,,,,,,,,"$11,880,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Days (2000),,,,,,,,,,,,,,,"$857,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinosaur (2000),,,,,,,,,,,,,,,"$14,145,415",,,,,,,,,,,"$902,758",,,,,,,,,,,,,,,,,,,,,,,"$120,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anatomy (2000),,,,,,,,,,,,,,,"$10,492,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Legends: Final Cut (2000),,,,,,,,,,,,,,,"$3,190,336",,,,,,,"$478,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girlfight (2000),,,,,,,,,,,,,,,"$57,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye of the Beholder (1999),,,,,,,,,,,,,,,,"$201,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Invisible Circus (2001),,,,,,,,,,,,,,,,"$417,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarafina! (1992),,,,,,,,,,,,,,,,,,,,,,,"$3,747",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faithless (2000),,,,,,,,,,,,,,,,,,,,,,,,,,"$178,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystery Train (1989),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,755",,,,,,,,,,,,,,,,,,,,,,,,"$29,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scary Movie (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$117,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Affair of Love (1999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Art of War (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,552",,,,"$25,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonder Boys (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Road to El Dorado (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$96,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Kid (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Take (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gone in 60 Seconds (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,420,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace in the Hole (1951),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,300,000",,,,,,,,,,,
