Movie Name,Mexico,Spain,France,United Kingdom,Germany,Italy,United Arab Emirates,Netherlands,Türkiye,Ukraine,Sweden,Greece,Poland,Romania,Hungary,Portugal,Belgium,South Africa,Switzerland,Bulgaria,Austria,Israel,Denmark,Norway,Czech Republic,Lebanon,Finland,Slovakia,Egypt,Estonia,Croatia,Lithuania,Latvia,Slovenia,Iceland,Cyprus,Brazil,Peru,Colombia,Argentina,Panama,Chile,Ecuador,Venezuela,Bolivia,Trinidad & Tobago,Uruguay,Paraguay,Russia/CIS,Australia,Taiwan,South Korea,Indonesia,Malaysia,Singapore,Philippines,Hong Kong,Thailand,Japan,Vietnam,New Zealand,India,Pakistan,China,Serbia and Montenegro,Domestic,Dominican Republic,Jamaica,Kuwait,Qatar,Bahrain,Oman,Jordan,Mongolia,Switzerland (French),Central America,Puerto Rico,Costa Rica
Raw (2016),"$657,669","$364,530","$1,042,817","$182,223",,,,"$3,224",,,,"$21,465","$18,268",,,,,,,,,,,"$78,776",,,,,,,,,,,,,,,,,,,,,,,,,,"$51,294",,"$2,800",,,"$16,230",,,,"$121,351",,"$5,968",,,,,,,,,,,,,,,,,
You're Killing Me Susana (2016),"$1,338,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Wick: Chapter 2 (2017),"$2,189,790","$1,373,120","$2,257,240","$7,387,240","$7,617,195","$1,928,653","$2,568,629","$2,260,864","$1,532,034","$596,988","$424,132","$417,000","$1,022,201","$807,804","$611,598","$467,600","$740,746","$969,979","$1,363,950","$179,367","$962,758","$582,508","$392,115","$553,174","$437,007","$346,949","$402,965","$291,246","$170,028","$123,193","$154,540","$94,527","$99,862","$50,231","$134,043","$58,087","$2,526,489","$525,903","$533,293","$490,135","$203,470","$494,630","$211,849","$606,248","$49,003",,"$33,311","$21,546","$6,173,188","$5,975,717","$2,594,513","$1,880,142","$1,388,618","$1,988,824","$1,040,563","$1,807,392","$1,684,217","$1,599,159","$2,733,974","$553,757","$412,494","$447,289","$141,724",,"$64,609","$92,029,184","$233,886",,,,,,,,,,,
Get Out (2017),"$2,035,531","$4,721,384","$9,079,404","$12,747,483","$5,061,485","$1,257,308","$818,645","$1,473,915","$157,551","$191,290","$1,156,847","$564,781","$732,326","$139,441","$190,167","$183,425","$598,004","$177,278","$650,381","$22,966","$223,079","$571,643","$577,780","$609,911","$140,088","$88,278","$293,569","$68,624","$118,988","$75,522","$52,381","$87,302","$36,798","$14,236","$86,922","$10,168","$1,722,673","$554,730","$369,810","$692,018","$505,704","$159,485","$207,813","$145,615","$40,593","$186,485","$9,752","$21,066","$1,786,755","$4,795,389","$1,780,502","$15,595,226","$469,807","$226,793","$347,689","$108,944","$922,138","$355,309","$1,343,228","$252,358","$383,064",,,,"$9,378","$176,196,665",,,,,,,,$198,,,,
Logan (2017),"$13,671,454","$7,125,554","$16,658,330","$29,666,440","$10,112,963","$5,657,596","$4,495,111","$3,204,487","$3,206,290","$1,376,297","$3,147,293","$1,397,756","$2,273,844","$1,062,205","$1,014,573","$1,349,286","$2,373,249","$1,211,538","$2,075,079","$295,085","$1,509,602","$1,843,511","$2,368,354","$396,256","$1,103,008","$459,724","$1,120,896","$369,838","$558,771","$205,668","$258,546","$132,676","$173,422","$104,793","$266,566",,"$29,292,425","$2,847,395","$3,384,168","$5,059,153",,"$3,636,342","$2,203,289",,"$695,888","$666,787","$243,387","$216,169","$16,582,481","$17,999,137","$7,170,548","$15,037,319","$6,404,094","$4,477,218","$3,676,578","$3,855,836","$5,286,790","$3,597,564","$6,565,029","$2,296,305","$2,254,469","$6,867,824","$552,705","$106,226,155","$200,658","$226,277,068","$479,182","$147,938","$924,672","$792,447","$659,741","$396,256","$224,710","$143,192",,,,
Kong: Skull Island (2017),"$14,200,000","$5,600,000","$12,000,000","$19,500,000","$9,700,000","$3,500,000","$4,668,663","$3,900,000","$1,500,000","$1,326,965",,"$785,780","$1,844,380","$1,066,022","$691,906","$790,264",,"$1,465,657","$1,600,000","$461,786",,,,"$2,191,056","$497,723",,"$789,540","$315,881",,,,"$217,875",,"$86,898","$230,362",,"$9,400,000",,"$2,749,382","$3,411,066",,,,,"$351,046",,"$108,855",,"$10,500,000","$10,000,000","$8,300,000","$12,100,000","$4,700,000",,,,"$3,400,000","$2,421,914","$17,000,000",,"$1,732,745",,,"$168,188,002",,,,,,,,,,,,,,
T2 Trainspotting (2017),"$826,490","$1,282,991","$749,792","$21,186,631","$1,471,306","$2,620,659",,"$617,001","$83,172",,"$191,680","$166,739","$249,981","$92,936","$154,283","$164,773","$177,651","$43,831","$266,076","$74,092","$199,303","$69,713","$152,509","$118,812","$433,298","$8,595","$333,276","$159,655",,"$43,929","$89,814","$39,201","$18,944","$20,036","$40,959",,"$279,956","$71,208","$164,915","$383,658",,"$221,958",,,,,"$26,116",,"$1,238,519","$2,204,095",,,,,"$46,487","$4,801","$232,784","$17,519","$1,561,515",,"$529,605",,,,"$48,541",,,,,,,,,,,,,
Tear This Heart Out (2008),"$9,042,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,884","$83,779","$57,357",,"$21,661","$27,014","$93,100","$19,601",,"$13,523",,,,,,,,,,,,,,,,,,,,"$3,493",,,,,,,,,"$110,238","$13,942",
The Big Sick (2017),"$185,051","$588,047",,"$2,352,006","$784,090","$499,911","$110,189","$937,477",,,"$124,246","$112,630","$415,865",,"$62,778","$32,804","$146,462","$83,922","$162,168",,"$42,871","$743,311","$161,001","$301,896","$202,510","$24,409","$43,254","$59,956",,,"$13,994",,,"$17,677","$8,445",,"$60,951",,"$54,587","$25,608","$1,627","$48,170",,,,,"$3,258",,,"$3,508,053","$74,469","$107,164",,,"$108,494",,"$65,308","$30,517","$184,384",,"$871,010","$102,077",,,,,,,,,,,,,,,,$506
King Arthur: Legend of the Sword (2017),"$5,900,000","$5,144,581","$6,100,000","$6,300,000","$5,800,000","$2,200,000","$2,197,360","$2,000,000","$1,200,000","$1,306,205",,"$618,456","$1,178,967","$799,093","$380,923","$717,712",,"$484,020","$1,000,000","$313,610",,,,"$951,228","$501,388",,"$552,842","$263,367",,,,"$104,705",,"$94,463","$115,847",,"$4,800,000",,"$1,188,440","$1,500,000",,,,,"$210,577",,"$66,935","$67,230","$12,700,000","$4,031,175","$1,600,000","$3,000,000","$3,000,000",,,,"$478,000","$1,139,501","$2,700,000",,"$782,693",,,"$8,353,642",,,,,,,,,,,,,,
Incarnate (2016),"$689,389",,,,,"$552,871","$112,608","$194,558","$57,172",,,,,"$128,672","$94,435","$100,145",,,,,,,,,"$44,387",,,"$22,955",,"$6,780",,"$31,478","$4,207","$1,968",,,"$573,162",,"$180,871","$175,093",,,,,,,,"$12,991","$497,799",,"$37,248","$125,459","$188,431","$185,169","$78,785",,"$96,320",,,"$44,331",,,,,,,,,,,,,,,,,,
Beauty and the Beast (2017),"$29,968,579","$24,076,226","$23,910,493","$90,553,118","$35,353,796","$22,689,495","$6,706,941","$8,669,457","$973,259","$1,597,164","$7,366,642","$1,380,768","$4,906,241","$1,582,047","$1,533,501","$3,433,454","$6,626,948","$2,954,949","$4,520,889","$1,104,809","$4,173,297",,"$5,241,573","$4,692,916","$2,282,091",,"$3,208,617","$508,601",,,,"$181,358",,"$240,123","$478,109",,"$41,497,084",,"$5,772,950","$11,594,071",,"$4,875,578",,"$10,753,418","$1,183,382",,"$588,040","$403,728","$14,634,611","$36,309,005","$8,232,563","$37,583,870","$9,161,033","$5,527,695","$5,359,049","$13,501,376","$9,231,866","$5,124,422","$110,790,534",,"$4,632,686","$4,149,628",,"$85,763,002",,"$504,481,165",,,,,,,,,,,,
Coco (2009),"$50,204",,"$24,194,564",,,,,,,,,,,,,,"$905,950",,"$425,773",,,,,,,,,,,,,,,,,,,,,"$17,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
