Movie Name,France,Italy,Germany,Portugal,Spain,Bulgaria,Türkiye,Slovakia,Domestic,Mexico,Hong Kong,South Korea,Finland,Iceland,Lithuania,United Kingdom,Netherlands,Belgium,South Africa,Norway,Sweden,Poland,United Arab Emirates,Israel,Austria,Switzerland (German),Nigeria,Romania,Lebanon,Greece,Ukraine,Bahrain,Qatar,Jordan,Hungary,Egypt,Switzerland (French),Croatia,Oman,Ghana,Kenya,Serbia and Montenegro,Latvia,Estonia,Slovenia,Ethiopia,Venezuela,Peru,Argentina,Brazil,Colombia,Ecuador,Chile,Uruguay,Bolivia,Japan,Australia,Russia/CIS,New Zealand,Philippines,Singapore,India,China,Malaysia,Thailand,Czech Republic,Denmark,Taiwan,Vietnam,Switzerland,East Africa,Panama,Indonesia,Cyprus,Trinidad & Tobago,Paraguay,Pakistan,Mongolia,Kuwait,Dominican Republic,Jamaica
Ben-Hur (2016),"$3,380,709","$1,005,489","$1,424,852","$503,315","$3,115,046","$344,272","$1,113,037","$57,007",,"$6,694,818","$552,304","$10,029,919",,"$42,060","$44,406","$2,809,225","$1,183,937","$359,986","$266,809","$48,135",,"$116,760","$961,170",,"$321,858",,,"$554,174",,"$105,511","$504,391",,,,"$182,727",,,,,,,"$523,527",,,"$40,504",,"$2,533,605","$1,287,156","$756,937","$6,613,750","$656,898",,"$241,632","$27,531","$129,702",,"$1,741,912","$4,365,757","$260,619","$1,094,582","$523,527","$799,813","$2,573,312","$725,786","$468,436","$83,281",,"$878,086",,"$400,828",,"$739,626","$1,164,961",,,,,,,,
Warcraft (2016),"$14,410,397","$3,976,000","$15,730,499","$661,005","$6,258,466","$688,048","$2,595,521","$611,715",,"$5,586,981","$2,502,176","$8,713,649","$696,269","$154,141","$190,995","$8,777,725","$2,208,764","$1,784,332","$643,419","$1,480,111","$3,452,042","$2,482,001","$2,000,169","$667,599","$1,663,658","$901,078",,"$1,166,619","$232,697","$712,251","$1,898,628",,,,"$1,186,737","$271,393","$497,167","$247,059",,,,"$414,201","$247,401","$269,594","$137,000",,"$94,877","$1,316,902","$2,002,099","$5,945,401","$1,699,984","$488,924","$611,891","$86,959","$561,709","$675,346","$4,775,652","$22,485,117","$753,716","$2,481,715","$1,742,721","$937,126","$225,547,500","$2,546,831","$2,424,109","$1,835,879","$1,971,442","$4,857,603","$1,387,000","$1,704,633",,,"$3,360,117","$74,826","$228,401","$62,250","$120,206",,,,
Avengers: Age of Ultron (2015),"$34,270,887","$18,120,047","$31,193,932","$1,841,706","$13,640,131","$645,121","$5,864,977","$588,510","$459,005,868","$50,940,433","$17,155,906","$72,319,433","$1,338,700","$371,887","$176,271","$62,974,363","$5,465,221","$3,313,943","$3,276,734","$4,770,579","$5,240,559","$3,967,269","$3,166,819","$2,021,296","$4,086,924","$2,717,245","$273,301","$1,137,226","$542,714","$1,776,109","$1,909,793","$562,690",,"$361,851","$1,980,532","$1,218,558","$1,307,885","$348,389","$359,221",,"$317,574","$190,746","$195,571","$261,445","$122,335",,"$18,531,156","$7,025,935","$9,280,502","$47,862,465","$9,955,023","$5,590,716","$6,942,365","$458,022","$2,278,266","$26,373,434","$30,969,152","$34,323,096","$1,808,028","$14,097,441","$9,904,467","$16,695,001","$240,110,000","$13,390,227","$8,850,822","$2,011,520","$4,578,163","$18,417,745","$5,259,089",,,,,,,,,,,,
Avatar: The Way of Water (2022),"$157,099,579","$48,025,161","$148,204,213","$8,468,608","$54,533,887","$3,768,237","$6,950,007","$3,431,643",,"$55,975,947","$18,470,230","$108,045,923","$5,900,171","$861,037","$2,915,544","$93,320,842","$31,602,957","$19,975,731","$4,831,888","$11,426,486","$18,118,773","$19,850,852","$13,214,359",,"$18,215,675",,,"$8,336,477",,,"$5,463,970",,,,"$6,856,155",,,"$2,045,138",,,,"$2,010,869",,,"$1,794,840",,,,"$17,364,282","$46,007,305","$14,792,462",,"$13,958,371",,,"$32,525,343","$63,840,735",,"$11,780,466","$11,555,693","$8,844,118","$59,554,397","$245,996,272","$12,283,975","$16,776,706","$14,051,012","$18,038,987","$24,409,248","$11,757,024","$22,580,492",,,"$20,615,163",,,,,,,,
Pirates of the Caribbean: Dead Men Tell No Tales (2017),"$28,763,203","$14,503,644","$31,526,868","$2,634,293","$14,897,137","$1,143,629","$5,752,585","$651,965","$172,558,876","$16,643,576","$4,517,374","$22,292,910","$4,074,010","$309,211","$703,324","$25,096,446","$11,245,195","$5,287,437","$1,308,267","$4,432,108","$7,291,991","$7,467,555","$3,852,600",,"$3,717,328",,,"$2,336,709",,"$2,428,038","$3,693,371",,,,"$1,817,842",,,,,,,,,,"$458,117",,"$546,496",,"$8,914,657","$16,729,468","$4,650,279",,"$4,113,830","$640,617","$996,228","$59,765,357","$10,958,563","$37,237,098","$1,860,300","$3,225,265","$2,569,358","$5,651,126","$172,277,290","$4,805,222","$5,174,206","$3,616,902","$3,841,170","$7,539,415",,"$5,133,561",,,"$6,115,834",,,"$368,714",,,,,
Justice League (2017),"$14,200,000","$8,000,000","$7,700,000","$1,455,923","$8,200,000","$437,841","$2,819,023","$407,085","$229,024,295","$24,800,000","$5,900,000","$13,100,000","$597,772","$276,863","$137,701","$24,097,528","$2,900,000",,"$2,472,762","$1,593,457",,"$1,486,879","$4,243,907",,,,,"$1,510,225",,"$1,268,006","$1,438,545",,,,"$850,523",,,,,,,,,,"$99,320",,,,"$6,400,000","$41,302,692","$7,497,096",,,"$290,904","$1,582,273","$9,400,000","$15,000,000","$10,900,000","$2,343,031",,,"$6,291,049","$106,052,345",,"$3,335,582","$1,053,914",,"$8,100,000",,"$1,600,000",,,"$10,800,000",,,"$322,636",,,,,
Ant-Man (2015),"$13,562,428","$5,290,741","$5,917,308","$789,416","$4,146,982","$187,167",,"$146,223",,"$15,100,000","$6,992,049","$21,120,665","$595,592","$183,341","$59,705","$25,190,193","$1,850,753","$1,239,587","$748,336","$1,363,039","$2,138,644","$1,300,023","$2,887,816","$1,336,529","$787,916","$528,386","$96,199",,"$337,940","$361,113","$848,150",,,"$206,685",,,"$389,498","$164,337",,"$361,113","$118,525","$66,156","$57,263","$111,047","$35,601",,"$6,781,787","$2,883,625","$4,126,139","$12,431,089","$1,872,949","$1,354,260","$1,280,378","$94,883","$589,218","$9,670,913","$10,901,077","$11,500,000","$707,807","$5,243,134","$4,514,252","$1,629,855","$105,370,038","$6,747,317","$3,341,724","$618,895","$918,472","$11,100,000","$2,054,218","$343,811",,,,,,,,,,,
Fantastic Four (2015),"$8,519,677","$2,080,326","$1,246,451","$556,428","$3,758,722",,"$1,257,819","$55,920",,"$10,240,076","$1,928,060","$1,959,963",,"$52,888","$20,667","$8,878,507","$723,158","$620,524","$439,296","$374,239","$528,925","$442,356","$1,448,204","$451,484","$262,929","$120,061","$51,501",,"$126,519","$309,260","$337,153","$169,712","$218,791","$65,263",,"$159,794","$223,463","$71,707","$124,093",,"$63,886","$32,217","$23,251","$31,504",,"$5,463","$8,043,460","$2,029,806","$1,425,574","$6,198,671","$1,789,580","$1,230,258","$627,192","$66,484","$481,432","$2,503,040","$3,874,288",,"$651,152","$2,376,426","$2,064,184","$1,318,908",,"$2,516,590","$1,228,942","$162,888","$361,111","$1,398,783","$693,412",,,,,,,,,,,,
Deadpool (2016),"$29,058,302","$8,262,758","$24,583,395","$2,139,522","$11,476,701","$616,228","$4,985,998","$771,605","$363,070,709","$18,653,169","$7,967,589","$22,541,482","$2,985,639","$419,007","$388,935","$53,538,139","$5,681,279","$3,808,750","$2,091,880","$4,267,159","$5,542,328","$3,694,972","$4,089,919","$2,408,246","$3,313,917","$2,724,291",,"$1,628,613","$451,784","$1,450,439","$2,039,335","$641,555","$709,787",,"$2,129,126","$147,723","$1,216,070","$596,958","$362,690",,"$64,096","$360,912","$107,693","$453,545","$281,197","$17,729","$656,126","$2,601,217","$2,508,724","$20,625,097","$2,888,158","$1,949,590","$4,205,061","$301,763","$895,288","$18,916,494","$33,413,917","$26,002,884","$3,746,776","$6,075,224","$4,499,140","$2,639,117",,"$5,292,874","$4,282,893","$2,000,459","$4,253,416","$12,471,651","$1,566,065",,,,,,,,,,,,
Thor: Ragnarok (2017),"$21,262,791","$9,874,520","$19,036,145","$1,344,160","$10,622,231","$733,913","$2,981,701","$846,839","$315,058,289","$21,249,433","$7,003,816","$35,126,494","$1,456,100","$480,305","$216,827","$40,960,481","$4,590,401","$2,566,343","$2,548,900","$2,753,609","$4,541,867","$4,046,509","$4,592,345",,"$2,745,268",,,"$2,111,835",,"$1,295,237","$2,424,456",,,,"$2,204,736",,,,,,,,,,"$188,184",,"$2,985,748",,"$6,169,643","$30,485,847","$5,473,781",,"$3,736,319","$380,925","$1,422,005","$10,116,575","$27,000,857","$23,651,517","$5,142,491","$8,347,510","$5,950,587","$11,818,410","$112,226,154","$8,037,405","$7,504,939","$3,043,078","$2,918,761","$10,411,887",,"$2,230,816",,,"$11,746,294",,,"$358,934",,,,,
