Movie Name,Argentina,Uruguay,Australia,Russia/CIS,Türkiye,France,Spain,Germany,United Kingdom,United Arab Emirates,Romania,Belgium,Portugal,Ukraine,South Africa,Oman,Thailand,Singapore,Philippines,Domestic,New Zealand,South Korea,Austria,Lebanon,Peru,India,Malaysia,Nigeria,Kenya,Venezuela,Italy,Poland,Netherlands,Sweden,Czech Republic,Slovakia,Lithuania,Greece,Croatia,Latvia,Mexico,Ecuador,Bolivia,Vietnam,Bahrain,Brazil,Norway,Iceland,Chile,Colombia,Taiwan,Denmark,Slovenia,Hungary,Switzerland (French),Switzerland (German),China,Finland,Bulgaria,Serbia and Montenegro,Israel,Qatar,Hong Kong,Cambodia,Switzerland,Estonia,Japan,Ethiopia,Ghana,Egypt,Indonesia
Macadam Stories (2015),"$6,941",,,,,,,,,,,,,,,,,,,,,"$31,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley of Love (2015),"$20,045","$1,854",,,,"$994,386",,"$88,290","$35,462",,,"$15,355","$5,827",,,,,,,,,,"$73,412",,,,,,,,,,,,,,,,,,,,,,,,,$998,,,,,,,,,,,,,,,,,,,,,,,
In the Shadow of Women (2015),"$37,446",,,,,,,"$18,805",,,,,"$17,661",,,,,,,,"$1,289",,"$7,301",,,,,,,,,,,,,,,,,,,,,,,,"$17,276",,,,,,"$2,733",,,,,,,,,,,,,,,,,,
Lolo (2015),"$36,801",,,"$9,051","$5,051","$5,951,505","$228,021","$151,914",,,"$2,376","$519,379","$36,504",,,,,,,,,,"$100,255",,,,,,,,"$241,603","$40,114",,,,,,,,,,,,,,"$57,489",,,,,,,,,"$213,928",,,"$45,673",,,,,,,,,,,,,
Cabin Fever (2016),"$43,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar nero (2008),"$17,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capture the Flag (2015),"$495,223","$43,239",,"$43,265",,,"$12,483,641",,"$2,211,858","$133,790","$137,469",,"$143,063","$69,856",,"$10,572",,,,,,"$280,359",,"$12,334","$152,206",,,,,,,"$499,925","$811,895",,,,,,,,"$754,949",,"$48,414",,,"$612,374",,,"$163,139",,,,,,,"$98,820",,,"$118,956",,"$1,072,026",,,,,,,,,,
Mr. Kaplan (2014),,"$112,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chico: Artista Brasileiro (2015),,$558,,,,,,,,,,,"$1,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$495,968",,,,,,,,,,,,,,,,,,,,,,,,,
The Boy (2016),,"$89,812","$213,677","$1,031,891","$108,770","$2,775,297",,"$2,425,937","$3,405,286","$410,369",,"$475,157","$215,006","$17,493","$27,365","$18,202","$657,876","$570,086","$844,365","$35,819,556","$14,109","$377,143","$508,181","$152,427","$718,811",,"$1,192,969",,$408,,"$2,242,605","$469,234","$386,719",,"$56,566","$80,877","$52,566","$539,156",,,"$4,953,162","$244,391",,,"$132,937","$1,092,039","$506,725","$13,022","$507,367","$657,553","$326,813",,"$20,748","$172,979",,,"$2,545,897","$96,479",,,,,,,,,,,,,
