Movie Name,Türkiye,Germany,Greece,Austria,United Kingdom,France,Belgium,Brazil,United Arab Emirates,Spain,Portugal,Netherlands,Ukraine,Bulgaria,Norway,Croatia,Egypt,Iceland,Lebanon,Russia/CIS,Malaysia,Thailand,Japan,Philippines,Singapore,Hong Kong,China,Sweden,South Africa,Australia,New Zealand,South Korea,Finland,Italy,Poland,Czech Republic,Slovakia,Hungary,Slovenia,Argentina,Uruguay,Ecuador,Domestic,Serbia and Montenegro,Peru,Bolivia,Nigeria,East Africa,Mexico,Chile,Israel,India,Denmark,Bahrain,Lithuania,Colombia,Venezuela,Taiwan,Vietnam,Switzerland (German),Saudi Arabia,Switzerland (French),Estonia,Latvia,Kuwait,Switzerland,Kenya,Oman,Ghana,Central America,Romania,Jordan,Cambodia,Qatar,Ethiopia
Dawn of the Planet of the Apes (2014),"$2,450,508","$18,107,922","$544,060","$1,961,377","$55,198,182","$33,324,078","$4,163,990","$24,303,514","$3,507,113","$17,324,221","$1,426,486","$5,223,864","$854,920","$235,066","$1,438,311","$308,320","$673,569","$170,430","$418,386","$20,640,785","$4,764,983","$2,487,587","$12,718,083","$2,711,242","$3,465,154","$4,768,684","$107,355,317","$4,153,409","$877,253","$17,074,003","$3,037,515","$30,594,006","$679,729","$6,444,265","$844,508","$517,323","$196,975","$391,164","$41,258","$6,224,042","$309,151","$1,694,076",,"$119,906","$6,254,913","$724,682","$90,801","$85,786","$24,579,285","$4,194,616","$1,400,546","$3,614,489","$1,787,908","$632,835",,"$5,661,779","$3,178,083",,,,,,,,,,,,,,,,,,
No One Lives (2012),"$107,661",,,,,,,,"$104,322",,,,,,,,,,,"$587,935",,,,"$61,050",,,,,,,,,,,,,,,,"$69,121",,,,,,,,,,"$43,697",,,,,,,,,,,,,,,,,,,,,,,,,
Deliver Us from Evil (2014),"$297,607","$2,893,986","$496,905","$591,193","$2,149,207","$2,901,836","$398,724","$4,057,130","$361,719","$3,682,723","$244,763","$421,475","$247,098","$47,407","$389,634","$67,399","$272,433","$39,713","$63,983","$8,603,253","$1,002,100","$177,768","$482,784","$917,281","$472,182","$362,168",,"$476,442","$107,116","$2,390,866","$224,010","$561,116","$118,493","$2,002,357","$825,012","$204,777","$180,550","$105,591","$28,493","$1,878,997","$114,259","$319,781",,"$31,491","$578,195","$90,367","$63,385","$8,875","$4,237,553","$1,374,486","$127,274","$419,884","$244,876","$86,619",,"$788,244","$1,864,595",,,,,,,,,,,,"$3,467",,,,,,
Hallåhallå (2014),,"$85,063",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,016,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don 2 (2011),,"$132,027",,"$5,041","$2,233,312",,,,,,,,,,,,,,,,"$194,020",,,,,,,,"$212,978","$252,529","$203,305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Long Way Down (2014),,"$2,688,643",,"$235,388","$1,493,867",,,"$20,199","$47,402","$710,350","$6,331",,,"$33,233",,"$26,689",,,"$5,552",,"$9,294",,,,,,,,,,,,,"$1,695,512","$164,128","$55,682","$26,102","$18,068","$8,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venus in Fur (2013),,"$574,874",,"$177,535","$63,411","$1,882,425","$109,164","$111,244",,"$377,975","$58,150",,,,,,,"$1,751",,,,"$1,114",,,"$1,597","$21,165",,,"$8,940",,"$11,913",,,"$1,631,214","$636,397",,,,,"$69,318","$2,787","$2,671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
About Last Night (2014),,"$228,932",,,"$631,550",,,,,,,,,,,,"$17,413",,"$115,107",,,,,,,,,,"$432,918",,,,,,,,,,,,,,,,,,"$312,822","$34,163",,,,,"$10,524","$24,747",,,,,,,,,,,,,,,,,,,,,
Cuban Fury (2014),,"$168,049","$11,455",,"$4,087,346",,"$28,186",,"$37,925",,,,"$18,466",,,,,"$3,071",,,,,,,"$41,285",,,,,"$726,521","$410,336",,,,,,,,"$20,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
That Awkward Moment (2014),,"$2,186,858","$60,791","$543,425","$4,584,759",,"$782,747","$1,483,520","$188,686",,"$396,239","$1,598,806","$76,600",,"$47,285","$15,222",,"$25,169","$33,576","$1,023,946","$194,274","$26,263",,,"$347,545","$12,482",,,"$361,801","$2,306,015","$364,493",,"$275,383","$633,809","$267,594","$24,889","$103,054","$20,638","$2,801","$464,296","$35,996",,,,,,"$32,551",,"$577,364",,,,,,,"$472,311",,,,,,,,,,,,,,,,,,,
The Look of Love (2013),,"$49,654",,"$16,023","$710,619",,"$5,343",,,,$758,,,,,,,,,"$141,322",,,,,"$11,771","$18,735",,,,"$189,880","$27,236",,,,"$49,885",,,,,,,,,"$2,223",,,,,"$73,767",,,,,,,,,,,,,,,,,,,,,,,,,,
Veronica Mars (2014),,"$41,094",,"$7,519","$114,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Artist and the Model (2012),,"$178,074",,,"$41,704","$448,582",,,,"$682,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On My Way (2013),,"$449,787",,"$73,347",,"$2,483,526","$89,957","$271,821",,"$1,020,247",,"$561,768",,,,,,,,,,,,,,,,"$72,121",,,"$29,752",,"$34,938",,,,,,,"$53,217","$24,509",,,,,,,,,,,,,,,"$23,391",,,,,,,,,,,,,,,,,,,
Gabrielle (2013),,"$77,909",,"$8,850",,"$180,199","$42,081",,,"$22,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,757",,,,,,,"$15,742",,,,,,,,,,,,,,,,,,,
Mistaken for Strangers (2013),,"$37,342",,"$6,281","$68,227",,"$2,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diplomacy (2014),,"$246,622",,"$18,827",,"$3,186,936","$225,410","$78,912",,"$180,273","$6,231",,,,,,,,,,,,,,,,,,,,,,"$32,389",,,,,,$762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wetlands (2013),,"$9,334,522",,"$1,166,247",,,,,,,,,,,$752,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$59,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Raid 2 (2014),,"$495,418",,"$43,165","$1,796,027","$382,551","$19,522",,"$140,871",,,"$106,742","$17,081",,,,,,,"$554,962",,"$31,749",,"$36,553",,"$110,852",,,,"$126,120","$64,012",,"$14,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvary (2014),,"$860,000",,"$43,608","$4,891,035","$67,090","$21,079",,,"$587,682",,,,,"$7,742",,,,,"$48,086",,,,,,,,,,"$2,273,540","$466,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears (2014),,"$50,923",,,,"$2,327,939",,,,,,"$251,602",,,,,,,"$20,209",,,,,,,,,,,,,,,,,,,,,"$9,652","$5,606","$70,822",,,"$27,717",,,,"$108,487","$7,110",,,,,,"$57,171","$34,064",,,,,,,,,,,,,,,,,,
Heaven Is for Real (2014),,"$179,849",,,"$69,425",,,"$106,717",,"$356,490","$239,336",,"$90,952",,"$688,867",,,,,,,,"$185,870","$553,112",,"$397,445",,,"$276,930","$246,845","$79,419","$294,591",,,"$1,409,321",,"$168,060",,,,"$47,138","$55,018","$91,443,253",,"$580,352","$47,513","$64,458",,"$1,994,424","$83,617",,,"$46,642",,,"$1,196,336","$432,000",,,,,,,,,,,,"$12,806",,,,,,
Girl on a Bicycle (2013),,"$84,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 100 Year-Old Man Who Climbed Out the Window and Disappeared (2013),,"$11,529,515","$12,976","$906,195","$631,050","$896,794","$137,227",,,"$1,712,298",,"$1,417,224",,,"$3,167,727","$6,339",,"$162,226",,,,,,,,"$68,153",,"$22,919,896","$21,159","$319,269","$274,957","$1,670,909","$1,172,588","$322,722","$636,010","$352,113","$113,970","$71,404",,,,,,,,,,,,,,,"$1,687,834",,"$11,942",,,,,,,,,,,,,,,,$882,,,,
Belle (2013),,"$55,022",,"$28,254","$3,038,702",,"$25,514",,"$5,888","$421,250","$27,411","$43,302",,,,,,,,,,,,,,,,,"$65,677","$1,645,625","$384,404",,,"$139,896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Begin Again (2013),,"$2,013,471",,"$290,277","$2,630,129","$1,469,570","$104,467","$759,062","$197,066","$2,375,894","$106,720","$166,896","$49,805",,"$19,675","$17,428",,,"$12,423","$1,106,604",,"$1,007,262",,"$234,391","$290,816","$936,395","$3,220,000","$202,381","$182,714","$1,313,495","$424,882","$41,017,685","$94,199","$1,332,453","$368,369","$107,458","$33,275","$111,054",,"$124,877",,,"$16,170,632",,"$32,442",,,,"$1,085,450","$60,799",,,"$241,482",,,"$37,600",,"$508,342",,,,,,,,,,,,,,,,,
The Love Punch (2013),,"$690,586","$337,563","$140,444","$3,868,206","$1,318,590",$922,"$389,891","$111,515",,"$95,630","$121,902",,,,"$35,415",,"$3,711",,,,,,"$56,185",,,,,,,"$9,393",,,,"$379,269",,,"$111,819","$16,576","$148,547","$39,431","$14,407",,"$19,464","$42,601",,,,,,,,,,,"$146,668","$1,170",,,,,,,,,,,,,,,,,,
The Grand Seduction (2013),,"$163,162",,"$134,920","$191,063",,,,,"$341,487",,,,,,,,,,,,,,,,,,,"$31,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Girls (2011),,"$32,284",,"$21,451",,"$182,020","$8,711",,,,"$4,269",,,,,,,,,,,,,,,,,,,,,,,"$190,037",,,,,,,,,"$15,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boyhood (2014),,"$3,261,354","$125,309","$315,843","$4,840,251","$406,902","$1,491,903","$846,917",,"$1,597,325","$127,677","$2,405,306","$19,121",,"$150,730","$23,367",,"$8,885",,,,"$82,462",,,"$66,029","$281,179",,"$225,663","$64,189","$1,439,865","$241,757","$1,226,947","$312,833","$437,176","$180,861","$68,816",,"$39,798","$37,736","$186,156","$7,963","$35,041",,"$8,776","$31,170",,,,"$476,973","$60,775","$426,430","$72,911","$970,481",,"$12,323","$29,300",,"$91,551",,,,,"$39,258","$10,076",,,,,,,,,,,
Think Like a Man Too (2014),,"$85,146",,,"$582,941",,,,"$646,315",,,,,,,,"$20,522",,"$147,493",,,,,,,,,,"$1,355,083",,,,,,,,,,,,,,,,,,"$400,586","$71,169",,,,,"$7,099","$130,151",,,,,,,,,,,,,,,"$78,238",,,,,,
Jersey Boys (2014),,"$182,906",,"$36,770","$2,693,097","$1,057,264","$49,013","$158,046","$25,180","$530,428",,"$86,034",,,,,,"$13,751","$8,540",,,,"$2,744,783","$26,169","$104,929",,,,"$19,826","$5,304,579","$1,056,741",,,"$1,091,247",,,,,,"$60,709","$7,589","$17,620",,,"$55,399","$2,289",,,"$513,773","$22,208",,,"$692,838",,,"$21,866","$63,561",,,,,,,,,,,,,,,,,,
Finding Vivian Maier (2013),,"$268,357",,"$15,309","$365,455",,,,,,"$1,372",,,,,,,,,,,,,,,,,,,,"$105,550","$41,870",,,"$61,642","$11,619",,,,,,,"$1,514,782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Bloom (2013),,"$14,617",,,"$12,499",,"$14,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tammy (2014),,"$6,887,497",,"$1,130,094","$2,713,949",,,,"$694,302",,,,,,,,,"$72,306","$62,040",,,,,,"$239,346",,,,"$282,923","$2,486,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And So It Goes (2014),,"$604,820","$100,830","$182,035",,"$101,976","$58,356","$334,190","$67,659","$835,344","$114,750","$106,448","$21,481",,,"$28,849",,,"$24,492","$283,238",,,,,"$29,973","$51,212",,"$99,240","$100,398","$1,122,392","$214,011","$4,784","$31,738","$1,353,086",,"$9,503",,"$105,855",,"$754,599","$50,435","$10,115","$15,160,801",,"$183,770",,,,"$1,643,446","$115,247",,,,,,"$235,415","$219,942",,,"$172,567",,,,,,,,,,,,,,,
Under the Skin (2013),,,"$75,687",,"$1,911,826","$305,137","$156,711","$127,524",,,,,,,,,,,,"$172,105",,"$29,888",,"$13,031","$8,459","$61,979",,,"$14,488","$322,028",,,,"$154,902",,,,,,,,,"$2,614,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Immigrant (2013),,,"$154,561",,,"$2,253,023","$98,987","$314,350",,"$464,076",,,,,,,,,,,,,,,,"$4,833",,,"$28,550",,,"$107,647",,"$171,443","$27,928",,,,,,,,,,,,,,"$243,714",,,,,,,"$58,444",,,,,,,,,,,,,,,,,,,
Little England (2013),,,"$3,078,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital (2013),,,"$39,934","$38,408",,"$248,011","$62,106","$7,042",,"$377,072",,"$90,048",,,"$6,370",,,"$2,443",,,,,,,,"$10,429",,"$19,106",,"$51,355",,,,"$7,772,925",,,,,,"$103,228","$43,919",,,,,,,,"$56,633",,,,,,,"$24,990",,,,,,,,"$1,373",,,,,,,,,,,
Coming Home (2014),,,"$23,641",,,"$116,931","$2,555",,,"$279,897",,"$25,678",,,,,,,,,"$12,224",,,,"$92,416","$303,569","$46,000,000","$21,818","$7,022",,,,,"$233,147",,,,,,"$47,773",,,,,,,,,,,,,,,,,"$43,706",,,,,,,,,,,,,,,,,,
Miss Violence (2013),,,"$34,250",,"$4,505",,,"$37,847",,,"$1,165",,,,,,,,,,,,,,,,,,,,,,,"$69,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You Ain't Seen Nothin' Yet (2012),,,,"$8,340",,"$1,064,943","$21,944","$52,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Glacier (2013),,,,"$120,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last of the Unjust (2013),,,,"$19,327",,,,,,"$3,246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Ruin (2013),,,,"$5,975","$527,770","$169,694",,,,"$21,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,713",,,,,,,,,,,,,,,,,,,,,,,,,,
Zombeavers (2014),,,,"$31,634",,,,,,$29,,,,,,,,,"$8,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Summit (2012),,,,,"$34,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Comes the Night (2013),,,,,"$7,761",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway (2014),,,,,"$315,486",,,,,,,,,,,,,,,,,,,,,,,,,,"$14,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Piano (2013),,,,,"$33,669",,,"$197,916","$32,339","$816,441",,,,,,,,,"$11,845",,,,,,"$26,914","$13,811",,,,,,,,"$334,969",,,,,,,,,,,,,,,"$127,626",,,,,,,,,,,,,,,,,,,,,,,,,,
Breathe In (2013),,,,,"$143,084",,,"$10,086",,,$376,,,,,,,,,,,,,,,,,,,,,"$19,128",,,,,,,,"$39,135","$7,817","$11,703","$89,661",,"$12,692",,,,"$60,165","$21,041",,,,,,"$53,750","$31,569",,,,,,,,,,,,,,,,,,
Kai Po Che (2013),,,,,"$282,248",,,,,,,,,,,,,,,,"$12,514",,,,,,,,,,"$17,983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obvious Child (2014),,,,,"$197,361",,,,,,,,,,,,,,,,,,,,,,,,,,"$4,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You've Been Trumped (2011),,,,,"$23,891",,,,,,,,,,,,,,,,,,,,,,,,,,"$12,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You Will Be My Son (2011),,,,,"$8,424","$5,927,814","$57,786",,,,,,,,,,,,,,,,,,,,,,,,"$32,486",,,,,,,,,,,,"$285,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blank City (2010),,,,,"$3,892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Unknown Known (2013),,,,,"$25,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Quiet Ones (2014),,,,,"$2,705,349",,"$87,869","$208,554","$126,213",,,,,,,,"$73,363",,,"$1,386,485","$318,997","$17,450",,"$43,312","$124,494",,,,"$29,310",,"$6,073",,,"$1,503,775","$192,159",,,"$15,915",,"$567,485","$122,593",,"$8,509,867",,"$201,039",,,,"$1,256,083",,,,,,,"$338,777",,,,,,,,,,,,,,,,,,,
We Are the Best! (2013),,,,,"$179,730",,"$7,247",,,,,,,,,,,,,,,,,,,,,"$1,132,488",,,,,"$42,870","$20,465",,,,,,,,,,,,,,,"$40,883",,,,,,,,,,,,,,,,,,,,,,,,,,
God's Not Dead (2014),,,,,"$313,027","$8,475",,"$1,136,398",,,"$4,121",,,,,,,,,,,,,"$8,267",,,,,"$40,615","$63,502",,"$163,621",,"$97,478","$523,085",,,,,"$34,698",,"$58,676","$60,755,732",,"$130,655","$29,417",,,"$1,308,582",,,,,,,,,,,,,,,,,,,,,,,,,,
Cold in July (2014),,,,,"$682,258","$403,543",,,,"$22,932",,,,,,,,,"$3,188",,,,,,,,,,,,,,,,,,,,"$8,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rocket (2013),,,,,"$43,160",,,,,,,,,,,,,,,,,"$8,479",,,,,,,,"$311,785","$28,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lovely Molly (2011),,,,,"$34,702",,,,,,,,,,,,,,,"$221,314",,,,,,,,,,,,,,,,,,,,,,,"$18,464",,"$214,704",,,,"$113,168",,,,,,,,"$35,922",,,,,,,,,,,,,,,,,,
Palo Alto (2013),,,,,"$16,034","$102,251","$23,233",,,,,,,,,,,,,,,,,,,,,,,,"$10,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimi: All Is by My Side (2013),,,,,"$39,007",,"$11,888",,,,,,,,,,,,,,,,,,,,,,,,,,,"$208,034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilting (2014),,,,,"$197,588",,"$1,510",,,"$21,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Nativity (2013),,,,,"$245,894",,,,,,,,,,,,,,,,,,,,,,,,"$10,456",,,,,,,,,,,,,,,,,,,"$10,597",,,,,,,,,,,,,,,,,,,,,,,,,,,
For Ellen (2012),,,,,"$5,427",,"$2,923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Itself (2014),,,,,"$5,191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finding Fela (2014),,,,,"$31,366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$120,980",,,,,,"$2,882",,,,,,,,,,,,,,,,,,,,,,,,,,
Ra.One (2011),,,,,"$2,320,862",,,,,,,,,,,,,,,,,,,,,,,,,"$499,643","$141,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Les trois frères, le retour (2014)",,,,,,"$19,309,579","$883,527",,,"$75,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerontophilia (2013),,,,,,"$70,964",,,,,,,,,,,,,,,,"$4,158",,,,,,,,,,,,,,,,,,,,,"$4,916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The King and the Mockingbird (1980),,,,,,"$139,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anything for Alice (2014),,,,,,"$3,326,867","$59,623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrinkles (2011),,,,,,"$17,406",,,,"$169,058","$1,041",,,,,,,,,"$4,469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmina y amén. (2014),,,,,,"$115,415",,,,"$2,690,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The French Minister (2013),,,,,,"$4,854,654","$275,111","$132,549","$3,182","$305,238",,,,,,,,,,,,,,,,,,,,,"$3,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer (2013),,,,,,"$16,023",,,,,,,,,"$2,623,779",,,,,,,,,,,,"$8,332",,,,,,,,,,,,"$1,147",,,,"$6,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me Two (2008),,,,,,"$2,089,732","$45,869","$3,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,592",,,,,,,,,,,,,,,,,,,,,,,,,,"$7,462",,,,,,,,,
Love Meetings (1964),,,,,,"$2,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dance of Reality (2013),,,,,,"$104,162","$5,527",,,"$28,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$76,165","$50,190",,,,,,,,,,,,,,,,,,,,,,,,,
Colorful (2010),,,,,,"$24,565",,,,,,,,,,,,,,,,,"$3,897,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Letter to Momo (2011),,,,,,,"$1,003",,,,,,,,,,,,,,,,"$4,969,070",,,"$6,409",,,,,,"$1,700,694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie's Country (2013),,,,,,,"$18,138",,,,,,,,,,,,,,,,,,,,,,,"$597,104",,,,,,,,,,,,,"$42,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life of a King (2013),,,,,,,,"$11,914",,,,,,,,,,,,,,,,,,,,,"$25,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Boxes (2012),,,,,,,,"$54,635",,"$203,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,438",,,,,"$11,877",,,"$61,755",,,,,,,,,,,,,,,,,,,,,,,,,,
Son of God (2014),,,,,,,,"$552,018",,,"$263,814",,,,,,,,"$109,913",,,,,"$493,743","$267,731","$346,506",,,"$206,719","$77,304","$103,495","$2,171,619",,,"$328,798",,,"$54,899",,"$379,656","$10,848","$188,663",,,"$412,849","$18,468","$22,004","$7,802","$3,158,936","$67,108",,,,,,"$587,018","$1,299,295",,,,,,,,,,,,,,,,,,
Amazon (2013),,,,,,,,"$434,764",,,,,,,,,,,,,,,,,,,"$2,340,000",,,,"$22,962","$106,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Missing Picture (2013),,,,,,,,"$6,209",,"$15,053",,,,,,,,,,,,,,,,,,,,"$3,507",,,,,,,,,,$83,,,"$52,164",,,,,,"$1,081",,,,,,,,,,,,,,,,,,,,,,,,,,
Electrick Children (2012),,,,,,,,"$5,041",,,,,,,,,,,,"$10,134",,,,,,,,,,,"$4,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me and You (2012),,,,,,,,"$59,886",,,,,,,,,,,,"$173,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draft Day (2014),,,,,,,,"$25,314","$95,937",,"$21,420",,,,,"$6,332",,,,,"$46,482","$20,840",,,"$39,882","$21,282",,,,,,,,,,,,,,,"$9,849","$5,158",,,"$9,493","$6,202",,,"$352,660",,,,,,,"$39,980","$281,131",,,,,,,,,,,,,,,,,,
Beauty and the Beast (2014),,,,,,,,"$2,185,656",,,,,,,,,,,,"$3,970,278",,,"$5,875,692","$207,609","$166,203",,"$2,490,000",,,,,"$2,315,779",,,,,,,,,"$3,375",,,,,"$142,526",,,"$2,679,929","$289,146",,,,,,,,,,,,,,,,,,,,,,,,,
La señal (2007),,,,,,,,"$22,097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,096,646","$33,337",,,,,,,,,"$6,221",,,,,,,,,,,,,,,,,,,,"$4,990",,,,,
Devil's Knot (2013),,,,,,,,"$130,053",,,,,,,,,,,,,,,,"$52,133","$7,939","$32,264",,,,"$32,104",,,,,,,,,,,,"$54,595",,,"$43,202","$6,485",,,"$21,468",,,,,,,,"$153,353",,,,,,,,,,,,,,,,,,
Rage (2014),,,,,,,,"$672,088",,,,,,,,,,,,"$202,258","$165,302",,,,,,,,,,,,,,,,,,,,,,,,"$152,931","$7,723",,,"$315,144",,,,,,,,,,,,,,,,,,,,,,,,,,
Good People (2014),,,,,,,,"$274,358",,,,,,,,,,,,,,,,,"$62,967",,,,,,,,,,,,,,,,,,,,"$83,975","$6,960",,,"$852,722",,,,,,,,"$305,585",,,,,,,,,,,,,,,,,,
Heli (2013),,,,,,,,"$2,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$309,580",,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Bad Weddings (2014),,,,,,,,"$364,207",,,,,,,,,,,,,,,,,"$20,129","$48,842",,,,,,"$1,238,296",,,,,,,,,"$484,690",,,,"$137,962",,,,"$870,899",,,,,,,,,,,,,,,,,,,,,,,,,,
Flight 7500 (2014),,,,,,,,"$177,830",,,,,,,,,,,,,,"$100,509","$16,677","$71,840","$416,330",,,,,,,,,,,,,,,,,,,,,"$26,249",,,,,,,,,,,,"$205,046","$148,265",,,,,,,,,,,,,,"$5,500",,
Liv & Ingmar (2012),,,,,,,,"$66,101",,,,,,,"$59,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,024",,,,,,,,,,,,,,,,,,,,,,,,,,
The Outlaw (2010),,,,,,,,"$166,510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
