Movie Name,Türkiye,Germany,Greece,Austria,United Kingdom,France,Belgium,Brazil,United Arab Emirates,Spain,Portugal,Netherlands,Ukraine,Bulgaria,Norway,Croatia,Egypt,Iceland,Lebanon,Russia/CIS,Malaysia,Thailand,Japan,Philippines,Singapore,Hong Kong,China,Sweden,South Africa,Australia,New Zealand,South Korea,Finland,Italy,Poland,Czech Republic,Slovakia,Hungary,Slovenia,Argentina,Uruguay,Ecuador,Domestic,Serbia and Montenegro,Peru,Bolivia,Nigeria,East Africa,Mexico,Chile,Israel,India,Denmark,Bahrain,Lithuania,Colombia,Venezuela,Taiwan,Vietnam,Switzerland (German),Saudi Arabia,Switzerland (French),Estonia,Latvia,Kuwait,Switzerland,Kenya,Oman,Ghana,Central America,Romania,Jordan,Cambodia,Qatar,Ethiopia
Lucy (2014),"$4,457,245","$16,816,380","$1,096,453","$2,547,129","$23,557,600","$43,771,714","$5,170,401","$9,393,449","$2,655,396","$12,986,248","$2,218,505","$3,296,584","$2,256,225","$1,040,169","$1,212,364","$367,011","$272,058","$148,000","$637,483","$21,612,689","$4,513,548","$2,223,218","$9,340,780","$2,486,887","$3,059,586","$2,537,494","$44,780,000","$1,744,506","$1,439,484","$24,068,280","$1,755,568","$15,912,642","$599,527","$9,036,424","$3,365,595","$688,015","$313,553","$1,129,685","$261,663","$1,364,142","$106,725","$991,775","$126,663,600","$150,044","$1,693,577","$247,963",,"$90,330","$12,629,184","$1,000,882","$1,420,962","$642,923","$1,397,368",,,"$2,596,906","$1,536,604",,,,,,,,,,,,,,,,,,
X-Men: Days of Future Past (2014),"$1,677,001","$16,126,929","$984,595","$2,050,982","$45,595,814","$29,650,115","$3,334,394","$28,779,414","$4,287,517","$9,239,840","$1,194,013","$3,522,349","$1,047,879","$364,485","$2,625,921","$252,655","$495,497","$207,109","$348,512","$22,554,389","$6,651,878","$3,487,139","$9,983,199","$7,027,854","$7,436,466","$6,547,122","$116,490,000","$3,581,809","$1,633,027","$21,121,336","$3,228,303","$33,716,901","$894,344","$8,967,053","$1,465,609","$831,121","$313,085","$997,509","$90,450","$4,850,967","$241,475","$1,892,765",,"$143,243","$2,774,775","$576,955","$382,720","$141,340","$24,581,963","$2,959,853","$1,657,458","$9,282,663","$2,603,446","$454,043",,"$5,889,768","$12,261,060",,,,,,,,,,,,,,,,,,
Godzilla (2014),"$1,473,520","$13,156,525","$882,386","$1,630,637","$28,924,010","$12,215,928","$1,831,081","$8,091,242","$3,813,191","$3,473,949","$670,014","$2,789,983","$941,096","$510,501","$1,839,616","$253,050","$703,908","$172,953","$373,049","$15,123,140","$6,077,147","$2,572,257","$29,930,046","$3,573,572","$3,371,618","$2,797,928","$77,630,000","$2,438,973","$625,487","$13,108,581","$1,961,516","$5,690,138","$757,294","$7,046,768","$1,439,133","$675,931","$313,918","$697,029","$97,660","$2,839,514","$209,660","$1,253,848","$200,676,069","$97,584","$2,243,467","$384,944","$67,608","$101,651","$16,479,339","$2,252,761","$691,264","$5,793,995","$1,365,798",,,"$2,403,129","$3,314,490",,,,,,,,,,,,,,,,,,
Walk of Shame (2014),"$114,899","$1,852,712",,"$632,976",,"$798,231","$342,735",,"$323,106",,"$21,890","$348,393","$65,141",,,"$1,985","$12,792","$17,493","$78,520","$2,016,440","$35,054",,,,"$199,823","$73,263",,,"$92,357",,,,,"$500,620","$183,371",,,"$37,031","$26,230",,,,,"$8,333","$280,386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legends of Oz: Dorothy's Return (2013),"$145,835",,"$14,331",,"$576,044",,,"$2,709,108","$220,927",,"$150,439",,"$202,650","$151,262",,"$175,107",,"$29,181","$41,447","$4,602,185",,,,,,,,,"$309,846","$108,415","$28,365","$1,495,689",,"$1,469,254","$666,642",,,"$59,482",,,,,,"$136,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef (2014),"$103,114","$600,617","$316,197","$107,471","$2,584,350","$178,381",,"$826,652","$522,338","$2,621,610","$148,885","$473,792",,,"$128,231","$13,081",,"$36,946","$64,581","$287,256","$40,635",,"$1,450,735","$36,772","$196,953","$427,997",,"$120,206","$165,317","$2,806,007","$533,071",,"$31,858","$393,091","$270,087",,,"$64,390","$20,946",,"$14,255",,,,,"$1,535",,,"$1,057,095","$51,896",,,,,,"$204,121",,,,"$103,576",,,,,,,,,,,,,,,
Blended (2014),"$678,238","$2,790,597","$116,692","$1,246,255","$3,309,053",,"$131,038","$10,294,775","$1,593,394","$2,664,891","$322,888","$1,209,216","$517,321","$129,298","$19,069","$91,696","$177,546","$31,380","$171,861","$5,633,810","$374,695",,,"$302,840","$582,590","$392,575",,"$47,892","$1,036,460","$4,405,016","$405,689",,"$182,592","$937,808","$433,349",,"$218,883","$958,097","$63,541","$1,685,040","$721,583","$476,613","$46,306,208","$75,934","$1,773,887","$335,387","$53,942","$32,591","$12,577,038","$380,891","$1,871,734","$366,079",,,,"$2,049,806","$4,329,447",,,,,,,,,,,,,,,,,,
Maleficent (2014),"$2,115,928","$18,370,755","$1,484,612","$2,055,422","$32,725,839","$17,173,088","$4,000,041","$33,251,828","$4,206,095","$17,180,614","$1,606,128","$3,453,207","$2,373,334","$968,801","$1,722,303","$244,178","$459,887","$118,083","$843,024","$37,781,154","$6,393,211","$4,091,726","$63,283,085","$8,119,469","$3,717,200","$5,269,704","$47,720,000","$3,079,628","$1,170,569","$15,382,553","$1,709,563","$10,441,168","$1,500,121","$19,094,499","$3,828,773","$694,580","$266,098","$873,145","$140,152","$1,516,240","$587,476","$3,066,929","$241,410,378","$487,342","$4,829,314","$1,107,838","$130,086","$66,631","$46,172,590","$3,757,556","$1,782,049","$465,121","$1,066,655",,,"$8,848,430","$13,376,780",,,,,,,,,,,,,,,,,,
The Two Faces of January (2014),"$114,035","$982,739","$529,306","$107,334","$2,684,063","$1,050,700","$249,751",,,"$1,549,959",,"$171,002",,,,"$20,481",,,,,,,,,"$28,619",,"$680,000",,,"$1,046,228","$293,179",,,"$814,748","$21,690",,,,"$17,458",$758,"$15,415",,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,364",,,,,,,
A Million Ways to Die in the West (2014),"$153,318","$8,410,494","$134,319","$1,568,567","$5,303,514","$2,151,884","$310,973","$192,684","$570,678","$2,306,782","$1,013,058","$710,638","$269,205","$192,395","$484,390","$116,009","$47,730","$82,104","$54,685","$1,586,984","$338,152","$178,544",,"$30,109","$228,745","$464,808",,"$763,896","$205,482","$5,504,301","$775,610",,"$526,035","$169,134","$714,457","$114,556","$57,060","$278,995","$121,311","$604,608","$61,976","$29,624",,"$40,769","$90,696","$22,823","$33,921","$9,052","$1,057,125","$95,516","$428,723",,"$687,836",,,,,,,,,,,,,,,,,,,,,,
Edge of Tomorrow (2014),"$2,320,294","$6,459,073","$349,365","$948,024","$13,304,522","$10,783,506","$1,228,513","$4,537,591","$2,870,798","$4,124,614","$487,825","$1,586,095","$1,401,713","$382,467","$1,484,523","$162,768","$384,988","$118,239","$219,758","$21,509,744","$3,740,645","$1,853,169","$15,360,028","$1,747,969","$2,619,544","$2,761,858","$65,660,000","$1,718,606","$682,220","$8,860,284","$1,422,645","$37,842,551","$743,879","$4,421,378","$1,338,815","$881,219","$272,392","$1,127,204","$42,185","$1,368,888","$108,950","$528,421","$100,206,256","$66,187","$1,203,538","$223,512","$83,200","$85,938","$8,001,255","$937,557","$887,287","$1,875,858","$946,280",,,"$1,538,449","$2,955,832",,,,,,,,,,,,,,,,,,
Tracks (2013),"$5,335","$772,464",,"$149,190","$824,883",,"$91,080",,"$9,402","$6,743",,"$455,472",,,,,,,,,"$6,701",,,,,,,"$189,081",,"$2,130,308","$229,894",,"$77,769","$311,386",,,,,"$15,384",,,,,,,,,,,,,,"$68,410",,,,,,,,,,,,,,,,,,,,,,
Mission: Impossible - Rogue Nation (2015),"$2,850,019","$13,266,429","$990,555","$2,814,451","$31,937,784","$21,375,577","$2,475,240","$9,880,335","$6,227,430","$7,003,510","$2,250,675","$4,300,210","$993,845","$507,567","$2,703,551","$230,641",,"$262,495","$1,017,689","$9,940,870","$5,951,143","$3,889,881","$42,091,079","$4,692,747","$5,380,343","$7,234,910","$136,760,000","$3,252,961","$1,377,105","$11,288,400","$1,787,746","$41,600,001","$1,343,182","$6,135,467","$1,401,093","$551,962","$265,680","$948,600","$35,799","$3,158,317","$154,439","$1,316,436","$195,042,377","$117,573","$1,812,631","$285,424","$42,491",,"$12,053,845","$962,750","$2,353,664","$11,282,756","$2,370,321",,"$116,358","$2,658,097","$5,407,042","$12,684,678","$2,052,025","$2,012,728",,"$1,040,843","$215,854","$172,463",,,"$172,660","$1,514",,,"$856,156","$534,668",,,
Million Dollar Arm (2014),"$42,383",,,,"$485,618",,,,,"$122,394",,,,,,,,,,,,"$96,607",,,,,,,"$50,317",,"$171,337",,,,,,,,,"$13,303","$2,862","$96,071",,,,,"$18,026","$5,494","$163,372","$10,154",,"$492,240",,,,"$32,643","$223,007",,,,,,,,,,,,,,,,,,
The Fault in Our Stars (2014),"$1,530,281","$11,505,763","$121,978","$1,182,053","$19,428,900","$8,192,055","$1,819,181","$31,186,731","$1,143,488","$4,559,790","$1,363,915","$3,677,614","$74,911","$79,394","$1,896,014","$156,129","$167,233","$84,716","$305,278","$2,051,448","$1,003,931","$319,571",,"$2,954,935","$1,600,384","$1,028,538",,"$2,597,479","$672,858","$12,223,317","$1,828,855","$5,517,872","$1,146,190","$6,726,151","$634,825","$246,920","$112,359","$110,034",,"$3,514,513","$319,623","$932,949","$124,872,350","$82,429","$2,210,138","$255,804","$14,725","$21,540","$15,131,716","$3,266,566","$752,747","$1,004,823","$1,768,912","$228,709",,"$2,150,783","$3,965,962",,,,,,,,,,,,,,,,,,
Minuscule: Valley of the Lost Ants (2013),"$152,154",,"$62,182","$115,506","$142,821","$10,732,550","$368,764",,"$291,794","$457,340","$29,079",,,,"$395,628",,,"$14,937","$11,843","$1,129,959",,,,,"$117,933","$26,191","$4,180,000","$425,814",,,,"$612,871","$285,152","$312,304","$1,257,402","$306,923","$84,203",,"$16,301","$117,634","$8,964","$33,972",,,"$85,638","$75,398",,,"$437,391","$83,794",,,"$126,763",,"$98,456","$111,944","$235,730",,,,,,,,,,,,,,"$77,403",,,,
Camille Claudel 1915 (2013),"$1,196",,,,"$33,671","$266,757","$2,566","$124,547",,"$22,307",,,,,,,,,,"$31,983",,,,,,,,,,,"$19,970",,,,,,,,,,,,,,,,,,"$122,062",,,,,,,,,,,,,,,,,,,,,,,,,,
Maps to the Stars (2014),"$43,582","$230,358",,"$77,245","$599,795","$1,679,206","$146,278","$93,085",,"$261,452","$17,927","$55,094",,,,,,,,"$111,553",,"$7,464",,,"$16,388","$20,990",,,,,,,"$22,614","$508,812","$16,329","$9,105",,,,"$91,750","$9,033",,,,,,,,,"$10,041",,,,,"$1,894",,"$112,489",,,,,,"$5,316",,,,,,,,"$12,393",,,,
22 Jump Street (2014),"$236,683","$14,814,114","$301,672","$2,552,050","$31,490,585","$4,572,770","$2,328,188","$2,286,098",,"$3,143,148","$674,867","$4,799,437","$845,821","$272,319","$2,832,117","$277,566","$140,083","$260,897","$504,288","$9,567,619","$781,915","$350,916",,"$1,329,226","$883,718","$562,647",,"$3,471,759","$1,655,355","$21,000,729","$2,550,273",,"$989,003","$723,304","$936,742","$419,244","$243,839","$565,087","$241,918","$369,406","$180,956","$302,014",,"$67,342","$424,116","$94,375","$146,439","$33,189","$2,115,811","$218,426","$2,411,996","$475,922","$2,735,290",,,"$345,134","$1,553,838",,,,,,,,,,,,,,,,,,
The Equalizer (2014),"$579,610","$9,269,775","$683,420","$849,191","$11,052,578","$6,291,655","$1,217,980","$3,644,626","$2,184,902","$4,084,151","$862,677","$2,619,886","$499,204","$260,395","$887,176","$198,837","$297,325","$91,124","$455,439","$5,699,493","$1,589,918","$788,394","$3,346,039","$1,045,132","$977,650","$537,979",,"$1,151,990","$779,636","$5,726,677","$524,937","$449,553","$268,590","$3,403,109","$605,690","$203,776","$118,801","$493,947","$85,140","$755,119","$108,089","$200,055",,"$56,249","$613,416","$55,843","$370,013","$103,119","$3,562,425","$205,209","$796,911","$227,293","$505,034","$709,304",,"$656,717","$1,534,967","$1,083,835",,"$1,095,684",,,,,,,"$106,835",,"$50,370",,"$525,682",,,,
How to Train Your Dragon 2 (2014),"$1,183,194","$26,865,255","$890,248","$3,878,155","$41,547,592","$25,097,851","$4,554,160","$24,758,762","$2,915,099","$12,112,308","$1,241,684","$5,317,217","$1,712,748","$794,376","$3,826,059","$483,618","$229,957","$261,908","$195,928","$30,030,299","$3,961,403","$1,462,527",,"$3,284,116","$3,677,546","$2,413,751","$65,100,000","$5,338,090","$2,119,552","$24,827,367","$3,300,046","$22,610,977","$1,115,015","$10,653,588","$6,092,013","$2,413,445","$1,203,708","$1,934,257","$260,034","$1,232,348","$722,678","$1,240,000",,"$155,473","$2,431,148","$526,284","$38,345","$69,659","$19,941,262","$5,566,540","$2,472,790","$2,783,684","$3,921,812","$496,446","$418,301","$2,674,587","$5,577,498",,,,,,,,,,,,,,,,,,
Birdman or (The Unexpected Virtue of Ignorance) (2014),"$382,284","$4,260,394","$454,661","$532,575","$8,764,178","$4,153,983","$587,752","$2,052,048","$233,342","$3,747,134","$328,869","$1,082,095",,,"$83,360","$59,104","$16,534","$32,641","$89,738","$1,772,195","$69,889","$191,852","$618,159",,"$314,376","$773,731",,"$771,412","$140,176","$4,533,770","$394,463","$1,442,786","$494,372","$5,021,620","$605,222","$144,975","$34,889","$225,422","$10,701",,"$88,306","$88,124",,"$21,748","$252,816",,,,"$715,280","$321,494","$377,674","$387,525","$3,365,094",,"$25,731",,"$293,261","$847,691",,,,"$185,952","$105,089","$48,140",,,,,,,"$94,853","$14,896",,,
Transformers: Age of Extinction (2014),"$3,970,364","$38,277,564","$814,415","$3,870,110","$33,175,952","$20,940,048","$2,878,296","$27,491,390","$3,760,569","$6,592,289","$1,541,324","$4,380,298","$3,294,504","$761,669","$2,035,403","$387,267","$408,336","$200,713","$513,362","$45,200,121","$13,528,587","$9,609,061","$27,379,331","$9,960,703","$8,595,728","$12,669,572","$301,000,000","$3,069,497","$2,457,446","$24,862,352","$4,567,416","$43,338,590","$1,396,572","$11,598,181","$3,941,114","$1,504,645","$546,237","$1,629,275","$166,742","$9,941,152","$328,860","$3,056,445",,"$153,541","$5,901,265","$1,471,513","$151,994","$165,239","$33,534,598","$6,696,277","$712,727","$10,226,117","$2,337,767",,,"$9,949,675","$6,697,167",,,,,,,,,,,,"$48,457",,,,,,
Frank (2014),"$1,131","$26,337",,"$16,908","$1,478,391","$24,467",,,,,"$7,744",,,,,,,,,,,,,,,,,,,"$112,629",,"$169,021",,,"$43,021",,,,,,,,"$645,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planes: Fire & Rescue (2014),"$1,476,634","$4,924,435","$780,472","$961,033","$7,701,150","$6,780,270","$1,494,350","$3,372,852","$763,334","$3,711,698","$808,439","$1,995,439","$502,184","$280,151","$1,039,833","$160,465","$21,305","$84,581","$107,315","$6,436,644","$635,742","$298,457","$4,853,783","$385,914","$761,340","$1,045,631",,"$2,023,269","$734,566","$4,720,701","$954,662","$2,207,179","$760,480","$2,324,994","$2,256,816","$502,209","$165,780","$405,957","$169,270","$3,244,145","$116,817","$524,888",,"$442,854","$781,393","$133,785","$20,932","$36,409","$4,502,236","$1,121,267","$1,149,851","$145,004","$1,479,417",,"$214,612","$1,268,548","$2,158,427",,,,,,,,,,,,"$6,692",,,,,,
The Babadook (2014),"$178,928","$1,260,300","$91,158","$167,207","$2,036,647","$1,092,991",,,"$55,106","$1,365,469",,,,,"$52,691",,,,,"$355,987",,"$361,597",,"$37,221","$203,959",,,,,"$171,919",,,,"$1,817,518","$45,432",,,,,,,"$57,892",,,"$140,638",,,,,,,,,"$13,506",,,,,,,,,,,,,,"$13,880",,,,,,,
White God (2014),"$9,212",,,"$1,924",,,,,,"$55,151",,,,,,,,,,,,"$3,424",,,"$13,989",,,,,,,,,,,,,"$150,265",,,,,"$282,358",,,,,,"$55,991",,,,,,,"$34,373",,,,,,,,,,,,,,,"$9,590",,,,
Whiplash (2014),"$683,219","$535,144","$256,534","$76,972","$2,446,616","$2,293,387","$168,799","$676,912","$37,777","$685,843","$65,325","$290,012",,"$2,275","$62,391","$22,385","$7,164","$12,520","$37,090","$41,562","$29,141","$139,182","$2,481,066","$6,679","$101,605","$150,873",,"$135,143","$22,386","$506,854","$90,361","$11,832,742","$146,729","$493,670","$549,999","$66,636","$21,298",,"$16,700","$265,939","$23,457",,"$13,092,000","$4,467","$76,716",,,,"$1,192,390","$76,907",,"$64,783","$284,506",,"$25,486","$192,281","$278,468","$411,493",,,,,"$66,995",,,,,"$1,781",,,"$38,609",,,,
Gone Girl (2014),"$805,912","$11,883,431","$2,061,538","$1,020,268","$34,643,161","$14,786,031","$2,433,583","$2,875,496","$1,268,666","$6,101,823","$843,673","$2,912,624","$578,085","$119,292","$1,943,707","$356,370","$177,688","$174,258","$391,508","$11,099,165","$303,336","$770,253","$9,657,145","$556,184","$1,389,783","$2,930,471",,"$3,426,069","$728,579","$21,750,665","$1,561,556","$12,322,085","$820,748","$8,466,917","$2,889,423","$1,089,651","$217,160","$805,417","$69,093","$704,177","$58,088","$157,502","$167,767,189","$123,086","$345,603","$15,173","$19,167","$37,008","$3,444,473","$407,224","$1,851,196","$1,722,361","$2,472,041","$168,647","$163,342","$284,651","$796,049","$5,516,039","$263,455","$1,556,001",,"$644,067",,"$115,024",,,"$37,521","$82,067",,,,,,"$180,827","$7,417"
