Movie Name,Russia/CIS,Thailand,Germany,United Kingdom,France,Spain,Italy,Netherlands,Austria,Belgium,Poland,Portugal,Sweden,Norway,Hungary,Denmark,Israel,Ukraine,Greece,Türkiye,Czech Republic,Slovakia,Finland,South Africa,Croatia,Lebanon,Bulgaria,Slovenia,Serbia and Montenegro,Iceland,East Africa,Mexico,Venezuela,Brazil,Peru,Colombia,Argentina,Ecuador,Chile,Uruguay,Bolivia,Australia,Hong Kong,New Zealand,Philippines,Singapore,India,South Korea,United Arab Emirates,Egypt,Nigeria,Malaysia,Domestic,Qatar,Bahrain,Oman,China,Kenya,Ghana,Japan,Jordan,Romania,Taiwan,Estonia,Switzerland (French),Lithuania,Latvia,Vietnam,Paraguay,Switzerland (German),Indonesia,Switzerland,Central America
Haider (2014),,,,"$289,932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$58,740",,"$7,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Soul (2014),,,,"$1,083,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa Amalia (2009),,,,,"$2,522,119","$402,622",,,,"$10,135",,,,,,,,,,,,,,,,,,,,,,,,,,,"$57,945",,,,,,,,,,,,,,,,,,,,,,,,,,"$15,903",,,,,,,,,,
For a Woman (2013),,,,,"$1,191,771",,,,,"$7,920",,,,,,,,,,,,,,,,,,,,,,,,"$20,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Bird in a Blizzard (2014),,,,,"$296,272",,,,,"$25,276",,,,,,,,,,,,,,"$7,307",,,,,,,,"$28,211",,"$35,607",,,,,,,,,"$22,513",,"$19,868",$826,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unfair Competition (2001),,,,,"$12,438",,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,035",,,,,"$43,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As I Lay Dying (2013),,,,,"$30,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,430",,,"$13,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Captive (2014),,,,,"$343,182",$407,,,,"$30,888",,,,"$55,551","$18,214","$38,052",,,,"$30,713",,,,,,"$16,030",,,,,,"$223,820",,,"$10,113",,,"$11,972",,,"$5,600","$35,660",,,,,,,"$200,832",,,,"$1,075,178",,,,,,,,,,,,,,,,,,,,
Everything Will Be Fine (2010),,,,,"$177,202",$952,,,"$23,105","$9,680",,,,,,"$116,875",,,,"$4,438",,,,"$3,794",,,,,"$2,723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family United (2013),,,,,,"$4,202,521",,,,,,,,,,,,,,,,,,,,,,,,,,"$35,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Trip to Italy (2014),,,,,,"$43,766",,"$103,551",,,,,"$12,428","$20,215",,,,,"$12,258",,,,,,,,,,,,,,,,,,,,,,,"$2,562,401",,"$454,227",,,,,,,,,"$2,880,537",,,,,,,,,,,"$43,492",,,,,,,,,
Coherence (2013),,,,,,"$37,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantinflas (2014),,,,,,"$31,830",,,,,,,,,,,,,,,,,,,,,,,,,,"$9,543,756","$10,335",,"$431,981","$988,343","$5,920","$472,453","$17,775","$9,536","$103,850",,,,,,,,,,,,"$6,382,924",,,,,,,,,,,,,,,,,,,,
El nino (2014),,,,,,"$20,917,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tusk (2014),,,,,,"$3,575",,,,,,,$451,,,,,,,,,,,,,"$2,760",,,,,,,,,,,,,,,,,,,,,,,"$21,612",,,,,,,$680,,,,,,,"$26,291",,,,,,,,,,
Open Windows (2014),,,,,,"$437,437",,,,,,,,,,,,,,"$21,625",,,,,,,,,"$1,669",,,"$24,284",,,"$5,909",,,,,,,,,,,,,"$44,841","$12,593",,,,,,,,,,,,,,,,,,,,,,,,
Torrente 3: El protector (2005),,,,,,"$21,745,416",,,,,,,,,,,,,,,,,,,,,,,,,,"$16,975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Adventurer: The Curse of the Midas Box (2013),,,,,,"$64,417",,,,,,,,,,,,,,,,,,,,"$7,981",,,,,,,,,,,,,,,,,,,,,,,"$49,674",,,,,,,,,,,,,,,,,,,,,,,,
Cleopatra (2003),,,,,,"$652,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,465",,,"$865,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call of the Wild (2009),,,,,,,"$206,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,434",,,,,,,,,,,
Two Night Stand (2014),,,,,,,"$228,477","$78,695",,,,,,,,,,,,,,,,,,"$23,325",,,,,,,,,,,,,,,,,,,"$7,765",,"$56,684",,,,,,,,,,,,,,,,,"$57,864",,"$20,910",,,,,,,
Tinker Bell and the Lost Treasure (2009),,,,,,,"$65,942",,"$53,861","$178,547",,"$108,331",,,,,,,,,,,,"$47,555",,,"$19,759",,,"$23,722",,"$2,099,439","$438,225","$2,765,733","$205,989",,"$553,375","$189,076","$245,475","$28,655","$5,643",,,"$28,653",,,,,,,,,,,,,,,,"$1,447,806",,"$24,318",,,,,,,,,,,"$52,161"
You're Not You (2014),,,,,,,"$379,177","$283,146","$42,753","$15,771",,"$3,835",,,,,,,,,,,,"$16,017",,,,,,,,,,,,,,,,,,,"$43,670","$11,990",,,,,,,,,,,,,,,,,,,"$87,119",,,,,,,,,,
The One I Love (2014),,,,,,,,"$9,125",,,"$69,817",,,,,,,,,"$4,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dark Horse (2014),,,,,,,,"$148,874",,"$18,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$90,345",,"$1,529,859","$7,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boom! (1968),,,,,,,,,,,,$322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Empty Hours (2013),,,,,,,,,,,,,,$234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solan og Ludvig - Jul i Flåklypa (2013),,,,,,,,,,,,,,"$11,786,120",,"$527,519",,,,,,,,,,,,"$12,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,778",,,,,,,,,
The Hour of the Lynx (2013),,,,,,,,,,,,,,,,"$724,445",,,,,,,,,,,,,$146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protector (2009),,,,,,,,,,,,,,,,,,,,,"$467,344",,,,"$1,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,968",,,,,,,,,,,,,,,,,,,,
Nicky's Family (2011),,,,,,,,,,,,,,,,,,,,,"$106,974",,,,,,,,,,,,,,,,,,,,,"$129,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesar Chavez (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,$846,,,"$1,399,883",,,,,,,,,,,,,,,,,,,,,"$5,571,497",,,,,,,,,,,,,,,,,,,,
Corn Island (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exists (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$188,259","$38,749","$6,727",,"$16,009",,"$27,417",,,"$27,217",,"$24,639",,,,,,"$49,610",,,,,,,,,,,,,,,,"$35,140",,,,,
Winter Sleep (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,506",,,,,,"$171,014","$50,281","$45,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who Am I (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshland (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,139",,,,,,,,"$76,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero Motivation (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,129",,,,,,,
The Canal (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,604",,,"$2,479",,,,,,"$13,654",,,,,,,,,,,,,,,,,,,,,,,"$6,615",,,,
El resultado del amor (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,927",,,$372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When Animals Dream (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunday (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$91,302",,"$58,777",,,"$10,218,581",,,,,,,,,,,,,,,,,,,,,,,,,,
The Inbetweeners 2 (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,598,273",,"$473,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What We Did on Our Holiday (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,285,172",,"$619,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kumiko, The Treasure Hunter (2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$101,791",,,,,,,,,,,,,,,,,,,,,"$14,449",,,,,,,,,,
Wolf Creek 2 (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,164,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Suspect (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,989",,,,,"$28,409,448",,,,,,,,,,,,,,,,,,,,,,,,,
Revenge of the Green Dragons (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The World of Kanako (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$170,413",,,,,,,,,,"$16,627",,,,,,,"$6,440,852",,,,,,,,,,,,,
Moomins on the Riviera (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,607",,,,,,,,,,,,,,,,,,,,"$7,783",,,,,,,,,,
Dream Home (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$378,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monty Python Live (Mostly) (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$72,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housebound (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$223,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Chaperone (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$248,633",,,,,"$30,514",,,,,,,,,,,,,,,,,,,,,,,,
Collision (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,304","$3,938",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Johnson (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,743",,,,,,,,,,,,,,,,,,,,,,,,,,,
Alien Abduction (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,384",,,"$20,444",,,,,,,,,,,,,,,,,,,,,,,,
The Front Line (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,618,627",,,,,,,,,,,,,,,,,,,,,,,,,
Camp X-Ray (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,744",,,,,,,"$15,578",,,,,,,,,,,,,,,,,
Power and Terror: Noam Chomsky in Our Times (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$292,470",,,,,,,,,,,,,,,,,,,,
Stunt Rock (1978),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,530",,,,,,,,,,,,,,,,,,,,
The Detective (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,205,546",,,,,,,,,,,,,,,,
American Dreams in China (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$86,450,000",,,,,,,,,,,,,,,,
