Movie Name,Russia/CIS,Thailand,Germany,United Kingdom,France,Spain,Italy,Netherlands,Austria,Belgium,Poland,Portugal,Sweden,Norway,Hungary,Denmark,Israel,Ukraine,Greece,Türkiye,Czech Republic,Slovakia,Finland,South Africa,Croatia,Lebanon,Bulgaria,Slovenia,Serbia and Montenegro,Iceland,East Africa,Mexico,Venezuela,Brazil,Peru,Colombia,Argentina,Ecuador,Chile,Uruguay,Bolivia,Australia,Hong Kong,New Zealand,Philippines,Singapore,India,South Korea,United Arab Emirates,Egypt,Nigeria,Malaysia,Domestic,Qatar,Bahrain,Oman,China,Kenya,Ghana,Japan,Jordan,Romania,Taiwan,Estonia,Switzerland (French),Lithuania,Latvia,Vietnam,Paraguay,Switzerland (German),Indonesia,Switzerland,Central America
Make Your Move (2013),"$279,139","$74,990",,,,,,"$340,997",,"$238,501",,"$13,076",,,,,,,,,"$29,887","$9,913",,,"$11,227",,,,,"$5,389",,,,,,,,,,,,,"$225,420",,"$35,203","$43,263",,,"$71,955",,,"$79,621",,,,,,,,,,,,,,,,,,,,,
Sin City: A Dame to Kill For (2014),"$7,216,158","$98,256","$3,052,722","$2,967,018","$2,874,689",,"$1,846,524","$295,811","$443,049","$193,278","$437,144","$45,948","$280,801","$133,987","$181,184","$206,456",,"$185,733","$63,591","$458,441","$318,724","$81,564","$465,587","$98,079","$48,932","$18,531","$85,602","$8,196","$9,191","$45,336",,"$202,451",,"$495,896","$58,509",,"$127,883","$34,617","$64,047",,,"$542,546","$300,328","$104,642","$77,082","$79,959",,"$470,396","$166,186",,,,,,,,,,,,,,,,,,,,,,,,
If I Stay (2014),"$2,028,914",,"$777,591","$2,582,529","$365,302","$601,502","$170,414","$583,202","$252,167","$1,321,033","$530,625","$124,993","$15,329",,"$24,879",,"$69,617","$41,140",,"$217,485","$74,129","$65,775","$122,376","$186,922","$35,592","$125,864",,,,"$47,552","$8,662","$2,830,269","$488,175","$2,765,454","$292,450","$404,508","$693,945","$227,888","$434,365","$42,136","$16,120","$2,485,020","$221,641","$490,557","$1,339,082","$441,914","$31,125",,"$256,363","$127,981","$10,002",,,,,,,,$550,,,,,,,,,,,,,,
The Pyramid (2014),"$2,613,772",,,"$571,058","$1,544,399","$203,477","$116,053",,,,"$175,176",,,,,,,"$158,801",,"$273,192",,,,"$8,952",,"$59,865",,,,,,,,,,,,,,,,,,,,"$524,881",,,"$374,734","$512,993",,"$1,566,750",,,,"$39,133",,,,,"$41,630",,"$971,623",,,,,,,,,,
Life of Crime (2013),"$760,758",,,"$34,617",,,,,,,,,,,,,,"$45,282",,"$82,694",,,,"$36,073",,"$13,239","$55,847","$10,262","$1,802","$1,630",,,,,,,,,,,,,,,,"$19,023",,,"$122,207","$7,789",,,,,,,,,,,,,,,,,,,,,,,
"As Above, So Below (2014)","$1,631,041","$78,974","$3,353,976","$1,600,382","$1,267,806","$176,795","$1,397,088","$402,258","$593,931","$277,356","$434,893","$45,203","$133,288","$129,177",,,"$47,259","$245,992",,"$111,737","$133,958","$43,593","$157,572","$17,380","$31,326","$15,982","$33,699","$27,912","$13,522",,,"$1,499,880","$438,891",,"$245,804","$247,317","$137,796","$132,490","$209,697","$28,552",,,,,"$11,323","$159,745",,,"$111,405","$56,185",,"$565,923",,,,,,,,,,,,,,,,,,,,,
Before I Go to Sleep (2014),"$1,308,856","$135,229","$770,285","$5,320,856","$1,227,311","$169,998",,,"$201,726",,"$713,597","$39,933",,,"$290,651",,,"$77,825","$142,764","$367,634","$55,632","$36,727",,"$74,718","$55,491","$105,206","$62,071",,"$26,840","$22,467",,,"$523,653",,,"$115,089","$62,899","$36,660","$102,842","$67,939",,"$928,920","$329,915","$264,327",,"$191,956",,"$263,181","$69,496","$76,457","$3,157","$34,398",,,,"$7,032",,,,,,"$143,581",,,,,,,,,,,
Into the Storm (2014),"$6,638,842","$930,124","$779,939","$4,548,316","$2,594,430","$1,601,782","$2,653,187","$1,259,693","$121,688","$903,632","$741,524","$573,257","$331,724","$71,426","$107,086","$363,005","$361,888","$300,846","$43,044","$506,125","$123,899","$44,361","$113,782","$193,122","$45,561","$212,981","$118,318","$7,055","$13,835","$49,109","$16,427","$10,621,639","$1,337,211","$2,360,454","$1,770,459","$1,606,257","$1,964,412","$447,173","$1,031,763","$63,114","$115,687","$4,290,692","$2,430,158","$568,330","$1,101,538","$612,832","$607,114","$15,664,268","$1,774,943","$247,140","$55,231","$2,688,618","$47,615,959",,,,"$17,340,000",,"$3,458","$4,623,988",,,,,,,,,,,,,
Third Person (2013),"$54,642","$17,768","$74,304","$3,595",,"$200,233","$372,380",,,"$75,835",,"$77,759","$27,313",,,,,,"$78,606",,,,,"$72,510",,"$21,989",,,,,,,,,"$21,022","$95,265",,"$29,589",,,,,"$62,822",,"$25,116","$82,897",,,"$173,161","$27,957",,,,,,,,,,,,,,,,"$8,600",,,,,,,
The Maze Runner (2014),"$13,701,615","$2,965,322","$7,835,909","$13,927,471","$24,656,497","$7,362,059","$3,161,528","$5,242,108","$918,357","$4,298,809","$1,027,101","$765,265","$2,576,081","$1,975,008","$426,153","$1,875,398","$1,464,565","$885,020","$626,617","$2,638,390","$454,758","$127,220","$832,265","$826,972","$164,415","$358,921","$408,081","$61,976","$105,770","$118,263","$59,596","$10,028,064","$814,137","$7,355,459","$1,952,837","$1,588,723","$2,555,926","$887,818","$1,717,912","$101,776","$149,614","$13,903,824","$4,174,555","$2,350,744","$3,174,542","$3,851,494","$640,748","$20,377,014","$2,581,585","$296,985","$67,778","$5,617,491",,"$517,973","$462,761",,"$23,990,000",,,"$5,289,387",,,,,"$822,444",,"$172,273",,,"$1,022,986",,,
A Walk Among the Tombstones (2014),"$1,439,649","$351,778","$3,907,665","$5,983,096","$1,312,542","$1,406,079","$1,124,372","$787,130","$486,468","$362,731","$410,261","$286,431","$242,894","$218,433","$328,962","$251,957",,"$155,191","$546,349","$104,808","$27,463",,"$131,137","$281,087","$25,033","$101,451","$83,405","$24,173","$3,324","$68,436","$19,778","$2,438,700","$985,111",,"$384,245",,"$257,339","$277,617",,"$52,606",,"$2,198,480","$409,800","$307,034","$275,262","$706,043",,"$1,645,873","$804,001","$46,838","$39,848","$519,933",,,,,,"$19,963",,,,,"$459,007",,,,,,,"$227,001",,,
Laggies (2014),"$471,209","$10,608",,"$276,585","$328,147",,,,,,,"$26,643",,,,,,"$37,662",,,,,,"$40,435",,"$17,613",,"$6,731","$5,683",,,,,,,,,,,,,,,,,"$65,653",,,,"$4,172",,,,,,"$2,439",,,,,,,,"$18,593",,,,,,,,,
The November Man (2014),"$786,111","$502,198",,"$14,862","$1,025,930","$463,310",,"$465,047",,"$234,653","$22,125","$19,431",,,"$98,364",,,"$45,328","$39,777","$165,516",,,,"$106,940","$37,091","$218,324","$77,884",,"$21,058","$24,622","$26,653","$954,841","$74,294","$323,561","$302,527","$90,160",,"$56,300",,,,,"$328,618",,"$69,112","$530,604","$96,474","$1,694,851","$417,907","$75,023","$59,204","$166,117",,,,,"$4,521,480",,,,,,"$467,290","$20,213",,,,,,,,,
Wer (2013),"$365,837","$61,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$69,349",,,,,,,,,,,,,,,,,,,,,,,,,,,
