Movie Name,China,South Korea,Domestic,Portugal,Italy,Australia,Russia/CIS,New Zealand,Finland,United Kingdom,Norway,Sweden,Japan,Bulgaria,Argentina,Taiwan,Hong Kong,Hungary,Czech Republic,Mexico,Thailand,France,Germany,Spain,Austria,Belgium,Greece,Poland,Netherlands,Denmark,Serbia and Montenegro,Chile,Venezuela,Peru,Türkiye,Colombia,Brazil,Egypt,Central America+,Middle East Other,South Africa,Iceland,Lebanon,Singapore,Malaysia,Philippines,India,United Arab Emirates,Romania,Slovakia,Uruguay,Bolivia,Russia,Switzerland,Middle East/UAE,Ukraine,Czech Republic/Slovakia,Slovenia,Cyprus,Croatia,Latvia,Estonia,Lithuania,Kenya,Ecuador,Indonesia,Puerto Rico,Kuwait,Bahrain,Oman,Central America,Russia/CIS/Ukraine,Israel,Lesser Antilles,Jamaica,Dominican Republic,Nigeria,Qatar,East Africa,Jordan,Curaçao,Aruba,Baltic States,West Indies
Moolaadé (2003),,,"$215,646",,,,,,,,,,,,,,,,,,,,"$60,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliens of the Deep (2005),,,"$8,968,684",,,"$656,190",,,,"$1,190,781",,,,,,"$4,953",,,,"$96,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Marriage of Maria Braun (1979),,,"$8,144","$2,794",,,,,,,,,,,,,,,,,,,,$917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bitter Tears of Petra von Kant (1972),,,"$8,144","$1,834",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Butterfly (2003),,,"$17,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easy (2003),,,"$21,589",,,,,,,,,,,,,,,,,"$32,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Going All the Way (1997),,,"$116,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travelers and Magicians (2003),,,"$506,793",,"$88,487",,,,,,,,,,,"$45,745",,,,,,,,"$27,614",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackball (2003),,,"$48,000",,,,,,,"$1,175,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or (My Treasure) (2004),,,"$29,194",,,,,,,,,,,,,,,,,"$14,410",,"$156,571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cronicas (2004),,,"$300,322","$7,051",,,,,,,,,,,,,,,,"$408,063",,,,"$34,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevator to the Gallows (1958),,,"$374,671","$6,130",,,,,,,,,,,,,,,,,,,,,,,,,"$50,983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A League of Ordinary Gentlemen (2004),,,"$18,807",,,,,,,,"$303,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eight Hundred Bullets (2002),,,$866,,,,,,,,,,,,"$46,752",,,,,,,,,"$1,514,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pom Poko (1994),,,"$372,405",,,,,,,,,,,,,,,,,,,"$879,930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Earrings of Madame De... (1953),,,"$130,561","$4,223",,,,,,,,,,,,,,,,,,$852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Solstice (2004),,,"$319,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brothers (2004),,,"$389,220","$17,736",,,,,,,,,,,"$9,813","$5,284",,,,,,,,"$67,653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darkness (2002),,,,"$111,500","$2,594,128","$8,873",,"$68,790",,"$460,149",,,"$218,568",,"$66,238","$3,629",,"$31,877",,"$1,934,902",,"$800,000","$160,181","$4,032,048",,,"$76,500","$12,616","$301,365",,,"$22,812",,"$81,987","$35,222",,"$800,000","$3,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Sound of Thunder (2005),,,,"$61,550",,"$46,371","$1,130,387",,,,,,"$3,203,941","$20,880",,,,,"$49,527","$953,667","$244,800",,,"$3,635,826",,"$56,741",,,"$173,472",,,,,"$53,912",,,,,"$10,590",,,"$16,119",,,,,,"$86,359","$16,333","$4,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Brown Bunny (2003),,,,"$36,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evil (2003),,,,"$15,485",,,,,"$188,123",,"$280,020",,,,,"$29,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In My Country (2004),,,,"$42,857","$1,037,240",,,,,,,,,,,,,,,,,,,"$69,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ong-Bak: The Thai Warrior (2003),,,,"$200,523","$765,883","$369,372",,"$43,834",,"$585,655",,,,,,"$57,049","$1,302,300",,"$1,970","$394,319","$2,500,000","$6,428,560","$492,839","$2,170,811","$161,763",,,"$25,519","$24,687",,,,,,,,,"$2,029",,,,,,,,,,"$136,107",,"$9,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean Creek (2004),,,,"$5,862","$32,189",,,"$4,569",,"$156,377",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Woodsman (2004),,,,"$49,122","$559,174","$159,401",,"$122,619","$23,705","$562,540","$48,852",,,,"$144,914",,,,,"$603,800",,,"$86,566","$57,400","$12,357",,"$8,460",,,"$11,780",,"$30,373",,,,,,,,,,,,,,,,"$39,956",,,,,,"$581,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imaginary Heroes (2004),,,,"$17,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday Morning (2002),,,,"$3,985",,,,,,,,,,,,"$9,899",,,,,,"$120,016",,,,,,"$9,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downfall (2004),,,,"$354,001","$1,719,541","$1,853,889",,"$177,639","$692,243","$3,580,880","$2,913,556","$805,822",,"$40,709","$1,061,559","$56,732","$57,159","$665,616","$409,461","$2,920,988",,"$6,382,713","$39,074,362","$4,642,061","$1,971,658","$2,451,553","$414,450","$1,038,648","$3,486,970","$4,275,838","$15,239","$659,182",,,"$466,578",,"$1,288,633","$10,217",,,,"$114,174","$77,034",,,,,,"$34,316","$45,200",,,,"$2,502,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are We There Yet? (2005),,,,"$97,733","$16,660","$2,391,706",,"$473,299",,"$5,811,439",,,,,,,,,,"$2,529,703",,"$22,674","$2,350,648","$126,492",,"$7,916",,,,,,,,,,,,"$24,446",,,"$589,603","$34,184",,"$57,486",,"$11,900",,"$251,192",,,"$26,321",,,,,,,"$59,741",,,,,,,,,,"$120,009","$73,369","$19,839",,,,,,"$1,742","$34,471","$31,926","$26,207",,,,,
The Wedding Date (2005),,,,"$180,290","$326,697","$1,668,236","$414,246",,"$43,692","$7,577,974",,,,"$43,560",,,"$135,539","$98,691",,,"$76,000",,,"$1,548,475",,"$298,085","$213,200","$22,872","$627,474","$187,074","$2,644",,,,"$75,906",,,"$33,563",,,"$704,385","$83,288","$17,621",,,,,"$75,235","$22,839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pooh's Heffalump Movie (2005),,,,"$276,903","$1,183,573","$1,610,514","$904,517","$331,978","$1,337,272","$2,978,452","$1,895,391","$2,153,870",,"$9,830","$343,821",,,"$438,606","$174,752","$2,033,933",,"$3,270,093","$2,893,928","$1,460,736","$755,069","$763,689","$112,300","$2,220,119","$657,017","$1,902,025","$20,369","$209,835",,,"$591,502",,,"$7,623",,,,"$122,774","$13,746",,,,,"$46,003","$12,803",,,,,"$669,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bride & Prejudice (2004),,,,"$18,020","$1,051,723","$3,201,260","$452,755","$670,715",,"$9,296,713",,"$15,167",,,,,"$206,673",,"$35,669",,,"$1,173,856","$308,682","$640,075","$23,191","$30,887","$56,900",,"$65,254","$7,960",,,,,,,,"$8,482",,,,"$4,678",,,,,,"$388,972",,"$9,560",,,,"$443,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Son of the Mask (2005),,,,"$189,051","$826,173","$1,125,585","$1,816,812",,,"$6,146,012","$600,744","$457,117","$12,218,089",,"$517,809","$50,169","$941,344",,,"$3,282,988","$368,300","$2,379,092","$524,093","$1,654,141","$192,602","$30,293","$154,350",,"$348,974","$308,705",,"$232,619","$483,520","$289,859","$21,791","$280,278","$2,106,201","$15,548","$327,152",,"$328,686","$140,362","$85,196","$588,098",,"$377,496",,"$236,539",,,,"$27,296","$1,910,380",,,"$157,857",,,,,,,,,"$194,212","$76,743","$405,031",,,,,,"$454,718",,,,,,,,,,"$58,310","$32,791"
Cursed (2005),,,,"$110,030","$463,791","$24,394","$1,600,526",,"$20,830","$834,672","$87,836","$91,751",,,"$113,036",,"$164,380",,"$31,596","$628,669","$78,100","$95,468","$376,599","$2,783,501","$111,593","$288,700","$129,600","$130,735","$199,797","$87,742","$4,262","$57,864",,,"$269,177",,"$742,658","$17,576",,,"$144,998","$15,414",,,,,,"$103,346",,"$18,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Princess (2005),,,,"$18,600",,,,,,,,,,,,,,,,"$1,292,374",,,"$117,142","$171,545","$51,951",,,,"$273,022",,,,,,,,,,,,"$300,000","$54,867",,,,,,"$71,380","$1,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melinda and Melinda (2004),,,,"$213,703","$2,034,720","$345,165",,"$23,086",,"$1,393,699","$197,077","$181,105","$211,436",,"$464,834",,"$27,399","$59,976","$13,766","$197,070",,"$2,926,801","$1,137,281","$4,525,827","$156,120","$176,548","$266,400","$352,452","$61,446","$62,624",,"$89,877","$14,722","$45,812","$14,193",,"$642,035",,,,"$15,697","$9,376","$9,947",,,,,,,"$4,035","$33,658",,,"$221,117",,,"$36,271","$5,902",,"$10,982","$14,612","$10,264","$10,120",,,,"$11,142",,,,,,"$70,119",,,"$4,631",,,,,,,,
The Ballad of Jack and Rose (2005),,,,"$26,160",,,,,,"$37,698",,,,,"$61,264",,,,,"$60,394",,,,,,,,,,,,"$18,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Look at Me (2004),,,,"$46,441","$1,059,360","$204,104","$60,016","$31,435",,"$1,047,073","$152,681","$166,045",,"$1,523","$168,452","$35,893",,,,"$39,955",,"$11,018,100","$1,040,572","$439,195","$164,797","$530,650",,,"$75,307","$93,373",,"$10,068",,,,,,,,,,,,,,,,,"$2,455",,,,,"$566,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Desert (1964),,,,"$11,567",,,,,,"$7,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Sleeper (1992),,,,,"$5,126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Kingdom (1994),,,,,"$61,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nameless (1999),,,,,"$1,091,211",,,,,,,,,,,,,,,"$2,801,573",,,,,,,,,,,,,,"$11,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzhou River (2000),,,,,"$17,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Time Dead (2002),,,,,"$720,702","$144,092",,"$95,761",,"$2,562,448",,,,,"$243,951",,"$75,642",,,"$3,248,404","$365,454",,,"$1,449,784",,,,,"$148,328",,,"$117,715","$371,511","$291,733","$699,173","$409,092","$551,520",,"$54,141","$214,166","$96,740","$26,487","$21,173","$297,107","$217,248","$76,202","$6,929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortal (2004),,,,,"$201,179",,"$391,447",,,,,,,,,,"$170,713","$14,334",,,,"$6,251,029","$91,312",,,,"$21,760","$30,678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicotina (2003),,,,,"$179,080",,,,,,,,,,"$47,245",,,,,"$3,959,898",,"$32,468","$184,237","$192,139","$32,568",,,,,,,"$5,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost in the Shell 2: Innocence (2004),,,,,"$38,117",,,,"$59,813",,,,"$7,850,044",,,"$27,695",,,,,,"$770,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Talking Picture (2003),,,,,"$432,092",,,,,,,,,,,,,,,,,"$82,614",,"$66,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Embrace (2004),,,,,"$318,851",,,,,,,,,,"$335,791",,,,,,,"$501,747",,"$488,309",,,,,,,,,,,,,"$463,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Story of the Weeping Camel (2003),,,,,"$287,244","$972,374",,,,"$820,860","$249,724",,,,"$31,200","$52,418",,,,"$81,875",,"$975,946","$2,546,665","$213,841","$243,308",,,,,"$57,131",,,,,,,,,,,,,,,,,,,,,,,,"$1,033,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Layer Cake (2004),,,,,"$40,474","$521,749",,"$121,839",,"$8,164,398",,"$49,314",,,,,,,,"$82,870",,"$84,396",,"$79,107",,"$21,351",,,,,,,,,,,,,,,,"$15,383",,,,,,,"$10,469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schultze Gets the Blues (2003),,,,,"$27,630",,,,,,,,,$519,,,,,,,,,"$2,996,148",,"$22,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riding Giants (2004),,,,,"$40,653","$177,661",,"$50,706",,"$212,315",,,,,,,,,,,,"$87,330","$350,826",,"$20,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Scanner Darkly (2006),,,,,"$69,418","$186,020",,,,"$1,778,192",,,,,,"$20,088",,,,,,,,"$65,055",,,"$23,000",,,,,,,,"$10,867",,,,,,,"$5,662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casshern (2004),,,,,"$282,888",,,,,,,,"$12,070,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Iron (2004),,,,,"$913,097",,"$29,565",,,"$141,933","$17,340",,,,"$48,252","$9,290",,,"$2,944","$129,266",,"$438,642","$634,335","$437,757","$61,300",,"$40,550",,"$17,962",,,"$47,360",,,,,"$192,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat Albert (2004),,,,,"$14,260","$378,457",,,,,,,,,,,,,,,,,"$17,179","$1,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosenstrasse (2003),,,,,"$476,327",,,,,,,,,,,,,,,"$51,647",,,"$4,034,728",,"$28,393",,,,"$198,866",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walk on Water (2004),,,,,"$258,214","$287,516",,"$148,950",,"$173,163",,,,,"$13,319","$10,697",,,,"$98,526",,"$380,261","$30,830","$328,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eros (2004),,,,,"$901,668",,,,,,,,,,,"$29,392","$94,929",,,,,"$267,632",,,,,"$37,800",,,,,,,,"$33,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Trumpet of the Swan (2001),,,,,,"$165,707",,,,,,,,,,,,,,"$360,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ripley's Game (2002),,,,,,"$2,618,035",,,,,,,,,,,,,,"$309,253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Little Eye (2002),,,,,,"$52,999",,,,,,,,,,,,,,"$630,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali G Indahouse (2002),,,,,,"$2,143,675",,"$366,848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undertaking Betty (2002),,,,,,"$356,862",,"$305,779",,,,,,,"$26,982",,,,,"$38,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Young Things (2003),,,,,,"$232,680",,"$151,354",,"$1,587,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springtime in a Small Town (2002),,,,,,"$14,734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festival Express (2003),,,,,,"$83,033",,,,"$24,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Yes Men (2003),,,,,,"$75,257",,"$42,359","$20,819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In My Father's Den (2004),,,,,,"$460,993",,"$1,032,081",,"$108,488",,,,,,,,,,,,,,,"$13,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metallica: Some Kind of Monster (2004),,,,,,"$395,967",,,"$21,262","$200,075",,,,,,,,,"$1,651",,,,"$101,160",,"$9,675",,,,,,,,,,,,,,,,,,,,,,,,$974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Life and Death of Peter Sellers (2004),,,,,,"$980,699",,"$24,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Who and the Daleks (1965),,,,,,"$15,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because of Winn-Dixie (2005),,,,,,"$78,735",,,,,,,,,,,,,,"$688,356",,,"$38,597","$2,697",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$134,000",,,,,,,,,,,,,,,,,
Turtles Can Fly (2004),,,,,,"$148,808",,"$7,020",,,"$49,075",,,,"$10,944","$4,554",,,,,,,,"$70,285",,,,,,,,"$100,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wild Parrots of Telegraph Hill (2003),,,,,,"$21,812",,"$136,892",,"$1,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty Shop (2005),,,,,,"$64,071",,"$106,117",,"$723,915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Men in New Cars: In China They Eat Dogs II (2002),,,,,,,"$120,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade (2004),,,,,,,"$516,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle Royale II (2003),,,,,,,"$31,150",,,,,,"$14,416,667",,,"$3,003","$429,132",,,,"$22,635",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foolproof (2003),,,,,,,"$177,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,466",,,,,"$4,353",,,,,"$129,337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ju-on: The Grudge (2002),,,,,,,"$65,306",,,"$28,965",,,,,,"$1,024,012",,,,,,,,"$2,194,393",,,"$19,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ju-On: The Grudge 2 (2003),,,,,,,"$81,658",,,"$60,011",,"$6,804","$915,133",,,,"$388,908",,,,,,,"$1,253,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romasanta: The Werewolf Hunt (2004),,,,,,,"$270,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bummer (2003),,,,,,,"$3,278,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Going the Distance (2004),,,,,,,"$522,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Eye 2 (2004),,,,,,,"$60,547",,,,,,,,,,"$1,202,483",,,,"$521,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underclassman (2005),,,,,,,"$48,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,011",,,"$109,022",,,,,,,"$54,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knockin' on Heaven's Door (1997),,,,,,,"$208,429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Diggers (2003),,,,,,,"$302,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hole (1998),,,,,,,,"$2,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levottomat 3 - kun mikään ei riitä (2004),,,,,,,,,"$1,277,450",,,,,,,"$11,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen Land (2005),,,,,,,,,"$1,693,918","$7,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Eye Vares (2004),,,,,,,,,"$4,675,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hole (2001),,,,,,,,,,"$3,139,788",,,,,,"$49,938",,,,"$434,644","$125,552",,"$1,228,806","$2,343,390","$203,770",,,,,,,,,,,,"$46,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kal Ho Naa Ho (2003),,,,,,,,,,"$3,612,913",,,,,,,,,,,,,"$16,070",,,,,,,,,,,,,,,,,,,,,,,,"$7,130,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infernal Affairs III (2003),,,,,,,,,,"$123,904",,,"$417,635",,,,"$3,865,758",,,,"$61,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver City (2004),,,,,,,,,,"$303,563",,,,,,,,,,,,,,"$58,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machuca (2004),,,,,,,,,,"$213,644",,,,,"$9,935","$10,586",,,,"$64,405",,"$172,106","$70,210","$338,363","$22,431",,,,,,,"$2,259,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dig! (2004),,,,,,,,,,"$101,761",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rory O'Shea Was Here (2004),,,,,,,,,,"$1,202,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside Deep Throat (2005),,,,,,,,,,"$17,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beautiful Boxer (2003),,,,,,,,,,"$3,481",,,,,,"$3,346","$23,702",,,,"$190,100",,,"$283,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
