Movie Name,China,South Korea,Domestic,Portugal,Italy,Australia,Russia/CIS,New Zealand,Finland,United Kingdom,Norway,Sweden,Japan,Bulgaria,Argentina,Taiwan,Hong Kong,Hungary,Czech Republic,Mexico,Thailand,France,Germany,Spain,Austria,Belgium,Greece,Poland,Netherlands,Denmark,Serbia and Montenegro,Chile,Venezuela,Peru,Türkiye,Colombia,Brazil,Egypt,Central America+,Middle East Other,South Africa,Iceland,Lebanon,Singapore,Malaysia,Philippines,India,United Arab Emirates,Romania,Slovakia,Uruguay,Bolivia,Russia,Switzerland,Middle East/UAE,Ukraine,Czech Republic/Slovakia,Slovenia,Cyprus,Croatia,Latvia,Estonia,Lithuania,Kenya,Ecuador,Indonesia,Puerto Rico,Kuwait,Bahrain,Oman,Central America,Russia/CIS/Ukraine,Israel,Lesser Antilles,Jamaica,Dominican Republic,Nigeria,Qatar,East Africa,Jordan,Curaçao,Aruba,Baltic States,West Indies
Oldboy (2003),,"$1,882,334","$2,427,598","$4,659","$516,228","$160,383","$232,153","$35,760","$14,452","$590,618","$34,268",,"$1,034,164",,"$27,659","$12,895","$177,448","$2,443","$28,118",,,"$758,727","$135,250",,"$60,675",,"$423,900","$47,749","$66,250",,,,,,,,"$45,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Missed Call (2003),,"$1,237,499",,,"$305,300",,"$188,049",,,,"$101,988",,"$13,285,943",,,,"$155,008",,,,"$31,600","$687,906",,"$1,580,806",,,,,,,,,,,"$31,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Jacket (2005),,"$607,005","$6,303,762","$61,281","$1,165,565","$181,355","$129,995","$9,375","$46,038","$1,157,069","$11,192","$70,331",,"$17,885","$205,285","$451,883","$95,654",,"$40,372","$4,861,305",,"$2,572,294",,"$2,334,033",,"$76,675","$40,150","$306,747","$95,615","$29,259","$4,334","$104,663",,,,,,"$19,480",,,,"$40,310","$10,177",,,,,"$46,583",,"$10,332",,,,"$20,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millions (2004),,"$1,131,775",,"$10,973",,"$418,116",,"$142,420",,"$2,740,140",,,,"$1,906","$50,535",,"$39,982",,,"$147,594",,,"$33,761","$388,431",,,"$23,500",,"$5,000",,,"$22,360",,,,,"$39,645","$1,985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sea Inside (2004),,"$46,172","$2,104,923","$262,097","$622,890","$297,652","$36,437","$48,930","$255,892","$619,344","$23,166",,"$88,712",,"$276,954","$33,231",,,"$3,189","$1,905,985",,"$5,773,776","$2,151,162","$26,100,297","$145,976","$414,129","$81,000","$60,578","$584,883",,"$6,821","$297,930","$88,589","$34,145","$68,650",,"$110,436",,,,"$31,551","$3,244",,,,,,,"$16,039","$12,844","$19,428",,,"$981,514",,,,,,,,,,,"$24,640",,"$98,415",,,,,,,,,,,,,,,,,
Spanglish (2004),,"$7,396",,"$258,947","$330,202","$2,113,280","$621,243","$244,695","$22,914","$1,054,771","$63,447","$204,436","$7,662",,"$86,893",,,,,"$2,465,531","$17,725","$254,292","$875,667","$1,311,440",,,,,,"$105,951",,"$57,108","$186,294","$117,932",,"$107,868","$149,110",,,,"$448,691","$19,656",,"$125,409","$50,223","$38,663",,"$70,522",,,"$23,809",,,"$274,339",,,,"$23,307",,,,,,,"$37,627",,,"$140,041","$18,873","$11,794","$26,172","$769,355",,,,,,,,,,,,
The Chorus (2004),,"$431,863","$3,635,164","$44,736","$1,181,187","$428,968",,"$190,068","$16,684","$2,062,908","$205,130","$159,272",,"$5,093","$330,664","$179,295","$164,883",,"$4,439","$500,795",,"$48,765,590","$7,129,524","$9,652,231","$158,865","$1,267,723","$248,900",,"$5,119","$87,653","$2,983","$387,021",,,"$100,293",,,,,,,"$25,012","$62,167",,,,,,"$3,680","$2,385",,,,"$2,485,088",,,,"$6,740",,"$4,151",,,,,,,,,,,,,,,,,,,,,,,,
Open Water (2003),,"$270,727",,"$112,955","$1,790,375","$1,789,399","$1,033,203","$320,830",,"$9,853,938",,,,,"$263,965",,"$348,436","$20,028","$90,395","$2,439,832",,"$891,712","$519,116","$1,422,954","$83,955","$178,452","$377,150","$152,153","$225,344","$29,526",,"$153,005","$358,178",,"$629,756",,,"$11,699",,,"$362,656","$23,327",,,,,,,"$13,492","$8,968",,,,"$297,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Return (2003),,"$12,790","$504,256","$41,994","$1,344,128","$134,714","$550,247",,,"$370,257","$27,656",,,"$2,249","$56,507",,,,,"$421,925",,"$624,466","$100,537","$51,111",,,,,,,,,"$129,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ring Two (2005),,"$1,177,141",,"$976,168","$7,199,962","$4,263,043","$3,434,799","$684,589","$691,965","$10,009,015","$1,016,593","$1,108,115","$2,389,632","$24,984","$956,310","$460,544",,"$488,583","$390,023","$7,909,509","$445,253","$6,288,622","$7,114,707","$6,983,110","$1,136,986","$1,156,455","$1,095,565","$689,774","$1,444,770","$574,605","$28,656","$648,670","$685,589","$627,989","$1,895,756","$813,444","$2,907,216","$132,570","$796,897",,"$447,043","$314,906",,"$284,190","$453,283","$266,590",,"$348,743","$35,941","$82,021",,,"$3,698,550","$1,387,570",,"$460,037",,"$199,867",,"$81,619",,,,,,"$417,621",,,,,,,"$639,110",,,,,,,,,,,
Tae Guk Gi: The Brotherhood of War (2004),,"$64,800,000","$1,111,061",,,,,,,"$3,394",,,"$9,736,556",,,,"$374,818",,,"$69,277",,"$171,270","$16,480",,"$4,492",,,,,,$634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noel (2004),,"$23,663",,,,,,,,,,,,,"$8,547",,,,,,"$17,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Million Dollar Baby (2004),,"$5,045,832",,"$1,612,229","$9,843,810","$6,572,534","$211,339","$493,274","$794,085","$10,149,214","$1,165,625","$1,508,984","$11,254,733","$41,279","$1,292,679","$302,363","$326,246","$216,732","$223,610","$4,061,795","$132,800","$22,136,162","$4,472,345","$16,049,334","$887,510","$2,153,764","$2,919,307","$799,870","$1,414,538","$1,307,235",,"$531,750",,,"$639,185",,"$2,100,000","$51,463",,,,"$141,267",,"$85,329",,,,"$249,112","$67,742","$15,272","$53,113",,,"$2,799,566",,,,,,,"$5,113",,"$3,569",,,,,,,,,,,,,,,,,,,,,
"Goodbye, Dragon Inn (2003)",,"$994,523","$35,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
