Movie Name,Australia,New Zealand,Russia/CIS,Singapore,Taiwan,United Kingdom,South Africa,Domestic,Italy,Spain,United Arab Emirates,Mexico,Venezuela,Hong Kong,Thailand,Japan,France,Belgium,Netherlands,Norway,Germany,Poland,Denmark,Israel,Latvia,Switzerland (French),Switzerland (German),Sweden,Türkiye,Iceland,Romania,Portugal,Czech Republic,Slovakia,Egypt,South Korea,Malaysia,Philippines,India,Brazil,Uruguay,Colombia,Ecuador,Middle East Other,South Africa/Nigeria,Ukraine,Greece,Austria,Hungary,Czech Republic/Slovakia,Switzerland,Finland,Lithuania,Bulgaria,Croatia,Slovenia,Estonia,Serbia and Montenegro,Lebanon,East Africa,Nigeria,Central America+,Argentina,Chile,Peru,Bolivia,Indonesia,S/E/W Africa,Kuwait,Bahrain,Jordan,Qatar,Oman,Puerto Rico,Central America,Dominican Republic,Lesser Antilles,Jamaica,China,Cyprus,Vietnam,Pakistan,Switzerland (Italian),West Indies,Curaçao,Aruba,Ethiopia,Greece and Cyprus,Middle East,Middle East/UAE
Rocket Science (2007),"$3,902",,,,,"$39,022",,"$714,943",,,,,,,,,,,,"$1,809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daddy Day Camp (2007),"$1,186,514","$5,083",,,,"$1,085,756","$196,873",,"$35,921","$961,794","$312,544",,,,,,"$322,316","$16,231",,,"$127,104",,,,,,,"$133,826",,,,,,,"$10,495",,,"$15,904",,,,,,,,,,,,,,,,,,,,,"$18,429","$16,862","$34,114",,,,,,,,"$155,610","$73,678","$42,689","$55,967","$12,888",,,"$34,409","$58,335","$31,981",,,,,,,,,,,,
The Invasion (2007),"$23,632","$64,223","$1,999,453","$312,469","$267,692","$986,757","$98,617",,"$1,021,480","$3,054,692","$125,566","$2,024,971","$238,314","$505,062","$465,821","$1,192,068","$1,285,507","$278,590","$134,439","$80,547","$399,996","$119,034",,,"$36,846",,,"$5,219","$681,019","$18,217","$87,105","$381,717","$49,518","$21,550","$68,207","$4,126,782","$275,407","$308,126","$112,901","$617,514","$16,365",,"$46,907",,,"$172,239","$496,000","$104,998","$115,860",,,,"$88,245","$53,380",,"$30,803","$20,299","$10,948","$16,421","$18,945","$13,794",,"$321,586","$65,354","$131,012","$20,312","$333,298",,,,,,,,"$36,459",,,,,,,,,,,,,,,
War (2007),"$1,275,254",,"$2,547,521","$624,503","$272,835","$810,735","$154,214","$22,486,409","$100,103","$2,059,539","$2,872,293","$409,111","$233,319","$349,304","$370,918","$1,989,492","$1,594,027","$284,373","$171,678","$71,671",,,,,"$72,749",,,,"$1,054,048","$28,615","$74,732","$115,520",,,,"$338,401","$667,983","$766,966","$9,351","$350,141",,,,,,,"$47,044",,"$86,098",,,,"$81,887","$129,374",,,,,"$44,463",,,,,,"$100,032","$9,036",,,,,,,,,,,,,,,,,,,,,,,,
The Nanny Diaries (2007),"$1,674,686","$128,973","$1,396,126","$248,960","$410,984","$434,917","$344,095",,"$587,786","$3,590,397","$60,265","$876,250","$166,612","$391,195",,"$831,916","$588,765","$167,875","$237,027","$88,098","$395,542","$848,202","$159,312","$437,673","$55,630","$116,423","$542,278",,"$379,487","$37,369","$106,641","$188,165","$106,195","$69,597",,"$3,440,103","$41,568","$83,089","$20,378","$794,165","$15,968",,,,,"$157,154","$291,590","$68,902","$79,859",,"$665,878","$70,137","$74,715","$23,874","$73,419","$46,160","$39,727",,"$13,585",,,,"$70,408","$13,076",,,,,"$89,377","$21,541",,"$11,924","$5,153",,,,,,,,,,"$7,177",,,,,,,
Halloween (2007),"$702,662",,"$1,625,002","$180,129","$170,011","$3,782,209",,,"$3,418,936","$2,454,374","$174,555","$1,082,083","$166,281","$75,645",,,"$679,847","$277,562","$349,004","$91,119","$2,145,509","$517,997","$172,618",,,"$73,563","$269,824",,"$284,509","$49,596","$32,943","$186,894","$84,173","$24,783","$26,939","$114,691","$164,103","$177,451",,"$732,949","$6,130",,,,,"$102,105","$215,355","$550,059","$44,158",,"$359,031","$31,867",,,"$36,393","$20,951",,,"$27,621",,,,"$206,325","$26,232","$147,981","$21,044",,,,"$40,308",,"$37,296","$12,458",,,,,,,,,,"$15,644",,,,,,,
Two Days in Paris (2007),"$1,724,376","$434,413","$109,646",,"$51,522","$1,358,131",,,"$225,946","$1,035,776",,,"$71,157","$148,659","$22,306",,"$1,739,660","$380,987","$43,836","$212,929","$2,550,341","$1,426,834","$28,451",,"$83,023",,,"$517,304","$225,874","$5,096",,"$96,017","$55,590","$49,544",,$433,"$12,346",,,"$568,405","$20,617",,,,,,"$37,413","$395,907","$18,127",,"$831,801","$270,815","$45,887","$10,575",,"$44,876",,,"$19,820",,,,"$373,612","$94,113",,,,,,,,,,,,,,,,,,,,,,,,,,
The King of Kong: A Fistful of Quarters (2007),"$96,628","$14,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunting and Gathering (2007),"$1,102,390","$129,800","$151,556","$32,053","$56,910",,,,,"$945,621",,"$58,344",,"$121,428","$3,939",,"$17,803,399","$780,710","$22,197","$288,987","$7,228,742","$68,177",,,,,,"$618,798","$52,504",,"$8,163","$34,973",,,,"$6,377",,,,,"$18,589",,,,,,"$203,956","$950,410","$95,610",,"$1,003,733","$118,250",,,,,,,,,,,"$21,660",,,,,,,,,,,,,,,,,,,,,,,,,,,
3:10 to Yuma (2007),"$2,371,873","$350,931","$1,100,387","$24,170","$117,927","$2,425,312","$77,264",,"$1,004,879","$1,599,433","$247,878","$597,725","$231,223",,,,"$1,694,205","$207,277","$9,072","$286,412","$686,059","$142,124","$309,343",,"$13,815",,,"$99,798","$297,455","$65,736","$51,083","$274,078","$41,298","$9,204","$16,587","$308,036",,"$43,206",,"$589,051","$18,329",,,,,"$23,607","$318,576","$75,984","$19,290",,"$88,885","$75,839","$18,447","$28,488","$36,830","$20,535","$13,647",,"$21,718",,"$11,604",,"$276,073","$20,956","$22,582",,,,,,,,,,"$17,601",,,,,,,,,,,,,,,
