Movie Name,Domestic,Spain,France,Finland,United Kingdom,New Zealand,Australia,Germany,Czech Republic,South Korea,Russia/CIS,Hong Kong,Taiwan,Italy,Netherlands,Portugal,Ukraine,Austria,Denmark,Iceland,Hungary,Mexico,Türkiye,Brazil,Bulgaria,Argentina,Chile,Sweden,Poland,Egypt,South Africa,Slovakia,Peru,Japan,India,Russia/CIS/Ukraine,Thailand,Philippines,Singapore,Malaysia,Indonesia,Sri Lanka,Belgium,Switzerland,Greece,Israel,Middle East/UAE,Czech Republic/Slovakia,Norway,Romania,Lebanon,Slovenia,Croatia,Cyprus,Kenya,Central America+,Venezuela,Colombia,China,Russia,Greece and Cyprus,S/E/W Africa,Latvia,Lithuania,Estonia,Serbia and Montenegro,Central America,Puerto Rico,Ecuador,Uruguay,Dominican Republic,Bolivia,Lesser Antilles,Jamaica,Middle East Other,United Arab Emirates,East Africa,Vietnam,Palestine,Baltic States,West Indies
Don't Say a Word (2001),,"$6,794,121","$1,692,735","$220,781","$2,505,745","$107,339","$2,401,714","$2,336,316","$103,234","$1,055,806",,"$343,259","$638,181","$2,907,361","$1,500,625",,,"$324,996",,,"$252,809","$3,551,657",,"$1,319,934","$31,751",,,,,,"$164,273",,,"$2,523,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearts in Atlantis (2001),,"$1,310,700","$102,138",,"$157,580",,"$1,175,819","$121,697",,"$93,479",,,,"$983,759","$11,316",,,,,,,"$834,370",,,,,,,,,,,,"$903,567",,,,,,,,,,,,,,,"$29,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoolander (2001),,"$886,391","$709,498","$102,058","$3,070,183",,"$2,236,527","$2,373,288","$35,864",,,,,,"$327,338",,,"$395,692",,,"$73,584","$571,740",,"$181,745","$15,985",,,,,,"$92,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy Ride (2001),,"$2,488,029","$810,519",,"$3,227,727","$164,316","$642,708","$1,061,844",,,,,,"$44,341",,,,,,,"$72,910","$907,642","$27,399","$503,828",,,,,,,"$122,441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serendipity (2001),,"$1,242,920","$1,236,368","$55,289","$2,853,656","$136,833","$2,651,363","$2,279,677","$18,885","$847,571",,"$86,304","$597,390","$2,207,869","$861,612",,,"$443,160",,,"$25,372","$1,584,472","$149,588","$392,083","$20,989",,,,,,"$333,519",,,"$1,770,081",,,,,,,,,,,,,,,"$249,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandits (2001),,"$1,752,421","$2,878,850","$113,006","$2,705,549","$160,590","$1,841,808","$2,736,694","$151,744",,,,"$304,232",,"$705,241",,,"$499,066",,,"$148,000","$2,615,572",,"$1,744,679","$48,403",,,,"$328,633",,"$359,546",,,"$3,803,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My First Mister (2001),,"$16,771",,,,,,"$9,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bones (2001),,"$420,130","$380,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Hell (2001),,"$2,769,796","$4,155,538","$314,221","$3,664,705","$167,596","$1,418,708","$3,903,158","$194,146","$143,481",,,"$326,961","$8,367,518","$706,375",,,"$518,380",,,"$60,126","$1,843,230",,"$321,008","$29,410",,,,,,"$73,308",,,"$3,014,556",,,,,,,,,,,,,,,"$325,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Castle (2001),,"$685,537","$10,899",,"$232,892",,"$849,154","$1,410,528",,,,,,"$43,894",,,,"$216,977",,,,"$1,293,768",,"$39,441","$31,831",,,,,"$5,954","$129,749",,,"$500,431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riding in Cars with Boys (2001),,"$170,520","$128,242","$59,391","$966,216","$149,103","$1,538,987","$105,029",,"$47,619",,,,"$42,194",,,,"$10,113",,,"$11,326","$531,944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intimacy (2001),,"$202,846",,,"$222,562",,,"$1,446,830","$18,199",,,,,,,,,"$147,989",,,,"$59,856",,,,"$93,107","$76,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-PAX (2001),,"$994,171","$994,105",,"$2,097,280","$61,671","$571,219","$513,584",,,,,"$13,447","$976,248","$185,634",,,"$107,115",,,"$96,022","$226,922",,"$185,742","$15,651","$29,822",,,,,,,,"$1,276,302",,,,,,,,,,,,,,,"$106,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thir13en Ghosts (2001),,"$3,606,407","$1,209,010",,"$2,641,044","$193,468","$940,284","$2,537,312",,"$1,235,395",,,"$136,684","$413,263","$389,185",,,"$538,225",,,"$48,802","$4,509,812",,"$711,853","$7,486",,,,,,"$67,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life as a House (2001),,"$256,154","$241,914",,"$11,274","$26,669","$1,503,387","$297,525",,,,,,"$334,193","$52,849",,,"$246,669",,,,"$105,392","$32,067",,,"$25,224","$8,645",,,,"$23,677",,,"$2,465,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic Disturbance (2001),,"$1,001,809","$568,448","$17,621","$1,136,766","$31,346","$696,829","$303,358","$6,151","$163,518",,,"$181,585","$963,201","$416,246",,,"$55,317",,,,"$1,676,680",,"$89,748","$5,081","$138,867","$34,992",,,,"$78,016",,,"$175,550",,,,,,,,,,,,,,,"$40,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heist (2001),,"$914,864","$707,668","$24,464","$519,296",,"$100,185","$78,225","$45,950",,,"$20,951","$84,533","$665,217",,,,,,,"$18,055","$751,830",,"$300,560","$10,298",,,,"$82,200",,"$115,523",,,,,,,,,,,,,,"$70,400",,,,"$36,702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shallow Hal (2001),,"$6,390,817","$2,914,465","$212,197","$7,994,530","$421,935","$4,705,964","$8,394,631","$83,198","$2,286,982",,,"$593,751","$1,330,769","$702,372",,,"$1,319,059",,,"$212,947","$10,933,825",,,"$17,569",,,,,,"$310,347",,,"$840,218",,,,,,,,,,,,,,,"$739,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novocaine (2001),,"$174,254",,,,,"$2,131",,,,,,,,,,,,,,"$12,198","$112,283",,,,,,,,,,,,,,,,,,,,,,,"$13,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Knight (2001),,"$1,345,726","$125,195",,"$254,973",,"$527,423","$40,636",,,,,,,"$596,934",,,,,,,"$351,857",,,,,,,,,"$230,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Out Cold (2001),,"$31,493","$129,272",,,"$123,826","$7,400",,,,,,,"$5,390",,,,"$126,774",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spy Game (2001),,"$5,672,209","$7,308,980","$196,626","$6,467,798","$256,351","$3,090,507","$5,793,334","$167,421","$1,226,319",,"$309,663","$1,132,658","$6,479,327","$924,335",,,"$715,932",,,"$143,564","$3,806,072",,"$750,556","$51,422","$366,467",,,,"$60,203","$500,996",,,"$17,298,599",,,,,,,,,,,,,,,"$857,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behind Enemy Lines (2001),,"$1,499,367","$728,276","$71,787","$3,809,270","$288,510","$2,350,826","$707,738","$23,414",,,"$465,040","$851,482","$934,724","$363,674",,,"$121,965",,,"$300,421","$2,452,389",,,"$25,916",,,,,,"$337,818",,,"$3,982,077",,,,,,,,,,,,,,,"$320,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Affair of the Necklace (2001),,"$369,352",,,,,,,"$2,411",,,,,"$12,375",,,,,,,"$28,673",,,,,,,,,,,,,"$314,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Rangers (2001),,"$90,705",,,,,"$16,662",,,,,,"$8,579",,,,,,,,,,"$6,087",,,,,,,"$3,449","$14,884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean's Eleven (2001),,"$11,990,830","$24,187,088","$1,650,224","$35,757,096","$1,444,795","$11,289,006","$24,075,928","$371,177","$6,410,386",,,"$1,899,052","$15,751,112","$7,767,857",,,"$2,811,844",,,"$367,198","$10,011,623",,"$6,115,943","$141,551",,,,,"$299,383","$1,473,430",,,"$51,987,627",,,,,,,,,,,,,,,"$1,749,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Man's Land (2001),,"$398,700","$858,582",,,,"$112,675","$68,058",,,,,"$24,908","$561,709",,,,,,,,"$23,994",,,"$10,040","$167,326","$23,712",,,,,,,,,,,,,,,,,,,,,,"$35,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanilla Sky (2001),,"$2,146,983","$5,954,104","$672,205","$13,081,296","$432,197","$3,728,281","$8,161,728","$234,533","$5,955",,"$754,794","$838,940","$6,540,811","$1,478,588",,,"$1,335,007",,,"$255,982","$3,932,113",,,"$70,648",,,,,,"$373,789",,,"$24,768,144",,,,,,,,,,,,,,,"$473,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iris (2001),,"$596,846",,,"$5,200,178","$404,805","$979,005","$585,073","$3,256",,,,"$85,260","$90,489","$230,398",,,"$65,241",,,,"$293,793",,"$74,724","$5,518","$21,989","$21,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kandahar (2001),,"$321,932","$858,489",,,,"$7,045","$318,424",,,,"$23,926",,"$5,792,963","$83,006",,,,,,,"$90,652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana (2001),,"$53,073","$942,001",,"$774,495","$164,767","$6,125,907","$106,191",,,,,,"$197,625",,,,,,,"$11,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How High (2001),,"$9,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Neutron: Boy Genius (2001),,"$87,641","$1,611,709",,"$3,614,824","$402,879","$2,903,028","$698,570",,"$145,700",,,,"$197,757","$138,754",,,"$38,720",,,,"$6,659,651",,"$387,024",,"$369,598",,,,,"$162,532",,,,,,,,,,,,,,,,,,"$162,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Somebody (2001),,"$273,762","$43,103",,,,"$111,718","$35,263",,,,,,,,,,,,,,"$917,266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kate & Leopold (2001),,"$1,194,549","$440,783",,"$292,444","$158,812","$3,230,989","$4,482,954","$732,897",,,,"$808,265","$2,050,485","$540,965",,,"$457,035",,,"$101,351","$1,039,865",,"$395,099","$23,323","$150,954",,,,"$34,531","$363,121",,,"$5,855,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Hawk Down (2001),,"$2,050,934","$2,865,606",,"$8,091,924","$584,951","$5,477,785","$2,387,107","$150,721",,,,"$1,250,858","$1,434,840","$541,269",,,"$279,899",,,"$66,518","$4,539,854",,"$1,397,135","$37,381",,,,,,"$358,674",,,"$9,667,861",,,,,,,,,,,,,,,"$840,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Gray (2001),,"$122,301",,,"$1,886,566","$302,330","$2,228,991",,,,,,,,,,,"$19,443",,,,,,,,,,,,,"$22,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gosford Park (2001),,"$3,826,102","$4,012,013","$128,249","$16,948,417","$587,163","$4,545,780","$2,584,839","$64,728",,,"$292,652","$39,315","$2,913,234","$464,158",,,"$407,489",,,"$81,660","$396,078",,,,,,,,,"$151,440",,,,,,,,,,,,,,,,,,"$492,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Shipping News (2001),,"$1,856,625","$365,955",,"$1,319,813","$300,530","$1,371,939","$2,286,460","$36,459",,,,,"$825,583","$63,980",,,,,,,"$125,135",,"$71,429","$16,933",,,,,,"$73,337",,,"$335,759",,,,,,,,,,,,,,,"$77,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County (2002),,"$61,726","$1,463",,"$514,172",,"$268,265","$630,715",,,,,,"$8,825","$63,453",,,"$54,136",,,,"$137,359",,,,,,,,,"$21,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow Dogs (2002),,"$910,740","$1,944,036",,"$4,442,739","$576,955","$5,704,983","$4,637,508",,,,,"$189,783","$1,251,081","$1,355,669",,,"$959,659",,,"$66,350","$7,587,020",,"$1,025,288","$7,407","$110,501","$95,088",,"$24,307",,"$455,240",,,,,,,,,,,,,,,,,,"$242,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Count of Monte Cristo (2002),,"$1,001,809","$150,483",,"$1,792,083","$260,093","$1,962,754","$875,087","$37,370","$599,170",,,"$48,660","$973,357","$280,018",,,,,,"$124,120","$3,915,115","$345,651","$1,890,041","$55,771","$279,351",,,"$108,425","$28,921","$138,556",,,,,,,,,,,,,,,,,,"$58,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Walk to Remember (2002),,"$483,062","$353,969",,"$675,400",,"$1,032,222","$851,073",,"$246,414","$42,865",,,"$242,430",,,,"$97,352",,,,"$1,471,570",,,,,"$8,576",,,"$73,054","$193,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing Bicycle (2001),,"$24,323",,,,,,,,,,,,"$125,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolis (2001),,"$19,826","$469,191",,,,"$3,004","$12,642",,,,,,"$55,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storytelling (2001),,"$92,399","$90,802","$5,570","$60,581",,"$78,152",,,,,,,,"$11,287",,,,,,,,,,,"$31,232","$4,477",,,,,,,,,,,,,,,,,,,,,,"$23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birthday Girl (2001),,"$1,559,321","$498,040",,"$1,020,434",,"$823,855","$162,869",,,,"$110,673","$121,104","$1,967,637","$79,022",,,"$80,844",,,"$55,123","$610,542",,"$208,102","$15,225","$29,989","$28,990",,,"$23,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Fat Liar (2002),,"$28,260",,,"$1,900,887","$85,811","$1,702,082",,,,,,,,,,,,,"$10,279",,"$110,819",,,"$8,225",,,"$16,225",,,"$199,355",,,,,,,"$105,797","$88,588",,,,,,,,,,,,"$28,434",,,"$21,501",,,,,,,,,,,,,,,,,,,,,,,,,,,
Collateral Damage (2002),,"$2,642,220","$1,164,758",,"$1,176,632","$191,092","$1,118,305","$2,103,321","$42,095",,,,"$440,514","$874,273","$257,976",,,"$411,077",,,"$38,280","$3,908,102",,,"$39,472",,,,,,"$268,420",,,"$7,343,587",,,,,,,,,,,,,,,"$124,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rollerball (2002),,"$813,972","$1,580,046",,"$359,145",,"$449,470","$303,185",,"$120,361",,,,"$622,447",,,,"$40,034",,,"$14,990","$1,255,343",,"$86,614","$20,899",,,,,,"$46,284",,,"$190,627",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Down to Earth (2001),,,"$193,300",,"$2,492,766",,"$671,444","$881,360",,,,,"$52,933",,,,,"$58,557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me You Them (2000),,,"$181,558",,"$55,462",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dish (2000),,,"$5,574",,"$1,397,028",,"$9,583,391",,,,,,"$3,439","$2,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heartbreakers (2001),,,"$1,270,022",,"$4,746,687",,"$1,217,991","$3,603,295",,,,,,,,,,"$685,597","$166,777",,"$40,792","$842,371",,,,,,,"$183,488","$49,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Someone Like You (2001),,,"$141,539",,"$94,461",,"$1,071,148","$753,855","$23,174",,,,,"$20,790",,,,"$67,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blow (2001),,,"$1,479,395",,"$4,246,371",,"$2,111,740","$2,921,695","$52,393",,,,"$19,975",,"$569,507",,,"$424,567","$127,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Scarlet Empress (1934),,,"$3,299",,,$54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swordfish (2001),,,"$3,938,709",,"$10,182,800",,"$7,694,768","$4,680,403","$131,148",,,,"$1,100,298",,"$1,403,798",,,"$708,000","$547,930",,"$262,806","$2,955,415",,"$2,003,175","$107,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentlemen Prefer Blondes (1953),,,$648,,,$421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crazy/Beautiful (2001),,,"$89,107",,"$200,405","$72,310","$154,206","$154,851","$10,517",,,,,,"$80,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cats & Dogs (2001),,,"$3,975,972",,"$3,387,641",,"$8,401,173","$4,767,739","$124,235",,,"$1,223,181",,,"$841,572",,,"$942,596","$243,567",,,"$7,811,237",,"$2,203,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scary Movie 2 (2001),,,"$10,823,566",,"$6,264,624",,"$1,976,869","$9,509,696","$161,864",,,"$502,831",,,"$2,026,729",,,"$1,260,878","$430,839",,,"$3,558,106",,"$3,436,552","$34,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All That Heaven Allows (1955),,,$170,,,$117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Smell of Success (1957),,,"$7,336",,,,,,,,,,,,,$368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Written on the Wind (1956),,,"$13,495",,,$668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suspiria (1977),,,"$3,661",,"$8,670","$21,499",$512,,,,,,,,,,,,,,,,"$8,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osmosis Jones (2001),,,"$27,383",,,,"$6,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Curse of the Jade Scorpion (2001),,,"$3,328,556",,,,"$76,573","$474,309","$43,186",,,,,,"$41,223",,,"$71,398",,,"$51,230","$95,696",,,"$6,759","$61,722","$49,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay and Silent Bob Strike Back (2001),,,"$37,820",,"$1,317,826","$37,734","$940,600","$355,998","$5,421",,,,"$11,030","$10,843","$43,071",,,,,,"$33,647",,,"$89,220",,,,,,,,,,,,,,,,,,,,,,,,,"$8,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Iron Ladies (2000),,,"$20,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Born Romantic (2000),,,"$69,290",,"$291,255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Swamp (2001),,,"$45,614",,,,,,,,,,,,"$26,974","$1,790",,,,,,,,,,"$196,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing at the Blue Iguana (2000),,,"$53,633",,,,,,,,,,$575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Heels and Low Lifes (2001),,,"$79,560",,"$1,913,401",,,"$107,266",,,,,,,,,,"$11,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Party (1968),,,"$10,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slackers (2002),,,"$372,221",,"$429,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentine (2001),,,,,"$1,713,996",,"$604,027","$597,306","$5,442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannibal (2001),,,,,"$30,910,263",,"$5,555,753","$17,316,791","$408,908",,,,,,,,,"$2,253,034","$1,234,470","$188,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Taste of Others (2000),,,,,"$64,830",,"$30,365",,,"$35,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recess: School's Out (2001),,,,,"$1,350,539",,"$809,090","$133,370","$10,583",,,,,,,,,"$32,547",,,,,,"$149,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet November (2001),,,,,"$565,198",,"$98,858","$2,414,386",,,,,,,,,,"$364,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See Spot Run (2001),,,,,"$360,580",,"$795,614",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Minutes (2001),,,,,"$2,291,422",,"$1,363,811",,"$153,969",,,,,,,,,,"$48,984","$25,366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When Brendan Met Trudy (2000),,,,,"$763,493",,"$172,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy at the Gates (2001),,,,,"$5,454,627",,"$1,269,953","$566,888","$93,066",,,,,,,,,"$57,723","$171,535",,,,,,"$39,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exit Wounds (2001),,,,,"$1,891,973",,"$1,741,983","$2,948,712","$126,928",,,,,,,,,,"$264,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Brothers (2001),,,,,"$87,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spy Kids (2001),,,,,"$9,807,440",,"$3,331,433","$1,299,884","$7,881",,,,,,,,,"$73,719",,,,,,,"$10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Tailor of Panama (2001),,,,,"$1,448,357",,"$399,791",,,,,,,,,,,,,,,"$477,088",,,"$10,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amores Perros (2000),,,,,"$252,266",,"$14,588","$243,663","$35,100",,,,"$68,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Along Came a Spider (2001),,,,,"$3,224,492",,"$2,334,726","$2,220,456","$55,234",,,,,,,,,"$375,787","$136,480",,,,,,"$21,915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pokémon 3 the Movie: Spell of the Unown (2000),,,,,"$714,016",,"$549,902","$2,736,100",,,,,,,,,,"$327,752","$277,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocodile Dundee in Los Angeles (2001),,,,,"$2,047,576",,"$3,857,807","$1,984,794","$70,810",,,,,,,,,"$125,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread and Roses (2000),,,,,"$173,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Startup.com (2001),,,,,"$17,763",,,"$204,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl Harbor (2001),,,,,"$18,156,652",,"$10,034,063","$28,113,392","$921,509",,,,"$1,073,799",,"$537,630",,,"$3,240,873","$2,440,146",,,,,,"$104,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evolution (2001),,,,,"$10,786,711",,"$2,904,537","$7,083,374","$155,066",,,,"$317,977",,,,,"$807,076","$438,166",,,"$2,635,884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
