Movie Name,Domestic,Spain,France,Finland,United Kingdom,New Zealand,Australia,Germany,Czech Republic,South Korea,Russia/CIS,Hong Kong,Taiwan,Italy,Netherlands,Portugal,Ukraine,Austria,Denmark,Iceland,Hungary,Mexico,Türkiye,Brazil,Bulgaria,Argentina,Chile,Sweden,Poland,Egypt,South Africa,Slovakia,Peru,Japan,India,Russia/CIS/Ukraine,Thailand,Philippines,Singapore,Malaysia,Indonesia,Sri Lanka,Belgium,Switzerland,Greece,Israel,Middle East/UAE,Czech Republic/Slovakia,Norway,Romania,Lebanon,Slovenia,Croatia,Cyprus,Kenya,Central America+,Venezuela,Colombia,China,Russia,Greece and Cyprus,S/E/W Africa,Latvia,Lithuania,Estonia,Serbia and Montenegro,Central America,Puerto Rico,Ecuador,Uruguay,Dominican Republic,Bolivia,Lesser Antilles,Jamaica,Middle East Other,United Arab Emirates,East Africa,Vietnam,Palestine,Baltic States,West Indies
Moulin Rouge! (2001),"$57,386,607","$7,495,637","$6,516,910","$1,052,169","$32,733,745",$211,"$14,341,212","$7,787,853","$422,456","$5,208,677",,"$694,960","$2,272,455","$4,242,609","$1,648,589","$799,983",,"$912,956","$363,403","$231,798","$526,123","$2,985,853","$487,402","$1,453,931","$56,732","$1,912,788","$386,525","$3,089,625","$748,069","$131,597",,,"$275,270","$7,224,752","$220,955","$1,644,844","$398,666","$474,405","$700,013","$144,641","$228,274",,"$2,138,464","$1,989,032",,"$1,009,628","$149,158","$475,693","$1,385,800","$51,029","$242,640","$116,755","$132,483",,,,"$383,850","$331,177","$1,294,898",,"$1,187,550","$839,870","$163,400","$149,230","$140,412","$62,150","$249,862","$139,597","$109,142","$92,903","$55,815","$31,603","$10,785","$4,647",,,,,,,
Himalaya (1999),"$2,619,885","$238,629",,,,,"$725,093",,,,,,,,,,,,,,"$12,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Man Who Cried (2000),"$747,092","$232,331",,,,,"$146,001","$154,741",,,,,"$31,676",,,,,"$10,922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Night (1961),"$39,236",,,,,,,,,,,,,,,"$1,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yi Yi (2000),"$1,136,776",,,,,,,,,"$59,442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Animal (2001),"$57,743,062","$2,323,167","$442,203",,"$1,100,992",,"$2,959,006","$2,013,496","$54,181",,,,"$246,914","$418,392","$331,079",,,"$417,118",,,,,,"$980,796","$29,605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divided We Fall (2000),"$1,332,586",,,,,,,"$60,313","$359,435",,,,"$10,386",,,,,,,,,"$74,382",,,,"$59,906","$6,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tootsie (1982),"$177,200,000",,,,,$271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fast and the Furious (2001),"$144,745,925","$3,944,871","$5,163,335",,"$9,246,011","$3,842","$5,146,982","$7,651,437","$156,206",$938,,,"$223,593","$2,851,994","$1,370,322",,,"$1,204,941","$260,345",,,"$3,336,146",,"$1,378,170","$96,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.I. Artificial Intelligence (2001),"$78,616,689","$3,769,575","$8,060,796",,"$11,662,544",,"$2,093,647","$5,427,942","$85,765",,,"$2,421,307","$1,592,040",,"$778,808",,,"$474,726","$271,132",,,"$6,509,634",,"$3,831,448","$56,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexy Beast (2000),"$6,946,056","$82,442",,,"$667,818",$216,"$460,358","$462,770","$10,931",,,,,,"$197,120",,,"$14,957",,,,"$150,191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Princess and the Warrior (2000),"$872,091",,,,,,"$24,211",,,,,,"$12,809",,,,,,,,,"$88,124",,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Crimson Rivers (2000),"$594,966",,,,,,"$45,270","$3,916,482","$157,748",,,,,,,,,,"$59,551",,,,,,,,,,,,,"$8,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baise-moi (2000),"$420,224",,,,"$24,019","$58,860","$150,852",,,,,,,,,,,,,,,"$286,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Something Wild (1986),"$8,362,969",,,,,$218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiss Me Deadly (1955),"$726,000",,,"$4,871","$2,307",$217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
