Movie Name,Thailand,Russia/CIS,Philippines,Singapore,Vietnam,South Korea,Ukraine,Czech Republic,Belgium,Slovakia,Romania,Lithuania,South Africa,Estonia,Croatia,United Arab Emirates,Latvia,Egypt,Oman,Ecuador,Spain,Greece,Sweden,Norway,United Kingdom,Argentina,Colombia,Uruguay,New Zealand,Brazil,Peru,Portugal,Mexico,Bolivia,Australia,Chile,Poland,China,Iceland,Taiwan,Hong Kong,Malaysia,Germany,Italy,France,Türkiye,Austria,Lebanon,Bulgaria,Jordan,Domestic,Netherlands,Denmark,Finland,Hungary,Serbia and Montenegro,Slovenia,Japan,Israel,Switzerland (German),Kuwait,Switzerland (French),Qatar,Bahrain,Cyprus,Iraq,Kenya,Palestine,Venezuela,Costa Rica,Panama,Guatemala,West Indies,El Salvador,Dominican Republic,Honduras,Nicaragua,Paraguay,Aruba,Curaçao,Mongolia,Indonesia,India,Pakistan,Cambodia,Sri Lanka,Nigeria,East Africa,Switzerland,Ethiopia,Russia,Ghana,E/W Africa,Central America,Puerto Rico,Trinidad & Tobago,Jamaica
Still Alice (2014),"$51,833",,,"$52,883",,"$696,946",,"$55,948","$588,978",,,,"$140,058","$27,855","$5,594","$93,025",,,"$7,051","$24,503","$797,622","$151,425","$524,212",,"$3,482,413",,,"$51,539","$303,584","$1,600,362","$118,832","$418,209","$708,600",,"$1,738,632","$215,196","$76,128",,"$20,219","$909,254","$217,048",,"$2,918,944","$453,214","$890,033","$149,590","$366,824","$38,356","$4,539",,,"$3,088,254","$803,420","$364,968",,"$11,245","$22,120","$2,087,069",,"$1,300,640",,"$447,659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddington (2014),"$151,958","$8,146,737",,"$900,796",,"$2,101,543","$1,065,332","$673,138","$4,295,821","$239,898","$410,743","$213,685","$828,863","$194,161","$299,829","$1,252,111","$126,428",,"$34,078","$158,007","$5,719,849","$520,223","$3,523,208","$1,745,978","$65,034,869",,,"$21,959","$1,475,497","$1,442,021","$1,869,318","$958,294","$2,884,313","$132,739","$9,949,121",,"$2,946,047","$16,790,174","$7,512",,"$1,931,768","$433,151","$16,937,960","$6,170,207","$24,866,814","$1,105,414","$1,697,170","$136,725","$368,033","$15,665","$76,271,832","$2,052,435","$1,086,659","$1,062,827","$301,691","$198,157","$152,704","$6,153,109","$1,835,535",,,,,,,,"$6,015",,"$3,527,203",,,,,,,,,,,,,,,,,,"$10,583","$2,927",,,,,,,,,
Jessabelle (2014),"$78,204","$881,861",,"$159,425","$163,262",,,,,,,,,,,,,,,,,,,,,"$164,373",,,,"$516,990","$141,143",,"$575,069",,,"$80,010",,,,"$132,454","$46,438","$141,238",,,,,,,,,,,,,,,,,,,,,,,,,,,"$400,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maze Runner: The Scorch Trials (2015),"$2,583,030","$8,901,034","$3,903,354","$3,274,597","$1,218,456","$19,066,066","$809,542","$436,520","$3,006,949","$176,149","$587,397","$148,629","$1,135,750","$189,051","$190,130","$3,025,337","$135,948","$94,199","$339,099","$962,420","$5,793,258","$547,028","$2,072,233","$1,637,349","$13,288,343","$2,551,164","$1,451,779","$108,493","$1,684,731","$6,937,082","$1,837,281","$879,902","$9,511,948","$276,670","$9,812,639","$2,024,589","$1,047,183","$29,575,097","$115,274","$6,760,750","$4,560,290","$5,471,489","$5,573,737","$2,842,934","$25,362,216","$3,120,490","$657,491","$368,150","$325,405","$136,286",,"$4,025,266","$1,718,542","$759,225","$679,949","$103,671","$62,071","$3,382,867","$1,191,746","$750,217","$456,884","$800,333","$569,380","$580,399",,"$33,945","$69,860",,"$5,208,364",,,,,,"$63,846",,,,,,"$30,127",,"$783,515",,,,"$30,806",,"$530,241","$5,003","$7,819,016","$529,272","$50,205","$1,454,025","$1,138,235","$82,814","$15,388"
The Voices (2014),"$11,254",,,"$27,537",,"$50,217",,,,,,"$6,070",,,,,"$8,249",,,,,,,,"$176,965",,,,,,,,"$75,311",,,,,,,,,,,,"$1,726,028",,"$16,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Protector 2 (2013),"$1,776,546",,,"$308,132",,,,,,,,,,,,"$57,906",,,,,,,,,,,,,,,,,,,,,,,,,"$439,368","$815,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kill the Messenger (2014),"$15,924","$34,374","$17,367","$43,934",,,,,,,,,"$14,296",,,"$100,454",,,"$5,431",,"$426,968","$76,699",,,,,,,,,,"$41,998","$318,698",,"$195,358",,,,,"$88,131","$26,151","$115,246","$107,577","$157,733","$880,209",,,"$25,827",,"$25,221",,,,,,,,,,,,,,"$11,005",,,,,,,,,,,,,,,,,,,"$39,526",,,,,,,,,,,,,,
The Hobbit: The Battle of the Five Armies (2014),"$3,433,733","$23,962,118",,"$4,671,403",,"$22,351,681","$2,842,161","$4,099,685","$7,724,872","$1,176,813","$2,940,051","$511,374","$2,169,038","$870,213","$1,144,466","$4,048,970","$421,766","$818,160","$485,706","$1,677,186","$19,361,007","$3,559,726","$13,853,550","$4,876,250","$61,349,032",,,"$222,735","$5,763,627",,,"$2,520,033",,,"$27,021,677",,"$11,973,770","$121,720,000","$721,376","$6,040,646","$4,154,526","$6,642,432","$72,475,097","$15,702,035","$44,170,868","$8,215,878","$7,764,609","$703,033","$1,450,063","$338,924","$255,138,261","$13,629,190",,"$5,901,395","$2,196,925","$726,374","$476,696","$13,344,015","$1,886,651",,,,,"$124,286",,,,,,,,,,,,,,,,,,,"$2,161,309",,,,,,,,,,,,,,
Unbroken (2014),"$108,253","$1,260,305","$104,687","$268,365",,"$1,478,961","$212,844","$69,802","$998,491","$32,812","$146,643","$82,590","$65,353","$76,327","$45,575","$611,928","$66,782","$45,542","$19,364","$64,621","$2,601,912","$489,860","$1,170,385","$144,275","$2,886,368",,"$120,384","$8,066","$711,854","$931,070","$92,925","$442,032","$1,822,401","$8,223","$4,586,030","$39,655","$360,047","$5,400,000","$42,027","$344,862","$149,036",,"$974,197","$2,572,666","$4,906,458","$136,050","$94,473","$172,125","$44,848","$56,993",,"$1,092,954","$209,112","$144,612","$27,242","$5,446","$46,736",,"$180,364",,,,,,,,,,"$275,301",,,,,,,,,,,,,,"$110,865",,,,,,,,,,,,,,
The Good Lie (2014),"$21,495",,,"$33,703",,"$63,354",,,,,"$18,589",,"$26,778",,,"$30,190",,,"$5,283",,"$237,531",,"$27,695","$36,751",,,,,,,,,"$67,992",,,,,,,,,,,,,,,"$34,667",,"$7,446",,,,"$53,636",,,,,,,,,,$64,,,"$7,083",,,,,,,,,,,,,,,,,,,,"$1,879",,,,,,,,,,
Playing It Cool (2014),"$12,053",,,"$24,699",,,,,,,,,,,,,,,,,,,,,,"$76,851","$101,913",,,"$167,901","$151,460",,"$539,933","$4,061",,"$38,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khumba (2013),"$17,272","$2,073,292",,,,,"$151,165","$122,062","$1,475,329","$100,517","$338,690",,"$772,761",,"$187,122","$206,117",,,,"$172,558","$862,334","$39,601",,,"$828,859","$384,137","$291,794","$223,890",,"$1,307,482","$645,838","$357,108","$1,378,199","$53,572",,,"$1,406,008","$5,170,000",,,,,,"$1,464,486","$3,188,655","$472,441",,"$27,657","$190,807",,,"$1,849,772",,,"$259,619","$47,908","$85,633",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Eyes (2014),"$20,243","$700,662",,"$21,281",,"$388,263","$26,991","$5,073",,"$2,627","$30,322","$12,598","$19,275","$9,370",,"$15,964","$20,621",,"$1,064",,"$499,203",,"$25,311",,"$211,052","$24,037",,"$27,542",,,"$57,214","$90,677",,,"$325,598","$41,214","$287,538",,,"$180,220","$307,735","$16,946","$795,716","$3,037,686","$1,641,275","$49,578","$122,100","$12,280",,"$1,765","$14,482,031","$44,227",,"$11,263",,,,,,,,"$86,726",,,,,,,"$146,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Into the Woods (2014),"$888,366","$1,630,547","$1,241,127","$1,002,578",,"$1,873,265","$216,984","$15,170","$314,185","$18,490","$82,532","$17,385","$394,035","$13,884","$188,990","$1,173,183","$13,246","$43,299","$76,499","$632,514","$2,386,098","$557,065","$272,836","$152,490","$14,859,690",,"$434,750","$39,448","$869,903","$1,194,708","$251,860","$218,230","$4,650,412","$215,638","$9,043,323","$288,550","$344,728",,"$2,751","$1,594,861","$1,170,795","$1,452,138","$2,174,340","$2,252,117","$1,380,895","$160,095","$292,733","$244,772","$139,183","$98,062","$128,002,372","$241,649","$125,368","$173,928",,"$28,632","$27,677","$19,315,123","$144,074",,,,"$141,725","$102,663",,,"$12,577",,"$995,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsman: The Secret Service (2014),"$1,159,675","$12,622,305",,"$3,336,287",,"$46,885,360","$829,874","$610,641","$2,119,005","$160,688","$322,176","$67,336","$670,959","$130,495","$167,908","$2,497,472","$138,339","$94,254","$204,285","$466,800","$7,773,967","$296,326","$2,058,277","$427,310","$24,160,744",,"$882,844","$85,834","$2,133,514","$3,626,412","$612,292","$715,926","$3,777,669","$44,109","$14,003,920","$310,622","$756,189","$74,667,000","$2,448","$10,188,432","$4,226,072","$5,182,107","$6,921,601","$2,360,603","$11,220,053","$766,271","$771,093","$462,999","$352,947","$167,438",,"$2,709,675","$1,163,746","$804,096","$573,720","$36,990","$30,239","$7,487,071","$866,531","$1,292,683",,"$551,909","$30,021","$54,766",,,"$602,911",,"$1,828,357",,,,,,,,,,,,,,"$2,448,229",,,,,,,"$9,800",,,,,,,
Night at the Museum: Secret of the Tomb (2014),"$1,429,858","$8,279,211",,"$4,082,304",,"$7,209,075","$737,750","$519,777","$1,475,340","$96,516","$158,271","$117,237","$1,289,440","$136,666","$110,402","$2,903,588","$127,260","$79,575","$172,211","$1,521,676","$4,946,762","$259,614","$1,021,151","$464,599","$17,738,132",,,"$279,492","$1,250,939","$7,489,106","$2,594,591","$515,029",,,"$10,633,297","$1,017,508","$1,644,178","$47,072,923","$62,069","$4,615,208","$5,595,546","$6,268,920","$8,337,501","$6,189,597","$11,157,135","$489,328","$1,212,073",$299,"$151,615","$207,186",,"$1,257,996","$784,594","$391,748","$424,117","$86,996","$35,605","$2,754,017","$414,845",,,,"$515,710","$123,690",,,,,"$5,487,848",,,,,,,,,,,,,,"$888,174",,,,,,,"$5,839",,,,,,,
Seventh Son (2014),"$1,871,126","$14,920,399","$1,706,785","$1,458,071",,"$539,116","$1,575,519","$332,272","$423,122","$81,856","$833,387","$102,883","$469,102","$106,498","$64,541","$1,006,938","$119,872","$55,992","$149,486","$463,538","$1,379,105","$121,253","$78,043","$123,005","$1,200,723",,,"$32,516","$274,235","$1,997,177","$890,343","$697,412","$5,319,361","$367,152","$1,268,690","$276,945","$476,974","$27,560,000","$21,163","$1,628,155","$584,119","$3,001,702","$665,306","$1,651,818","$4,177,823","$783,376","$214,131","$85,387","$502,672","$71,190",,"$516,675","$96,402","$119,792","$487,277","$37,491","$27,831",,"$46,767",,,,,,,,"$193,293",,"$661,411",,,,,,,,,,,,,,"$501,340",,,,,,,,,,,,,,
The True Story of Puss'N Boots (2009),,"$976,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$144,875",,"$1,657,594","$4,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stalingrad (2013),,"$52,033,664",,,,,"$3,410,087",,,,,,,,,,,,,,,,,,"$101,469",,,,,,,,,,,,"$237,287","$11,520,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Planet: Rebellion (2009),,"$6,069,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babysitting (2014),,"$847,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love and Honor (2013),,"$122,275",,,,,,,"$119,271",,,,,,,"$60,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,909",,,,"$295,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
