Movie Name,United Kingdom,Spain,Italy,Germany,France,Poland,Sweden,Norway,Belgium,South Africa,Netherlands,Türkiye,Israel,Ukraine,Hungary,Denmark,Finland,Czech Republic,Switzerland,Slovakia,United Arab Emirates,Iceland,Bulgaria,Egypt,Romania,Greece,Croatia,Serbia and Montenegro,Lebanon,Mexico,Brazil,Venezuela,Argentina,Chile,Uruguay,Japan,Russia/CIS,Australia,Hong Kong,New Zealand,Malaysia,Singapore,Philippines,Taiwan,Thailand,Peru,Colombia,Central America+,Puerto Rico,Ecuador,Dominican Republic,Bolivia,Domestic,Austria,Portugal,Estonia,South Korea,Slovenia,Middle East Other,Lithuania,Pakistan,Czech Republic/Slovakia,Kenya,Latvia,Cyprus,Nigeria,North Macedonia,India,Indonesia,Vietnam,China,Kuwait,Bahrain,Qatar,Jordan,East Africa,Oman,Curaçao,Central America,Switzerland (German),Switzerland (French),Switzerland (Italian),Saudi Arabia,Jamaica,Lesser Antilles,Aruba,Middle East/UAE,Russia/CIS/Ukraine,Russia,Netherlands Antilles,Switzerland (French/Italian),West Indies,Bangladesh,South Africa/Nigeria,S/E/W Africa,Greece and Cyprus,Guatemala,Costa Rica,El Salvador,Panama,Honduras,Nicaragua,Sri Lanka,Paraguay
Wah-Wah (2005),"$366,925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,867,267",,"$377,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cars (2006),"$30,867,088","$16,342,337","$16,456,342","$14,888,356","$13,992,952","$1,875,931","$3,563,648","$3,866,154","$2,734,883","$1,463,339","$3,314,539","$1,737,408",,"$551,420",,"$2,806,399","$1,959,896","$1,102,953","$2,503,304","$507,074",,"$249,549","$90,981","$16,931","$71,565","$1,389,150",,"$22,411","$31,746","$12,993,566","$8,234,427",,"$3,100,679","$1,317,329",,"$12,234,253","$3,895,840","$13,450,636","$1,909,135","$2,207,860",,,,"$902,415","$354,006",,"$5,687",,,,,,"$244,082,982","$3,321,892","$1,095,548",,"$3,026,329",,,"$260,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lost City (2005),$382,"$201,818","$89,239",,"$919,229","$37,321",,,,,"$86,975","$170,458",,,,,,,,"$1,014",,,,,"$29,984",,,,,"$172,179",,,,,,,"$56,326",,,,,,,,,"$21,393",,,,,,,"$2,484,186",,"$115,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai Dreams (2005),"$37,818","$6,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,274",,,,,,,,,,,,,,"$6,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Notorious Bettie Page (2005),"$293,593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,997","$60,334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On a Clear Day (2005),"$106,847",,,,"$120,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$125,411",,"$473,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Omen (2006),"$8,050,083","$4,723,369","$2,128,019","$2,761,921","$2,380,869","$679,419","$893,022","$815,005","$616,702","$275,367","$479,599","$923,480","$137,158","$650,629","$203,797","$395,847","$170,627","$149,877","$421,255","$49,384","$308,518","$90,246","$101,004","$404,940","$72,668","$1,011,096","$56,531","$63,587","$107,373","$8,297,369","$2,416,224","$940,408","$1,040,082","$840,426","$68,146","$2,249,273","$5,402,560","$1,872,345","$762,509","$259,143","$533,392","$628,207","$602,485","$895,172","$387,515","$697,705","$1,009,297","$813,210","$687,050","$242,975","$91,344","$77,461","$54,607,383","$781,201","$454,795","$63,664","$2,017,221","$65,252",,"$88,561",,"$216,734",,"$56,117",,,,"$283,485","$532,082",,,,,,,,,,,,,,,"$46,649","$58,818",,"$767,432",,,,,,,,,,,,,,,,,
The King (2005),"$198,419",,,,,,,,,,,,,,,"$2,080",,,,,,,,,,"$47,250",,,,,,,,,,,,,,,,,,"$8,884",,,,,,,,,"$282,183",,,,"$17,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nacho Libre (2006),"$7,332,945","$560,650","$5,855","$133,939","$4,760",,"$40,639","$22,864","$33,222","$111,561","$83,018",,,,,"$15,187",,,,,"$285,813","$84,981",,,,,,,"$9,546","$4,496,886",,"$97,715",,"$59,413",,"$1,040,350","$232,927","$2,424,764",,"$556,830","$247,622","$381,081","$181,971",,"$15,431","$160,680","$41,033",,,"$47,375",,"$2,160",,,,,,,"$115,993",,,,,,,,,,,"$13,367",,,,,,,,,"$216,889",,,,,,,,,,,,,,,,,,,,,,,,,
The Lake House (2006),"$5,278,471","$3,922,500","$1,649,852","$6,474,567","$2,145,409","$433,589","$16,085","$42,975","$1,416,731","$414,967","$914,506","$949,752",,"$193,912",,,,"$129,236","$1,451,587","$49,334","$63,392","$47,464","$60,527","$80,769","$85,037",,,"$65,508","$8,194","$4,200,000","$2,455,147",,"$720,346",,,"$8,329,971","$1,526,344","$4,373,186","$390,999","$465,826",,,,"$675,455","$110,701","$72,000",,,"$176,000",,,,,,"$920,564",,"$527,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Click (2006),"$15,086,867","$5,511,461","$3,187,895","$7,338,975","$1,653,392","$576,699","$1,951,631","$902,089","$1,302,655","$1,112,633","$884,637","$1,259,773","$672,748","$313,633","$795,457","$646,514","$364,684","$274,214",,"$76,083","$734,874","$224,429","$86,630","$186,708","$136,798","$1,287,663","$50,535","$44,291","$100,888","$7,815,127","$8,032,478","$1,127,105","$710,028","$552,163","$92,557","$837,609","$2,737,622","$10,665,478","$849,851","$1,359,332","$729,386","$1,208,200","$715,487","$3,960,021","$876,886","$441,904","$602,662",,,"$233,566","$163,789","$49,516",,"$1,288,762","$786,707","$108,031","$2,287,566","$73,949",,"$123,144",,,,"$129,923",,"$29,497",,"$357,874","$451,507",,"$1,409,498","$159,723","$103,311","$117,129","$73,029","$30,905","$48,090","$39,161","$768,980","$828,131","$268,547","$34,913",,"$25,690","$77,420","$38,848",,"$3,143,735",,,,,,,,,,,,,,,,
The Devil Wears Prada (2006),"$26,516,818","$8,126,592","$19,304,728","$23,317,530","$17,860,230","$2,249,809","$3,952,953","$1,717,031","$2,870,766","$1,672,363","$4,035,457","$605,899","$1,364,159","$689,452","$507,174","$1,916,605","$1,259,474","$476,628","$3,932,383","$115,434","$204,306","$78,088","$157,481","$42,468","$272,461","$2,509,422","$207,375","$97,425","$116,709","$5,691,175","$5,828,729","$582,974","$951,335","$354,866","$90,055","$14,598,937","$6,146,064","$11,614,468","$1,642,834","$1,313,141","$252,584","$970,910","$661,454","$2,770,622","$495,444","$455,968","$389,305","$434,513","$470,276","$236,002","$79,739","$42,590","$124,740,460","$3,558,523","$1,280,913","$144,630","$10,194,648","$132,644",,"$175,254",,"$599,735",,"$171,460",,,,"$328,771","$305,036","$57,716","$2,401,750","$114,061","$46,004","$49,481","$18,519",,"$16,939",,,,,,,"$48,421","$69,945",,,,,,,,,,,,,,,,,,,
Pirates of the Caribbean: Dead Man's Chest (2006),"$98,668,102","$36,609,592","$25,212,003","$61,389,002","$46,137,427","$5,037,777","$14,228,356","$8,406,170","$9,810,197","$1,733,956","$13,220,674","$4,677,418",,"$3,124,047",,"$8,621,324","$4,344,625","$2,731,967","$8,298,276","$644,872","$1,700,000","$669,029","$498,300","$347,134","$323,034","$6,015,200",,"$118,740","$168,012","$18,700,000","$10,847,794",,"$4,409,190",,,"$84,511,000","$27,520,000","$28,477,460","$4,574,736","$4,598,044","$2,940,000","$2,980,000",,"$4,544,922","$3,630,000",,,,,,,,"$423,315,812","$8,381,848","$3,401,938",,"$26,600,000",,,,,,,,,,,,"$1,540,000",,,,,,,,,,,,,,,,,,,,"$10,890,000",,,,,,,,,,,,,,,
"You, Me and Dupree (2006)","$15,250,701","$1,637,599","$3,133,457","$3,609,121","$544,491","$573,502","$193,000","$124,545","$679,335","$1,073,305","$1,097,149","$428,438","$587,450","$278,907","$808,605","$126,518","$96,923","$89,691","$861,512","$41,851","$373,655","$151,250","$43,608","$43,231","$159,181","$948,600","$86,197","$18,563","$69,681","$3,275,638","$997,963","$479,557","$553,132","$160,461",,,"$1,922,916","$7,775,353",,"$739,657","$177,715","$270,068","$214,514","$623,435","$205,782","$278,351","$122,133",,,"$85,630",,"$13,813",,"$771,981","$1,517,898","$51,196",,"$139,252","$287,949","$54,731",,"$143,979","$36,689","$50,361","$62,973",,"$2,496","$201,412","$157,359","$43,400",,,,,,,,,"$452,933",,,,,,,,,,,,,,,,,,,,,,,,,
Clerks II (2006),"$919,288","$397,603","$215,369","$91,952","$71,433","$49,076",,,,,,,,"$27,757",,,,,,,,"$42,311",,,,,,,,,,,,,,,"$133,116","$797,522",,"$68,704",,,,,,,,,,,,"$1,199","$24,148,068","$3,448","$18,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady in the Water (2006),"$2,105,760","$5,728,908","$1,067,315","$995,797","$3,046,960","$41,809","$212,798","$32,844","$383,252","$140,037","$331,367","$530,839",,"$124,846",,"$112,974","$20,020","$18,792","$225,362","$14,628",,"$50,583","$19,541","$72,278","$28,291","$346,100",,"$6,042","$13,664","$2,374,610","$562,000",,"$399,003","$177,203",,"$1,750,056","$763,441","$991,678","$339,694","$148,963",,,,"$192,326","$123,014",,,,,,,,,"$198,462","$455,748",,"$667,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
