Movie Name,United Kingdom,Spain,Italy,Germany,France,Poland,Sweden,Norway,Belgium,South Africa,Netherlands,Türkiye,Israel,Ukraine,Hungary,Denmark,Finland,Czech Republic,Switzerland,Slovakia,United Arab Emirates,Iceland,Bulgaria,Egypt,Romania,Greece,Croatia,Serbia and Montenegro,Lebanon,Mexico,Brazil,Venezuela,Argentina,Chile,Uruguay,Japan,Russia/CIS,Australia,Hong Kong,New Zealand,Malaysia,Singapore,Philippines,Taiwan,Thailand,Peru,Colombia,Central America+,Puerto Rico,Ecuador,Dominican Republic,Bolivia,Domestic,Austria,Portugal,Estonia,South Korea,Slovenia,Middle East Other,Lithuania,Pakistan,Czech Republic/Slovakia,Kenya,Latvia,Cyprus,Nigeria,North Macedonia,India,Indonesia,Vietnam,China,Kuwait,Bahrain,Qatar,Jordan,East Africa,Oman,Curaçao,Central America,Switzerland (German),Switzerland (French),Switzerland (Italian),Saudi Arabia,Jamaica,Lesser Antilles,Aruba,Middle East/UAE,Russia/CIS/Ukraine,Russia,Netherlands Antilles,Switzerland (French/Italian),West Indies,Bangladesh,South Africa/Nigeria,S/E/W Africa,Greece and Cyprus,Guatemala,Costa Rica,El Salvador,Panama,Honduras,Nicaragua,Sri Lanka,Paraguay
Lassie (2005),"$2,236,185","$92,641",,,"$1,651,513","$106,017","$224,909","$122,605",,,,,,"$1,603",,"$493,646",,,,,,"$45,094",,,,"$40,100",,,,"$255,116",,"$83,143",,"$40,569",,,"$102,972",,,"$9,929",,,,"$96,455",,"$143,945",,,,"$37,735",,"$6,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutual Appreciation (2005),"$17,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wicker Man (2006),"$3,155,534","$1,068,550","$2,971,313","$652,503",,"$70,256",,,"$741,997",,"$525,152","$147,771",,"$99,017",,,,,,,,,"$53,109",,,"$498,700",,"$5,179",,"$1,342,206","$1,391,887","$442,560","$231,143","$111,166",,"$113,676","$432,942",,,,,,,"$386,030","$119,709","$115,477",,,,,,"$27,110","$23,649,127","$215,674","$229,532",,,,,,,,,,,,,,,,,,,,,,,,"$8,060",,,,,,,,,,,,,,,,,,,,,,,,,
Sketches of Frank Gehry (2005),"$84,559","$18,456","$205,170","$14,398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$82,441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wind that Shakes the Barley (2006),"$7,547,198","$1,570,172","$2,154,875","$588,344","$6,221,044",,"$15,563",,"$502,233","$22,311","$164,251","$74,019",,,"$4,816","$43,491",,,"$274,481",,,,,,,"$332,500","$11,972","$6,376","$11,355","$3,257","$182,554","$27,954","$118,625","$54,407","$16,301",,"$15,060","$633,713",,"$207,528",,"$19,048",,"$36,455",,,,,,,,,"$1,836,089","$43,753","$40,628",,"$97,214","$6,321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fateless (2005),"$76,285","$44,938","$305,955","$161,523",,,,,,,,,,,"$1,286,056",,,,,,,,,,,,,,,"$338,200",,,"$43,317",,"$3,758",,,"$34,783",,,,,,"$20,337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severance (2006),"$3,221,022",,"$475,890","$330,786","$930,334",,,"$7,018",,,,,,,"$29,904",,"$15,811",,,,,,,,"$10,121",,,,"$2,077","$112,714",,,,,,,,,,,,,,"$59,650",,"$98,050",,,,,,,,"$18,862",,,"$62,138",,,,,,,,,,,,,,,,"$3,565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time to Leave (2005),"$156,439","$81,364",,"$477,536","$1,437,623",,"$24,917",,,,"$147,563","$29,923",,,,,,,,"$5,313",,,"$4,224",,,,,,,"$121,567",,,"$62,078",,"$4,645",,,"$32,869",,,,,,,,,,,,,,,,"$99,145",,,"$90,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywoodland (2006),"$334,670","$478,064",,"$124,189","$731,183",,,,,,,,,,,,,,,,,,,,,,,,,"$95,227","$59,880",,"$34,217","$3,487",,,,"$23,233",,,,,,,,,,,,"$12,094",,,,"$31,732","$70,289",,$618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Covenant (2006),"$657,855","$3,041,464","$196,241","$437,747","$332,607","$266,029",,"$33,026","$61,061","$136,270",,,,,,,,,,,"$196,437",,"$46,621","$60,923",,,,,"$7,659","$2,263,023","$396,806","$384,333","$194,038","$142,385","$10,480",,"$1,740,000","$681,453",,"$21,990","$376,902","$451,720","$387,674","$201,090",,"$177,741","$172,010",,,"$174,414",,"$17,175",,,"$103,196",,"$4,309","$15,762",,,,,,,,"$13,865",,"$272,191",,"$39,894",,"$71,905","$28,776","$30,272","$22,056",,"$3,566","$16,390","$228,805",,,,,"$42,600","$42,600","$14,911",,,,,,,,,,,,,,,,,,
The Last Kiss (2006),"$2,508,416","$147,370",,"$247,505","$355,356","$37,895",,,,,,,,"$72,251",,,,,,,,"$17,867",,,,,,,,"$264,857","$177,002",,"$48,271",,,,"$170,398","$47,713",,,,,,"$14,025",,"$76,922",,,,,,,,,"$15,329",,,"$13,643",,"$22,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabrielle (2005),"$188,245","$136,693","$195,082",,"$1,283,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trust the Man (2005),"$1,116,247","$816,980","$1,076,099",,,,,,,,,,,"$105,624",,"$5,916",,,,,"$37,621",,,,"$74,640",,,,,,"$1,089,678","$69,357","$204,696","$23,761","$17,449",,"$409,849","$440,328",,,,,,"$45,099",,"$46,941",,,,,,"$6,271",,,"$236,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherrybaby (2006),"$411,576",,,,,,,,,,,"$12,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesus Camp (2006),"$5,213",,,,"$74,904",,,,"$6,359",,"$2,083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fountain (2006),"$312,380","$427,748","$119,205","$217,379","$1,341,088","$134,863","$53,407","$29,371","$68,182","$37,841","$25,518","$29,520","$27,450","$25,018",,"$38,404","$12,823","$62,670",,"$6,675",,,"$25,299",,"$52,000","$336,968",,,,"$529,000","$294,879","$98,975",,,,"$113,090","$603,406","$177,765",,"$30,642",,"$32,538","$83,952","$172,170","$22,420","$24,950",,,"$7,700",,,,,"$49,905","$464,487","$18,626","$13,388",,,"$3,025",,"$88,740",,,,,,,,"$52,736",,,,,,,,,,,"$46,085",,,"$1,940","$10,105",,,,,,,,,,,,,,,,,,,
The Science of Sleep (2006),"$1,203,740","$494,390","$760,566","$1,054,788","$3,778,178",,"$48,179",,"$94,581",,"$98,326","$100,873",,,"$8,725","$83,689",,"$16,156","$158,595","$3,329",,"$10,306",,,"$9,484","$74,250",,"$5,774",,"$407,465",,,"$50,899","$80,023",,"$525,717","$290,123","$263,200","$69,061","$136,094",,,,"$32,961",,"$27,404",,,,,,,,"$176,462",,,"$382,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Dahlia (2006),"$3,176,305","$3,741,193","$2,822,578","$880,700","$2,787,653","$194,050","$278,728","$87,296","$497,041","$13,603","$96,459","$164,424",,"$125,237","$56,694","$18,244","$111,000",,"$236,209",,,,"$34,040",,"$39,354","$937,400",,"$18,095","$16,723","$373,910","$722,788",,"$62,360",,,"$4,829,692","$6,246","$414,285","$91,213",,,,,"$214,579","$50,891",,,,,,,,,"$220,917","$381,368",,"$898,203",,,"$25,743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gridiron Gang (2006),"$443,628","$122,124",,"$325,041",,,,,,"$93,132",,,,,,"$6,477",,,,,"$162,957",,,"$10,047",,,,,"$14,913","$878,199",,,,,,,,,,"$412,125","$52,180","$118,721","$11,068",,,,,,,,"$20,705",,,,,,,,,,,,,,,,,,,,,"$115,784","$39,246","$33,706","$9,088",,"$15,431","$14,269","$44,009",,,,,"$22,034","$28,344","$11,117",,,,,,,,,,,,,,,,,,
Lemming (2005),"$415,086","$21,994","$21,815","$51,900","$2,926,817",,,,,,"$13,045",,,,,,,,,,,,"$2,056",,$370,,,,,,,,,,,,"$15,373","$2,079",,,,,,,,,,,,,,,,"$27,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxidermia (2006),"$18,972","$1,503",,,,,,,,,,,,,,,$911,"$7,857",,"$6,963",,,,,,,,"$5,106",,,,,,,,,,,,,,"$24,420",,,,,,,,,,,"$11,408",,"$5,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuva (2004),"$236,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bridge (2006),"$16,828",,"$4,189",,,,,,,,,,,,,,,,,,,"$4,927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apocalypto (2006),"$8,074,135","$6,075,033","$8,677,937","$1,989,227","$3,479,781","$2,659,096","$781,692","$494,257","$803,867",,"$1,121,164","$1,106,299",,"$610,612",,"$1,047,920","$183,840","$302,072","$622,851","$104,490",,"$86,491","$218,069","$53,925","$288,912","$1,319,201",,"$42,453",,"$8,012,656","$1,265,320","$431,981","$862,406","$365,537","$64,622","$1,463,099","$4,742,721","$2,665,560","$151,967","$685,661",,"$458,412","$339,208","$982,208",,"$206,972","$521,961",,"$588,265","$146,507","$77,394","$34,687",,"$579,272","$1,198,839",,"$1,838,778",,,"$204,102",,"$319,058",,,,,,"$491,571",,,,,,,,,,,"$374,726",,,,,"$20,205","$35,349",,"$534,224",,,,,,,,,,,,,,,,,
Flyboys (2006),"$208,133","$248,170","$200,338","$170,056",,,,,"$8,486",,,"$133,892",,"$147,714",,,,"$89,267",,"$17,184","$107,945","$20,949","$25,883",,"$7,974","$39,600",,,"$6,488","$214,226","$121,317","$105,401","$43,852","$12,715",,,"$897,012","$88,274","$22,898","$97,315",,,,"$106,724","$114,209","$21,368",,,,,,"$1,826","$13,090,630",,"$63,327",,"$950,353",,,,,,,,,,,,,,"$451,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackass Number Two (2006),"$2,744,104","$440,436",,"$305,498",,,"$51,268","$242,277","$125,337","$43,459","$1,406,423",,,,,"$142,677","$79,098",,,,,"$117,077",,,,,,,,"$226,398",,,,,,"$114,760","$431,738","$4,416,759",,"$631,816",,"$21,909",,"$19,661",,,,,,,,,,"$242,028",,"$15,849",,,,"$47,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All the King's Men (2006),"$179,116","$128,685","$683,800","$56,320","$268,641",,"$12,286",,,"$48,196",,,,,,,,,,,,,,,,,,,,"$251,014",,,"$104,800","$20,644",,"$332,703",,,,,,,"$20,213",,,,,,,,"$25,000",,,,,,"$3,428",,,,,,,,,,,,,,,,,,"$6,046",,,"$4,548","$52,897",,,,,"$15,000","$15,000","$1,828",,,,,,,,,,,,,,,,,,
Conversations with Other Women (2005),"$121,536",,,,"$289,859",,,,"$7,548",,,,,,"$9,289",,,,,,,,,,,,,,,"$106,312",,,,,,,,,,,,"$24,121",,,,,,,,,,,"$379,418",,,,"$36,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borat (2006),"$46,020,502","$2,882,312","$8,364,555","$13,486,198","$6,626,191","$1,689,128","$5,217,402","$3,036,490","$2,863,302","$964,781","$3,110,885","$323,860","$1,570,067",,"$386,903","$2,084,971","$1,222,873","$726,628","$2,787,463","$161,314",,"$440,021","$141,745",,"$188,267","$735,773","$698,747","$111,520","$144,195","$1,035,175","$1,991,297","$69,395","$264,589","$118,917","$54,579","$306,313",,"$14,625,480","$176,065","$2,342,048",,"$422,777","$135,938","$49,252",,"$63,775","$90,801",,"$280,323","$29,991","$44,816","$19,576",,"$1,682,733","$1,299,948","$469,770","$62,999","$502,740",,"$512,725",,"$885,476",,"$219,601",,,,,,,,,,,,,,,"$223,213",,,,,"$33,585","$46,945",,,,,,,,,,,,,,,,,,,
Pan's Labyrinth (2006),"$5,556,152","$11,774,227","$864,082","$2,294,316","$2,411,020","$838,086","$673,999","$335,592","$283,639","$135,912","$721,198","$637,657",,,,"$784,428","$500,455","$139,328","$224,184","$27,370","$36,162",,"$30,486",,"$13,435","$1,159,900",,"$14,996",,"$6,883,588",,"$215,270","$187,916","$245,640","$25,768","$797,642","$884,029","$1,907,570","$179,074","$524,557","$114,178",,"$83,426","$335,379","$86,203","$240,500","$302,565",,,"$143,627",,"$27,993","$37,646,380","$346,718","$177,811",,"$2,897,045","$65,156",,"$47,986",,,,"$39,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Guardian (2006),"$4,098,891","$3,210,794","$993,216","$2,867,980","$986,625","$402,710","$1,231,791","$262,515","$234,849","$494,509",,"$492,309",,,,"$312,743","$84,362",,,,,"$39,353","$74,816",,"$48,512","$165,600",,"$2,866","$11,816","$3,353,795","$437,850",,"$480,461","$62,325",,"$5,470,408",,"$1,559,167","$611,550","$314,957",,,,"$560,235","$375,452",,,,,,,,,"$442,845","$661,611",,"$489,000",,,,,,,,,,,,,,"$3,157,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Season (2006),"$14,540,035","$5,901,402","$4,338,099","$6,016,495","$11,557,063","$5,104,148","$776,326","$3,755,338","$1,390,919","$862,804","$1,822,989","$1,365,948","$678,504","$656,280","$716,749","$425,720","$369,103","$414,356",,"$96,905","$400,354","$87,538","$192,466","$17,694","$26,987","$565,385","$79,723","$56,949","$37,406","$7,835,953","$3,656,697","$838,964","$605,159","$557,595","$75,713","$4,350,594","$6,512,274","$5,013,926","$563,596","$1,010,459","$681,132","$702,625","$440,272","$915,423","$345,403","$530,938","$790,868",,,"$402,687","$70,914","$59,605",,"$1,391,034","$444,825","$220,617","$1,794,845","$187,095",,"$565,703",,,,"$195,376",,"$28,513",,"$584,800","$243,878",,"$2,034,083","$188,358","$81,285","$73,519","$13,582","$24,274","$15,732","$17,724","$805,859","$645,709","$463,134","$46,911",,"$49,754","$49,676","$16,591",,"$7,309,071",,,,,,,,,,,,,,,,
School for Scoundrels (2006),"$1,411,719","$928,868","$182,709","$156,379","$129,293",,,,,"$175,816",,"$112,089",,"$220,609",,,,"$52,815",,"$39,969",,"$38,367",,,"$105,890","$181,734",,,,"$523,734","$310,922","$340,189",,"$41,314",,,"$1,009,891",,,,,"$83,959","$91,190",,"$1,874","$77,187",,,,,,"$8,519","$17,807,569","$11,374","$53,916",,,"$35,424",,"$46,614",,,,,,,,,,,,,,,,,,,"$8,568",,,,,,,,,,,,,,,,,,,,,,,,,
The Departed (2006),"$24,887,792","$13,905,443","$12,237,244","$12,157,627","$14,200,000","$743,638","$3,220,260","$2,186,881","$3,799,810","$1,118,840","$3,014,542","$1,869,411","$391,000","$242,667",,"$2,275,398","$577,554","$266,518","$2,688,394","$90,842",,"$172,965","$176,367",,"$148,867","$3,230,950",,"$59,505","$84,529","$3,480,385","$4,270,000",,"$2,011,780","$923,918","$221,990","$13,139,799","$1,846,191","$9,252,038","$1,039,728","$925,346",,"$506,000","$214,000","$1,210,000","$412,367","$364,047",,,"$228,000",,,,"$132,399,394","$2,323,850","$1,365,066",,"$4,000,000","$150,357",,,,,,,,,,,"$157,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Texas Chainsaw Massacre: The Beginning (2006),"$2,839,155","$1,291,909","$2,075,408","$461,382","$541,664","$86,655",,,"$193,206",,"$261,387","$502,756",,,,"$167,175",,"$54,838",,,,"$33,835",,"$46,950",,"$156,950",,,,"$570,597",,,"$137,999",,,,"$643,500","$469,532","$190,722",,,,,"$313,622","$78,353","$86,899",,,,"$78,724",,"$5,822",,"$186,724","$89,183",,"$604,416",,,,,,,,,,,,,,,,"$22,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee of the Month (2006),"$7,076,703",,,,,"$34,568",,,"$254,739","$351,959","$77,838",,,"$174,427","$75,393",,,"$28,626",,"$7,217",,"$16,635",,,"$31,257",,,,,"$713,060",,"$235,356",,,,,"$295,677","$465,018",,"$58,177",,,,,"$16,364","$54,704",,,,,,,,,"$116,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stormbreaker (2006),"$12,872,046","$722,048","$466,419",,"$2,110,114",,"$84,873","$185,508","$348,547",,"$145,827",,,"$28,351",,"$118,438",,"$8,575",,"$2,097",,"$15,303","$11,856",,"$10,835","$43,150",,,"$2,330","$1,010,381",,"$233,516","$93,633","$11,274",$410,,"$681,121","$1,886,398","$190,169","$416,113",,,,"$58,917","$124,795","$30,034",,,,,,"$1,067",,,"$73,316",,,,,,,,,,,,,,,,"$1,272,763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Running with Scissors (2006),"$68,321","$44,413",,"$5,718",,,,,"$6,075",,,,,,,,,,,,,,,,,,,,,"$36,317",,,,,,,,"$245,688",,"$31,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grudge 2 (2006),"$3,879,938","$2,546,888","$820,614","$1,817,622","$2,036,142","$463,922","$713,119","$567,946","$277,007","$258,206","$676,490","$674,341",,"$290,611",,"$440,301","$197,878","$37,777",,"$25,074",,"$27,966",,,"$43,604","$436,300",,"$2,213",,"$2,618,414","$586,635","$406,354","$225,045","$39,375","$19,674",,"$2,375,239","$1,369,637","$155,959","$340,523",,,,"$145,035","$157,799","$130,907",,,,,,"$22,413",,"$375,475","$192,669",,"$510,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man of the Year (2006),"$4,995","$1,228,214","$1,858,106",,,,,,"$109,147",,,"$181,379",,"$129,846",,,,,,,,,"$15,073",,,"$95,050","$36,962",,"$7,498",,,,,,,,"$283,484","$946,725",,"$153,608",,"$9,427",,,,,,,,,,,,,"$73,811",,,,,"$5,287",,,,,,,,,,"$6,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infamous (2006),"$144,313","$606,629",,,"$237,505",,,,"$129,650",,"$40,411",,,,,,,,,,,,,,"$12,243",,,,,,,,"$128,754","$40,341","$3,919",,,"$133,581",,"$38,835",,"$22,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once in a Lifetime: The Extraordinary Story of the New York Cosmos (2006),"$67,197",$791,,,,,,,,,$191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$144,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offside (2006),"$87,494","$49,632","$124,637","$51,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,934",,,,,"$47,451",,,,,,,,,,,,,,,"$180,530","$15,262",,,,"$2,645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Children (2006),"$810,399","$1,197,068",,"$681,225","$701,905",,,"$19,637","$171,955",,"$259,400","$580,858",,,,"$79,557",,"$5,350","$208,051","$13,291",,,"$10,411",,"$22,543","$80,900",,,"$14,644","$464,044",,,"$249,020","$166,447","$25,726",,"$404,400","$531,890",,,,,,,"$39,411","$92,032",,,,"$24,177",,"$3,113",,"$182,957","$317,152",,"$10,283",,,"$27,223",,,,,,,,,,,,,"$8,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliver Us from Evil (2006),"$19,002","$10,187",,,"$16,947",,,,,,,,,,,,,,,,,"$1,456",,,,,,,,,,,,,,,,"$78,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last King of Scotland (2006),"$11,131,918","$2,418,979","$862,325","$1,961,950","$2,904,357","$233,837","$555,547","$1,049,544","$524,582","$603,895","$615,943","$46,653","$169,223",,"$54,155","$391,173","$205,790","$36,517","$580,286","$7,803","$145,476","$72,050",,"$41,488","$47,187","$162,300","$23,014","$20,701","$37,677","$662,365","$445,116","$164,286","$163,322","$106,993","$27,369","$617,759","$40,358","$1,623,559",,"$271,989",,"$131,214","$17,090","$46,801",,"$99,730","$255,708","$121,039","$51,816","$39,543","$7,655","$15,747",,"$193,903","$414,049","$34,724",,"$30,900",,"$25,597",,"$70,674",,"$27,648",,,,"$198,612",,,,"$69,855","$49,532","$8,416","$3,271",,"$34,888",,,,,,,"$16,747","$18,862",,,,,,,,,,,,,,,,,,,
The U.S. vs. John Lennon (2006),"$92,079","$1,554","$29,940",,"$18,906",,,,,,,,,,,,,,,,,"$2,749",,,,,,,,,,,"$9,255",$362,,,,"$128,216",,,,,,,,,,,,,,,,,,,"$15,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shortbus (2006),"$399,162","$268,622","$674,263","$335,117","$550,461",,"$81,301",,,"$34,736",,,,,,"$39,040",,"$14,490","$188,276",,,"$4,171",,,,"$27,900",,"$3,622",,"$91,294","$62,811","$54,857","$30,712",,,,"$105,400","$289,027",,,,,,"$70,612",,,"$10,483",,,,,"$1,230","$2,016,181","$96,472","$16,972",,"$90,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children of Men (2006),"$9,585,931","$2,180,299","$2,186,412","$1,355,979","$2,604,911","$319,084",,"$62,261","$835,276",,"$364,558","$429,950",,"$167,707","$173,928","$193,643",,"$301,303","$448,150","$40,596",,"$55,157","$36,354","$15,944","$88,977","$1,005,100","$59,698","$12,947",,"$2,505,554","$313,738","$221,404","$490,252","$152,770",,"$3,512,374","$1,168,982","$2,166,804",,"$248,458",,,,,,"$49,396","$193,435","$201,685",,"$49,437",,"$8,585","$35,552,383","$213,935","$451,381","$13,839","$139,694","$19,494",,"$17,826",,"$351,113",,"$26,361",,,"$2,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Prestige (2006),"$6,837,491","$5,129,330","$5,114,995","$1,797,596","$1,500,000","$84,163","$513,866","$163,090","$661,447","$197,814","$757,704","$1,445,175",,,,"$640,828",,"$125,668","$350,825","$24,192",,,"$72,642",,"$76,862","$1,512,050",,"$57,489","$32,203","$2,985,101","$1,400,000",,"$682,220","$199,277",,"$4,032,489","$1,965,984","$4,607,991","$680,425","$550,422","$62,000","$202,000","$175,000","$1,163,264","$269,207",,,,,,,,,"$558,347","$174,845",,"$3,500,000",,,"$66,838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flags of Our Fathers (2006),"$1,375,359","$2,921,620","$1,513,051","$417,721","$3,900,000",,"$97,275","$158,170","$68,612",,,"$129,181",,,,"$97,720",,"$4,328","$175,594","$6,794",,"$68,880","$5,964",,"$10,025","$187,200","$20,872","$20,126","$10,187","$563,544",,,"$208,156","$114,394",,"$13,100,000",,"$1,420,841","$274,695","$222,594",,,"$77,500","$320,047",,,,,,,,,,"$113,224","$214,912","$4,232","$1,329,101","$15,422",,"$14,074",,,,,,,,,"$57,554",,,,,,,,,,,,"$53,000",,,,,,,,,,,,,,,,,,,,,,,
Sleeping Dogs Lie (2006),"$109,502","$342,196",,,,,,,"$46,227",,,"$112,705",,,,,,,,,,,,,,,,,"$8,847",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Guide to Recognizing Your Saints (2006),"$131,752","$483,457","$288,539",,,,"$6,473","$62,338","$66,766",,"$7,238","$55,424",,,,,,,,,"$10,834",,,,,,,,$444,"$323,988","$28,250",,"$14,087",,,,,"$38,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 (2005),"$106,841","$44,191",,"$27,873",,,,,,,,"$29,662",,,"$1,454",,,,,,,,,,"$2,287",,,,,"$8,146",,,,,,,,,,,,"$18,193",,"$1,452",,,,,,,,,,,,,"$6,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saw III (2006),"$16,501,404","$6,740,743","$4,895,245","$7,575,003","$5,426,944","$894,842","$869,172","$342,815","$1,545,207","$218,187","$1,579,557","$2,901,344",,"$214,001",,"$5,133,297","$141,860","$306,299","$1,000,936","$46,989",,"$72,649",,,"$150,675","$1,439,900",,,"$7,811","$1,297,261","$3,443,197",,"$1,071,887","$262,846",,"$3,165,247","$2,334,224","$5,264,167","$275,962","$475,329",,,,"$445,715","$197,555",,,,,,,,,"$1,438,043","$583,874",,"$2,079,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catch a Fire (2006),"$199,437","$160,271",,"$144,580",,,,,,"$126,137","$17,152",,,,,,,,,,"$120,096",,,"$7,278",,,,"$3,768","$3,922",,,,,,,"$70,726",,"$479,823",,"$11,461",,,,,,,,,,,,,,,,,,,"$63,814",,,,,,,,,,,"$1,998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunacy (2005),"$3,713",,,,,,,,,,,,,,,,,"$77,781",,"$4,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flushed Away (2006),"$22,075,864","$8,244,798","$9,133,030","$5,589,210","$10,263,118","$2,431,468","$1,757,359","$942,792","$2,173,677","$1,293,220","$1,684,934","$1,495,340","$1,174,320","$477,575","$500,948","$746,369","$533,639","$665,149","$1,155,748","$105,434","$293,192","$150,495","$10,008","$22,257","$43,345","$676,165","$153,531","$26,765","$45,860","$6,616,758","$5,127,914","$1,128,614","$1,612,596","$1,089,084",,,"$5,897,434","$7,388,265","$651,046","$609,557","$317,404","$567,884","$112,693","$297,090","$14,770","$262,255","$725,600","$643,212",,"$211,518",,,,"$1,359,207","$1,422,383","$84,672","$1,936,688","$45,759","$325,675","$310,302",,"$608,859","$16,980","$147,902","$21,621",,$443,,"$196,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
