Movie Name,Mexico,Chile,Brazil,South Korea,Taiwan,France,Belgium,Lebanon,United Kingdom,Portugal,Norway,Finland,Türkiye,Austria,Serbia and Montenegro,Romania,Argentina,Ukraine,Australia,Czech Republic,Hong Kong,Singapore,New Zealand,Russia/CIS,Italy,Spain,Domestic,Greece,South Africa,United Arab Emirates,Qatar,Bahrain,Oman,Peru,Philippines,China,Poland,Croatia,Germany,Slovenia,Iceland,Slovakia,Bulgaria,Switzerland,Bolivia,Hungary,Venezuela,Jordan,Colombia,Ecuador,Uruguay,Japan,Thailand,Malaysia,Estonia,Netherlands,Latvia,Lithuania,Egypt,Denmark,Sweden,Switzerland (German),Israel,Switzerland (French)
Against the Sun (2014),,,,,,,,,$52,,,,,,,,,,,,,,,,,,"$4,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bjork: Biophilia Live (2014),,,,,,,,,"$38,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotte from Gadgetville (2006),,,,,,,,,,,"$147,726","$73,928","$8,931","$6,316","$3,671","$1,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strange Magic (2015),,,,,,,,,,,,,"$49,259",,,,,,,,,"$141,788",,,,,,"$12,548","$41,023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roma (2004),,,,,,,,,,,,,,,,,"$248,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Window (2008),,,,,,,,,,,,,,,,,"$32,662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,909",,,,,,,,,,,,,
The Paranoids (2008),,,,,,,,,,,,,,,,,"$38,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jewtopia (2012),,,,,,,,,,,,,,,,,,"$41,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matching Jack (2010),,,,,,,,,,,,,,,,,,,"$553,424",,,,,,"$214,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cup (2011),,,,,,,,,,,,,,,,,,,"$2,648,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper Planes (2014),,,,,,,,,,,,,,,,,,,"$7,360,872",,,,"$236,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love (2012),,,,,,,,,,,,,,,,,,,,"$83,800","$797,380","$332,654","$10,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Drop (2011),,,,,,,,,,,,,,,,,,,,,"$62,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,569,857",,,,,,,,,,,,
Beyond Outrage (2012),,,,,,,,,,,,,,,,,,,,,"$7,964","$7,615",,"$12,906",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,995,152",,,,,,,,,,,,
American Heist (2014),,,,,,,,,,,,,,,,,,,,,,"$22,259",,"$2,341,218",,,,,,,,,,,"$16,310",,,,,,,,,,,,,,,,,,,"$53,980",,,,,,,,,,
Everly (2014),,,,,,,,,,,,,,,,,,,,,,"$8,883",,"$15,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,956",,,,,,,,,,,
Tasting Menu (2013),,,,,,,,,,,,,,,,,,,,,,,"$52,356","$30,631",,"$49,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Major (2013),,,,,,,,,,,,,,,,,,,,,,,,"$62,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Sawyer (2011),,,,,,,,,,,,,,,,,,,,,,,,"$349,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Man's Land (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Average (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$419,,,,,,,,,,
