Movie Name,Malaysia,France,Belgium,United Kingdom,Iceland,Spain,Mexico,Germany,Türkiye,Portugal,Austria,South Africa,Italy,Croatia,Slovenia,Russia/CIS,Thailand,Domestic,Brazil,Venezuela,Peru,Bolivia,Ukraine,Poland,United Arab Emirates,Sweden,Netherlands,Denmark,Norway,Hungary,Greece,Israel,Bulgaria,Czech Republic,Finland,Egypt,East Africa,Lebanon,Slovakia,Serbia and Montenegro,Colombia,Argentina,Ecuador,Uruguay,South Korea,Japan,Australia,Singapore,Philippines,Hong Kong,Indonesia,New Zealand,Taiwan,Nigeria,Ghana,Bahrain,Chile,India,Vietnam,China,Switzerland,Lithuania,Latvia,Trinidad & Tobago,Jamaica,Romania,Canada
The Bourne Legacy (2012),"$987,866","$7,754,204","$1,440,459","$17,492,618","$105,192","$6,813,333","$3,607,080","$7,165,299","$757,845","$931,288","$873,730","$1,079,303","$2,362,965","$161,253","$90,913","$7,234,192","$1,379,777",,"$2,315,156","$767,483","$531,579","$26,868","$640,795","$939,433","$1,523,324","$1,578,592","$2,403,240","$941,833","$1,499,023","$326,188","$144,688","$737,392","$317,051","$259,477","$563,252","$119,818","$51,435","$213,832","$57,779","$145,223","$645,031","$759,977","$134,303","$30,415","$6,446,308","$8,816,757","$12,787,993","$2,334,843","$4,849,759","$1,169,921","$2,337,541","$1,652,279",,"$49,803",,,"$146,863","$757,498",,"$16,059,636",,,,,,,
Sherlock Holmes: A Game of Shadows (2011),"$1,999,136","$20,428,860","$2,996,084","$42,159,124","$233,531","$11,470,760","$10,552,525","$20,089,372","$4,104,427","$1,875,648","$2,527,336","$1,534,921","$24,533,562","$527,179","$250,743","$28,368,113","$1,339,724",,"$13,754,895","$1,743,079","$894,818","$192,828","$2,603,009","$3,627,753","$2,364,491","$6,453,475","$4,352,807","$3,745,236","$3,819,086","$1,506,801","$2,973,237","$962,798","$662,279","$1,518,848","$2,604,732","$539,846","$86,036","$352,828","$457,705","$238,376","$2,194,064","$3,670,124","$737,654","$168,851","$13,907,391","$22,772,632","$20,998,519","$2,851,740","$1,460,261","$3,531,422","$3,432,887","$2,627,583",,,,,"$753,993",,,,,,,,,,
New Year's Eve (2011),"$347,351","$4,437,377","$1,479,861","$11,659,393","$122,048","$2,724,035","$2,855,630","$6,850,960","$385,652","$934,957","$1,801,678","$1,231,475","$5,878,884","$201,491","$198,010","$4,336,663","$231,932",,"$2,188,125","$845,377","$372,107","$62,978","$508,922","$918,061","$553,535","$1,496,179","$4,297,185","$906,488","$1,332,549","$555,337","$513,497","$787,020","$183,121","$265,185","$942,613","$162,986","$44,817","$174,467","$189,660","$171,517","$542,500","$1,003,451","$356,097","$75,307",,"$6,621,308","$10,915,837","$910,455","$416,253","$240,120","$286,405","$1,042,469",,,,,,,,,,,,,,,
Mission: Impossible - Ghost Protocol (2011),"$5,663,435","$20,133,828","$2,878,769","$28,916,714","$241,501","$9,641,330","$12,997,636","$16,257,743","$3,584,631","$2,219,384","$2,264,766","$2,168,073","$7,826,254","$296,686","$256,958","$12,394,257","$3,346,727",,"$12,721,841","$2,660,039","$1,283,004","$184,577","$1,087,764","$1,152,298","$6,402,039","$3,768,953","$5,080,233","$2,738,631","$3,471,179","$717,127","$1,799,109","$2,150,273","$619,662","$522,658","$2,182,608","$576,625","$158,796","$734,612","$111,526","$100,925","$2,938,289","$2,837,856","$917,723","$133,309","$51,069,827","$69,695,185","$18,954,599","$5,037,487","$3,970,369","$5,704,387","$6,142,288","$2,208,169",,"$107,054",,,,,,"$101,232,739",,,,,,,
We Bought a Zoo (2011),"$196,176","$4,118,751","$544,840","$4,117,229",,"$2,437,787","$2,698,052","$379,499","$324,758","$469,845",,"$628,375","$321,674","$39,350","$51,989","$1,545,863","$21,092",,"$2,341,922",,"$1,012,557","$95,455","$217,970","$130,224","$179,572",,"$261,336",,,"$135,079","$30,184","$232,899",,"$31,908","$191,602","$21,109","$10,471","$68,215","$6,315","$35,248","$838,622","$280,152","$359,436","$67,229","$1,578,599","$5,326,606","$7,755,984","$613,038","$131,497","$423,036",,"$784,125",,,,"$7,183","$373,000",,,,,,,,,,
The Darkest Hour (2011),"$1,902,870","$1,261,065","$505,455","$2,090,634",,"$1,367,250","$4,403,167","$2,278,413","$785,160","$186,819","$275,731","$202,213","$378,492","$99,181",,"$7,482,373","$564,253",,"$1,461,443","$739,289","$976,899","$341,982","$471,178","$138,204","$558,715","$622,373","$1,054,357","$69,780","$220,618","$242,641","$88,271","$80,477","$151,396","$83,499","$75,279","$127,547","$18,505","$64,325","$12,161","$66,078","$1,108,799","$870,267","$313,677","$39,347","$819,631",,"$1,317,231","$872,697","$812,183","$764,751",,"$439,807",,,,"$8,647",,,,,,,,,,,
Alvin and the Chipmunks: Chipwrecked (2011),"$2,090,657","$18,202,712","$4,905,241","$23,778,315","$128,328","$8,916,570","$8,203,448","$13,106,760","$2,284,418","$2,348,905","$2,472,653","$1,748,756","$8,206,889","$448,319","$454,730","$6,920,831","$26,227",,"$21,891,238","$3,025,136","$2,107,226","$457,074","$352,606","$3,466,989","$1,342,613","$4,537,137","$7,034,148","$3,373,955","$3,690,085","$328,328",,,,"$795,660","$1,027,715","$219,047","$45,922","$231,256","$238,214","$176,117","$1,655,590","$2,597,840","$823,186","$251,220","$2,956,825",,"$20,341,322","$2,257,034","$1,323,682","$1,265,191",,"$1,953,736",,,,"$74,011",,,,,,,,,,,
Ladies vs. Ricky Bahl (2011),"$4,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,262",,,,,"$18,480",,,,,,,,,,,,,,,
The Devil Inside (2012),"$447,409","$2,995,937","$695,017","$7,092,192",,"$1,782,457","$6,313,685","$3,454,524","$633,147","$186,794","$511,875","$108,099","$2,769,289","$58,232","$45,703","$3,404,839","$150,978",,"$3,063,980","$692,683","$926,981","$124,988",,"$316,604","$243,696","$313,022","$761,602","$51,091","$148,327",,"$237,841","$122,805",,"$90,532","$50,018","$31,133",,,"$33,895","$10,540","$941,955","$1,945,715","$326,628","$60,238",,,"$1,692,231","$497,942","$423,708","$235,343","$194,255","$124,156",,,,,"$678,080",,,,,,,,,,
Contraband (2012),"$274,500","$980,793","$296,982","$3,312,446","$237,391","$2,744,999","$1,215,998","$1,202,348","$212,369","$487,767","$188,434","$455,072","$1,051,543","$31,826","$72,404","$1,891,510","$253,144",,,"$376,626","$108,351","$15,300","$193,092","$94,829","$615,442",,"$535,391","$198,742","$269,152","$72,219","$157,564","$585,438","$127,551","$45,278","$62,540","$52,683","$19,935","$94,897","$8,937",,,,"$58,300","$15,221","$254,661",,"$5,578,127","$375,243","$214,284","$478,485","$764,227","$508,353",,"$22,638",,,,,,,,,,,,,
Chak De! India (2007),"$41,050",,,"$867,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$318,586",,,,,"$24,114",,,,,,"$19,133,825",,,,,,,,,
The Iron Lady (2011),"$50,959","$4,518,318","$1,270,491","$15,302,820","$36,378","$5,629,778","$1,202,855","$5,491,862","$309,322","$1,071,420","$706,767","$436,605","$3,487,986","$61,514","$110,761","$1,025,961","$59,878","$30,017,992","$3,907,024","$225,615","$282,587","$16,679",,"$1,898,894","$178,242","$2,843,842","$1,937,439","$2,031,632","$2,272,603","$350,876","$836,747",,,"$682,542","$1,096,791","$30,577","$2,527","$57,273","$133,863","$56,251","$306,457","$842,166",,"$224,199","$382,308","$10,302,625","$10,627,254","$287,236",,"$756,663",,"$1,643,008",,,,,"$245,112",,,"$640,000",,,,,,,
Underworld: Awakening (2012),"$3,137,261","$3,903,316","$128,267","$5,071,675","$36,419","$4,520,668","$7,288,128","$8,185,879","$1,386,852","$299,795","$1,269,044","$851,145","$2,805,200","$126,910","$80,375","$12,241,826","$1,832,812",,"$5,685,076","$2,508,130","$306,618","$179,133","$863,767","$870,785","$1,006,754","$172,220",,,,"$327,548","$1,065,768","$114,434","$323,706","$433,539",,"$137,039","$40,306","$168,565","$158,910","$50,814","$2,048,811","$851,002","$430,869","$43,738","$932,901","$1,351,034","$6,498,996","$1,446,599","$2,391,207","$934,596","$1,498,230","$670,082",,"$105,071",,"$31,587","$600,466",,,,,,,,,,
The Grey (2011),"$314,674","$2,626,093","$517,346","$5,060,542","$59,758","$1,556,307","$1,574,611","$1,335,353","$342,784","$148,312","$257,940","$264,572","$1,046,230","$71,299",,"$2,471,807","$183,830",,"$958,773","$258,351","$169,378","$21,883",,"$399,394","$583,709",,"$381,795","$26,634","$269,627","$67,583","$883,414",,,"$60,786","$50,243","$96,065",,"$107,839","$42,187",,"$137,204","$511,931",,"$31,409","$1,870,837",,"$2,428,624","$358,959","$94,296","$170,434",,"$321,869",,,,,"$66,777",,,,,,,,,,
Man on a Ledge (2012),"$445,171","$1,900,212","$404,312","$3,930,164","$29,136","$1,135,110","$1,460,436","$1,325,429",,"$426,756","$299,978","$86,974","$1,086,161","$84,843",,"$1,911,001","$294,695",,"$1,463,377","$136,487","$454,395","$21,338","$102,650","$349,007","$441,055",,"$478,418",,"$51,248","$95,048","$78,670",,"$106,660","$10,657","$41,122","$69,599","$25,546","$128,099","$5,986","$12,292","$320,192","$339,409","$64,798","$63,110","$3,873,251","$3,758,102","$818,210","$409,618","$37,513","$294,084",,"$36,216",,"$67,836",,,"$41,660",,,,,,,,,,
Sacrifice (2010),"$9,528",,,,,,,,,,,,,,,,,,"$6,963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,677",,,"$34,146",,,,,,,"$28,889,962",,,,,,,
