Movie Name,Malaysia,France,Belgium,United Kingdom,Iceland,Spain,Mexico,Germany,Türkiye,Portugal,Austria,South Africa,Italy,Croatia,Slovenia,Russia/CIS,Thailand,Domestic,Brazil,Venezuela,Peru,Bolivia,Ukraine,Poland,United Arab Emirates,Sweden,Netherlands,Denmark,Norway,Hungary,Greece,Israel,Bulgaria,Czech Republic,Finland,Egypt,East Africa,Lebanon,Slovakia,Serbia and Montenegro,Colombia,Argentina,Ecuador,Uruguay,South Korea,Japan,Australia,Singapore,Philippines,Hong Kong,Indonesia,New Zealand,Taiwan,Nigeria,Ghana,Bahrain,Chile,India,Vietnam,China,Switzerland,Lithuania,Latvia,Trinidad & Tobago,Jamaica,Romania,Canada
Miss Bala (2011),,"$238,066",,"$55,547",,"$48,837","$1,134,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,134",,,,,,,,,,,,,,,,,,,,,,,"$62,528","$24,986",,
Young Adult (2011),,"$589,765","$215,214","$642,287",,"$568,335",,"$528,018",,"$80,497","$59,273","$105,160","$89,727",,,"$561,001",,,"$87,022",,,,,,"$127,405",,,,"$157,134",,,,,,,,,"$25,397",,,,,,,,,"$567,761",,,,,"$56,527",,,,,,,,,,,,,,,
The Girl with the Dragon Tattoo (2011),,"$8,986,288","$1,570,448","$18,796,728","$54,641","$2,463,723","$5,383,935","$9,575,635","$1,095,206","$820,485","$1,447,369","$955,769","$2,787,313","$367,153","$100,315","$11,467,629","$251,767",,"$4,187,761","$1,115,416","$373,297","$66,931","$1,031,005","$3,701,498",,"$5,460,242","$2,501,036","$971,825","$1,796,603","$458,952","$1,877,217","$599,499","$160,034","$716,265","$812,275",,"$34,221","$104,487","$212,379","$71,735","$445,402","$672,941","$208,417","$65,259","$3,055,850","$15,802,569","$8,870,177","$573,539","$223,225","$1,093,077",,"$1,048,386",,"$79,667",,,"$487,150",,,,,,,,,,
Albert Nobbs (2011),,"$273,570","$116,073","$554,488",,"$910,217","$210,852",,"$31,408","$92,895",,"$8,517","$813,592",,"$5,236",,,,"$269,953",,"$62,916",$807,,,"$4,658",,,"$253,644","$50,505",,,,,,"$11,593",,,"$6,235",,,"$54,924","$72,573",,"$11,808",,,"$413,404","$21,241",,"$45,485",,"$207,112",,,,,"$13,857",,,,,,,,,,
Friends with Kids (2011),,"$392,394","$77,772","$1,598,544","$29,850","$22,181","$392,245",,"$190,608","$81,127",,"$162,420",,"$19,764","$10,427","$354,378",,"$7,251,073","$370,668","$262,755","$76,254","$14,212",,,"$60,077","$59,475","$21,783",,,,"$82,507",,,,"$53,285",,,"$45,041",,"$5,994","$102,473","$142,869",,"$13,397",,,"$1,039,888",,,"$19,651",,,,,,,"$65,494",,,,,,,,,,
Intruders (2011),,"$37,723",,"$207,638",,"$3,690,728","$623,299","$283,159",,,,,,,,,,"$69,136",,,"$336,742","$37,112",,,"$87,008",,,,,,,,,,,,,,,,,"$101,398","$12,616",,,,,,,,,,,,,,,,,,,,,,,,
In the Land of Blood and Honey (2011),,"$147,414","$30,450",,,"$21,702",,"$82,265","$129,623","$34,114","$102,689",,,"$183,763","$38,364","$24,758",,,"$46,652",,,,,,"$20,876",,,,,,,,,,,,,,,"$15,024",,,,,,,,"$21,791",,$337,,,,,,,,,,,,,,,,,
Dolphin Tale (2011),,"$1,552,040",,"$3,714,821",,"$1,417,043","$1,011,445","$1,803,021",,,"$197,068","$841,081","$1,263,486",,,"$2,622,179",,"$72,286,779","$1,518,446","$746,701","$824,515","$161,361",,,"$343,061",,,,"$316,484","$323,073",,"$344,304",,,"$30,080",,"$20,722","$73,152",,,"$968,532","$837,841","$684,941","$73,249",,,"$1,239,518","$167,788","$180,242",,,"$369,592",,"$10,888",,,,,,,,,,,,,
Chico & Rita (2010),,"$213,529",,"$335,628",,"$1,334,776",,"$63,076",,,"$15,970",,,,,,,,,,,,,"$34,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elena (2011),,"$261,520","$74,581","$58,836",,"$99,834","$23,169",,"$6,796","$18,915",,,,,,"$642,536",,,"$317,690","$14,452",,,,"$21,406",,"$40,349",,,"$1,374",,,,,,,,,,,,,"$44,900",,"$2,516",,,"$365,651",,,,,,,,,,,,,,,,,,,,
The Conquest (2011),,"$6,200,674","$188,656",,,"$136,205",,,,,,,,,,,,,,,,,,,,,"$36,392",,,,,,,,,,,$765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
En construcción (2001),,"$11,471",,,,"$269,826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,465",,,,,,,,,,,,,,,,,,,,,,,,,
Post Mortem (2010),,"$90,598","$9,871","$5,086",,,"$16,819",,,$777,,,"$48,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$105,611",,,,,,,,,,
Fados (2007),,"$69,881","$23,934",,,"$61,334","$4,785",,,"$200,343",,,,,,"$17,492",,,,,,,,,,,"$4,573",,,$359,,,,,,,,,,"$7,341",,"$37,153",,"$17,699",,,,,,,,,,,,,,,,,,,,,,,
The Nun (2005),,"$230,664",,,,"$477,555",,,,,,,,,,,,,,,"$14,349","$6,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,838",,,,,,,,,,,,,,,,,
The Intouchables (2011),,"$166,126,377","$8,467,742","$3,208,362","$540,890","$21,053,638","$6,075,823","$79,066,638","$400,756","$1,458,734","$6,914,579","$103,315","$19,385,193","$208,608","$102,638","$1,744,427","$68,123","$10,198,820","$7,045,373","$1,765,011","$409,643","$32,095",,"$4,086,895","$30,035","$6,673,949","$12,001,871","$8,692,205","$2,895,087","$420,874","$1,061,549",,"$50,353","$424,843","$766,619",,,"$133,984","$323,562","$64,963","$2,241,066","$702,904","$1,410","$133,991","$11,092,513","$18,136,785","$6,041,887","$80,352",,"$1,085,180",,"$1,060,609","$835,742",,,"$5,777","$409,086",,,,,,,,,,"$1,864,277"
Declaration of War (2011),,"$6,438,116","$107,581",,"$1,147","$201,470","$64,553","$184,963","$11,533",,"$34,697",,"$244,077",,,"$14,848",,,"$72,517",,,,,,,,,,,,,,,,,,,"$1,175",,,,"$9,953",,,,,"$236,289",,,"$9,591",,,,,,,,,,,,,,,,,
Big Miracle (2012),,"$40,856","$12,683","$955,897",,"$933,538","$169,960","$850,426","$20,846","$14,926","$66,467",,"$132,057",,,"$547,609","$37,543","$20,157,300","$60,538",,"$175,389","$6,643",,,"$147,243",,,,"$34,010",,,,,,,"$14,995",,"$34,674",,,"$33,338",,,"$1,953",,,,,"$6,066",,,"$37,597",,,,,"$6,069",,,,,,,,,,
The Monk (2011),,"$1,332,999","$129,756","$29,723",,"$169,386",,,"$25,036","$11,117",,,,,,,,,"$85,371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,667",,,,,,,,,,,,,,,,,,,
Monsieur Lazhar (2011),,"$764,497","$150,722","$282,811",,"$1,653,242","$56,637","$369,868",$927,"$16,818","$14,997",,"$1,264,762",,,,,,"$115,518",,,,,,,,"$137,052","$74,154","$57,474",,"$221,046",,,,,,,,,,,"$186,840",,"$36,814",,,"$1,391,431","$11,367",,"$46,546",,"$211,671",,,,,,,,,,,,,,,
Perfect Sense (2011),,"$89,809","$33,351","$33,733",,,"$30,782","$39,935","$276,726","$17,269",,,,"$3,819",,,,,,,"$45,824","$1,171",,,,,,,,,,,,,,,,,,,"$26,886",,,,"$298,562",,,,,"$32,526",,,,,,,,,,,,,,,,,
The Artist (2008),,"$14,033",,,,,,,,,,,"$26,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,090",,$513,,,,,,,,,,,,,,,,,,,,,,,
Khodorkovsky (2011),,"$18,259",,"$13,958",,,,"$57,374",,,"$3,105",,,,,"$162,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozart's Sister (2010),,"$131,769",,"$11,919",,"$78,939",,,,,"$4,326",,,,,,,"$707,885",,,,,,,,,,,,,,,,,,,,,,,,,,"$5,972","$12,960",,"$699,889",,,,,"$177,204",,,,,,,,,,,,,,,
The Women on the 6th Floor (2010),,"$19,282,664",,"$40,983",,"$1,364,033",,"$548,369",,"$17,708","$116,345",,"$1,673,306",,,,,,"$278,330","$187,129","$66,548",,,"$66,548",,"$9,466","$279,754",,,"$10,733","$216,766",,,,"$6,289",,,,,"$2,479",,"$120,544",,"$94,493",,,"$1,660,005",,,,,"$320,756",,,"$216,766",,,,,,"$234,133",,,,,,
A Cat in Paris (2010),,"$1,229,059","$110,390","$8,879",,"$73,962",,,,,,,,,,,,,"$39,517",,,,,,,,,,"$308,854",,,,,,,,,,,,,,,,,,"$1,437",,,,,,,,,,,,,,,,,,,,
Project X (2012),,"$15,567,691","$1,802,668","$3,513,849","$53,629","$1,390,698","$726,819","$4,306,920",,"$206,799","$337,246","$204,227","$1,484,339","$42,090","$70,194","$3,385,202",,,"$413,031","$526,993","$223,915","$115,985","$104,720","$311,738","$526,897","$432,961","$1,878,508","$355,984","$223,677","$122,472","$166,572","$130,827","$39,216",,"$327,020",,"$9,319","$63,538","$26,204","$46,238","$373,444","$940,771","$156,757","$70,238",,,"$4,450,311",,,,,"$203,726",,,,,"$330,143",,,,,,,,,,
The Big Year (2011),,"$1,850",,"$320,280",,"$77,108",,"$79,389",,,,"$132,303","$364,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When We Leave (2010),,"$92,540","$104,551",,,,,"$946,745","$47,396",,"$46,870",,,,,,,"$19,631",,,"$7,755",,,"$7,884",,,"$11,890",,,,,,,,,,,,,,"$52,870",,,,,,,,,,,,,,,,,,,,,,,,,,
Starbuck (2011),,"$1,222,563","$11,710","$4,625","$6,392","$47,867",,"$745,119",,,"$73,803",,"$80,595",,,"$43,316",,,,,,,,,,,,,,,"$20,562",,,,,,,,,,"$80,871",,,,,,,,,"$50,855",,"$36,732",,,,,,,,"$100,000",,,,,,,
United Red Army (2007),,"$6,659",,,,,,,,,,,,,,,,"$2,659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miral (2010),,"$145,944",,"$35,813",,,,"$87,162",,"$214,093","$9,666","$3,157","$240,435",,,,,,,,,,,,"$17,873",,,,,,,,,,,,,,,,,,,,,,,"$5,280",,,,,,,,,,,,,,,,,,,
21 Jump Street (2012),,"$2,294,016","$791,618","$16,045,775","$94,098","$1,384,231","$1,382,285","$3,325,905","$110,618","$219,782","$496,971","$649,613","$62,751","$28,063","$30,252","$5,144,204",,"$138,447,667","$1,271,186","$678,524","$148,495","$26,046","$440,798","$171,953","$472,636","$637,754","$1,882,985","$945,076","$600,394","$168,192","$291,188","$1,068,691","$121,995",,,"$54,613","$18,408","$139,160","$30,198","$22,410","$146,952","$231,172","$62,055","$50,520",,,"$15,137,068","$465,730","$263,212",,"$1,022,246","$978,702",,"$86,760","$20,505",,"$60,953","$224,230",,,,,,,,,
The Snowtown Murders (2011),,"$38,323",,"$169,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,133,435",,,,,,,,,,,,,,,,,,,,
Damsels in Distress (2011),,"$67,995",,"$178,445",,"$9,763","$42,517",,,,,,"$5,192",,,,,,,,,,,,,"$1,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Night Wedding (2008),,"$24,648",,,"$797,851",,,,,,,,,,,"$15,505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Reunion (2012),,"$12,658,743","$2,655,548","$25,867,816","$148,109","$6,499,276","$6,251,720","$22,942,350","$1,449,785","$2,190,462","$4,265,768","$1,048,111","$7,878,279","$311,230","$541,939","$11,779,184","$549,983",,"$7,621,704","$2,865,151","$1,243,867","$143,568","$1,131,508","$2,082,179",,"$2,539,821","$3,872,019","$1,968,734","$3,114,528","$1,271,543","$349,034","$1,455,705","$304,083","$956,812","$1,399,918","$71,756","$22,107","$271,983","$386,466","$130,663","$1,743,512","$3,140,887","$294,774","$256,185","$74,231",,"$15,421,131","$826,745","$402,921","$607,067",,"$993,515",,"$23,944","$4,825",,"$1,102,431",,,,,,,,,,
Delicacy (2011),,"$6,001,283",,"$422,309",,"$1,543,794","$247,033","$477,416","$94,031","$53,312","$148,568",,,,,"$660,122",,,"$429,910",,,,,,,"$113,862",,"$49,424",,"$16,505","$52,592",,,,"$14,343",,,,"$21,367",,,"$145,995",,"$54,318",,,"$403,451","$34,438",,"$84,987",,"$29,776",,,,,,,,,,,,,,,
God Bless America (2011),,"$162,116",,"$9,280",,,,,,,,,,,,"$50,782",,,,,,,,,,,"$46,292",,,,,,,,,,,,,,,,,,,,,,,,,"$2,860",,,,,,,,,,,,,,,
Egg (2007),,"$13,375",,,,"$11,841",,,"$232,774",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote (2011),,"$65,282","$12,547",,,"$36,586","$80,548",,,,,,,,,"$14,704",,,"$51,516","$22,401",,,,,,,,"$27,512",,,,,,,,,,,,,,"$70,154",,,,,,,,,,"$62,251",,,,,,,,,,,,,,,
The Raven (2012),,"$63,994","$111,754","$953,758","$17,003","$1,350,678","$1,170,429",,"$253,349","$105,773",,"$79,817","$2,622,620","$8,084",,,"$208,243",,"$1,260,033","$41,594","$229,393","$25,229",,,"$148,133",,"$98,430","$28,683","$61,107","$41,340","$283,357",,,"$79,944",,"$34,396",,"$20,515","$31,140",,"$197,644","$510,630",,"$24,618","$570,632","$2,573,374",,"$72,211",,"$319,222",,,,,,,"$93,946",,,,,,,,,,
The Best Exotic Marigold Hotel (2011),,"$1,857,366","$714,458","$32,545,467",,"$4,337,747","$677,940","$6,006,224","$68,780","$406,557","$644,061","$1,024,157","$1,110,398","$30,228","$59,119","$669,531",,"$46,412,041","$770,986","$250,405","$50,908",$969,,"$131,777","$113,238","$1,250,067","$643,970","$619,482","$797,460","$104,239","$102,184","$289,481",,"$53,455","$307,342",,"$23,322","$26,551","$41,360","$16,132","$110,457","$377,570",,"$88,791","$200,757",,"$34,891,790","$212,619",,"$347,837",,$17,,,,,"$92,381","$193,795",,,,,,,,,
King of Devil's Island (2010),,"$17,297","$2,797","$5,191",,"$71,273",,"$80,420",,,"$3,808",,,,,,,,,,,,,,,,,,"$4,171,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twelve (2010),,"$1,195,052","$188,447",,,"$67,559",,"$751,987",,,"$163,871",,,,,,,,,,,,,,"$77,727",,,,,,,,,,,"$3,751",,"$15,881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullhead (2011),,"$156,884","$4,093,863","$53,883",,,,,,,,,,,,,,,,,,,,,,,"$26,677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrannosaur (2011),,,"$23,591","$430,845",,"$110,272",,"$30,027",,,"$3,151",,,,,"$34,055",,,,,,,,,,,,,"$21,849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headhunters (2011),,,"$171,556","$2,198,419","$49,602","$1,200,560",,"$713,507",,"$3,032","$43,244",,,,,"$167,087",,"$1,200,010","$31,200",,,,,"$401,770",,"$425,789","$179,568","$2,242,495","$8,877,056","$13,650","$141,311",,,"$37,512","$99,813",,,,,,,,,,,,"$844,874","$26,429",,"$72,721",,"$163,192",,,"$82,691",,,,,,,,,,,,
The Double (2011),,,"$66,063",,,"$1,819,065","$210,390",,"$377,723","$173,724",,,"$749,064","$22,676",,,,,,,"$191,873",,,,"$272,049",,"$102,879",,,"$17,276","$72,797",,,,,"$39,853",,"$15,645",,,,"$225,060",,"$21,098",,"$214,699",,,,,,,,,,,,,,,,,,,,,
Tomboy (2011),,,"$50,180","$47,777",,"$64,392",,"$88,868",,,"$12,954",,"$597,386",,,,"$10,882",,"$139,119",,,,,,,,,,"$38,688",,,,,,,,,,,,,,,,"$222,992",,,,,,,"$34,429",,,,,,,,,,,,,,,
The Devil's Double (2011),,,"$220,833","$1,150,515","$9,317","$133,433","$164,033",,"$30,933","$9,801",,,,"$8,938",,"$1,623,646",,,,,"$9,156","$1,138",,,"$441,756",,"$412,553",,,,,,"$56,411",,,,,"$12,073",,,"$82,165",,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora (2010),,,"$1,155",$660,,$681,"$4,468",,,"$3,708","$8,429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,942",
Nostalgia for the Light (2010),,,"$13,672","$224,445",,,,,,"$8,824",,,,,,,,"$163,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Divide (2011),,,"$6,727",,,,,,"$110,950","$13,162",,,,,,,,,,,,,,,"$14,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Darkness (2011),,,"$3,168","$2,060",,,,"$25,052","$15,758",,,,"$202,825",,,"$218,701",,"$1,041,455",,,"$1,800,967",,"$22,681","$6,485,596","$36,986",,,,,,,,,"$5,946",,,,,,,,,,,,,"$33,513",,,"$61,177",,,,,,,,,,,,,,,,,
W.E. (2011),,,"$18,151","$670,558",,,,"$15,367",,,"$14,636","$39,446","$161,621",,,,"$15,755",,"$257,559",,"$19,518",,,,"$34,940",,,"$24,151","$41,839",,,,,,,,,"$6,151",,,,"$56,872",,"$21,960",,,,,,"$60,224",,,,,,,,,,,,,,,,,
The Human Resources Manager (2010),,,"$21,193",,,"$77,372","$18,579","$25,347",,,,,"$326,763",,,,,"$64,014",,,,,,,,,,,,,,,,,,,,,,,"$29,584","$14,031",,"$6,579",,,"$20,159",,,,,,,,,,"$3,243",,,,,,,,,"$2,282",
Kokowääh (2011),,,"$1,000",,,,,"$42,932,362",,,"$3,438,786",,,,,"$968,007",,,,,,,"$58,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,050,540",,,,,,
Winter in Wartime (2008),,,"$359,538",,,,,,,,,,,,,,,"$543,100",,,,,,,,,"$8,089,289",,,,,,,,,,,,,,,,,,,,,,,,,"$80,292",,,,,,,,,,,,,,,
The Hunter (2011),,,"$4,456","$367,692",,"$2,379",,,,"$4,276",,,,,,"$45,431",,,,,,,,,,,,,,,,,,,,,,,,,,"$96,203",,,,,"$947,874",,,,,"$35,798",,,,,,,,,,,,,,,
Detachment (2011),,,"$235,276","$79,453",,"$468,537","$94,793",,,"$82,188",,"$7,189","$390,852",,,"$63,611",,"$72,689",,,,,,,,,"$194,122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terraferma (2011),,,"$39,943",,,"$59,795",,,,"$5,581",,,"$2,141,333",,,"$7,075",,,"$46,114",,,,,,,,,,,,,,,,"$23,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodbye First Love (2011),,,"$4,087","$150,218",,"$57,776",,,"$26,799","$10,846",,,"$119,170",,,,,,"$51,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Myth of the American Sleepover (2010),,,,$597,,,,,,,,,,,,,,"$41,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buck (2011),,,,"$3,662",,,,"$255,258",,,"$15,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$135,594",,,,,,,,,,,,,,,
Tabloid (2010),,,,"$24,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,636",,,,,,,,,,,,,,,
Oranges and Sunshine (2010),,,,"$652,227",,,,,,,,,,,,,,,,,,,,,,,,,,,"$68,772",,,,,,,"$3,844",,,,,,,,,"$3,860,926",,,,,"$288,404",,,,,,,,,,,,,,,
A Little Bit of Heaven (2011),,,,"$1,281,562",,"$32,328","$2,379,649","$467,272","$237,370","$3,806","$234,723","$145,110","$263,460","$26,157",,"$353,972",,,"$230,702",,"$243,708",,,"$204,048","$134,371",,,,,,"$24,980",,,,,,,"$39,057",,,,"$55,150",,"$4,085",,"$64,521",,"$113,447",,"$118,949",,,,,,,"$104,586",,,,,,,,,,
"Happy, Happy (2010)",,,,"$4,263",,"$219,679",,,,,,,,,,,,,,,,,,,,,,,"$312,035",,,,,"$5,057","$6,203",,,,,,,,,,,,,,,,,"$27,847",,,,,,,,,,,,,,,
Machine Gun Preacher (2011),,,,"$1,038,669",,,"$229,377",,,"$88,166",,"$240,132",,,,,"$7,425",,,"$197,949","$82,997","$13,729",,"$60,941","$256,492",,,,,"$18,387","$34,159",,"$56,073","$26,507",,,"$18,981","$31,136","$15,962",,,,"$17,962",,"$150,625",,,"$52,843","$27,511","$112,734",,,,"$20,325",,,,,,,,,,,,,
Into the Abyss (2011),,,,"$169,834",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Like Crazy (2011),,,,"$263,350",,,,,,,,,,,,,,"$3,395,391",,,,,,,"$62,856",,,,"$30,108",,,,"$18,390",,,,,,,,,,,,"$72,422",,,,,,,"$10,257",,,,,,,,,,,,,,,
Weekend (2011),,,,"$351,043",,"$98,246",,,,,,,"$63,526",,,,,"$484,592",,,,,,,,,,"$90,315","$77,935",,,,,,,,,,,,,,,,,,,,,,,"$26,346",,,,,,,,,,,,,,,
Life in a Day (2011),,,,"$237,814",,,,"$14,897",,,,,,,,"$85,511",,,"$5,971",,,,,,,,,,,,,,,"$6,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,011",
Coriolanus (2011),,,,"$1,274,386",,"$19,172",,,,"$43,157",,,,,,,"$19,368",,,,,,,"$16,604","$81,418",,,,,,,,,,,"$15,139",,"$59,650",,"$38,825",,,,,,,,,"$27,332","$45,353",,"$37,726",,,,,,,,,,,,,,,
This Is Not a Film (2011),,,,"$5,479",,"$1,780","$4,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Being Elmo: A Puppeteer's Journey (2011),,,,"$6,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joyful Noise (2012),,,,"$94,143",,,,,,,,"$71,295",,,,,,,,,,,,,,,,,,,,,,,"$11,092",,,,,,,,,,,,,"$49,271",,,,,,,,,,,,,,,,,,,
The End of the Line (2009),,,,"$90,015",,,,,,,,"$6,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,420",,,,,,,,,,,,,,,,,,,,
The Human Centipede 2 (Full Sequence) (2011),,,,"$1,511","$5,824",,,,,,,,,,,,,,,,"$21,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Tails (2012),,,,"$478,899",,,,,,,,,,"$10,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Art of Getting By (2011),,,,"$249,915",,"$42,785","$64,805","$68,118",,,,,,,,,,,"$36,266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Power Mixtape 1967-1975 (2011),,,,"$6,276",,,,,,,,,,,,,,"$273,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$231,,,,,,,,,,,,,,,
"For a Good Time, Call... (2012)",,,,"$134,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stella Does Tricks (1996),,,,"$43,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim and Eric's Billion Dollar Movie (2012),,,,"$22,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knuckle (2011),,,,"$22,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Hill (2010),,,,"$3,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$300,336",,,,,,,,,,,,,,,,,,,,
Undefeated (2011),,,,"$12,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,017",,,,,,,,,,,,,,,,,,,
Goon (2011),,,,"$2,816,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jeff, Who Lives at Home (2011)",,,,"$314,493",,,,"$107,455",,,,"$13,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa de mi Padre (2012),,,,"$53,626",,,"$2,418,059",,,,,,,,,"$65,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiro Dreams of Sushi (2011),,,,"$40,660",,,,,,,,,,,,,,,,,,,,"$5,530",,,,,,,,,,,,,,,,,,,,,,,,"$72,108",,,,"$22,088",,,,,,,,,,,,,,,
Iron Sky (2012),,,,"$149,089","$27,261","$23,189",,"$4,391,367",,,"$378,220",,"$147,056","$30,754","$24,035","$444,792","$133,829",,,,,,,"$379,389","$72,341","$623,599",,"$191,407","$448,965",,,,,"$60,803","$2,088,031",,,"$21,274","$7,999","$5,180",,,,,,,"$234,229","$20,855",,"$48,575",,"$35,338",,,,,,,,,,,,,,,
Housefull 2 (2012),,,,"$1,552,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$479,954",,,,,"$210,712",,,,,,"$20,887,757",,,,,,,,,
Agent Vinod (2012),,,,"$502,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$121,940",,,,,"$38,541",,,,,,"$8,159,415",,,,,,,,,
Reykjavik-Rotterdam (2008),,,,,"$195,530","$22,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flypaper (2011),,,,,"$5,615","$1,112,123","$275,028",,"$178,243","$12,211",,,"$412,584",,,"$1,071,621",,,"$293,309","$174,485","$179,831","$1,970","$64,862",,"$156,020",,"$378,762",,,,,,,,,,,"$60,316",,,"$57,545",,"$14,066",,,,,,,,,,,,,,,,,,,,,,,,
Bully (2011),,,,,"$6,559",,,,,,,,,,,,,"$4,142,648",,,,,,,,,,,"$25,535",,,,,,,,,,,,,,,,,,"$54,704",,,,,,,,,,,,,,,,,,,,
No Rest for the Wicked (2011),,,,,,"$5,878,860",,,,,,,,,,,,,,"$45,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nora's Will (2008),,,,,,"$37,048",,,,,,,,,,,,,"$99,218",,,,,,,,,,,,,,,,,,,,,,,"$53,724",,"$12,136","$60,447",,,,,,,,,,,,,,,,,,,,,,
Undertow (2009),,,,,,"$215,789",,,,,,,,,,,,,"$100,803",,"$169,074","$7,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setup (2011),,,,,,"$11,832",,,,"$47,633",,,,,,"$1,652,174",,,,,,,,,"$360,581",,,,,"$38,258",,,,,,,,"$29,998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
