Movie Name,Domestic,United Kingdom,Greece,Germany,France,Netherlands,Austria,Spain,South Africa,Italy,Czech Republic,Hungary,Mexico,Brazil,Argentina,Australia,New Zealand,Hong Kong,Türkiye,Egypt,Bulgaria,Japan,South Korea,Taiwan,Norway,Chile,Finland,Poland,Russia/CIS,Portugal,Switzerland,Czech Republic/Slovakia,Sweden,Denmark,Israel,Middle East Other,Slovenia,Cyprus,Lebanon,Romania,Croatia,East Africa,Iceland,Peru,Venezuela,Central America+,Colombia,Russia/CIS/Ukraine,Thailand,Philippines,India,Singapore,Belgium,Middle East/UAE,Estonia,Ukraine,Lithuania,Serbia and Montenegro,Latvia,Puerto Rico,Ecuador,Uruguay,Lesser Antilles,Dominican Republic,Bolivia,Jamaica,Paraguay,Malaysia,Indonesia,China,Russia,Baltic States,West Indies,Pakistan,Sri Lanka,New Caledonia,Vietnam,Bangladesh,United Arab Emirates,Kuwait,Bahrain,Slovakia,Qatar,Morocco,Mauritius,Reunion,Jordan,Oman,Tunisia,Djibouti,Aruba,Curaçao,Kenya,Lebanon/United Arab Emirates,Middle East,Palestine,Central America
The Crocodile Hunter: Collision Course (2002),,"$1,914,011",,,"$6,755",,,"$8,381",,"$2,602",,,,,,"$2,046,304","$241,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reign of Fire (2002),,"$5,018,894","$117,450","$3,076,081","$4,175,054","$508,346","$437,879","$3,622,724","$174,441","$2,144,981",,"$84,478","$3,556,016","$549,001","$114,125","$1,684,166","$410,822","$457,377","$80,414","$25,002","$51,632","$2,899,892","$2,062,563","$244,722","$113,664","$127,972","$64,490","$34,019","$575,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road to Perdition (2002),,"$10,060,552","$3,001,300","$5,755,384","$3,851,084","$583,558","$449,050","$7,003,856","$195,780","$10,213,487","$327,243","$126,741","$3,911,371","$833,281","$390,265","$2,613,657","$405,442","$552,757","$774,432","$19,262","$35,893","$11,419,558","$3,028,885","$667,489","$860,472","$181,684","$263,544","$270,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halloween: Resurrection (2002),,"$2,085,491",,"$505,115","$953,144","$183,790","$180,932","$768,136","$69,489","$39,681",,,"$1,186,121",,"$39,672","$337,167","$75,714","$32,154","$159,724",,,,,"$31,810",,"$8,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex and Lucía (2001),,"$204,496",,"$158,946","$97,583","$237,961","$34,297","$4,287,666",,"$453,180",,,"$325,159",,,"$18,147","$58,392",,,,,,,,"$102,168","$67,906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eight Legged Freaks (2002),,"$5,124,169",,"$3,020,688","$1,434,862","$566,659","$466,579","$1,711,407","$126,026","$266,165",,"$23,825","$1,371,125","$110,445",,"$992,252","$135,024","$487,032","$25,555",,"$18,806",,"$1,479,532","$266,529",,,"$43,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-19: The Widowmaker (2002),,"$1,096,297","$396,000","$1,457,784","$1,460,664","$142,151","$207,900","$2,767,330","$99,269","$1,873,304","$69,793","$21,677","$1,407,244","$273,056","$92,841","$805,997","$209,992","$509,260",,,"$33,087","$9,841,221","$998,882","$823,406","$140,416","$72,244","$71,358","$168,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuart Little 2 (2002),,"$17,134,111","$551,050","$7,889,226","$10,298,137","$1,293,671","$1,587,949","$4,963,088","$768,703","$1,381,433","$358,212","$247,390","$7,562,553","$1,280,448","$742,583","$5,542,624","$1,166,425","$1,231,686","$524,903","$26,476","$35,164","$5,410,984","$4,172,510","$456,234","$1,886,864","$540,873","$597,278","$624,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Powers in Goldmember (2002),,"$36,288,585","$330,145","$4,639,616","$4,303,052","$1,655,455","$808,438","$2,472,726","$632,735","$591,592",,"$100,993","$1,044,983","$268,991","$107,340","$10,511,961","$1,397,691","$432,044","$78,468",,"$19,526","$8,010,166","$188,455","$145,234","$1,374,755","$52,631","$552,169","$70,128",,"$282,433","$795,473","$61,781","$885,152","$377,461","$673,317",,"$72,756",,,"$16,652","$50,114",,"$250,390","$33,410","$79,772","$134,473","$30,245",,"$292,340","$289,971","$82,517","$911,887","$718,819",,,,,"$26,186",,"$481,031",,,,,"$2,997",,,"$97,625",,,"$631,510","$101,169","$79,625",,,,,,,,,,,,,,,,,,,,,"$93,927",,,
The Master of Disguise (2002),,"$96,930",,,,,,,"$24,943",,,,"$1,200,938",,,"$1,279,529",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signs (2002),,"$25,004,129","$2,023,100","$14,676,583","$10,545,137","$3,514,426","$1,559,108","$10,901,226","$700,084","$10,853,838",,"$361,259","$11,429,220","$4,324,560","$1,403,744","$6,475,864","$934,014","$996,910","$1,789,333",,"$63,781","$26,463,268","$3,081,939","$1,234,104","$1,550,832","$950,249","$814,755","$1,479,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spy Kids 2: Island of Lost Dreams (2002),,"$8,104,905",,"$1,449,197","$2,243,516","$786,227","$278,231","$1,428,105","$266,976","$774,731","$67,726","$90,378","$3,554,177","$358,001","$271,033","$4,440,825","$611,504","$146,261",,,"$10,695","$2,422,694",,"$90,212","$864,552","$90,295","$9,723","$258,482","$803,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Work (2002),,"$266,386","$52,900","$182,061","$1,378,884",,"$53,175","$987,718",,"$512,752",,,"$345,809","$72,399","$191,941","$173,262",,,,,,"$256,102",,"$32,121","$17,496",,"$13,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xXx (2002),,"$17,885,941","$597,000","$13,350,421","$6,313,585","$2,411,188","$2,090,016","$7,017,420","$1,434,477","$4,469,070","$468,250","$314,554","$5,337,268","$2,750,415","$343,849","$5,849,021","$1,187,964","$636,400","$623,901","$132,938","$165,058","$13,238,396","$6,954,792","$1,112,481","$1,425,448","$222,763","$464,635","$308,504","$2,050,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read My Lips (2001),,"$168,819",,,"$2,214,087",,,"$75,001",,"$270,695",,,,,"$53,776","$77,373","$38,919",,,,,,,"$19,403",,"$5,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Crush (2002),,"$2,287,163",,"$507,757","$837,825","$113,671","$80,731","$750,784","$503,098","$191,282",,,"$625,020","$375,011",,"$2,572,089","$445,621",,,,,"$442,095",,,,"$17,660",,,,,,,,,,"$107,119",,"$17,133","$88,436",,,,"$26,684","$51,324","$89,340","$140,000",,,,"$134,696",,"$112,524","$327,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Possession (2002),,"$132,657","$296,150","$270,425","$552,713","$13,993","$142,342","$70,774",,"$913,133",,,"$462,282","$51,682","$31,613","$190,569","$50,709","$35,865","$248,097",,,,"$202,614","$126,579",,"$48,041","$19,581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hour Photo (2002),,"$2,052,214","$193,200","$1,270,072","$1,055,257","$206,438","$138,935","$3,351,960",,"$1,881,856",,"$39,739","$1,937,619","$477,472","$267,857","$2,290,485","$85,199","$122,090","$52,369",,,"$253,597","$363,027","$112,644","$216,392","$89,486","$122,345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1m0ne (2002),,"$229,988","$601,300",,"$1,159,283","$102,386",,"$273,468","$40,606","$818,774",,,"$692,625",,"$130,981","$32,093",,"$56,769","$295,852","$5,695","$28,021","$1,261,736","$382,983","$65,963","$7,480","$18,414","$8,930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feardotcom (2002),,"$37,970",,"$294,346","$330,946",,,"$737,214","$31,234","$458,019",,"$50,411","$1,128,105",,,"$48,683",,,"$81,972",,,,"$717,500",,,,,,"$252,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swimfan (2002),,"$1,379,507",,"$59,856",,"$55,851",,"$270,158","$39,683","$20,486","$16,642","$36,461","$1,082,771","$324,633",,"$1,002,108",,,"$103,854",,,,,,"$59,728","$17,367",,"$56,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbershop (2002),,"$230,822",,"$11,205","$13,338",,,"$10,345","$30,693","$3,418",,,,,,"$22,437","$51,861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Transporter (2002),,"$1,018,447",,"$859,125","$2,713,381",,"$139,240","$2,083,836","$441,146","$17,074","$80,497","$385,313","$789,531","$120,267","$171,042","$857,708","$307,089","$167,424","$300,790","$6,920","$65,638","$2,573,373","$349,581","$315,141",,"$45,684",,"$119,977","$1,220,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igby Goes Down (2002),,"$689,239",,"$499,733","$96,396","$14,158","$81,000",,,,,,,,,"$361,980","$22,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Banger Sisters (2002),,"$332,341",,"$381,736","$566,122",,"$104,523","$866,131","$52,801",,,,"$572,930",,,"$1,825,471","$210,052",,"$71,455",,,,,,,"$21,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Four Feathers (2002),,"$98,329","$74,500","$1,451,757",,"$60,078","$153,533","$2,020,028","$132,587","$2,302,567",,,"$569,563",,"$71,043","$321,533","$85,927",,"$61,537",,"$1,037","$1,112,832",,"$271,083","$126,272","$29,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Women (2002),,"$560,542",,"$7,568,589","$18,991,866","$538,833","$690,931","$1,278,166",,"$2,104,407","$51,321","$34,857","$75,250",,"$160,968","$431,531","$17,013","$115,271",,,"$22,043",,,"$72,989","$680,924","$30,840","$19,021","$505,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretary (2002),,"$1,385,941","$174,900","$222,757","$190,833","$93,120","$68,574","$104,168",,"$289,179","$3,937",,"$90,864",,"$172,476","$559,329","$156,893",,"$108,314",,,,,,"$10,315",,,"$18,274","$131,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Home Alabama (2002),,"$8,708,667","$438,800","$10,750,146","$813,025","$920,401","$1,952,152","$1,553,058","$787,823","$1,660,700","$154,873","$278,387","$2,831,177","$975,848","$181,924","$6,063,195","$493,139","$179,255","$195,256","$12,000","$22,818","$1,323,660","$936,623","$315,061","$1,251,560","$47,819","$127,669","$160,993","$585,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Tuxedo (2002),,"$5,356,009","$525,000","$3,072,074","$3,434,395","$818,590","$543,145","$1,841,656","$1,184,717","$101,561",,"$140,988","$1,946,657","$423,685","$68,903","$2,000,263","$443,445","$736,399","$261,183","$51,881","$65,512","$2,409,692","$6,402,731","$1,121,611","$214,448","$128,648",,"$174,601","$963,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Dragon (2002),,"$15,032,199","$1,316,127","$13,142,257","$7,394,811","$2,541,637","$1,778,364","$7,883,695","$691,996","$9,155,872","$393,132","$391,510","$5,843,368","$1,453,192","$490,012","$4,237,077","$613,793","$842,728","$1,169,288","$42,661","$69,830","$17,239,195","$1,749,409","$1,580,130","$1,271,344","$489,728","$960,164","$1,028,646","$1,316,352","$1,151,889","$2,114,707","$566,559","$2,057,185","$1,019,444","$462,161","$266,205","$137,456",,"$74,575","$89,768","$100,964","$32,667",,"$398,290","$504,701","$675,000","$831,773","$1,326,957","$437,950","$343,435","$55,870","$599,115","$2,135,677",,,,,,,,,,,,,,,"$253,437","$211,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome to Collinwood (2002),,"$2,612,267",,"$224,642","$171,278",,"$33,127","$123,066",,"$109,443",,,"$92,165",,"$10,193","$22,701",,,,,,,"$409,213",,,"$27,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Sugar (2002),,"$453,314",,"$33,785","$1,410",,,"$5,125","$33,119",,,,,,,"$2,209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula 51 (2001),,"$5,336,507",,,"$803,592","$169,487",,"$664,282","$80,367",,,,"$29,289",,,"$34,875",,,,,,,,,"$262,888","$9,837","$238,906","$47,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ring (2002),,"$14,764,956","$1,003,600","$6,328,538","$5,283,562","$3,286,307","$1,330,603","$10,658,940","$658,065","$10,121,525","$402,783","$309,768","$12,293,858",,"$587,277","$4,120,663","$641,805","$181,936","$1,437,789","$168,574","$26,102","$14,150,184","$1,973,953","$270,959","$935,168","$916,473","$921,442","$1,181,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost Ship (2002),,"$3,271,579","$580,250","$3,467,655","$1,949,747","$947,728","$629,913","$6,246,738","$352,200","$2,182,148","$129,544","$67,001","$3,096,968",,"$356,507","$1,123,965","$270,651","$783,029","$1,583,714","$149,625",,"$3,875,232","$147,305","$459,031",,"$183,346","$18,352","$122,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackass: The Movie (2002),,"$6,040,237",,"$710,190",,"$1,647,489","$103,514","$287,066","$187,459",,,,"$629,184",,,"$2,550,363","$270,257",,,,,,,,"$160,112","$44,754","$105,946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Truth About Charlie (2002),,"$109,929",,,"$323,066",,,"$95,389","$35,825","$348,869",,,,,,"$23,127",,,,"$6,729",,,"$169,147",,,,,,,,,,,,,"$102,795",,,"$70,860",,,,,,,,,,,,,,"$264,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Dodger (2002),,"$73,945","$57,100",,,,,,,"$42,432","$4,048",,,,"$76,965",,,,,,,,,,"$8,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Spy (2002),,"$3,274,600","$248,000","$2,248,106","$895,307","$295,251","$458,614","$1,309,015","$682,775","$280,348","$34,775","$299,564","$1,947,792",,,"$3,366,225","$313,503",,,"$34,269","$62,923","$332,376","$690,238","$91,354","$140,768",,,,"$819,537",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Santa Clause 2 (2002),,"$12,634,008","$39,350","$4,426,179","$123,467","$755,883","$1,134,225","$2,070,010","$303,795","$441,300",,"$233,055","$2,774,677",,"$19,680","$3,151,605","$228,356",,"$122,360",,,"$87,469",,,"$35,392","$39,776","$26,396","$189,677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Mile (2002),,"$20,981,208","$1,154,584","$17,187,276","$12,858,341","$2,873,643","$2,467,163","$7,880,275","$927,913","$7,561,854","$299,848","$302,695","$3,760,667","$695,990","$109,188","$9,663,658","$1,208,083","$356,959","$767,817","$21,096","$56,102","$12,688,916","$702,297","$375,903","$1,875,597","$57,343","$812,554","$1,235,682","$487,523","$1,122,572","$2,928,736","$443,990","$2,475,787","$2,107,683","$633,976","$255,217","$187,354","$154,454","$253,625","$104,678","$116,613","$28,572","$112,813","$113,432","$38,404","$438,477","$213,810","$681,397","$286,645","$308,965",,"$379,255","$2,207,164",,,"$193,874",,,,,,,,,,,,,"$176,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Far from Heaven (2002),,"$2,076,403","$412,200","$338,158","$1,901,028","$359,801","$76,976","$1,053,578",,"$2,668,204","$9,389",,"$397,325",,"$293,428","$776,437","$172,068",,,,,,,,"$149,144","$87,877","$51,562","$89,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half Past Dead (2002),,"$73,297",,"$220,926","$779,390",,,"$593,601","$261,972","$139,850","$31,894","$30,064","$333,013",,,"$662,745",,,,,"$49,442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Life and Death of Colonel Blimp (1943),,"$30,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog Soldiers (2002),,"$2,867,556",,,"$312,681",,,,,,,,,,,"$73,628","$38,574","$244,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die Another Day (2002),,"$59,182,873","$2,480,000","$33,103,482","$23,239,131","$7,348,890","$3,690,742","$9,658,648","$2,421,754","$6,119,089","$880,055","$599,034","$7,454,266",,"$930,097","$10,520,593","$1,788,758","$215,480","$1,209,168","$280,586","$144,390","$18,441,255","$3,409,983","$1,870,696","$3,799,472","$530,058","$2,533,915","$1,247,330","$3,618,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Quiet American (2002),,"$2,791,671","$578,000","$884,868","$180,666","$176,384","$72,643","$1,701,849",,"$493,080","$21,631","$42,524","$100,226",,"$111,729","$2,954,629","$306,413",,,,"$10,001",,,"$41,942","$40,664","$7,527","$59,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eight Crazy Nights (2002),,"$76,187",,,,,,"$2,253",,,,,,,,"$19,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solaris (2002),,"$1,063,144","$260,750","$664,974","$2,191,246","$26,892","$83,820","$2,944,605","$41,482","$1,193,933","$57,573","$49,964","$641,329",,,"$155,216","$71,441",,"$92,315",,"$21,596","$1,137,821",,"$11,191","$21,248",,,"$354,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They (2002),,"$549,829",,"$58,250","$618,041",,,"$529,400",,"$1,221,300",,,,,,"$229,063",,"$74,323","$292,963","$32,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analyze That (2002),,"$1,715,498","$1,374,800","$2,163,087","$2,267,875","$175,026","$509,145","$3,499,115","$320,275","$1,341,786","$34,299","$298,252","$1,259,716",,"$613,423","$1,793,537","$104,698",,"$786,565","$25,368","$87,559",,,"$356,342",,"$49,556",,"$89,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hot Chick (2002),,"$663,156",,,,"$762,459","$49,146","$3,208,664","$394,370",,,"$141,870","$7,707,889",,,"$2,827,463","$211,462",,"$204,467","$9,638","$14,840",,,"$343,554","$7,192","$33,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maid in Manhattan (2002),,"$12,680,355","$797,000","$9,429,215","$3,972,197","$1,224,749","$1,383,622","$5,622,945","$1,407,044","$2,662,935","$161,293","$123,099","$2,509,822",,"$91,207","$5,162,487","$877,525",,"$455,451","$71,501","$62,385","$1,638,812",,"$278,129","$83,640","$124,140","$68,690","$451,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Trek: Nemesis (2002),,"$7,628,023",,"$8,284,148","$265,455","$208,252","$735,504","$417,737","$31,333","$599,287",,,"$359,224",,,"$1,809,302","$259,801",,,,,"$564,650",,"$96,060",,,"$105,088","$47,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
About Schmidt (2002),,"$6,247,392","$601,000","$3,763,136","$2,286,490","$723,469","$628,390","$4,087,034","$226,545","$4,648,502","$64,912","$16,227","$846,534","$423,297","$748,836","$2,615,840","$243,554","$173,478","$150,872","$6,839",,"$2,375,660","$829,454","$106,180","$581,213","$73,261","$171,271","$153,622",,"$284,208","$1,350,953",,"$437,995","$1,654,243","$666,673",,"$52,223",,,,,,"$95,751","$74,688","$69,597",,"$94,307",,"$32,946",,,"$63,946","$562,708",,,,,"$24,982",,"$127,785",,,,,"$1,497",,,"$20,932",,,,"$28,302",,,,,,,,,,,,,,,,,,,,,,,"$47,812",,
Evelyn (2002),,"$1,699,561",,,"$62,975",,,"$327,949",,,,,,,,"$495,276","$92,360",,,,,,,,,,,,,"$21,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morvern Callar (2002),,"$488,420",,,"$42,459",,,,,,,,,,"$33,686","$28,697","$7,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antwone Fisher (2002),,"$97,222",,"$12,813","$101,106",,,"$730,234","$27,599","$11,659",,,"$358,019",,"$15,695","$470,345",,,,,,,,"$16,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangs of New York (2002),,"$16,358,580","$2,074,500","$6,599,070","$12,940,136","$1,668,606","$841,149","$7,524,893","$369,319","$7,969,025","$102,975","$83,514","$4,558,811",,"$682,828","$4,448,367","$840,658",,"$822,372","$78,903","$43,334","$23,763,699",,"$271,742","$769,144","$404,278","$354,021","$383,397","$1,450,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wild Thornberrys (2002),,"$9,104,143",,,"$2,279,681",,,"$618,572","$346,981",,,,"$1,403,886",,"$78,049","$2,152,828","$350,861",,,,,,,,"$110,520","$227,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asoka (2001),,"$609,441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catch Me If You Can (2002),,"$24,300,180","$2,173,582","$23,237,473","$20,872,976","$2,501,026","$3,002,393","$8,802,286","$1,053,067","$7,931,666","$447,518","$423,495","$7,376,122","$3,106,532","$644,507","$8,648,013","$874,106","$2,724,704","$1,886,791","$136,594","$62,275","$22,678,989","$9,963,084","$3,407,127","$1,401,583","$396,513","$865,788","$852,515","$2,427,426","$1,764,753","$5,621,763","$632,996","$1,523,051","$827,340","$1,179,281",,"$257,401","$108,383","$499,467","$110,415","$82,964",,"$127,773","$364,104","$400,629","$600,000","$603,000",,"$641,171","$522,531","$607,948","$963,398","$2,797,801","$530,782",,"$373,286",,,,,,,,,,,,,"$357,470","$1,262,377",,,,,,,,,,,,,,,,,,,,,,,"$34,835",,,,
Chicago (2002),,"$25,993,706","$2,045,000","$5,323,080","$6,377,641","$675,987","$1,231,157","$9,228,592","$1,066,793","$5,295,158","$445,112","$424,134","$3,578,024",,"$1,029,924","$1,115","$1,524,299",,"$669,705","$60,402",,"$27,383,935",,"$1,094,598","$1,203,104","$242,423","$679,972","$1,643,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Nickleby (2002),,"$1,621,332",,"$34,132",,,,"$11,337",,,,,,,"$15,033","$93,721","$83,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confessions of a Dangerous Mind (2002),,"$1,633,162","$253,650","$689,178","$1,812,429","$71,698","$121,565","$717,755",,"$2,938,123","$49,132","$33,128","$279,161",,"$261,082","$821,534","$117,716",,"$52,007",,,"$2,699,590",,"$36,676","$80,152",,"$81,451","$236,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
