Movie Name,Domestic,United Kingdom,Greece,Germany,France,Netherlands,Austria,Spain,South Africa,Italy,Czech Republic,Hungary,Mexico,Brazil,Argentina,Australia,New Zealand,Hong Kong,Türkiye,Egypt,Bulgaria,Japan,South Korea,Taiwan,Norway,Chile,Finland,Poland,Russia/CIS,Portugal,Switzerland,Czech Republic/Slovakia,Sweden,Denmark,Israel,Middle East Other,Slovenia,Cyprus,Lebanon,Romania,Croatia,East Africa,Iceland,Peru,Venezuela,Central America+,Colombia,Russia/CIS/Ukraine,Thailand,Philippines,India,Singapore,Belgium,Middle East/UAE,Estonia,Ukraine,Lithuania,Serbia and Montenegro,Latvia,Puerto Rico,Ecuador,Uruguay,Lesser Antilles,Dominican Republic,Bolivia,Jamaica,Paraguay,Malaysia,Indonesia,China,Russia,Baltic States,West Indies,Pakistan,Sri Lanka,New Caledonia,Vietnam,Bangladesh,United Arab Emirates,Kuwait,Bahrain,Slovakia,Qatar,Morocco,Mauritius,Reunion,Jordan,Oman,Tunisia,Djibouti,Aruba,Curaçao,Kenya,Lebanon/United Arab Emirates,Middle East,Palestine,Central America
Star Wars: Episode II - Attack of the Clones (2002),"$310,676,740","$58,762,764","$810,883","$35,042,831","$30,664,323","$4,094,896","$3,332,086","$16,189,195","$816,904","$8,241,121","$873,260","$2,415,086","$8,793,561","$4,201,526","$993,508","$18,925,193","$2,617,544","$1,909,959","$905,667","$96,433","$237,934","$78,182,528","$7,879,872","$1,488,278","$2,677,905","$1,759,483","$2,090,968","$3,103,567",,"$1,488,369","$3,471,877",,"$5,786,670","$3,473,145","$820,753",,"$149,540",,"$85,949","$212,728","$302,478",,"$288,982","$1,124,802","$850,917","$1,293,273","$990,362",,"$2,035,976","$2,074,021","$617,073","$2,040,600","$3,110,599",,"$110,144",,"$78,260","$76,457","$89,813","$1,879,144","$430,056","$106,984","$106,681","$116,799","$194,407","$69,441",,"$1,102,637","$257,215","$5,488,408","$5,258,522",,,,,,,,"$412,873",,,,,,,,,,,,,,,,,,
The Believer (2001),"$416,925",,,,"$56,493",,,"$743,908",,"$56,786",,,"$35,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Importance of Being Earnest (2002),"$8,384,929","$4,750,926","$138,000","$611,387","$116,912",,"$98,195","$718,655",,"$690,806",,,,,,"$1,465,848","$250,173",,,,,,,,"$47,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Waltz (1978),"$322,313","$3,602",,,,,,,,,,,,,,"$14,772",$459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insomnia (2002),"$67,355,513","$7,871,664","$1,405,750","$1,925,870","$4,801,066","$753,128","$443,846","$2,804,395","$84,816","$5,025,014",,"$174,554","$3,247,441","$1,440,709","$995,331","$2,876,055","$200,399","$414,174","$506,938","$47,922","$43,940","$7,093,913","$1,845,522","$335,752","$270,544","$286,455","$140,218","$628,646","$203,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Company (2002),"$30,160,161","$2,083,929","$75,600","$2,225,449","$2,780,575","$1,662,788","$382,039","$3,595,942","$302,004","$1,132,639",,"$114,833","$1,479,880","$463,194","$188,279","$1,034,416","$100,635","$223,487","$155,527","$12,912","$69,004","$5,151,321","$659,465","$562,084","$428,120","$6,030","$94,542","$135,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atanarjuat: The Fast Runner (2001),"$3,789,952",,"$213,000","$165,907","$950,347",,"$41,375","$15,992",,,,,,,,"$9,684",,,,,,,,"$2,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scooby-Doo (2002),"$153,322,074","$33,495,591","$680,000","$5,317,434","$11,462,131","$1,601,109","$1,031,188","$5,352,137","$921,161","$3,337,885",,"$69,444","$10,819,792","$5,250,805","$821,456","$9,937,765","$1,753,963","$759,108","$111,650","$87,662","$22,843","$4,173,477","$972,755","$187,955","$795,000","$480,071","$328,399","$234,958","$721,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Emperor's New Clothes (2001),"$661,903",,,,,,,"$70,637",,"$503,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilo & Stitch (2002),"$145,794,338","$20,072,600","$460,000","$8,219,383","$6,068,447","$1,422,365","$1,398,886","$4,568,346","$592,313","$3,722,118",,"$204,453","$11,389,568","$2,997,138","$1,077,313","$6,952,780","$707,022","$1,094,049","$46,997","$23,366","$37,192","$22,712,669","$1,274,762","$662,624","$2,332,160","$1,228,713","$887,679","$615,283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
