Movie Name,Domestic,United Kingdom,Spain,France,Italy,Germany,Netherlands,Poland,Belgium,Austria,Greece,Türkiye,Sweden,East Africa,Portugal,United Arab Emirates,South Africa,Estonia,Lithuania,Russia/CIS,Australia,Taiwan,Hong Kong,Malaysia,Singapore,Thailand,South Korea,Philippines,Mexico,Brazil,Argentina,Peru,Venezuela,Uruguay,Finland,Czech Republic,New Zealand,Lebanon,Iceland,Ukraine,Japan,Norway,Denmark,Israel,Slovenia,Hungary,Croatia,Romania,Slovakia,Egypt,Nigeria,Latvia,Serbia and Montenegro,Ghana,Colombia,Ecuador,Bolivia,China,Ethiopia,Dominican Republic,Curaçao,Aruba,Vietnam,India,Bulgaria,Chile,Central America,Russia,Kuwait,Switzerland,Qatar,Oman,Bahrain,Jordan,Indonesia,Trinidad & Tobago,Jamaica,Switzerland (German),Switzerland (French),Switzerland (Italian),Iraq,Mongolia,Pakistan
Rise of the Planet of the Apes (2011),,"$32,001,594","$19,411,178","$29,754,730","$4,564,102","$10,775,296","$2,915,255","$660,567","$3,083,695","$1,313,114","$602,661","$1,611,718","$2,714,636","$38,864","$1,053,935","$1,223,014","$519,096","$115,705","$73,045","$12,067,800","$15,001,863","$6,521,982","$3,075,169","$2,365,233","$2,367,786","$1,613,428","$17,321,073","$1,855,723","$12,717,644","$14,648,247","$2,522,185","$2,668,675","$2,252,177","$137,215","$798,730","$454,546","$1,612,241","$215,436","$101,108","$640,686","$30,246,723","$1,131,609","$1,592,478","$1,592,631","$89,706","$326,365","$159,130","$255,789","$94,943","$316,192",,"$62,058","$77,512",,"$2,648,858","$410,768","$378,613","$30,833,638","$5,364",,,,"$453,343","$2,185,700","$193,731",,,,"$451,312",,"$175,975","$29,082","$51,304",,,,,,,,,,
Christmas Carol: The Movie (2001),,"$197,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$68,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Change-Up (2011),,"$3,125,732","$1,796,484","$638,979","$382,483","$4,832,138","$539,605","$290,098","$476,022","$1,233,359","$53,559","$266,636",,,"$734,270","$424,773","$528,663","$77,614","$10,730","$6,015,012","$3,349,929",,,,"$422,642",,,"$181,574","$2,671,597","$1,379,043","$506,518","$339,732","$372,052","$46,113","$241,072",,"$258,860","$107,173","$94,800","$668,746",,,,"$754,725","$173,565","$218,306","$84,020","$286,828",,"$62,369","$36,437","$33,073","$33,459",,"$342,932","$82,667","$19,944",,,,,,,,"$86,214",,,,,,,,,,,,,,,,,,
The Help (2011),,"$6,845,373","$5,032,425","$4,450,322","$1,568,200","$874,777","$1,828,990","$246,625","$592,639","$140,522","$49,765","$48,742","$800,758",,"$291,785","$116,679","$302,077",,,"$61,159","$7,898,696",,"$161,172",,"$81,546","$38,014","$976,256",,"$860,847","$764,723","$368,277","$74,661","$387,257","$88,674","$264,132","$28,171","$1,385,045","$17,574","$77,862",,"$1,274,323","$984,270","$1,694,204","$557,694","$27,204","$20,158","$30,940",,,,,,"$4,698",,"$272,651","$87,823","$7,823",,,,,,,,"$39,705","$58,731",,,,,,,,,,,,,,,,,
30 Minutes or Less (2011),,"$872,851","$55,340","$71,191",,"$302,438",,,"$7,063",,,,,,,,,,,"$1,384,261",,,,,,,,"$46,171","$353,786",,,,"$232,742","$11,480",,,,,"$48,537",,"$114,834","$10,518",,,,,,,,,,,,,,,"$14,444",,,,"$14,609","$10,844",,"$57,599",,,,,,,,,,,,,,,,,,,
Glee: The 3D Concert Movie (2011),,"$1,150,126",,"$92,850","$134,602","$91,568","$332,101",,,,,,,,,,"$13,431",,,,"$2,099,780",,,"$78,422","$281,791",,,"$80,018","$222,086","$168,084","$198,629","$144,324","$34,074","$13,766",,,"$276,974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Bulli: Cooking in Progress (2010),,"$4,149","$12,692",,,"$17,112","$63,790",,,"$1,887",,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Afternoons with Margueritte (2010),,"$291,519","$1,030,514","$8,917,241",,"$3,129,409","$77,738",,"$221,477","$438,034",,,"$243,585",,,,,,,,"$671,403",,,,,,,,"$94,986","$463,112","$134,248",,,"$83,726","$92,783",,"$441,667",,,,,"$48,135","$61,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Destination 5 (2011),,"$8,813,747","$4,488,678","$9,289,177","$2,568,074","$7,686,144","$1,634,172","$2,690,914","$1,417,074","$1,469,374","$882,628","$2,161,208","$277,479","$31,747","$491,438","$978,895","$612,925","$50,769","$158,897","$19,257,933","$2,513,457","$5,657,722","$1,182,882","$2,710,269","$1,517,554","$1,643,726","$2,002,365","$1,406,319","$2,758,184","$5,221,177","$2,991,418","$1,431,099","$2,455,391","$135,910","$60,604","$322,644","$436,010","$307,659","$48,651","$1,305,449","$944,583",,,"$345,206","$128,459","$496,463","$48,676","$388,718","$264,897","$342,370",,"$66,179","$86,433",,"$2,443,829","$787,707","$359,020",,,,,,,"$202,545","$153,672",,,,,,,,,,"$2,814,779",,,,,,,,
A Very Harold & Kumar Christmas (2011),,"$900,984",,,,,,,,,,,,,,"$135,105",,,,,,,,,,,,,,,,,,,,,,"$9,920","$85,735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carancho (2010),,"$110,169","$832,546","$266,142",,,,,"$1,225",,,,,,"$6,131",,,,,,,$195,,,,,,,,"$185,616","$2,525,489","$27,372",,"$78,547",,,,,,,,,,,,,,,,,,,,,,,"$1,054",,,,,,,,,,,,,,,,,,,,,,,,,,
Spy Kids 4: All the Time in the World (2011),,"$6,889,008",,,,"$952,618","$275,355","$866,290","$14,484","$276,399",,"$157,539","$1,434,892",,"$106,857","$347,592","$620,545",,,"$7,892,157","$4,304,377",,"$326,719","$418,368","$297,882","$204,851",,"$142,442","$1,562,714","$1,980,805","$791,597","$357,129","$985,872","$49,478",,"$124,567","$560,582","$77,270","$61,889","$150,009","$7,461,164","$708,103","$111,214",,"$3,232","$247,347","$73,364",,"$59,028","$24,366",,,,,"$393,078",,"$45,999",,,,,,,,"$194,059","$111,675",,,,,,,,,,,,,,,,,
Don't Be Afraid of the Dark (2010),,"$2,066,447","$1,219,402",,"$1,551,571",,"$272,862","$439,588","$240,742",,"$99,442","$163,753",,,"$46,529","$135,903","$75,692",,,"$995,090","$129,936","$98,671","$80,977","$320,042","$190,350","$95,787","$473,653","$67,043","$3,318,629","$434,466","$514,924","$288,390","$426,869","$15,978","$84,178","$38,480",,,,"$32,898",,,,,,,"$19,016",,"$16,564","$14,986",,,,,,"$179,446","$53,615",,,,,,,,,"$20,928",,,,,,,,,,,,,,,,,
Fright Night (2011),,"$2,932,512","$1,087,987","$1,509,073","$784,802","$850,555","$294,396","$262,682",,,,"$325,443","$139,134","$11,464","$107,450","$285,291","$90,415",,,"$3,470,803","$1,256,444","$101,166",,"$870,219","$417,685","$632,754",,"$317,024","$2,001,914",,"$616,730","$184,581","$634,361","$11,734",,,"$97,746","$52,460","$25,591","$208,862","$1,606,049",,,"$68,640",,"$111,361",,"$99,045",,"$124,957",,,,,,"$482,344","$63,156",,,,,,"$502,916",,"$47,675",,,,,,,,,,,,,,,,,,
Another Earth (2011),,"$363,659","$94,200","$39,885","$26,044","$67,260",,"$10,387",,,,,,,,"$11,982","$4,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stake Land (2010),,"$232,996",,,,,,,,,,"$75,999",,,,,,,,,"$1,525",,,,,,,,"$61,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Greatest Movie Ever Sold (2011),,"$10,959",,,,,,,,,,,,,,,,,,,"$19,266",,,,"$7,352",,,,,,,,,,,,"$19,238",,"$2,958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Debt (2010),,"$2,386,097","$4,628,416","$1,152,807","$415,755","$734,483","$113,840","$145,569","$232,278","$110,773",,,,,"$150,420","$181,840",,,,"$476,450","$1,238,474",,,,,,"$282,946",,"$519,993",,,,"$166,906","$49,522",,"$48,336","$317,370",,,,,,,"$214,299",,"$16,835",,,,,,,"$7,097",,"$40,170","$31,892",,,,,,,,,,"$17,635",,,,,,,,,,,,,,,,,
Bill Cunningham: New York (2010),,"$84,144",,,,,,,,,,,,,,,,,,,"$413,587",,,,,,,,,,,,,,,,"$202,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conan the Barbarian (2011),,"$2,200,242","$4,228,077","$2,190,530","$1,120,116","$1,373,927","$488,667","$991,386","$314,790","$297,832","$668,616","$473,277","$432,572",$720,"$687,912","$1,160,225","$328,783","$44,234","$50,939","$9,812,098","$1,484,160","$408,854",,"$1,025,371","$198,800","$471,014","$166,825","$480,631","$1,319,934","$4,976,565","$956,302","$484,203","$309,696","$17,079","$162,526","$227,869","$43,601","$197,003","$30,911","$512,541",,"$572,886","$230,507",,,"$94,246","$149,211","$305,454","$52,608",,,"$32,461","$12,947",,,"$78,554","$129,626",,,,,,,,"$230,934",,,,,,,,,,,,,,,,,,
Prom (2011),,"$99,328","$4,381",,"$18,980","$70,347",,,,,,,,,,"$29,294","$53,656","$11,070",,,,,,,,,,"$108,772",,,,,,,,,,"$27,147",,,,,,,,,,,,,,,,,,"$149,052",,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Trip: Ken Kesey's Search for a Kool Place (2011),,$484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Inbetweeners (2011),,"$71,189,362",,"$304,715","$1,406,844","$3,102,827","$194,874","$88,259","$80,976","$1,009,768",,"$85,028",,,,,,,,"$674,492","$9,141,299",,,,"$29,038",,,,,,,,,,,"$63,530","$846,143",,"$50,962",,,,"$439,866",,"$56,450",,"$22,678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Future (2011),,"$113,922","$20,092","$37,791",,"$72,523","$22,259",,"$8,673","$14,233",,"$3,555",,,"$6,039",,,,,"$18,593",,,,,,,,,,$830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Interrupters (2011),,"$4,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red State (2011),,"$305,504","$85,028",,,,,,,,,"$156,160",,,,,,,,"$155,303","$60,851",,,,,,,,,,,,,,,,"$6,932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Better Life (2011),,"$14,899",,,,,,,,,,"$5,297",,,,,,,,"$59,214",,,,"$20,812",,"$4,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Don't Know How She Does It (2011),,"$2,196,230","$1,000,625","$1,885,418","$1,754,897","$1,190,589","$437,623","$237,365","$135,132","$189,740","$54,983","$224,885","$109,680",,"$333,146","$116,039","$481,122",,,"$4,538,559","$2,820,112",,"$98,807",,"$213,831","$62,912","$273,560","$15,934","$876,261","$987,565","$278,418","$188,875","$91,484","$16,064","$88,763","$28,748","$142,140","$30,142","$40,214",,,"$57,527","$86,288",,"$56,598","$103,431","$25,086","$19,578","$12,240","$26,520",,,"$14,773",,"$45,505",,"$1,177",,,,,,,,"$65,259","$94,022",,,,,,,,,,,,,,,,,
Shark Night (2011),,"$1,456,643","$1,541,512","$1,613,407",,"$725,057","$378,352","$527,366","$316,384","$284,539",,"$201,200","$18,091",,"$98,197","$408,502","$138,774",,,"$5,437,182","$797,625",,"$575,644","$1,064,610","$127,700","$303,398","$719,574","$49,574","$933,145","$997,503","$868,853","$276,795","$752,952",,,"$78,874","$117,923","$131,561","$33,483","$194,886",,,,,"$48,166",,"$55,970",,,"$111,617",,,,,,"$512,789","$63,109",,,,,,"$455,142",,"$70,675",,,,,,,,,,,,,,,,,,
Contagion (2011),,"$8,640,500","$3,645,130","$5,885,680","$2,072,333","$3,862,820","$667,251","$456,191","$966,710","$524,530","$676,651","$580,203","$1,369,548","$24,603","$625,616","$445,055","$265,501",,,"$3,784,557","$5,272,109",,"$855,083","$369,308","$910,137","$264,373","$1,502,959","$635,652","$2,405,893","$2,732,610","$1,512,020","$424,960","$561,238","$50,434","$415,629","$97,687","$673,326","$24,356","$38,442","$202,492","$4,436,368","$404,493","$384,797","$233,118","$67,115","$296,332","$118,613",,"$38,844",,,,"$44,045",,"$822,477","$196,107","$76,843",,,,,,,,"$63,115",,,,,,,,,,"$233,916",,,,,,,,
We Have a Pope (2011),,"$114,512","$612,556","$4,922,843","$7,894,680","$978,122","$52,846","$109,770","$422,775","$274,034","$253,824",,,,"$69,997",,,,,,,,,,,,,,"$79,464","$573,155","$637,061","$45,837","$40,971","$40,222",,"$15,608",,,,,,"$39,969","$50,429",,,,,,,,,,"$6,234",,"$94,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeping Beauty (2011),,"$95,865",,"$101,361",,,,,"$22,539",,,,,,,,,,,,,,"$34,955",,"$74,972","$8,999","$4,297",,,"$29,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Straw Dogs (2011),,"$135,319","$32,056",,,"$84,753",,,"$9,011",,,,"$46,812",,,"$30,392","$23,715",,,"$417,593",,,,,,,,,,,,,,,,,,"$12,767",,,,,,,,,,,,"$5,322","$17,494",,,,"$22,519",,,,,,"$2,068","$2,564",,,,,,,,,,,"$1,886",,,,,,,,,,
Moneyball (2011),,"$1,299,055","$1,258,562","$983,965","$389,575","$319,461","$104,462","$140,505","$73,846",,"$105,028","$242,524","$66,532","$9,829","$196,567","$78,578","$142,092",,,"$1,053,559","$5,235,970",,"$95,146",,"$58,922","$58,996","$4,036,837","$61,297","$1,764,504","$682,587","$517,150","$72,361","$603,835","$42,099","$48,678","$63,358","$150,011","$9,519","$12,160","$56,222","$11,499,680","$248,011","$108,552","$297,255","$28,086","$21,065","$42,176",,"$21,451","$12,300","$17,792",,"$13,588","$1,909","$59,846","$105,505","$17,054",,,,,,,,"$27,124","$46,666",,,,,,,"$3,159",,,,,,,,,,
Le Havre (2011),,"$521,535","$846,208","$3,502,247","$1,842,982","$2,195,987","$86,663","$37,139","$130,363","$194,090","$108,508",,"$213,908",,,,,,,"$24,492","$319,593",,,,,,"$34,791",,"$15,087","$143,961","$219,580",$739,,"$15,945","$1,415,473","$28,442","$191,561",,,,,"$149,621","$35,846",,,,,,,,,,"$13,715",,"$59,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zindagi Na Milegi Dobara (2011),,"$1,448,132",,,,,,,,,,,,,,,,,,,"$409,143",,"$73,832","$43,128",,,,,,,,,,,,,"$110,023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restless (2011),,"$17,983","$55,069","$696,492","$162,155","$86,749",,"$34,536","$17,320",,"$12,980",,,,"$40,276",,,,,"$73,100",,"$7,716",,,"$6,003",,"$38,790",,,"$207,185",,,,,,,"$2,993",,,,"$845,452",,,,,,,,,,,,,,"$49,948",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neds (2010),,"$1,582,340","$338,223","$94,889",,,,,,,,"$4,241",,,$246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Blank (2010),,"$178,814","$48,381","$7,872,079",,,,,"$141,950",,"$34,607","$48,862",,,"$5,337","$40,709",,,,,,,"$15,792",,"$16,283",,"$373,281",,,,,,,,,,,"$3,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masti (2004),,"$337,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children of Glory (2006),,"$33,951",,,,,,,,,,"$11,346",,,,,,,,,,,,,"$6,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Separation (2011),,"$561,598","$789,406","$7,432,480","$685,113","$1,093,321","$342,085","$66,315","$348,176","$47,517","$209,604","$43,976","$72,407",,"$11,576",,,,,"$22,301","$1,330,987",,"$192,063","$4,174","$64,367",,"$69,970",,"$132,332","$1,032,810","$331,663","$1,740","$64,885","$58,011","$38,840","$7,738","$340,276","$29,435",,,,"$307,620","$90,925",,,,,,,,,,,,,,"$3,310",,,,,,,,,,,,,,,,,,,,,,,,,,
A Dangerous Method (2011),,"$2,023,878","$3,396,080","$3,661,292","$3,143,375","$2,213,447","$406,050","$364,123","$708,539","$614,996","$434,176","$227,183","$115,839",,"$323,957",,,,,"$1,005,751","$959,812",,"$139,876",,"$46,599","$17,527","$92,441",,"$695,786","$1,163,481","$670,096","$91,738","$115,808","$43,264","$178,364","$134,339","$50,365","$42,014","$1,381",,,"$378,543","$936,755",,"$36,507",,"$18,293",,"$8,503",,,,"$20,267",,"$156,098",,$769,,,,,,,,,"$177,415",,,,,,,,,,,,,,,,,
Warrior (2011),,"$2,885,778",,"$1,354,588","$1,805,141",,"$153,589",,"$67,386",,,,,,"$29,103","$252,056","$68,269",,,,"$2,196,472",,"$1,617","$61,457","$42,251","$5,771","$151,217","$32,130","$269,343",,,"$82,218","$110,749",,,,"$14,105","$14,338","$18,265",,,,,,,,"$17,814",,,,"$2,071",,,,,"$15,772",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ides of March (2011),,"$4,731,759","$3,479,894","$4,005,501","$5,217,138","$3,208,028","$209,620","$462,748","$443,846","$527,793","$1,086,922","$431,401","$360,185",,"$284,664","$156,683","$185,619",,,"$485,127","$4,588,966",,"$318,541",,"$183,414","$64,164","$242,648",,"$874,769","$985,472","$540,497","$157,589","$88,216","$93,721","$79,591","$32,874","$211,114","$45,028","$28,802",,"$287,701","$238,996","$496,603",,"$21,633","$99,640","$40,433",,"$13,049",,"$15,888",,"$12,958",,"$138,938",,"$10,251",,,,,,,,"$26,124","$161,029",,,,,,,,,,,,,,,,,
Killer Elite (2011),,"$1,796,518","$3,072,447","$2,075,988","$995,019","$4,107,671","$574,447","$715,650","$308,175","$645,910","$654,685","$577,631",,,"$559,765","$887,737","$252,085",,,"$5,987,799","$564,829",,"$82,759","$455,299","$306,703","$287,162","$1,052,385","$76,549","$850,659","$1,994,368","$835,825","$186,911","$64,396","$31,509",,"$131,063","$128,120","$129,884","$55,207","$431,601",,"$159,659",,,"$72,193","$135,147","$86,978",,"$32,940","$179,444","$6,362",,"$6,360",,,,"$1,450",,,,,,,,"$339,406","$62,861",,,,,,,,,,,,,,,,,
50/50 (2011),,"$2,357,318",,"$103,847","$100,819","$281,070","$224,078",,"$103,300","$47,317","$13,145","$49,180","$72,659",,"$103,891",,"$29,111",,,,,,"$186,103","$53,239","$173,635","$49,646","$860,632",,"$189,488",,"$243,515","$78,557",,"$27,897","$173,903",,,,"$22,900",,"$236,485","$112,805","$68,770",,,"$6,013",,,,,,,,,,,"$2,708",,,,,,,,"$30,431","$81,199",,,,,,,,,,,,,,,,,
The Turin Horse (2011),,"$29,754","$22,856",,,,,,,,,,,,"$25,845",,,,,"$12,271",,,,,,,,,"$14,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once Upon a Time in Anatolia (2011),,"$424,865","$59,180","$187,572","$399,331",,,,"$1,248",,,"$835,869",,,"$12,939",,,,,"$12,842",,,,,,,,,"$11,102","$2,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leap Year (2010),,,"$43,576",,,,,,,,,,,,,,,,,,,,,,,,,,"$131,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Names of Love (2010),,,"$158,780","$3,765,721",,"$1,142,347",,,"$104,067","$83,757","$47,764","$113,948",,,,,,,,,,,,,,,,,,"$133,742","$109,394",,,"$14,077",,,"$34,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$581,335",,,,,,,,,,,,,
Truly Human (2001),,,"$14,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$228,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neon Flesh Extra (2010),,,"$1,166,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Man from Nowhere (2010),,,"$36,416",,,,,,,,,,,,,,,,,,,"$10,212","$27,463",,"$93,759",,"$42,484,155",,,,,,,,,,,,,,"$1,543,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Other Woman (2009),,,"$621,146",,,,,,,,,,,,,"$66,452",,,,"$367,752",,,"$196,360",,"$45,306",,,,,,,,,,,,,"$33,479",,"$59,016",,,,,,,"$15,635",,,"$20,774",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If I Want to Whistle, I Whistle (2010)",,,"$49,843",,,,,,"$1,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,145","$216,557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Dog: Dead of Night (2010),,,"$50,711",,"$3,447,524",,,,,,,,,,"$20,102","$57,275",,,,,,,"$77,929","$395,786","$300,166","$135,533",,"$109,469",,,,,,,,,,,"$1,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Sky (2006),,,"$25,811",,,,,,,,,,,,,,,,,,,,,,,,,,"$105,449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me Too (2009),,,"$440,170","$113,686",,"$923,245","$409,858",,"$23,372","$85,511",,,,,,,,,"$12,193","$73,411",,,,,,,"$4,712",,"$11,228",,,,,,,,,,,,,,,,,,,,,,,,,,"$51,727",,,,,,,,,,,,,,,,,,,,,,,,,,,,
La nostra vita (2010),,,"$72,955","$157,763","$4,400,186",,,,"$23,184",,,,,,"$6,402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le code a changé (2009),,,"$499,970","$12,865,409",,"$668,640",,,"$518,957","$115,495",,,,,,,,,,,,,,,,,,,,,"$135,715",,"$2,794","$46,311",,,,,,,,,"$34,805",,,,,,,,,,,,,,,,,,,,,,,,,,,"$81,556",,,,,,,,,,,,,
Bolivia (1999),,,"$9,353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Time That Remains (2009),,,,"$753,808","$195,172",,,,"$32,705",,,,,,"$9,822",,,,,,,,,,,,,,,,,,,,,,,"$13,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am Ende kommen Touristen (2007),,,,"$286,964",,"$470,597",,,,"$8,131",,,,,,,,,,,,,,,,,,,,"$58,127","$14,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 City (2008),,,,"$165,421",,,,,"$5,799","$5,347",,,,,"$11,844",,,,,,,,"$11,789",,,,"$9,025",,,,,,,,,,,,,,,,,,,,,,,,,,"$2,259",,,,,"$160,633",,,,,,,,,,,,,,,,,,,,,,,,,
Outside the Law (2010),,,,"$3,145,225","$67,045",,,,"$147,293",,,,,,"$6,262",,,,,,,,,,,,,,,,"$7,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service (2008),,,,"$69,462",,,,,,,,,,,,,,,,,,,,,"$21,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm (2009),,,,"$130,728",,"$273,877",,,$814,"$6,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,233,575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idiots and Angels (2008),,,,"$79,363",,,,,,,,,,,,,,,,"$7,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bastards (2008),,,,"$52,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Man of My Life (2006),,,,"$2,244,261",,,,,"$29,593",,,,,,,,,,,,,"$9,278",,,,,,,"$71,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$179,759",,,,,,,,,,,,,
My Life as McDull (2001),,,,"$57,985",,,,,,,,,,,,,,,,,,,"$1,769,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilles' Wife (2004),,,,"$125,253",,,,,,,"$109,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Arrangement (1969),,,,"$9,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Come Undone (2010),,,,"$132,093","$2,548,548","$60,418",,,"$48,811","$50,863",,,,,"$14,759",,,,,"$29,972",,,,,,,"$31,314",,"$43,977",,"$118,642",,,"$12,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Mud (2006),,,,"$6,916",,"$48,795",,,,,,,,,,,,,,,,"$3,166",,,,,,,,"$56,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twixt (2011),,,,"$354,685",,,,,"$23,941",,,,,,,,,,,"$241,983",,,,,,,,,,"$20,512",,,,,,,,,,,,,,,,,,,,,,,"$6,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super 8 Stories (2001),,,,"$38,709","$160,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Je l'aimais (2009),,,,"$6,058,716",,"$265,367",,"$10,686","$162,599","$100,520",,,"$14,313",,,,,,,,,,,,,,,,,,"$184,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Good Lawyer's Wife (2003),,,,,"$39,062",,,,,,,,,,,,,,,,,,,,,,,,,,"$41,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Double Hour (2009),,,,,"$1,182,547",,,,"$18,262",,,,,,,,,,,,,,,,,,,,"$14,250",,"$115,556",,,"$2,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
