Movie Name,Domestic,United Kingdom,Spain,France,Italy,Germany,Netherlands,Poland,Belgium,Austria,Greece,Türkiye,Sweden,East Africa,Portugal,United Arab Emirates,South Africa,Estonia,Lithuania,Russia/CIS,Australia,Taiwan,Hong Kong,Malaysia,Singapore,Thailand,South Korea,Philippines,Mexico,Brazil,Argentina,Peru,Venezuela,Uruguay,Finland,Czech Republic,New Zealand,Lebanon,Iceland,Ukraine,Japan,Norway,Denmark,Israel,Slovenia,Hungary,Croatia,Romania,Slovakia,Egypt,Nigeria,Latvia,Serbia and Montenegro,Ghana,Colombia,Ecuador,Bolivia,China,Ethiopia,Dominican Republic,Curaçao,Aruba,Vietnam,India,Bulgaria,Chile,Central America,Russia,Kuwait,Switzerland,Qatar,Oman,Bahrain,Jordan,Indonesia,Trinidad & Tobago,Jamaica,Switzerland (German),Switzerland (French),Switzerland (Italian),Iraq,Mongolia,Pakistan
Monte Carlo (2011),"$23,186,769","$1,412,882","$575,629","$13,727","$36,894","$2,844,573","$1,105,357","$3,835","$637,593",,,,,"$6,669",,"$335,501","$394,941",,,"$1,386,213","$2,900,185",,,"$328,612","$407,806",,,"$493,883","$1,546,421",,,"$183,385","$903,927",,,,"$213,600","$134,277",,,,,,,,,"$50,828",,,,,,,,"$116,202",,"$54,839",,"$4,355",,,,"$114,385",,,,,,"$285,521",,"$78,554","$9,826","$15,494",,,,,,,,,,
The Perfect Host (2010),"$48,764",,"$402,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Deathly Hallows: Part 2 (2011),"$381,447,587","$92,139,802","$21,891,963","$67,311,500","$29,784,735","$78,042,939","$17,347,077","$8,895,199","$9,983,321","$7,492,735","$4,186,117","$4,302,719","$15,899,826","$110,152","$3,859,876","$2,995,140","$2,617,462","$410,336","$357,092","$36,833,884","$51,329,345","$14,539,174","$9,866,622","$4,620,830","$5,953,466","$6,707,511","$32,103,264","$6,955,628","$34,163,720","$35,700,869","$10,962,039","$3,637,088","$7,526,732","$558,523","$5,308,968","$5,599,132","$6,128,080","$519,791","$551,484","$3,558,720","$124,331,909","$11,261,743","$11,179,770","$3,350,025","$616,381","$3,379,099","$840,797","$944,566","$1,688,650","$637,962",,"$276,038","$287,899",,"$5,302,773","$2,595,866","$808,770","$60,800,000",,,,,"$97,729","$7,715,053","$587,986","$6,487,988",,,,,,,,,"$8,229,311",,,,,,,,
Drive (2011),"$35,061,555","$4,693,696","$3,096,335","$13,264,311","$2,396,019","$1,796,027","$600,151","$835,142","$1,095,013","$458,004","$494,792","$109,622","$674,644",,"$224,460","$327,994","$150,447",,,"$2,058,038","$3,814,077",,"$172,512",,"$119,242","$64,300","$335,787",,"$996,469","$742,446","$366,886","$97,757","$124,724","$21,203","$387,039","$234,668","$701,146","$54,592","$140,992",,"$348,304","$899,673","$1,278,666",,,"$190,190","$33,218","$39,293","$47,646",,,,"$15,914",,,,"$2,365",,,,,,,,"$60,092","$89,519",,,,,,,,,,,,,,,,,
Love Crime (2010),"$539,792","$32,604",,"$2,815,919",,,"$23,910",,"$173,605",,"$24,078",,,,,,,,,,,,"$31,179",,,,,,,,,,,,,,"$55,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crazy, Stupid, Love. (2011)","$84,379,584","$5,389,221","$2,007,711","$4,201,036","$1,257,494","$4,667,066","$2,156,144","$678,785","$783,062","$1,215,819","$680,820","$582,107","$1,011,845","$30,509","$777,066","$683,388","$874,411","$108,604","$77,150","$2,050,176","$11,930,139",,"$220,037",,"$951,942",,,"$662,932","$4,630,099","$1,516,702","$937,831","$660,660","$1,061,554","$80,112","$384,215","$129,204","$941,081","$351,204","$110,963","$332,929",,"$351,746","$224,909","$903,853","$118,768","$405,016","$53,835","$98,499","$127,405","$122,191",,,"$61,848",,"$526,128","$206,333","$68,838",,,,,,,,"$61,585","$177,668",,,,,,,,,,,,,,,,,
The Smurfs (2011),"$142,614,158","$28,118,099","$19,530,655","$27,621,245","$15,043,455","$29,398,271","$10,132,426","$6,200,136","$9,540,471","$5,015,374","$3,614,777","$6,442,751","$5,336,082","$43,029","$4,081,681","$3,795,162","$3,839,507","$198,876","$381,239","$13,347,700","$21,457,938","$1,124,933","$2,274,219","$2,452,207","$2,957,787","$614,528","$7,373,726","$1,213,213","$21,069,657","$32,849,410","$7,984,831","$5,254,893","$7,757,729","$813,143","$1,878,874","$3,582,018","$2,514,032","$986,319","$265,198","$853,964","$3,278,155","$3,819,919","$3,581,156","$6,472,886","$1,372,209","$1,353,183","$818,388","$722,007","$974,490","$263,629","$100,482","$307,172","$633,989","$21,614","$8,810,976","$3,037,306","$857,424","$39,378,659","$3,891","$640,630","$60,188","$91,630","$1,041,282","$999,892","$805,343","$4,260,769","$4,665,781",,"$1,366,049",,"$753,482","$71,328","$265,184","$473,661","$1,172,893","$372,094","$152,420","$3,037,654","$1,731,406","$221,044","$33,165","$75,312","$48,486"
Mysteries of Lisbon (2011),"$110,507","$4,505","$28,873",,,,,,"$8,826",,,,,,"$73,976",,,,,"$6,412",,,,,,,,,,,"$43,067",,,,,,"$23,966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapt (2009),"$45,759",,,"$2,819,097",,,,,"$86,811",,,,,,,,,,,,,,,,,,,,"$26,402","$13,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vision (2009),"$435,274",,"$120,016",,,"$4,282,305",,,"$5,235","$199,825",,,,,,,,,,,,,,,,,"$34,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
