Movie Name,France,Italy,Germany,Belgium,Spain,Netherlands,Greece,Austria,Portugal,Poland,Lebanon,Switzerland (German),Finland,Norway,Iceland,Croatia,Estonia,Australia,South Korea,New Zealand,Taiwan,Hong Kong,Thailand,Mexico,Peru,Uruguay,Chile,Ecuador,Bolivia,Russia,United Kingdom,United Arab Emirates,Türkiye,Israel,Ukraine,Sweden,Qatar,Denmark,Romania,Bahrain,South Africa,Oman,Switzerland (French),Hungary,Jordan,Bulgaria,Czech Republic,Kenya,Slovakia,Lithuania,Nigeria,Latvia,Serbia and Montenegro,Ethiopia,Venezuela,Brazil,Colombia,Argentina,Russia/CIS,Malaysia,Singapore,Philippines,Vietnam,India,Domestic,Japan,Slovenia,Egypt,Ghana,China,Central America,Puerto Rico,Kuwait,Switzerland,Canada,Paraguay,Indonesia,Saudi Arabia,Iraq,Trinidad & Tobago,Dominican Republic,Jamaica,Curaçao,Aruba,Pakistan,Cambodia,Mongolia,Panama
Star Trek Beyond (2016),"$5,815,202","$2,709,041","$15,505,560","$670,644","$2,903,485","$1,863,913","$235,227","$1,492,570","$378,493","$689,746",,,"$496,627","$441,832","$134,896",,,"$5,935,105","$9,126,493","$1,300,437","$2,044,138","$1,345,813","$1,540,448","$2,684,045","$467,192","$14,477","$270,644",,"$100,300",,"$20,979,720","$1,046,828","$660,098","$241,467","$622,067","$943,076",,"$526,007","$353,335",,"$377,826",,,"$641,845",,"$158,043","$469,494",,"$127,596","$44,072",,,,,"$4,874,184","$4,479,190","$456,001","$393,836","$6,529,377","$1,031,783","$1,258,024","$1,088,440",,"$1,278,591",,"$5,038,849","$51,504",,,"$65,170,090",,,,"$903,081",,"$15,494","$2,350,047",,,,,,,,,,,"$746,343"
Deepsea Challenge (2014),"$38,552",,,,,,,,,,,,,,,,"$2,961","$94,914","$5,111",,,,"$68,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,918",,,,,"$235,659",,,,,,,,,,,,,,,,,,,,,,,
Le cactus (2005),"$2,359,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,564",,,,,,,,,,,,,,,,,,,,,,,,"$68,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Borrowed Identity (2014),"$394,565",,"$202,039",,"$17,129",,,"$34,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted 2 (2015),"$7,615,988","$4,201,891","$10,377,039","$2,332,200","$4,406,648","$3,099,805","$113,202","$2,038,821","$1,315,130","$1,760,572","$101,627","$1,394,650","$931,590",,"$134,495","$224,713","$270,956","$8,506,155","$1,115,399","$889,340","$3,939,185","$3,822,790","$518,775","$4,105,608","$1,071,976","$130,337","$420,051","$354,487","$150,600",,"$15,248,242","$587,846","$137,641","$3,000,715","$795,438","$1,376,928",,"$1,025,647","$567,955",,"$606,706",,"$297,433",,"$64,132","$156,906","$676,405","$24,696","$289,370","$175,060","$25,378","$128,990","$123,718",,"$1,405,428","$2,371,298","$458,318","$1,322,174","$6,391,928","$931,353","$1,241,977","$62,587","$195,591",,,"$20,153,761","$141,364",,,,,,,,,,,,,,,,,,,,,
Gueros (2014),,"$15,618",,,"$26,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,114",,,,,,,,,,,,,,,,,,,,,,,
Hot Pursuit (2015),,"$110,370","$629,798",,,,"$54,055","$214,617","$253,618","$193,267","$129,338","$126,022",,"$86,810","$42,532","$75,607","$44,149","$1,309,511",,"$186,032","$344,925",,,"$2,562,573","$530,839","$41,364","$73,405","$184,855","$38,581",,"$1,097,359",,,"$337,061","$87,351","$51,367","$114,498",,"$146,288","$105,468","$154,422","$36,199",,"$213,667","$37,592","$73,662","$44,982","$17,507","$24,574","$31,957",,"$30,836","$17,707",,"$1,554,169","$64,904","$567,879","$103,801","$1,678,657",,"$232,283","$153,051","$69,721","$14,208",,,"$26,836","$55,171",,,,,,,,,,,,,,,,,,,,
The Green Inferno (2013),,"$686,113",,,$768,,"$65,480",,,,,,,"$38,080",,,,,,,"$300,613","$107,965","$25,360",,,,,,,,,,,,"$6,515",,,,"$87,381",,,,,,,,,,,"$28,549",,"$2,868",,,,,,,"$3,836,651","$139,084","$40,005","$64,178",,,,,"$5,136",,"$39,412",,,,,,,,,,,,,,,,,,,
Living Is Easy with Eyes Closed (2013),,"$123,140",,,"$2,622,237",,,,,,,,,,,,,"$264,379",,"$27,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mars (2010),,"$7,223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$120,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
