Movie Name,United Kingdom,Domestic,Russia/CIS,Poland,Spain,France,Belgium,Norway,Portugal,Romania,South Korea,Netherlands,Greece,Italy,Türkiye,South Africa,Sweden,Czech Republic,Slovakia,Germany,Lebanon,Kenya,Mexico,Venezuela,Brazil,Colombia,Ecuador,Argentina,Chile,Uruguay,Peru,Taiwan,Hong Kong,Singapore,Malaysia,Thailand,Philippines,Vietnam,Australia,Denmark,Switzerland (French),Austria,Hungary,Finland,Croatia,India,New Zealand,China,Switzerland (German),United Arab Emirates,Israel,Ukraine,Qatar,Bahrain,Bulgaria,Lithuania,Serbia and Montenegro,Oman,Slovenia,Iceland,Egypt,Ethiopia,Bolivia,Japan,Latvia,Estonia,Jordan,Kuwait,Ghana,Nigeria,Iraq,Pakistan,Mongolia,Cambodia,West Indies,Aruba,Curaçao,Russia,Tunisia
Room (2015),"$4,418,834","$14,677,654","$14,962","$464,911","$2,165,418","$738,683","$164,150","$131,944","$232,960",,"$596,351","$675,388","$303,871","$1,230,899","$139,670","$95,892","$43,872","$9,489","$29,385","$684,658","$22,972",,"$1,760,929","$22,965","$1,185,909",,"$73,188","$321,150","$47,468","$60,279","$71,806","$460,186","$649,972","$142,669",,"$29,837",,,"$697,777","$241,863",,"$80,509",,"$116,321","$28,359",,"$151,159",,,"$56,096",,,,,,,"$12,697","$1,060","$12,448","$70,502",,,"$17,052","$1,620,378",,,,,,,,,,,,,,,
The Gift (2015),"$2,268,314","$43,787,265","$1,868","$248,140","$922,254",,,"$90,813","$39,644",,"$37,069","$172,758",,"$866,127",,"$110,410","$40,201","$89,953","$36,987","$190,243","$47,588",,"$1,302,568",,"$300,480","$52,927",,"$104,556",,"$8,968","$91,330",,"$38,504","$190,101",,"$72,524","$21,903",,"$1,737,116","$67,546",,"$272,122",,,"$43,855","$124,806",,,,,,"$26,681",,,,"$3,247","$36,101",,,"$24,066",,,,,"$8,427","$3,454",,,,,,,,,,,,,
The Witch (2015),"$1,278,874",,,,"$2,102,188","$882,449",,,,,,,,"$522,657",,,,"$178,286","$96,068","$831,448","$25,854",,"$3,414,834","$55,322","$2,519,823","$243,972",,"$884,813","$31,209",,"$209,247",,,,,"$42,513",,,"$519,218",,,"$32,888",,,,,"$39,015",,,"$285,250",,,,,,,,"$5,198",,"$17,058",,,"$79,308",,,"$17,327",,,,,,,,,,,,,
Tales of the Night (2011),"$3,241",,,,,"$1,670,763","$69,668",,,,,,,,,,,,,,,,,,"$7,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men & Chicken (2015),"$14,388",,,,,"$42,615",,,,,"$8,465","$113,582",,,,,,,,"$245,392",,,,,,,,,,,,,,,,,,,,"$4,303,403",,,,,,,,,"$7,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Visit (2015),"$3,130,052",,"$627,317","$199,037","$5,395,531","$2,337,614","$299,562","$162,131","$283,957",,"$351,420","$401,767",,"$2,066,513","$189,434","$30,049",,,,"$4,620,741","$28,259",,"$1,504,004","$416,759","$660,198",,"$177,670","$853,784",,"$55,482",,"$177,885",,"$314,416","$161,101","$35,065","$13,753","$179,282","$2,162,810",,"$48,952","$483,307","$54,715","$209,665","$42,601",,,,"$223,629","$198,942","$293,709",,,,,"$39,005","$24,279","$1,268","$27,319",,"$36,000",,"$59,461",,"$21,849","$34,676","$29,917",,,,,,,,,,,,
Secret in Their Eyes (2015),"$162,482",,"$675,222","$366,015","$472,499",,,"$68,505","$167,779","$209,282","$104,397",,"$87,828","$824,727","$207,675","$265,998","$36,940","$94,399","$41,283","$396,793","$187,967",,"$1,856,632",,"$792,664","$113,226",,"$591,504","$155,441","$41,022","$134,830","$452,712","$240,175",,,,,"$51,747","$1,085,906","$55,062",,,"$218,547","$43,991",,,"$162,716",,"$138,406","$401,067",,"$75,339",,,"$40,383","$11,042",,"$2,593","$7,163",,,,,,,,,,,,,,,,,,,,
Sinister 2 (2015),"$4,838,437",,"$2,335,537","$720,993","$503,486","$1,771,859","$404,589","$261,761",,"$128,606",,"$456,053",,"$819,807","$160,886",,"$514,261","$230,196","$117,453","$2,005,876","$23,321",,"$2,520,742","$821,425","$1,610,912","$454,985","$252,330","$428,364","$329,339","$78,610","$562,375","$120,190","$19,326","$306,105","$814,433","$57,809","$232,810",,,"$247,065",,"$422,483","$117,721","$290,381","$16,702",,,,,"$150,527",,"$100,314",,,,"$51,558","$29,108",,,,,,"$127,993",,"$43,150","$17,231","$71,086",,,,,,,,,,,,
American Ultra (2015),"$982,216",,"$2,135,533",,"$543,578","$2,255,212","$167,138",,"$47,030","$82,071",,"$184,347",,"$262,131","$70,258","$64,453",,"$32,045","$41,767","$477,035","$41,743",,"$48,342",,"$36,535",,"$73,991","$112,587","$61,094",,"$59,336","$418,058","$127,705",,,"$165,782","$21,650",,"$368,628",,"$37,689","$107,408",,,,,,"$3,010,322",,"$534,374",,"$49,430",,,"$63,453","$21,306",,"$9,057",,,,,"$11,861",,"$19,684","$54,946","$21,594",,,,,,,,,,,,
No Escape (2015),"$1,875,129",,"$52,060",,"$1,000,930","$1,243,443",,,"$215,086",,"$300,776","$233,021","$204,331","$831,783","$221,074","$76,793","$162,412",,,,"$181,799",,"$2,047,373",,"$126,430","$535,308","$74,243","$848,854","$184,331","$34,675","$505,105","$134,043","$1,575,878","$219,101","$176,846","$93,684","$63,398","$61,983",,"$82,972",,,,"$20,127",,"$32,445",,,,"$1,158,076",,,,,,,,"$1,587",,"$28,378",,,,,"$14,224",,"$16,267",,,,,,,,,,,,
