Movie Name,South Korea,Russia/CIS,Thailand,France,Spain,Germany,Italy,Belgium,Netherlands,Poland,Israel,United Arab Emirates,Switzerland,Norway,South Africa,Austria,Czech Republic,Denmark,Sweden,Romania,Greece,Portugal,Hungary,Finland,Estonia,Ukraine,Türkiye,Lithuania,Slovakia,Latvia,Bulgaria,Serbia and Montenegro,Slovenia,United Kingdom,Iceland,Croatia,Cyprus,Brazil,Mexico,Argentina,Colombia,Ecuador,Peru,Chile,Bolivia,Uruguay,Costa Rica,Panama,Nicaragua,Paraguay,Honduras,Australia,New Zealand,Vietnam,Malaysia,Singapore,China,Kuwait,Qatar,Lebanon,Bahrain,Jordan,Oman,Egypt,Venezuela,Trinidad & Tobago,Japan,Taiwan,Hong Kong,Philippines,India,Indonesia,Domestic,Nigeria,Kenya,Ghana,Jamaica,Dominican Republic,Aruba,Pakistan,Mongolia
The Visitors: Bastille Day (2016),,"$288,594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasure Raiders (2007),,"$846,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Daughters (2007),,"$1,414,961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two in One (2007),,"$76,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z'olushka (2012),,"$5,169,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoubiytsy (2012),,"$1,963,987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dikari (2006),,"$1,328,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kacheli (2008),,"$750,665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antidur (2007),,"$1,412,587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Phobos (2010),,"$585,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Inconvenient Sequel: Truth to Power (2017),,,"$23,820","$182,713","$14,728","$306,063","$15,623","$56,375","$62,409",,"$11,260","$5,079","$127,963","$30,578","$8,503","$61,967",,"$3,358","$83,239",,,,,,,,,,,,,,,"$409,454",,,,"$15,412",,,"$3,764",,"$8,440","$1,274",,,,"$17,198",,,,"$251,752","$102,086",,"$3,128","$14,707",,,,,,,,,,,"$41,091","$24,950","$31,167","$5,284","$4,662","$9,084",,,,,,,,,
Revolt (2017),,,"$8,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,430",,,,,,,,,,,,,,,,,,,,,,,,
Girls Trip (2017),,,"$4,916","$1,183,974","$40,855","$967,365","$87,223",,"$1,838,766",,,,"$571,368",,"$1,546,796","$223,638",,,"$581,777","$217,227",,,,,,,,,,,,,,"$11,711,797",,,,,,,,"$191,945","$108,917",,,,,,,,,"$3,868,970","$389,133",,,"$32,375",,,,,,,,,,"$905,917",,"$222,958",,"$3,244",,,,,,,,,,,
